,date,open,close,high,low,volumme
0,2014-09-22,241.48,241.48,241.48,241.48,0
1,2014-09-23,240.31,240.31,240.31,240.31,0
2,2014-09-24,239.96,239.96,239.96,239.96,0
3,2014-09-25,240.54,240.54,240.54,240.54,0
4,2014-09-26,240.18,240.18,240.18,240.18,0
5,2014-09-29,240.32,240.32,240.32,240.32,0
6,2014-09-30,240.06,240.06,240.06,240.06,0
7,2014-10-01,240.31,240.31,240.31,240.31,0
8,2014-10-02,239.3,239.3,239.3,239.3,0
9,2014-10-03,238.92,238.92,238.92,238.92,0
10,2014-10-06,239.78,239.78,239.78,239.78,0
11,2014-10-07,239.34,239.34,239.34,239.34,0
12,2014-10-08,238.18,238.18,238.18,238.18,0
13,2014-10-09,237.86,237.86,237.86,237.86,0
14,2014-10-10,236.54,236.54,236.54,236.54,0
15,2014-10-13,235.06,235.06,235.06,235.06,0
16,2014-10-14,234.18,234.18,234.18,234.18,0
17,2014-10-15,233.79,233.79,233.79,233.79,0
18,2014-10-16,232.31,232.31,232.31,232.31,0
19,2014-10-17,232.2,232.2,232.2,232.2,0
20,2014-10-20,233.01,233.01,233.01,233.01,0
21,2014-10-21,233.3,233.3,233.3,233.3,0
22,2014-10-22,234.57,234.57,234.57,234.57,0
23,2014-10-23,234.74,234.74,234.74,234.74,0
24,2014-10-24,235.07,235.07,235.07,235.07,0
25,2014-10-27,234.89,234.89,234.89,234.89,0
26,2014-10-28,234.74,234.74,234.74,234.74,0
27,2014-10-29,235.33,235.33,235.33,235.33,0
28,2014-10-30,235.79,235.79,235.79,235.79,0
29,2014-10-31,237.14,237.14,237.14,237.14,0
30,2014-11-03,238.12,238.12,238.12,238.12,0
31,2014-11-04,238.01,238.01,238.01,238.01,0
32,2014-11-05,237.77,237.77,237.77,237.77,0
33,2014-11-06,238.29,238.29,238.29,238.29,0
34,2014-11-07,238.51,238.51,238.51,238.51,0
35,2014-11-10,238.55,238.55,238.55,238.55,0
36,2014-11-12,238.73,238.73,238.73,238.73,0
37,2014-11-13,238.47,238.47,238.47,238.47,0
38,2014-11-14,238.19,238.19,238.19,238.19,0
39,2014-11-17,238.36,238.36,238.36,238.36,0
40,2014-11-18,238.67,238.67,238.67,238.67,0
41,2014-11-19,238.65,238.65,238.65,238.65,0
42,2014-11-20,238.5,238.5,238.5,238.5,0
43,2014-11-21,239.44,239.44,239.44,239.44,0
44,2014-11-24,240.24,240.24,240.24,240.24,0
45,2014-11-25,240.53,240.53,240.53,240.53,0
46,2014-11-26,240.52,240.52,240.52,240.52,0
47,2014-11-27,240.59,240.59,240.59,240.59,0
48,2014-11-28,240.65,240.65,240.65,240.65,0
49,2014-12-01,240.33,240.33,240.33,240.33,0
50,2014-12-02,239.92,239.92,239.92,239.92,0
51,2014-12-03,240.71,240.71,240.71,240.71,0
52,2014-12-04,240.94,240.94,240.94,240.94,0
53,2014-12-05,240.66,240.66,240.66,240.66,0
54,2014-12-08,241.51,241.51,241.51,241.51,0
55,2014-12-09,240.6,240.6,240.6,240.6,0
56,2014-12-10,239.06,239.06,239.06,239.06,0
57,2014-12-11,238.04,238.04,238.04,238.04,0
58,2014-12-12,237.12,237.12,237.12,237.12,0
59,2014-12-15,234.92,234.92,234.92,234.92,0
60,2014-12-16,233.33,233.33,233.33,233.33,0
61,2014-12-17,233.79,233.79,233.79,233.79,0
62,2014-12-18,236.25,236.25,236.25,236.25,0
63,2014-12-19,238.65,238.65,238.65,238.65,0
64,2014-12-22,239.09,239.09,239.09,239.09,0
65,2014-12-23,239.57,239.57,239.57,239.57,0
66,2014-12-24,239.94,239.94,239.94,239.94,0
67,2014-12-29,240.07,240.07,240.07,240.07,0
68,2014-12-30,240.01,240.01,240.01,240.01,0
69,2014-12-31,239.81,239.81,239.81,239.81,0
70,2015-01-02,240.03,240.03,240.03,240.03,0
71,2015-01-05,240.19,240.19,240.19,240.19,0
72,2015-01-06,238.51,238.51,238.51,238.51,0
73,2015-01-07,238.29,238.29,238.29,238.29,0
74,2015-01-08,239.42,239.42,239.42,239.42,0
75,2015-01-09,241.1,241.1,241.1,241.1,0
76,2015-01-12,240.78,240.78,240.78,240.78,0
77,2015-01-13,241.01,241.01,241.01,241.01,0
78,2015-01-14,241.12,241.12,241.12,241.12,0
79,2015-01-15,241.31,241.31,241.31,241.31,0
80,2015-01-16,242.76,242.76,242.76,242.76,0
81,2015-01-19,243.39,243.39,243.39,243.39,0
82,2015-01-20,243.7,243.7,243.7,243.7,0
83,2015-01-21,244.03,244.03,244.03,244.03,0
84,2015-01-22,245.29,245.29,245.29,245.29,0
85,2015-01-23,247.82,247.82,247.82,247.82,0
86,2015-01-26,248.82,248.82,248.82,248.82,0
87,2015-01-27,248.88,248.88,248.88,248.88,0
88,2015-01-28,248.02,248.02,248.02,248.02,0
89,2015-01-29,247.44,247.44,247.44,247.44,0
90,2015-01-30,247.67,247.67,247.67,247.67,0
91,2015-02-02,247.27,247.27,247.27,247.27,0
92,2015-02-03,247.27,247.27,247.27,247.27,0
93,2015-02-04,248.17,248.17,248.17,248.17,0
94,2015-02-05,248.45,248.45,248.45,248.45,0
95,2015-02-06,248.96,248.96,248.96,248.96,0
96,2015-02-09,248.46,248.46,248.46,248.46,0
97,2015-02-10,248.13,248.13,248.13,248.13,0
98,2015-02-11,248.85,248.85,248.85,248.85,0
99,2015-02-12,249.11,249.11,249.11,249.11,0
100,2015-02-13,250.11,250.11,250.11,250.11,0
101,2015-02-16,250.65,250.65,250.65,250.65,0
102,2015-02-17,250.66,250.66,250.66,250.66,0
103,2015-02-18,251.35,251.35,251.35,251.35,0
104,2015-02-19,252.08,252.08,252.08,252.08,0
105,2015-02-20,252.52,252.52,252.52,252.52,0
106,2015-02-23,253.33,253.33,253.33,253.33,0
107,2015-02-24,253.86,253.86,253.86,253.86,0
108,2015-02-25,254.42,254.42,254.42,254.42,0
109,2015-02-26,255.26,255.26,255.26,255.26,0
110,2015-02-27,256.45,256.45,256.45,256.45,0
111,2015-03-02,256.8,256.8,256.8,256.8,0
112,2015-03-03,256.84,256.84,256.84,256.84,0
113,2015-03-04,256.55,256.55,256.55,256.55,0
114,2015-03-05,257.44,257.44,257.44,257.44,0
115,2015-03-06,258.88,258.88,258.88,258.88,0
116,2015-03-09,258.41,258.41,258.41,258.41,0
117,2015-03-10,258.82,258.82,258.82,258.82,0
118,2015-03-11,259.48,259.48,259.48,259.48,0
119,2015-03-12,260.81,260.81,260.81,260.81,0
120,2015-03-13,261.73,261.73,261.73,261.73,0
121,2015-03-17,261.74,261.74,261.74,261.74,0
122,2015-03-18,261.38,261.38,261.38,261.38,0
123,2015-03-19,261.99,261.99,261.99,261.99,0
124,2015-03-20,261.82,261.82,261.82,261.82,0
125,2015-03-23,260.81,260.81,260.81,260.81,0
126,2015-03-24,260.44,260.44,260.44,260.44,0
127,2015-03-25,259.61,259.61,259.61,259.61,0
128,2015-03-26,258.12,258.12,258.12,258.12,0
129,2015-03-27,258.4,258.4,258.4,258.4,0
130,2015-03-30,259.39,259.39,259.39,259.39,0
131,2015-03-31,260.54,260.54,260.54,260.54,0
132,2015-04-01,260.61,260.61,260.61,260.61,0
133,2015-04-02,259.89,259.89,259.89,259.89,0
134,2015-04-07,260.98,260.98,260.98,260.98,0
135,2015-04-08,262.63,262.63,262.63,262.63,0
136,2015-04-09,264.2,264.2,264.2,264.2,0
137,2015-04-10,265.62,265.62,265.62,265.62,0
138,2015-04-13,266.83,266.83,266.83,266.83,0
139,2015-04-14,266.17,266.17,266.17,266.17,0
140,2015-04-15,266.07,266.07,266.07,266.07,0
141,2015-04-16,265.87,265.87,265.87,265.87,0
142,2015-04-17,264.19,264.19,264.19,264.19,0
143,2015-04-20,262.99,262.99,262.99,262.99,0
144,2015-04-21,263.75,263.75,263.75,263.75,0
145,2015-04-22,264.6,264.6,264.6,264.6,0
146,2015-04-23,263.91,263.91,263.91,263.91,0
147,2015-04-24,263.38,263.38,263.38,263.38,0
148,2015-04-27,263.41,263.41,263.41,263.41,0
149,2015-04-28,262.94,262.94,262.94,262.94,0
150,2015-04-29,260.87,260.87,260.87,260.87,0
151,2015-04-30,258.53,258.53,258.53,258.53,0
152,2015-05-04,258.49,258.49,258.49,258.49,0
153,2015-05-05,258.59,258.59,258.59,258.59,0
154,2015-05-06,256.25,256.25,256.25,256.25,0
155,2015-05-07,255.42,255.42,255.42,255.42,0
156,2015-05-11,257.68,257.68,257.68,257.68,0
157,2015-05-12,257.76,257.76,257.76,257.76,0
158,2015-05-13,257.28,257.28,257.28,257.28,0
159,2015-05-15,257.16,257.16,257.16,257.16,0
160,2015-05-18,257.39,257.39,257.39,257.39,0
161,2015-05-19,258.61,258.61,258.61,258.61,0
162,2015-05-20,259.35,259.35,259.35,259.35,0
163,2015-05-21,259.34,259.34,259.34,259.34,0
164,2015-05-22,259.78,259.78,259.78,259.78,0
165,2015-05-26,260.1,260.1,260.1,260.1,0
166,2015-05-27,259.88,259.88,259.88,259.88,0
167,2015-05-28,260.17,260.17,260.17,260.17,0
168,2015-05-29,260.04,260.04,260.04,260.04,0
169,2015-06-01,259.48,259.48,259.48,259.48,0
170,2015-06-02,258.88,258.88,258.88,258.88,0
171,2015-06-03,258.05,258.05,258.05,258.05,0
172,2015-06-04,257.49,257.49,257.49,257.49,0
173,2015-06-05,257.0,257.0,257.0,257.0,0
174,2015-06-08,256.58,256.58,256.58,256.58,0
175,2015-06-09,255.52,255.52,255.52,255.52,0
176,2015-06-10,255.61,255.61,255.61,255.61,0
177,2015-06-11,256.38,256.38,256.38,256.38,0
178,2015-06-12,256.65,256.65,256.65,256.65,0
179,2015-06-15,255.84,255.84,255.84,255.84,0
180,2015-06-16,255.11,255.11,255.11,255.11,0
181,2015-06-18,254.85,254.85,254.85,254.85,0
182,2015-06-19,255.16,255.16,255.16,255.16,0
183,2015-06-22,255.32,255.32,255.32,255.32,0
184,2015-06-23,256.4,256.4,256.4,256.4,0
185,2015-06-24,257.24,257.24,257.24,257.24,0
186,2015-06-25,257.14,257.14,257.14,257.14,0
187,2015-06-26,257.15,257.15,257.15,257.15,0
188,2015-06-29,256.67,256.67,256.67,256.67,0
189,2015-06-30,254.62,254.62,254.62,254.62,0
190,2015-07-01,254.69,254.69,254.69,254.69,0
191,2015-07-02,255.71,255.71,255.71,255.71,0
192,2015-07-03,255.23,255.23,255.23,255.23,0
193,2015-07-06,254.85,254.85,254.85,254.85,0
194,2015-07-07,254.24,254.24,254.24,254.24,0
195,2015-07-08,253.05,253.05,253.05,253.05,0
196,2015-07-09,252.78,252.78,252.78,252.78,0
197,2015-07-10,253.52,253.52,253.52,253.52,0
198,2015-07-13,254.77,254.77,254.77,254.77,0
199,2015-07-15,256.28,256.28,256.28,256.28,0
200,2015-07-16,256.84,256.84,256.84,256.84,0
201,2015-07-17,257.7,257.7,257.7,257.7,0
202,2015-07-20,258.07,258.07,258.07,258.07,0
203,2015-07-21,257.99,257.99,257.99,257.99,0
204,2015-07-22,257.28,257.28,257.28,257.28,0
205,2015-07-23,256.89,256.89,256.89,256.89,0
206,2015-07-24,256.61,256.61,256.61,256.61,0
207,2015-07-27,255.22,255.22,255.22,255.22,0
208,2015-07-28,254.23,254.23,254.23,254.23,0
209,2015-07-29,254.88,254.88,254.88,254.88,0
210,2015-07-30,255.6,255.6,255.6,255.6,0
211,2015-07-31,255.86,255.86,255.86,255.86,0
212,2015-08-03,256.05,256.05,256.05,256.05,0
213,2015-08-04,256.58,256.58,256.58,256.58,0
214,2015-08-05,257.01,257.01,257.01,257.01,0
215,2015-08-06,257.44,257.44,257.44,257.44,0
216,2015-08-07,256.5,256.5,256.5,256.5,0
217,2015-08-10,256.25,256.25,256.25,256.25,0
218,2015-08-11,256.31,256.31,256.31,256.31,0
219,2015-08-12,254.43,254.43,254.43,254.43,0
220,2015-08-13,253.87,253.87,253.87,253.87,0
221,2015-08-14,254.46,254.46,254.46,254.46,0
222,2015-08-17,254.87,254.87,254.87,254.87,0
223,2015-08-18,255.24,255.24,255.24,255.24,0
224,2015-08-19,254.8,254.8,254.8,254.8,0
225,2015-08-20,253.58,253.58,253.58,253.58,0
226,2015-08-21,251.13,251.13,251.13,251.13,0
227,2015-08-24,246.73,246.73,246.73,246.73,0
228,2015-08-25,244.45,244.45,244.45,244.45,0
229,2015-08-26,245.22,245.22,245.22,245.22,0
230,2015-08-27,246.03,246.03,246.03,246.03,0
231,2015-08-28,247.11,247.11,247.11,247.11,0
232,2015-08-31,247.23,247.23,247.23,247.23,0
233,2015-09-01,246.79,246.79,246.79,246.79,0
234,2015-09-02,246.09,246.09,246.09,246.09,0
235,2015-09-03,246.89,246.89,246.89,246.89,0
236,2015-09-04,247.44,247.44,247.44,247.44,0
237,2015-09-07,246.93,246.93,246.93,246.93,0
238,2015-09-08,247.09,247.09,247.09,247.09,0
239,2015-09-09,247.7,247.7,247.7,247.7,0
240,2015-09-10,247.89,247.89,247.89,247.89,0
241,2015-09-11,247.29,247.29,247.29,247.29,0
242,2015-09-14,246.89,246.89,246.89,246.89,0
243,2015-09-15,246.56,246.56,246.56,246.56,0
244,2015-09-16,246.85,246.85,246.85,246.85,0
245,2015-09-17,247.1,247.1,247.1,247.1,0
246,2015-09-18,247.09,247.09,247.09,247.09,0
247,2015-09-22,247.11,247.11,247.11,247.11,0
248,2015-09-23,246.33,246.33,246.33,246.33,0
249,2015-09-24,246.03,246.03,246.03,246.03,0
250,2015-09-25,245.19,245.19,245.19,245.19,0
251,2015-09-28,245.78,245.78,245.78,245.78,0
252,2015-09-29,244.31,244.31,244.31,244.31,0
253,2015-09-30,244.91,244.91,244.91,244.91,0
254,2015-10-01,245.41,245.41,245.41,245.41,0
