,date,open,close,high,low,volumme
0,2018-10-29,4.1046,4.1046,4.1046,4.1046,0
1,2018-10-30,4.111,4.111,4.111,4.111,0
2,2018-10-31,4.2017,4.2017,4.2017,4.2017,0
3,2018-11-02,4.2516,4.2516,4.2516,4.2516,0
4,2018-11-05,4.244,4.244,4.244,4.244,0
5,2018-11-06,4.2239,4.2239,4.2239,4.2239,0
6,2018-11-07,4.2511,4.2511,4.2511,4.2511,0
7,2018-11-08,4.2625,4.2625,4.2625,4.2625,0
8,2018-11-09,4.2143,4.2143,4.2143,4.2143,0
9,2018-11-12,4.1951,4.1951,4.1951,4.1951,0
10,2018-11-13,4.16,4.16,4.16,4.16,0
11,2018-11-14,4.1148,4.1148,4.1148,4.1148,0
12,2018-11-15,4.087,4.087,4.087,4.087,0
13,2018-11-16,4.1153,4.1153,4.1153,4.1153,0
14,2018-11-19,4.0668,4.0668,4.0668,4.0668,0
15,2018-11-20,3.9878,3.9878,3.9878,3.9878,0
16,2018-11-21,4.0175,4.0175,4.0175,4.0175,0
17,2018-11-22,3.9862,3.9862,3.9862,3.9862,0
18,2018-11-23,4.0023,4.0023,4.0023,4.0023,0
19,2018-11-26,4.0529,4.0529,4.0529,4.0529,0
20,2018-11-27,4.0413,4.0413,4.0413,4.0413,0
21,2018-11-28,4.0395,4.0395,4.0395,4.0395,0
22,2018-11-29,4.0668,4.0668,4.0668,4.0668,0
23,2018-11-30,4.062,4.062,4.062,4.062,0
24,2018-12-03,4.1399,4.1399,4.1399,4.1399,0
25,2018-12-04,4.1053,4.1053,4.1053,4.1053,0
26,2018-12-05,4.0693,4.0693,4.0693,4.0693,0
27,2018-12-06,3.9641,3.9641,3.9641,3.9641,0
28,2018-12-07,4.0006,4.0006,4.0006,4.0006,0
29,2018-12-10,3.942,3.942,3.942,3.942,0
30,2018-12-11,3.9943,3.9943,3.9943,3.9943,0
31,2018-12-12,4.0681,4.0681,4.0681,4.0681,0
32,2018-12-13,4.0456,4.0456,4.0456,4.0456,0
33,2018-12-14,4.046,4.046,4.046,4.046,0
34,2018-12-17,4.0054,4.0054,4.0054,4.0054,0
