,date,open,close,high,low,volumme
0,2014-09-17,1473.874,1473.874,1473.874,1473.874,0
1,2014-09-24,1439.3469,1439.3469,1439.3469,1439.3469,0
2,2014-09-30,1395.67,1395.67,1395.67,1395.67,0
3,2014-10-01,1380.4891,1380.4891,1380.4891,1380.4891,0
4,2014-10-08,1329.5123,1329.5123,1329.5123,1329.5123,0
5,2014-10-15,1279.3299,1279.3299,1279.3299,1279.3299,0
6,2014-10-22,1358.3411,1358.3411,1358.3411,1358.3411,0
7,2014-10-29,1390.1185,1390.1185,1390.1185,1390.1185,0
8,2014-10-31,1414.7887,1414.7887,1414.7887,1414.7887,0
9,2014-11-05,1399.3337,1399.3337,1399.3337,1399.3337,0
10,2014-11-12,1404.8498,1404.8498,1404.8498,1404.8498,0
11,2014-11-14,1405.2706,1405.2706,1405.2706,1405.2706,0
12,2014-11-19,1411.8879,1411.8879,1411.8879,1411.8879,0
13,2014-11-26,1436.8544,1436.8544,1436.8544,1436.8544,0
14,2014-11-28,1430.6043,1430.6043,1430.6043,1430.6043,0
15,2014-12-03,1438.0463,1438.0463,1438.0463,1438.0463,0
16,2014-12-10,1440.0388,1440.0388,1440.0388,1440.0388,0
17,2014-12-17,1411.1402,1411.1402,1411.1402,1411.1402,0
18,2014-12-30,1466.2825,1466.2825,1466.2825,1466.2825,0
19,2015-01-07,1448.0378,1448.0378,1448.0378,1448.0378,0
20,2015-01-14,1462.9591,1462.9591,1462.9591,1462.9591,0
21,2015-01-21,1504.8266,1504.8266,1504.8266,1504.8266,0
22,2015-01-28,1575.0422,1575.0422,1575.0422,1575.0422,0
23,2015-01-30,1578.3476,1578.3476,1578.3476,1578.3476,0
24,2015-02-04,1592.056,1592.056,1592.056,1592.056,0
25,2015-02-11,1615.0766,1615.0766,1615.0766,1615.0766,0
26,2015-02-18,1669.6006,1669.6006,1669.6006,1669.6006,0
27,2015-02-25,1694.7355,1694.7355,1694.7355,1694.7355,0
28,2015-02-27,1696.2812,1696.2812,1696.2812,1696.2812,0
29,2015-03-04,1643.1787,1643.1787,1643.1787,1643.1787,0
30,2015-03-11,1655.3392,1655.3392,1655.3392,1655.3392,0
31,2015-03-18,1718.1152,1718.1152,1718.1152,1718.1152,0
32,2015-03-25,1723.1942,1723.1942,1723.1942,1723.1942,0
33,2015-03-31,1738.1319,1738.1319,1738.1319,1738.1319,0
34,2015-04-01,1740.0043,1740.0043,1740.0043,1740.0043,0
35,2015-04-08,1768.499,1768.499,1768.499,1768.499,0
36,2015-04-15,1800.32,1800.32,1800.32,1800.32,0
37,2015-04-22,1775.487,1775.487,1775.487,1775.487,0
38,2015-04-29,1719.2525,1719.2525,1719.2525,1719.2525,0
39,2015-04-30,1706.4885,1706.4885,1706.4885,1706.4885,0
40,2015-05-06,1664.1167,1664.1167,1664.1167,1664.1167,0
41,2015-05-13,1704.7351,1704.7351,1704.7351,1704.7351,0
42,2015-05-20,1743.5707,1743.5707,1743.5707,1743.5707,0
43,2015-05-27,1767.2719,1767.2719,1767.2719,1767.2719,0
44,2015-05-29,1743.0231,1743.0231,1743.0231,1743.0231,0
45,2015-06-03,1741.5223,1741.5223,1741.5223,1741.5223,0
46,2015-06-10,1703.1169,1703.1169,1703.1169,1703.1169,0
47,2015-06-17,1661.4731,1661.4731,1661.4731,1661.4731,0
48,2015-06-24,1694.3604,1694.3604,1694.3604,1694.3604,0
49,2015-06-30,1637.7614,1637.7614,1637.7614,1637.7614,0
50,2015-07-01,1674.8846,1674.8846,1674.8846,1674.8846,0
51,2015-07-08,1605.7769,1605.7769,1605.7769,1605.7769,0
52,2015-07-15,1666.2464,1666.2464,1666.2464,1666.2464,0
53,2015-07-22,1703.2385,1703.2385,1703.2385,1703.2385,0
54,2015-07-29,1661.4162,1661.4162,1661.4162,1661.4162,0
55,2015-07-31,1684.0645,1684.0645,1684.0645,1684.0645,0
56,2015-08-05,1711.3038,1711.3038,1711.3038,1711.3038,0
57,2015-08-12,1662.841,1662.841,1662.841,1662.841,0
58,2015-08-19,1655.9903,1655.9903,1655.9903,1655.9903,0
59,2015-08-26,1567.2947,1567.2947,1567.2947,1567.2947,0
60,2015-08-31,1584.9386,1584.9386,1584.9386,1584.9386,0
61,2015-09-02,1560.478,1560.478,1560.478,1560.478,0
62,2015-09-09,1617.1685,1617.1685,1617.1685,1617.1685,0
63,2015-09-16,1579.1497,1579.1497,1579.1497,1579.1497,0
64,2015-09-23,1529.7553,1529.7553,1529.7553,1529.7553,0
65,2015-09-30,1493.4601,1493.4601,1493.4601,1493.4601,0
66,2015-10-07,1538.7007,1538.7007,1538.7007,1538.7007,0
67,2015-10-14,1509.9367,1509.9367,1509.9367,1509.9367,0
68,2015-10-21,1529.7557,1529.7557,1529.7557,1529.7557,0
69,2015-10-28,1578.5164,1578.5164,1578.5164,1578.5164,0
70,2015-10-30,1569.4442,1569.4442,1569.4442,1569.4442,0
71,2015-11-04,1599.7376,1599.7376,1599.7376,1599.7376,0
72,2015-11-11,1614.4616,1614.4616,1614.4616,1614.4616,0
73,2015-11-18,1605.3005,1605.3005,1605.3005,1605.3005,0
74,2015-11-25,1608.3014,1608.3014,1608.3014,1608.3014,0
75,2015-11-30,1626.6891,1626.6891,1626.6891,1626.6891,0
76,2015-12-02,1640.3095,1640.3095,1640.3095,1640.3095,0
77,2015-12-09,1564.1869,1564.1869,1564.1869,1564.1869,0
78,2015-12-16,1563.5103,1563.5103,1563.5103,1563.5103,0
79,2015-12-23,1564.8493,1564.8493,1564.8493,1564.8493,0
80,2015-12-30,1581.3251,1581.3251,1581.3251,1581.3251,0
81,2016-01-13,1500.5194,1500.5194,1500.5194,1500.5194,0
82,2016-01-20,1413.9013,1413.9013,1413.9013,1413.9013,0
83,2016-01-27,1473.3388,1473.3388,1473.3388,1473.3388,0
84,2016-01-29,1477.9128,1477.9128,1477.9128,1477.9128,0
85,2016-02-03,1436.7701,1436.7701,1436.7701,1436.7701,0
86,2016-02-10,1394.0641,1394.0641,1394.0641,1394.0641,0
87,2016-02-17,1455.6064,1455.6064,1455.6064,1455.6064,0
88,2016-02-24,1432.0902,1432.0902,1432.0902,1432.0902,0
89,2016-03-02,1482.0493,1482.0493,1482.0493,1482.0493,0
90,2016-03-09,1480.2065,1480.2065,1480.2065,1480.2065,0
91,2016-03-16,1494.0728,1494.0728,1494.0728,1494.0728,0
92,2016-03-23,1493.5414,1493.5414,1493.5414,1493.5414,0
93,2016-03-30,1517.6111,1517.6111,1517.6111,1517.6111,0
94,2016-03-31,1505.8135,1505.8135,1505.8135,1505.8135,0
95,2016-04-06,1496.1065,1496.1065,1496.1065,1496.1065,0
96,2016-04-13,1520.6315,1520.6315,1520.6315,1520.6315,0
97,2016-04-20,1543.6445,1543.6445,1543.6445,1543.6445,0
98,2016-04-27,1534.9852,1534.9852,1534.9852,1534.9852,0
99,2016-04-29,1523.9031,1523.9031,1523.9031,1523.9031,0
100,2016-05-04,1509.3616,1509.3616,1509.3616,1509.3616,0
101,2016-05-11,1536.9223,1536.9223,1536.9223,1536.9223,0
102,2016-05-18,1552.6277,1552.6277,1552.6277,1552.6277,0
103,2016-05-25,1586.1207,1586.1207,1586.1207,1586.1207,0
104,2016-05-31,1596.0577,1596.0577,1596.0577,1596.0577,0
105,2016-06-01,1585.1534,1585.1534,1585.1534,1585.1534,0
106,2016-06-08,1584.1282,1584.1282,1584.1282,1584.1282,0
107,2016-06-15,1506.8137,1506.8137,1506.8137,1506.8137,0
108,2016-06-22,1547.5448,1547.5448,1547.5448,1547.5448,0
109,2016-06-29,1491.5901,1491.5901,1491.5901,1491.5901,0
110,2016-06-30,1517.0039,1517.0039,1517.0039,1517.0039,0
111,2016-07-06,1471.308,1471.308,1471.308,1471.308,0
112,2016-07-13,1549.6167,1549.6167,1549.6167,1549.6167,0
113,2016-07-20,1587.8987,1587.8987,1587.8987,1587.8987,0
114,2016-07-27,1606.233,1606.233,1606.233,1606.233,0
115,2016-07-29,1606.1837,1606.1837,1606.1837,1606.1837,0
116,2016-08-03,1561.4335,1561.4335,1561.4335,1561.4335,0
117,2016-08-10,1601.1027,1601.1027,1601.1027,1601.1027,0
118,2016-08-17,1582.7004,1582.7004,1582.7004,1582.7004,0
119,2016-08-24,1606.1625,1606.1625,1606.1625,1606.1625,0
120,2016-08-31,1613.3948,1613.3948,1613.3948,1613.3948,0
121,2016-09-07,1621.8086,1621.8086,1621.8086,1621.8086,0
122,2016-09-14,1591.9149,1591.9149,1591.9149,1591.9149,0
123,2016-09-21,1621.1989,1621.1989,1621.1989,1621.1989,0
124,2016-09-28,1627.6708,1627.6708,1627.6708,1627.6708,0
125,2016-09-30,1590.7531,1590.7531,1590.7531,1590.7531,0
126,2016-10-05,1590.7602,1590.7602,1590.7602,1590.7602,0
127,2016-10-12,1586.5499,1586.5499,1586.5499,1586.5499,0
128,2016-10-19,1603.5129,1603.5129,1603.5129,1603.5129,0
129,2016-10-26,1590.239,1590.239,1590.239,1590.239,0
130,2016-10-31,1580.4844,1580.4844,1580.4844,1580.4844,0
131,2016-11-02,1540.4571,1540.4571,1540.4571,1540.4571,0
132,2016-11-09,1557.2096,1557.2096,1557.2096,1557.2096,0
133,2016-11-16,1548.1248,1548.1248,1548.1248,1548.1248,0
134,2016-11-23,1565.5701,1565.5701,1565.5701,1565.5701,0
135,2016-11-30,1574.276,1574.276,1574.276,1574.276,0
136,2016-12-07,1575.6776,1575.6776,1575.6776,1575.6776,0
137,2016-12-14,1614.4823,1614.4823,1614.4823,1614.4823,0
138,2016-12-21,1618.6558,1618.6558,1618.6558,1618.6558,0
139,2016-12-28,1619.1953,1619.1953,1619.1953,1619.1953,0
140,2016-12-30,1615.3217,1615.3217,1615.3217,1615.3217,0
141,2017-01-04,1619.9742,1619.9742,1619.9742,1619.9742,0
142,2017-01-11,1628.7587,1628.7587,1628.7587,1628.7587,0
143,2017-01-18,1611.0445,1611.0445,1611.0445,1611.0445,0
144,2017-01-25,1654.3497,1654.3497,1654.3497,1654.3497,0
145,2017-01-31,1640.7907,1640.7907,1640.7907,1640.7907,0
146,2017-02-01,1651.0169,1651.0169,1651.0169,1651.0169,0
147,2017-02-08,1628.2432,1628.2432,1628.2432,1628.2432,0
148,2017-02-15,1672.3197,1672.3197,1672.3197,1672.3197,0
149,2017-02-22,1679.9919,1679.9919,1679.9919,1679.9919,0
150,2017-02-28,1671.7921,1671.7921,1671.7921,1671.7921,0
151,2017-03-01,1695.1516,1695.1516,1695.1516,1695.1516,0
152,2017-03-08,1677.0767,1677.0767,1677.0767,1677.0767,0
153,2017-03-15,1690.9983,1690.9983,1690.9983,1690.9983,0
154,2017-03-22,1659.9813,1659.9813,1659.9813,1659.9813,0
155,2017-03-29,1689.7682,1689.7682,1689.7682,1689.7682,0
156,2017-03-31,1712.3488,1712.3488,1712.3488,1712.3488,0
157,2017-04-05,1709.7055,1709.7055,1709.7055,1709.7055,0
158,2017-04-12,1733.5142,1733.5142,1733.5142,1733.5142,0
159,2017-04-19,1727.2076,1727.2076,1727.2076,1727.2076,0
160,2017-04-26,1802.2389,1802.2389,1802.2389,1802.2389,0
161,2017-04-28,1831.3799,1831.3799,1831.3799,1831.3799,0
162,2017-05-03,1832.577,1832.577,1832.577,1832.577,0
163,2017-05-10,1853.3594,1853.3594,1853.3594,1853.3594,0
164,2017-05-17,1824.9982,1824.9982,1824.9982,1824.9982,0
165,2017-05-24,1824.0802,1824.0802,1824.0802,1824.0802,0
166,2017-05-31,1836.7385,1836.7385,1836.7385,1836.7385,0
167,2017-06-07,1856.4739,1856.4739,1856.4739,1856.4739,0
168,2017-06-08,1843.2846,1843.2846,1843.2846,1843.2846,0
169,2017-06-09,1853.6858,1853.6858,1853.6858,1853.6858,0
170,2017-06-12,1830.0149,1830.0149,1830.0149,1830.0149,0
171,2017-06-13,1852.2118,1852.2118,1852.2118,1852.2118,0
172,2017-06-14,1858.7375,1858.7375,1858.7375,1858.7375,0
173,2017-06-15,1832.4831,1832.4831,1832.4831,1832.4831,0
174,2017-06-16,1849.1142,1849.1142,1849.1142,1849.1142,0
175,2017-06-19,1877.0994,1877.0994,1877.0994,1877.0994,0
