,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2014-09-22,23.81,23.81,23.81,23.81,0
1,1.0,2014-09-24,23.78,23.78,23.78,23.78,0
2,2.0,2014-09-25,24.13,24.13,24.13,24.13,0
3,3.0,2014-09-26,24.07,24.07,24.07,24.07,0
4,4.0,2014-09-29,24.16,24.16,24.16,24.16,0
5,5.0,2014-09-30,23.95,23.95,23.95,23.95,0
6,6.0,2014-10-01,23.65,23.65,23.65,23.65,0
7,7.0,2014-10-02,23.17,23.17,23.17,23.17,0
8,8.0,2014-10-03,23.07,23.07,23.07,23.07,0
9,9.0,2014-10-06,23.37,23.37,23.37,23.37,0
10,10.0,2014-10-07,23.45,23.45,23.45,23.45,0
11,11.0,2014-10-08,23.19,23.19,23.19,23.19,0
12,12.0,2014-10-09,22.94,22.94,22.94,22.94,0
13,13.0,2014-10-10,22.57,22.57,22.57,22.57,0
14,14.0,2014-10-14,22.27,22.27,22.27,22.27,0
15,15.0,2014-10-15,22.21,22.21,22.21,22.21,0
16,16.0,2014-10-16,22.28,22.28,22.28,22.28,0
17,17.0,2014-10-17,21.76,21.76,21.76,21.76,0
18,18.0,2014-10-20,22.7,22.7,22.7,22.7,0
19,19.0,2014-10-21,22.51,22.51,22.51,22.51,0
20,20.0,2014-10-22,22.99,22.99,22.99,22.99,0
21,21.0,2014-10-23,22.77,22.77,22.77,22.77,0
22,22.0,2014-10-24,23.0,23.0,23.0,23.0,0
23,23.0,2014-10-27,23.13,23.13,23.13,23.13,0
24,24.0,2014-10-28,23.0,23.0,23.0,23.0,0
25,25.0,2014-10-29,23.36,23.36,23.36,23.36,0
26,26.0,2014-10-30,23.37,23.37,23.37,23.37,0
27,27.0,2014-10-31,24.34,24.34,24.34,24.34,0
28,28.0,2014-11-04,24.05,24.05,24.05,24.05,0
29,29.0,2014-11-05,23.74,23.74,23.74,23.74,0
30,30.0,2014-11-06,23.57,23.57,23.57,23.57,0
31,31.0,2014-11-07,23.67,23.67,23.67,23.67,0
32,32.0,2014-11-10,23.6,23.6,23.6,23.6,0
33,33.0,2014-11-11,23.68,23.68,23.68,23.68,0
34,34.0,2014-11-12,23.8,23.8,23.8,23.8,0
35,35.0,2014-11-13,23.83,23.83,23.83,23.83,0
36,36.0,2014-11-14,23.89,23.89,23.89,23.89,0
37,37.0,2014-11-17,23.35,23.35,23.35,23.35,0
38,38.0,2014-11-18,23.93,23.93,23.93,23.93,0
39,39.0,2014-11-19,23.78,23.78,23.78,23.78,0
40,40.0,2014-11-20,23.71,23.71,23.71,23.71,0
41,41.0,2014-11-21,23.75,23.75,23.75,23.75,0
42,42.0,2014-11-25,23.79,23.79,23.79,23.79,0
43,43.0,2014-11-26,23.92,23.92,23.92,23.92,0
44,44.0,2014-11-27,23.68,23.68,23.68,23.68,0
45,45.0,2014-11-28,23.85,23.85,23.85,23.85,0
46,46.0,2014-12-01,24.28,24.28,24.28,24.28,0
47,47.0,2014-12-02,24.14,24.14,24.14,24.14,0
48,48.0,2014-12-03,24.07,24.07,24.07,24.07,0
49,49.0,2014-12-04,24.19,24.19,24.19,24.19,0
50,50.0,2014-12-05,23.97,23.97,23.97,23.97,0
51,51.0,2014-12-08,24.12,24.12,24.12,24.12,0
52,52.0,2014-12-09,24.22,24.22,24.22,24.22,0
53,53.0,2014-12-10,23.85,23.85,23.85,23.85,0
54,54.0,2014-12-11,23.67,23.67,23.67,23.67,0
55,55.0,2014-12-12,23.87,23.87,23.87,23.87,0
56,56.0,2014-12-15,23.7,23.7,23.7,23.7,0
57,57.0,2014-12-16,23.67,23.67,23.67,23.67,0
58,58.0,2014-12-17,23.5,23.5,23.5,23.5,0
59,59.0,2014-12-18,24.07,24.07,24.07,24.07,0
60,60.0,2014-12-19,24.01,24.01,24.01,24.01,0
61,61.0,2014-12-22,23.88,23.88,23.88,23.88,0
62,62.0,2014-12-29,24.02,24.02,24.02,24.02,0
63,63.0,2014-12-30,24.01,24.01,24.01,24.01,0
64,64.0,2015-01-05,23.87,23.87,23.87,23.87,0
65,65.0,2015-01-06,23.42,23.42,23.42,23.42,0
66,66.0,2015-01-07,23.22,23.22,23.22,23.22,0
67,67.0,2015-01-08,23.6,23.6,23.6,23.6,0
68,68.0,2015-01-09,23.64,23.64,23.64,23.64,0
69,69.0,2015-01-13,23.88,23.88,23.88,23.88,0
70,70.0,2015-01-14,24.15,24.15,24.15,24.15,0
71,71.0,2015-01-15,24.55,24.55,24.55,24.55,0
72,72.0,2015-01-16,24.2,24.2,24.2,24.2,0
73,73.0,2015-01-19,24.47,24.47,24.47,24.47,0
74,74.0,2015-01-20,24.67,24.67,24.67,24.67,0
75,75.0,2015-01-21,24.89,24.89,24.89,24.89,0
76,76.0,2015-01-22,24.71,24.71,24.71,24.71,0
77,77.0,2015-01-23,24.81,24.81,24.81,24.81,0
78,78.0,2015-01-26,24.7,24.7,24.7,24.7,0
79,79.0,2015-01-27,25.27,25.27,25.27,25.27,0
80,80.0,2015-01-28,25.27,25.27,25.27,25.27,0
81,81.0,2015-01-29,25.1,25.1,25.1,25.1,0
82,82.0,2015-01-30,25.26,25.26,25.26,25.26,0
83,83.0,2015-02-02,25.24,25.24,25.24,25.24,0
84,84.0,2015-02-03,24.81,24.81,24.81,24.81,0
85,85.0,2015-02-04,24.93,24.93,24.93,24.93,0
86,86.0,2015-02-05,24.89,24.89,24.89,24.89,0
87,87.0,2015-02-06,24.55,24.55,24.55,24.55,0
88,88.0,2015-02-09,24.67,24.67,24.67,24.67,0
89,89.0,2015-02-10,24.48,24.48,24.48,24.48,0
90,90.0,2015-02-12,24.89,24.89,24.89,24.89,0
91,91.0,2015-02-13,24.99,24.99,24.99,24.99,0
92,92.0,2015-02-16,25.14,25.14,25.14,25.14,0
93,93.0,2015-02-17,25.17,25.17,25.17,25.17,0
94,94.0,2015-02-18,25.47,25.47,25.47,25.47,0
95,95.0,2015-02-19,25.83,25.83,25.83,25.83,0
96,96.0,2015-02-20,26.08,26.08,26.08,26.08,0
97,97.0,2015-02-23,26.12,26.12,26.12,26.12,0
98,98.0,2015-02-24,26.08,26.08,26.08,26.08,0
99,99.0,2015-02-25,26.16,26.16,26.16,26.16,0
100,100.0,2015-02-26,26.22,26.22,26.22,26.22,0
101,101.0,2015-02-27,26.52,26.52,26.52,26.52,0
102,102.0,2015-03-02,26.51,26.51,26.51,26.51,0
103,103.0,2015-03-03,26.8,26.8,26.8,26.8,0
104,104.0,2015-03-04,26.67,26.67,26.67,26.67,0
105,105.0,2015-03-05,26.58,26.58,26.58,26.58,0
106,106.0,2015-03-06,26.52,26.52,26.52,26.52,0
107,107.0,2015-03-09,26.5,26.5,26.5,26.5,0
108,108.0,2015-03-10,26.43,26.43,26.43,26.43,0
109,109.0,2015-03-11,26.49,26.49,26.49,26.49,0
110,110.0,2015-03-12,26.91,26.91,26.91,26.91,0
111,111.0,2015-03-13,27.14,27.14,27.14,27.14,0
112,112.0,2015-03-16,27.03,27.03,27.03,27.03,0
113,113.0,2015-03-17,27.36,27.36,27.36,27.36,0
114,114.0,2015-03-18,27.58,27.58,27.58,27.58,0
115,115.0,2015-03-19,27.49,27.49,27.49,27.49,0
116,116.0,2015-03-20,27.75,27.75,27.75,27.75,0
117,117.0,2015-03-23,27.99,27.99,27.99,27.99,0
118,118.0,2015-03-24,27.81,27.81,27.81,27.81,0
119,119.0,2015-03-25,27.93,27.93,27.93,27.93,0
120,120.0,2015-03-26,27.57,27.57,27.57,27.57,0
121,121.0,2015-03-27,27.7,27.7,27.7,27.7,0
122,122.0,2015-03-30,27.79,27.79,27.79,27.79,0
