,date,open,close,high,low,volumme
0,2014-09-17,309.09,309.09,309.09,309.09,0
1,2014-09-18,311.4,311.4,311.4,311.4,0
2,2014-09-19,312.39,312.39,312.39,312.39,0
3,2014-09-22,311.5,311.5,311.5,311.5,0
4,2014-09-23,308.32,308.32,308.32,308.32,0
5,2014-09-24,308.8,308.8,308.8,308.8,0
6,2014-09-25,306.97,306.97,306.97,306.97,0
7,2014-09-26,307.11,307.11,307.11,307.11,0
8,2014-09-29,306.46,306.46,306.46,306.46,0
9,2014-09-30,308.17,308.17,308.17,308.17,0
10,2014-10-01,305.95,305.95,305.95,305.95,0
11,2014-10-02,300.0,300.0,300.0,300.0,0
12,2014-10-03,303.03,303.03,303.03,303.03,0
13,2014-10-06,303.0,303.0,303.0,303.0,0
14,2014-10-07,298.72,298.72,298.72,298.72,0
15,2014-10-08,295.93,295.93,295.93,295.93,0
16,2014-10-09,294.25,294.25,294.25,294.25,0
17,2014-10-10,290.0,290.0,290.0,290.0,0
18,2014-10-13,288.66,288.66,288.66,288.66,0
19,2014-10-14,288.84,288.84,288.84,288.84,0
20,2014-10-15,282.1,282.1,282.1,282.1,0
21,2014-10-16,280.5,280.5,280.5,280.5,0
22,2014-10-17,288.95,288.95,288.95,288.95,0
23,2014-10-20,288.89,288.89,288.89,288.89,0
24,2014-10-21,294.69,294.69,294.69,294.69,0
25,2014-10-22,298.23,298.23,298.23,298.23,0
26,2014-10-23,300.11,300.11,300.11,300.11,0
27,2014-10-24,299.39,299.39,299.39,299.39,0
28,2014-10-27,297.95,297.95,297.95,297.95,0
29,2014-10-28,300.55,300.55,300.55,300.55,0
30,2014-10-29,301.29,301.29,301.29,301.29,0
31,2014-10-30,302.94,302.94,302.94,302.94,0
32,2014-10-31,306.9,306.9,306.9,306.9,0
33,2014-11-03,305.47,305.47,305.47,305.47,0
34,2014-11-04,304.49,304.49,304.49,304.49,0
35,2014-11-05,307.86,307.86,307.86,307.86,0
36,2014-11-06,307.54,307.54,307.54,307.54,0
37,2014-11-07,306.17,306.17,306.17,306.17,0
38,2014-11-10,308.94,308.94,308.94,308.94,0
39,2014-11-11,309.83,309.83,309.83,309.83,0
40,2014-11-12,308.01,308.01,308.01,308.01,0
41,2014-11-13,308.95,308.95,308.95,308.95,0
42,2014-11-14,308.37,308.37,308.37,308.37,0
43,2014-11-17,309.0,309.0,309.0,309.0,0
44,2014-11-18,311.06,311.06,311.06,311.06,0
45,2014-11-19,310.83,310.83,310.83,310.83,0
46,2014-11-20,310.79,310.79,310.79,310.79,0
47,2014-11-21,314.1,314.1,314.1,314.1,0
48,2014-11-24,315.41,315.41,315.41,315.41,0
49,2014-11-25,316.8,316.8,316.8,316.8,0
50,2014-11-26,315.93,315.93,315.93,315.93,0
51,2014-11-27,316.66,316.66,316.66,316.66,0
52,2014-11-28,315.93,315.93,315.93,315.93,0
53,2014-12-01,315.27,315.27,315.27,315.27,0
54,2014-12-02,316.44,316.44,316.44,316.44,0
55,2014-12-03,318.49,318.49,318.49,318.49,0
56,2014-12-04,316.97,316.97,316.97,316.97,0
57,2014-12-05,320.05,320.05,320.05,320.05,0
58,2014-12-08,319.24,319.24,319.24,319.24,0
59,2014-12-09,313.91,313.91,313.91,313.91,0
60,2014-12-10,314.1,314.1,314.1,314.1,0
61,2014-12-11,313.32,313.32,313.32,313.32,0
62,2014-12-12,307.27,307.27,307.27,307.27,0
63,2014-12-15,302.56,302.56,302.56,302.56,0
64,2014-12-16,304.07,304.07,304.07,304.07,0
65,2014-12-17,305.76,305.76,305.76,305.76,0
66,2014-12-18,312.68,312.68,312.68,312.68,0
67,2014-12-19,314.97,314.97,314.97,314.97,0
68,2014-12-22,317.45,317.45,317.45,317.45,0
69,2014-12-23,318.7,318.7,318.7,318.7,0
70,2014-12-29,318.13,318.13,318.13,318.13,0
71,2014-12-30,317.64,317.64,317.64,317.64,0
72,2014-12-31,318.83,318.83,318.83,318.83,0
73,2015-01-02,319.42,319.42,319.42,319.42,0
74,2015-01-05,317.48,317.48,317.48,317.48,0
75,2015-01-06,315.67,315.67,315.67,315.67,0
76,2015-01-07,315.49,315.49,315.49,315.49,0
77,2015-01-08,320.15,320.15,320.15,320.15,0
78,2015-01-09,319.06,319.06,319.06,319.06,0
79,2015-01-12,319.9,319.9,319.9,319.9,0
80,2015-01-13,322.57,322.57,322.57,322.57,0
81,2015-01-14,320.06,320.06,320.06,320.06,0
82,2015-01-15,323.85,323.85,323.85,323.85,0
83,2015-01-16,325.62,325.62,325.62,325.62,0
84,2015-01-19,326.17,326.17,326.17,326.17,0
85,2015-01-20,326.88,326.88,326.88,326.88,0
86,2015-01-21,327.39,327.39,327.39,327.39,0
87,2015-01-22,330.69,330.69,330.69,330.69,0
88,2015-01-23,334.58,334.58,334.58,334.58,0
89,2015-01-26,336.78,336.78,336.78,336.78,0
90,2015-01-27,334.3,334.3,334.3,334.3,0
91,2015-01-28,335.47,335.47,335.47,335.47,0
92,2015-01-29,335.24,335.24,335.24,335.24,0
93,2015-01-30,335.01,335.01,335.01,335.01,0
94,2015-02-02,334.51,334.51,334.51,334.51,0
95,2015-02-03,335.79,335.79,335.79,335.79,0
96,2015-02-04,336.47,336.47,336.47,336.47,0
97,2015-02-05,338.39,338.39,338.39,338.39,0
98,2015-02-06,338.83,338.83,338.83,338.83,0
99,2015-02-09,335.91,335.91,335.91,335.91,0
100,2015-02-10,338.99,338.99,338.99,338.99,0
101,2015-02-11,338.58,338.58,338.58,338.58,0
102,2015-02-12,340.94,340.94,340.94,340.94,0
103,2015-02-13,341.6,341.6,341.6,341.6,0
104,2015-02-16,341.34,341.34,341.34,341.34,0
105,2015-02-17,341.18,341.18,341.18,341.18,0
106,2015-02-18,344.18,344.18,344.18,344.18,0
107,2015-02-19,344.79,344.79,344.79,344.79,0
108,2015-02-20,345.44,345.44,345.44,345.44,0
109,2015-02-23,347.39,347.39,347.39,347.39,0
110,2015-02-24,348.34,348.34,348.34,348.34,0
111,2015-02-25,349.4,349.4,349.4,349.4,0
112,2015-02-26,351.9,351.9,351.9,351.9,0
113,2015-02-27,353.41,353.41,353.41,353.41,0
114,2015-03-02,353.56,353.56,353.56,353.56,0
115,2015-03-03,351.23,351.23,351.23,351.23,0
116,2015-03-04,352.08,352.08,352.08,352.08,0
117,2015-03-05,355.87,355.87,355.87,355.87,0
118,2015-03-06,355.66,355.66,355.66,355.66,0
119,2015-03-09,354.43,354.43,354.43,354.43,0
120,2015-03-10,353.27,353.27,353.27,353.27,0
121,2015-03-11,357.28,357.28,357.28,357.28,0
122,2015-03-12,358.52,358.52,358.52,358.52,0
123,2015-03-13,360.13,360.13,360.13,360.13,0
124,2015-03-16,362.62,362.62,362.62,362.62,0
125,2015-03-17,359.6,359.6,359.6,359.6,0
126,2015-03-18,359.69,359.69,359.69,359.69,0
127,2015-03-19,362.03,362.03,362.03,362.03,0
128,2015-03-20,363.25,363.25,363.25,363.25,0
129,2015-03-23,362.21,362.21,362.21,362.21,0
130,2015-03-24,364.58,364.58,364.58,364.58,0
131,2015-03-25,361.93,361.93,361.93,361.93,0
132,2015-03-26,358.84,358.84,358.84,358.84,0
133,2015-03-27,359.37,359.37,359.37,359.37,0
134,2015-03-30,363.22,363.22,363.22,363.22,0
135,2015-03-31,362.8,362.8,362.8,362.8,0
136,2015-04-01,363.47,363.47,363.47,363.47,0
137,2015-04-02,364.1,364.1,364.1,364.1,0
138,2015-04-07,367.35,367.35,367.35,367.35,0
