,date,open,close,high,low,volumme
0,2014-09-25,43.11,43.11,43.11,43.11,0
1,2014-09-26,43.22,43.22,43.22,43.22,0
2,2014-09-29,43.18,43.18,43.18,43.18,0
3,2014-09-30,43.52,43.52,43.52,43.52,0
4,2014-10-01,43.1,43.1,43.1,43.1,0
5,2014-10-02,42.3,42.3,42.3,42.3,0
6,2014-10-03,42.64,42.64,42.64,42.64,0
7,2014-10-06,42.71,42.71,42.71,42.71,0
8,2014-10-07,41.98,41.98,41.98,41.98,0
9,2014-10-08,41.64,41.64,41.64,41.64,0
10,2014-10-09,41.59,41.59,41.59,41.59,0
11,2014-10-10,41.0,41.0,41.0,41.0,0
12,2014-10-13,40.79,40.79,40.79,40.79,0
13,2014-10-14,40.8,40.8,40.8,40.8,0
14,2014-10-15,39.83,39.83,39.83,39.83,0
15,2014-10-16,39.94,39.94,39.94,39.94,0
16,2014-10-17,40.99,40.99,40.99,40.99,0
17,2014-10-20,40.78,40.78,40.78,40.78,0
18,2014-10-21,41.45,41.45,41.45,41.45,0
19,2014-10-22,41.94,41.94,41.94,41.94,0
20,2014-10-23,42.1,42.1,42.1,42.1,0
21,2014-10-24,41.86,41.86,41.86,41.86,0
22,2014-10-27,41.7,41.7,41.7,41.7,0
23,2014-10-28,41.91,41.91,41.91,41.91,0
24,2014-10-29,42.1,42.1,42.1,42.1,0
25,2014-10-30,42.43,42.43,42.43,42.43,0
26,2014-10-31,43.23,43.23,43.23,43.23,0
27,2014-11-03,43.02,43.02,43.02,43.02,0
28,2014-11-04,42.71,42.71,42.71,42.71,0
29,2014-11-05,43.33,43.33,43.33,43.33,0
30,2014-11-06,43.57,43.57,43.57,43.57,0
31,2014-11-07,43.3,43.3,43.3,43.3,0
32,2014-11-10,43.71,43.71,43.71,43.71,0
33,2014-11-11,43.94,43.94,43.94,43.94,0
34,2014-11-12,43.56,43.56,43.56,43.56,0
35,2014-11-13,43.7,43.7,43.7,43.7,0
36,2014-11-14,43.55,43.55,43.55,43.55,0
37,2014-11-17,43.78,43.78,43.78,43.78,0
38,2014-11-18,44.13,44.13,44.13,44.13,0
39,2014-11-19,44.14,44.14,44.14,44.14,0
40,2014-11-20,44.28,44.28,44.28,44.28,0
41,2014-11-21,45.1,45.1,45.1,45.1,0
42,2014-11-24,45.12,45.12,45.12,45.12,0
43,2014-11-25,45.23,45.23,45.23,45.23,0
44,2014-11-26,45.22,45.22,45.22,45.22,0
45,2014-11-27,45.52,45.52,45.52,45.52,0
