,date,open,close,high,low,volumme
0,2014-09-25,33.21,33.21,33.21,33.21,0
1,2014-09-26,32.65,32.65,32.65,32.65,0
2,2014-09-29,32.89,32.89,32.89,32.89,0
3,2014-09-30,32.78,32.78,32.78,32.78,0
4,2014-10-01,32.73,32.73,32.73,32.73,0
5,2014-10-02,32.27,32.27,32.27,32.27,0
6,2014-10-03,32.22,32.22,32.22,32.22,0
7,2014-10-06,32.58,32.58,32.58,32.58,0
8,2014-10-07,32.52,32.52,32.52,32.52,0
9,2014-10-08,31.94,31.94,31.94,31.94,0
10,2014-10-09,32.37,32.37,32.37,32.37,0
11,2014-10-10,31.59,31.59,31.59,31.59,0
12,2014-10-13,31.12,31.12,31.12,31.12,0
13,2014-10-14,30.59,30.59,30.59,30.59,0
14,2014-10-15,30.62,30.62,30.62,30.62,0
15,2014-10-16,29.98,29.98,29.98,29.98,0
16,2014-10-17,30.56,30.56,30.56,30.56,0
17,2014-10-20,30.68,30.68,30.68,30.68,0
18,2014-10-21,30.91,30.91,30.91,30.91,0
19,2014-10-22,31.59,31.59,31.59,31.59,0
20,2014-10-23,31.31,31.31,31.31,31.31,0
21,2014-10-24,31.66,31.66,31.66,31.66,0
22,2014-10-27,31.89,31.89,31.89,31.89,0
23,2014-10-28,31.75,31.75,31.75,31.75,0
24,2014-10-29,32.05,32.05,32.05,32.05,0
25,2014-10-30,32.05,32.05,32.05,32.05,0
26,2014-10-31,32.56,32.56,32.56,32.56,0
27,2014-11-03,32.6,32.6,32.6,32.6,0
28,2014-11-04,32.53,32.53,32.53,32.53,0
29,2014-11-05,32.3,32.3,32.3,32.3,0
30,2014-11-06,32.59,32.59,32.59,32.59,0
31,2014-11-07,32.81,32.81,32.81,32.81,0
32,2014-11-10,32.86,32.86,32.86,32.86,0
33,2014-11-11,32.89,32.89,32.89,32.89,0
34,2014-11-12,32.91,32.91,32.91,32.91,0
35,2014-11-13,32.89,32.89,32.89,32.89,0
36,2014-11-14,32.94,32.94,32.94,32.94,0
37,2014-11-17,33.04,33.04,33.04,33.04,0
38,2014-11-18,33.05,33.05,33.05,33.05,0
39,2014-11-19,33.17,33.17,33.17,33.17,0
40,2014-11-20,33.08,33.08,33.08,33.08,0
41,2014-11-21,33.19,33.19,33.19,33.19,0
