,date,open,close,high,low,volumme
0,2014-09-25,122.76,122.76,122.76,122.76,0
1,2014-09-26,122.17,122.17,122.17,122.17,0
2,2014-09-29,122.37,122.37,122.37,122.37,0
3,2014-09-30,122.07,122.07,122.07,122.07,0
4,2014-10-01,122.19,122.19,122.19,122.19,0
5,2014-10-02,121.28,121.28,121.28,121.28,0
6,2014-10-03,120.73,120.73,120.73,120.73,0
7,2014-10-06,120.97,120.97,120.97,120.97,0
8,2014-10-07,120.55,120.55,120.55,120.55,0
9,2014-10-08,119.96,119.96,119.96,119.96,0
10,2014-10-09,120.08,120.08,120.08,120.08,0
11,2014-10-10,119.25,119.25,119.25,119.25,0
12,2014-10-13,119.17,119.17,119.17,119.17,0
13,2014-10-14,118.78,118.78,118.78,118.78,0
14,2014-10-15,118.8,118.8,118.8,118.8,0
15,2014-10-16,117.81,117.81,117.81,117.81,0
16,2014-10-17,118.35,118.35,118.35,118.35,0
17,2014-10-20,118.78,118.78,118.78,118.78,0
18,2014-10-21,119.07,119.07,119.07,119.07,0
19,2014-10-22,119.7,119.7,119.7,119.7,0
20,2014-10-23,120.23,120.23,120.23,120.23,0
21,2014-10-24,120.53,120.53,120.53,120.53,0
22,2014-10-27,120.43,120.43,120.43,120.43,0
23,2014-10-28,120.85,120.85,120.85,120.85,0
24,2014-10-29,121.1,121.1,121.1,121.1,0
25,2014-10-30,121.04,121.04,121.04,121.04,0
26,2014-10-31,121.83,121.83,121.83,121.83,0
27,2014-11-03,122.13,122.13,122.13,122.13,0
28,2014-11-04,122.14,122.14,122.14,122.14,0
29,2014-11-05,122.12,122.12,122.12,122.12,0
30,2014-11-06,122.19,122.19,122.19,122.19,0
31,2014-11-07,122.57,122.57,122.57,122.57,0
32,2014-11-10,122.23,122.23,122.23,122.23,0
33,2014-11-12,122.52,122.52,122.52,122.52,0
34,2014-11-13,122.32,122.32,122.32,122.32,0
35,2014-11-14,122.2,122.2,122.2,122.2,0
36,2014-11-17,122.01,122.01,122.01,122.01,0
37,2014-11-18,122.34,122.34,122.34,122.34,0
38,2014-11-19,122.57,122.57,122.57,122.57,0
39,2014-11-20,122.47,122.47,122.47,122.47,0
40,2014-11-21,122.89,122.89,122.89,122.89,0
41,2014-11-24,123.56,123.56,123.56,123.56,0
42,2014-11-25,123.7,123.7,123.7,123.7,0
43,2014-11-26,123.77,123.77,123.77,123.77,0
44,2014-11-27,123.76,123.76,123.76,123.76,0
45,2014-11-28,123.72,123.72,123.72,123.72,0
46,2014-12-01,124.13,124.13,124.13,124.13,0
47,2014-12-02,124.36,124.36,124.36,124.36,0
48,2014-12-03,124.69,124.69,124.69,124.69,0
49,2014-12-04,124.99,124.99,124.99,124.99,0
50,2014-12-05,124.74,124.74,124.74,124.74,0
51,2014-12-08,125.0,125.0,125.0,125.0,0
52,2014-12-09,124.55,124.55,124.55,124.55,0
53,2014-12-10,124.19,124.19,124.19,124.19,0
54,2014-12-11,123.83,123.83,123.83,123.83,0
55,2014-12-12,123.23,123.23,123.23,123.23,0
56,2014-12-15,123.05,123.05,123.05,123.05,0
57,2014-12-16,121.96,121.96,121.96,121.96,0
58,2014-12-17,121.96,121.96,121.96,121.96,0
59,2014-12-18,122.88,122.88,122.88,122.88,0
60,2014-12-19,124.09,124.09,124.09,124.09,0
61,2014-12-22,124.32,124.32,124.32,124.32,0
62,2014-12-23,124.37,124.37,124.37,124.37,0
63,2014-12-29,124.56,124.56,124.56,124.56,0
64,2014-12-30,124.64,124.64,124.64,124.64,0
65,2014-12-31,124.53,124.53,124.53,124.53,0
66,2015-01-02,124.64,124.64,124.64,124.64,0
67,2015-01-05,124.89,124.89,124.89,124.89,0
68,2015-01-06,124.04,124.04,124.04,124.04,0
69,2015-01-07,124.05,124.05,124.05,124.05,0
70,2015-01-08,124.52,124.52,124.52,124.52,0
71,2015-01-09,124.9,124.9,124.9,124.9,0
72,2015-01-12,124.84,124.84,124.84,124.84,0
73,2015-01-13,125.05,125.05,125.05,125.05,0
74,2015-01-14,125.37,125.37,125.37,125.37,0
75,2015-01-15,124.98,124.98,124.98,124.98,0
76,2015-01-16,125.68,125.68,125.68,125.68,0
77,2015-01-19,126.5,126.5,126.5,126.5,0
78,2015-01-20,126.93,126.93,126.93,126.93,0
79,2015-01-21,127.19,127.19,127.19,127.19,0
80,2015-01-22,127.42,127.42,127.42,127.42,0
81,2015-01-23,129.39,129.39,129.39,129.39,0
82,2015-01-26,129.98,129.98,129.98,129.98,0
83,2015-01-27,130.1,130.1,130.1,130.1,0
84,2015-01-28,129.64,129.64,129.64,129.64,0
85,2015-01-29,129.78,129.78,129.78,129.78,0
86,2015-01-30,130.12,130.12,130.12,130.12,0
87,2015-02-02,129.65,129.65,129.65,129.65,0
88,2015-02-03,130.45,130.45,130.45,130.45,0
89,2015-02-04,130.25,130.25,130.25,130.25,0
90,2015-02-05,130.71,130.71,130.71,130.71,0
91,2015-02-06,130.65,130.65,130.65,130.65,0
92,2015-02-09,130.1,130.1,130.1,130.1,0
93,2015-02-10,130.5,130.5,130.5,130.5,0
94,2015-02-11,130.67,130.67,130.67,130.67,0
95,2015-02-12,130.97,130.97,130.97,130.97,0
96,2015-02-13,131.52,131.52,131.52,131.52,0
97,2015-02-16,131.45,131.45,131.45,131.45,0
98,2015-02-17,131.08,131.08,131.08,131.08,0
99,2015-02-18,131.62,131.62,131.62,131.62,0
100,2015-02-19,131.72,131.72,131.72,131.72,0
101,2015-02-20,131.66,131.66,131.66,131.66,0
102,2015-02-23,132.03,132.03,132.03,132.03,0
103,2015-02-24,132.57,132.57,132.57,132.57,0
104,2015-02-25,132.81,132.81,132.81,132.81,0
105,2015-02-26,132.94,132.94,132.94,132.94,0
106,2015-02-27,133.37,133.37,133.37,133.37,0
107,2015-03-02,133.78,133.78,133.78,133.78,0
108,2015-03-03,133.89,133.89,133.89,133.89,0
109,2015-03-04,133.08,133.08,133.08,133.08,0
110,2015-03-05,133.54,133.54,133.54,133.54,0
111,2015-03-06,134.12,134.12,134.12,134.12,0
112,2015-03-09,133.4,133.4,133.4,133.4,0
113,2015-03-10,133.9,133.9,133.9,133.9,0
114,2015-03-11,134.05,134.05,134.05,134.05,0
115,2015-03-12,134.56,134.56,134.56,134.56,0
116,2015-03-13,134.51,134.51,134.51,134.51,0
117,2015-03-16,135.28,135.28,135.28,135.28,0
118,2015-03-18,134.69,134.69,134.69,134.69,0
119,2015-03-19,135.19,135.19,135.19,135.19,0
120,2015-03-20,135.34,135.34,135.34,135.34,0
121,2015-03-23,135.01,135.01,135.01,135.01,0
122,2015-03-24,134.97,134.97,134.97,134.97,0
123,2015-03-25,135.06,135.06,135.06,135.06,0
124,2015-03-26,133.23,133.23,133.23,133.23,0
125,2015-03-27,133.97,133.97,133.97,133.97,0
126,2015-03-30,134.64,134.64,134.64,134.64,0
127,2015-03-31,135.06,135.06,135.06,135.06,0
128,2015-04-01,134.68,134.68,134.68,134.68,0
129,2015-04-02,134.53,134.53,134.53,134.53,0
130,2015-04-07,134.98,134.98,134.98,134.98,0
131,2015-04-08,135.43,135.43,135.43,135.43,0
132,2015-04-09,135.88,135.88,135.88,135.88,0
133,2015-04-10,136.76,136.76,136.76,136.76,0
134,2015-04-13,137.36,137.36,137.36,137.36,0
135,2015-04-14,137.41,137.41,137.41,137.41,0
136,2015-04-15,137.63,137.63,137.63,137.63,0
137,2015-04-16,137.25,137.25,137.25,137.25,0
138,2015-04-17,136.43,136.43,136.43,136.43,0
139,2015-04-20,136.13,136.13,136.13,136.13,0
140,2015-04-21,136.63,136.63,136.63,136.63,0
141,2015-04-22,136.11,136.11,136.11,136.11,0
142,2015-04-23,136.26,136.26,136.26,136.26,0
143,2015-04-24,136.04,136.04,136.04,136.04,0
144,2015-04-27,136.09,136.09,136.09,136.09,0
145,2015-04-28,136.66,136.66,136.66,136.66,0
146,2015-04-29,136.14,136.14,136.14,136.14,0
147,2015-04-30,134.32,134.32,134.32,134.32,0
148,2015-05-05,134.25,134.25,134.25,134.25,0
149,2015-05-06,132.59,132.59,132.59,132.59,0
150,2015-05-07,131.87,131.87,131.87,131.87,0
151,2015-05-11,134.57,134.57,134.57,134.57,0
152,2015-05-12,133.68,133.68,133.68,133.68,0
153,2015-05-13,134.46,134.46,134.46,134.46,0
154,2015-05-15,134.49,134.49,134.49,134.49,0
155,2015-05-18,134.31,134.31,134.31,134.31,0
156,2015-05-19,135.14,135.14,135.14,135.14,0
157,2015-05-20,135.27,135.27,135.27,135.27,0
158,2015-05-21,135.16,135.16,135.16,135.16,0
159,2015-05-22,135.11,135.11,135.11,135.11,0
160,2015-05-26,134.98,134.98,134.98,134.98,0
161,2015-05-27,134.71,134.71,134.71,134.71,0
162,2015-05-28,135.43,135.43,135.43,135.43,0
163,2015-05-29,134.93,134.93,134.93,134.93,0
164,2015-06-01,134.51,134.51,134.51,134.51,0
165,2015-06-02,133.76,133.76,133.76,133.76,0
166,2015-06-03,133.31,133.31,133.31,133.31,0
167,2015-06-04,132.05,132.05,132.05,132.05,0
168,2015-06-05,131.98,131.98,131.98,131.98,0
169,2015-06-08,131.68,131.68,131.68,131.68,0
170,2015-06-09,130.57,130.57,130.57,130.57,0
171,2015-06-10,130.83,130.83,130.83,130.83,0
172,2015-06-11,131.96,131.96,131.96,131.96,0
173,2015-06-12,132.23,132.23,132.23,132.23,0
174,2015-06-15,131.25,131.25,131.25,131.25,0
175,2015-06-16,130.32,130.32,130.32,130.32,0
176,2015-06-17,130.97,130.97,130.97,130.97,0
177,2015-06-19,131.12,131.12,131.12,131.12,0
178,2015-06-22,131.72,131.72,131.72,131.72,0
179,2015-06-24,133.01,133.01,133.01,133.01,0
180,2015-06-25,132.73,132.73,132.73,132.73,0
181,2015-06-26,132.44,132.44,132.44,132.44,0
182,2015-06-29,131.87,131.87,131.87,131.87,0
183,2015-06-30,131.08,131.08,131.08,131.08,0
184,2015-07-01,131.3,131.3,131.3,131.3,0
185,2015-07-02,131.67,131.67,131.67,131.67,0
186,2015-07-03,131.16,131.16,131.16,131.16,0
187,2015-07-06,130.91,130.91,130.91,130.91,0
188,2015-07-07,130.73,130.73,130.73,130.73,0
189,2015-07-08,129.84,129.84,129.84,129.84,0
190,2015-07-09,130.24,130.24,130.24,130.24,0
191,2015-07-10,131.58,131.58,131.58,131.58,0
192,2015-07-13,132.83,132.83,132.83,132.83,0
193,2015-07-15,133.31,133.31,133.31,133.31,0
194,2015-07-16,134.17,134.17,134.17,134.17,0
195,2015-07-17,134.34,134.34,134.34,134.34,0
196,2015-07-20,135.09,135.09,135.09,135.09,0
197,2015-07-21,134.97,134.97,134.97,134.97,0
198,2015-07-22,134.4,134.4,134.4,134.4,0
199,2015-07-23,134.18,134.18,134.18,134.18,0
200,2015-07-24,134.1,134.1,134.1,134.1,0
201,2015-07-27,133.11,133.11,133.11,133.11,0
