,date,open,close,high,low,volumme
0,2014-09-22,106.85,106.85,106.85,106.85,0
1,2014-09-23,106.91,106.91,106.91,106.91,0
2,2014-09-24,107.01,107.01,107.01,107.01,0
3,2014-09-25,106.86,106.86,106.86,106.86,0
4,2014-09-26,106.93,106.93,106.93,106.93,0
5,2014-09-29,106.52,106.52,106.52,106.52,0
6,2014-09-30,106.48,106.48,106.48,106.48,0
7,2014-10-08,107.02,107.02,107.02,107.02,0
8,2014-10-09,107.16,107.16,107.16,107.16,0
9,2014-10-10,107.06,107.06,107.06,107.06,0
10,2014-10-13,107.15,107.15,107.15,107.15,0
11,2014-10-14,107.14,107.14,107.14,107.14,0
12,2014-10-15,107.15,107.15,107.15,107.15,0
13,2014-10-16,107.17,107.17,107.17,107.17,0
14,2014-10-17,107.15,107.15,107.15,107.15,0
15,2014-10-20,107.24,107.24,107.24,107.24,0
16,2014-10-21,107.37,107.37,107.37,107.37,0
17,2014-10-22,107.42,107.42,107.42,107.42,0
18,2014-10-23,107.4,107.4,107.4,107.4,0
19,2014-10-24,107.4,107.4,107.4,107.4,0
20,2014-10-27,107.48,107.48,107.48,107.48,0
21,2014-10-28,107.58,107.58,107.58,107.58,0
22,2014-10-29,107.67,107.67,107.67,107.67,0
23,2014-10-30,107.53,107.53,107.53,107.53,0
24,2014-10-31,107.56,107.56,107.56,107.56,0
25,2014-11-03,107.48,107.48,107.48,107.48,0
26,2014-11-04,107.54,107.54,107.54,107.54,0
27,2014-11-05,107.61,107.61,107.61,107.61,0
28,2014-11-06,107.61,107.61,107.61,107.61,0
29,2014-11-07,107.26,107.26,107.26,107.26,0
30,2014-11-10,107.58,107.58,107.58,107.58,0
31,2014-11-11,107.41,107.41,107.41,107.41,0
32,2014-11-12,107.39,107.39,107.39,107.39,0
33,2014-11-13,107.49,107.49,107.49,107.49,0
34,2014-11-14,107.44,107.44,107.44,107.44,0
35,2014-11-17,107.56,107.56,107.56,107.56,0
36,2014-11-18,107.69,107.69,107.69,107.69,0
37,2014-11-19,107.6,107.6,107.6,107.6,0
38,2014-11-20,107.57,107.57,107.57,107.57,0
39,2014-11-21,107.55,107.55,107.55,107.55,0
40,2014-11-24,107.14,107.14,107.14,107.14,0
41,2014-11-25,107.17,107.17,107.17,107.17,0
42,2014-11-26,107.17,107.17,107.17,107.17,0
43,2014-11-27,107.25,107.25,107.25,107.25,0
44,2014-11-28,107.0,107.0,107.0,107.0,0
45,2014-12-01,107.06,107.06,107.06,107.06,0
46,2014-12-02,107.18,107.18,107.18,107.18,0
47,2014-12-03,107.27,107.27,107.27,107.27,0
48,2014-12-04,107.15,107.15,107.15,107.15,0
49,2014-12-05,107.22,107.22,107.22,107.22,0
50,2014-12-08,106.83,106.83,106.83,106.83,0
51,2014-12-09,106.49,106.49,106.49,106.49,0
52,2014-12-10,106.69,106.69,106.69,106.69,0
53,2014-12-11,106.48,106.48,106.48,106.48,0
54,2014-12-12,106.6,106.6,106.6,106.6,0
55,2014-12-15,106.51,106.51,106.51,106.51,0
56,2014-12-16,106.62,106.62,106.62,106.62,0
57,2014-12-17,106.5,106.5,106.5,106.5,0
58,2014-12-18,106.06,106.06,106.06,106.06,0
59,2014-12-19,106.08,106.08,106.08,106.08,0
60,2014-12-22,106.17,106.17,106.17,106.17,0
61,2014-12-23,106.01,106.01,106.01,106.01,0
62,2014-12-29,105.96,105.96,105.96,105.96,0
63,2014-12-30,106.2,106.2,106.2,106.2,0
64,2014-12-31,106.06,106.06,106.06,106.06,0
65,2015-01-05,106.11,106.11,106.11,106.11,0
66,2015-01-06,106.28,106.28,106.28,106.28,0
67,2015-01-07,106.34,106.34,106.34,106.34,0
68,2015-01-08,106.26,106.26,106.26,106.26,0
69,2015-01-09,106.4,106.4,106.4,106.4,0
70,2015-01-12,106.57,106.57,106.57,106.57,0
71,2015-01-13,106.64,106.64,106.64,106.64,0
72,2015-01-14,106.68,106.68,106.68,106.68,0
73,2015-01-15,106.8,106.8,106.8,106.8,0
74,2015-01-16,106.16,106.16,106.16,106.16,0
75,2015-01-19,106.27,106.27,106.27,106.27,0
76,2015-01-20,106.33,106.33,106.33,106.33,0
77,2015-01-21,106.38,106.38,106.38,106.38,0
78,2015-01-22,106.46,106.46,106.46,106.46,0
79,2015-01-23,105.83,105.83,105.83,105.83,0
80,2015-01-26,105.67,105.67,105.67,105.67,0
81,2015-01-27,105.9,105.9,105.9,105.9,0
82,2015-01-28,105.77,105.77,105.77,105.77,0
83,2015-01-29,105.67,105.67,105.67,105.67,0
84,2015-01-30,105.3,105.3,105.3,105.3,0
85,2015-02-02,105.44,105.44,105.44,105.44,0
86,2015-02-03,105.54,105.54,105.54,105.54,0
87,2015-02-04,105.86,105.86,105.86,105.86,0
88,2015-02-05,105.86,105.86,105.86,105.86,0
89,2015-02-06,106.04,106.04,106.04,106.04,0
90,2015-02-09,105.99,105.99,105.99,105.99,0
91,2015-02-10,105.99,105.99,105.99,105.99,0
92,2015-02-11,106.08,106.08,106.08,106.08,0
93,2015-02-12,106.06,106.06,106.06,106.06,0
94,2015-02-13,106.1,106.1,106.1,106.1,0
95,2015-02-16,105.69,105.69,105.69,105.69,0
96,2015-02-17,105.52,105.52,105.52,105.52,0
97,2015-02-25,105.76,105.76,105.76,105.76,0
98,2015-02-26,105.83,105.83,105.83,105.83,0
99,2015-02-27,105.42,105.42,105.42,105.42,0
100,2015-03-02,105.56,105.56,105.56,105.56,0
101,2015-03-03,105.54,105.54,105.54,105.54,0
102,2015-03-04,105.61,105.61,105.61,105.61,0
103,2015-03-05,105.69,105.69,105.69,105.69,0
104,2015-03-06,105.74,105.74,105.74,105.74,0
105,2015-03-09,105.72,105.72,105.72,105.72,0
106,2015-03-10,105.77,105.77,105.77,105.77,0
107,2015-03-11,105.71,105.71,105.71,105.71,0
108,2015-03-12,105.79,105.79,105.79,105.79,0
109,2015-03-13,105.64,105.64,105.64,105.64,0
110,2015-03-16,105.8,105.8,105.8,105.8,0
111,2015-03-17,106.3,106.3,106.3,106.3,0
112,2015-03-18,106.53,106.53,106.53,106.53,0
113,2015-03-19,106.98,106.98,106.98,106.98,0
114,2015-03-20,106.93,106.93,106.93,106.93,0
115,2015-03-23,107.05,107.05,107.05,107.05,0
116,2015-03-24,107.13,107.13,107.13,107.13,0
117,2015-03-25,107.01,107.01,107.01,107.01,0
118,2015-03-26,107.07,107.07,107.07,107.07,0
119,2015-03-27,106.91,106.91,106.91,106.91,0
120,2015-03-30,107.15,107.15,107.15,107.15,0
121,2015-03-31,107.24,107.24,107.24,107.24,0
122,2015-04-01,107.21,107.21,107.21,107.21,0
123,2015-04-02,107.3,107.3,107.3,107.3,0
124,2015-04-08,107.28,107.28,107.28,107.28,0
125,2015-04-09,107.14,107.14,107.14,107.14,0
126,2015-04-10,107.09,107.09,107.09,107.09,0
127,2015-04-13,106.95,106.95,106.95,106.95,0
128,2015-04-14,107.14,107.14,107.14,107.14,0
129,2015-04-15,107.32,107.32,107.32,107.32,0
130,2015-04-16,107.55,107.55,107.55,107.55,0
131,2015-04-17,107.63,107.63,107.63,107.63,0
132,2015-04-20,107.5,107.5,107.5,107.5,0
133,2015-04-21,107.56,107.56,107.56,107.56,0
134,2015-04-22,107.64,107.64,107.64,107.64,0
135,2015-04-23,107.59,107.59,107.59,107.59,0
136,2015-04-24,107.64,107.64,107.64,107.64,0
137,2015-04-27,107.18,107.18,107.18,107.18,0
138,2015-04-28,107.44,107.44,107.44,107.44,0
139,2015-04-29,107.53,107.53,107.53,107.53,0
140,2015-04-30,107.43,107.43,107.43,107.43,0
141,2015-05-04,107.36,107.36,107.36,107.36,0
142,2015-05-05,107.49,107.49,107.49,107.49,0
143,2015-05-06,107.57,107.57,107.57,107.57,0
144,2015-05-07,107.43,107.43,107.43,107.43,0
145,2015-05-08,107.43,107.43,107.43,107.43,0
146,2015-05-11,107.45,107.45,107.45,107.45,0
147,2015-05-12,107.51,107.51,107.51,107.51,0
148,2015-05-13,107.61,107.61,107.61,107.61,0
149,2015-05-15,107.55,107.55,107.55,107.55,0
150,2015-05-18,107.61,107.61,107.61,107.61,0
151,2015-05-19,107.58,107.58,107.58,107.58,0
152,2015-05-20,107.6,107.6,107.6,107.6,0
153,2015-05-21,107.71,107.71,107.71,107.71,0
154,2015-05-22,107.73,107.73,107.73,107.73,0
155,2015-05-26,107.64,107.64,107.64,107.64,0
156,2015-05-27,107.7,107.7,107.7,107.7,0
157,2015-05-28,107.7,107.7,107.7,107.7,0
158,2015-05-29,107.7,107.7,107.7,107.7,0
159,2015-06-01,107.72,107.72,107.72,107.72,0
160,2015-06-02,107.76,107.76,107.76,107.76,0
161,2015-06-03,107.78,107.78,107.78,107.78,0
162,2015-06-04,107.72,107.72,107.72,107.72,0
163,2015-06-05,107.62,107.62,107.62,107.62,0
164,2015-06-08,107.57,107.57,107.57,107.57,0
165,2015-06-09,107.58,107.58,107.58,107.58,0
166,2015-06-10,107.64,107.64,107.64,107.64,0
167,2015-06-11,107.62,107.62,107.62,107.62,0
168,2015-06-12,107.59,107.59,107.59,107.59,0
169,2015-06-15,107.62,107.62,107.62,107.62,0
170,2015-06-16,107.66,107.66,107.66,107.66,0
171,2015-06-17,107.68,107.68,107.68,107.68,0
172,2015-06-19,107.71,107.71,107.71,107.71,0
173,2015-06-24,107.83,107.83,107.83,107.83,0
174,2015-06-25,107.76,107.76,107.76,107.76,0
175,2015-06-26,107.74,107.74,107.74,107.74,0
176,2015-06-29,107.77,107.77,107.77,107.77,0
177,2015-06-30,107.81,107.81,107.81,107.81,0
178,2015-07-02,107.87,107.87,107.87,107.87,0
179,2015-07-03,107.82,107.82,107.82,107.82,0
180,2015-07-06,107.74,107.74,107.74,107.74,0
181,2015-07-07,107.58,107.58,107.58,107.58,0
182,2015-07-08,107.67,107.67,107.67,107.67,0
183,2015-07-09,107.68,107.68,107.68,107.68,0
184,2015-07-10,107.69,107.69,107.69,107.69,0
185,2015-07-13,107.71,107.71,107.71,107.71,0
186,2015-07-14,107.75,107.75,107.75,107.75,0
187,2015-07-15,107.78,107.78,107.78,107.78,0
188,2015-07-16,107.77,107.77,107.77,107.77,0
189,2015-07-17,107.78,107.78,107.78,107.78,0
190,2015-07-20,107.8,107.8,107.8,107.8,0
191,2015-07-21,107.86,107.86,107.86,107.86,0
192,2015-07-22,107.84,107.84,107.84,107.84,0
193,2015-07-23,107.8,107.8,107.8,107.8,0
194,2015-07-24,107.67,107.67,107.67,107.67,0
195,2015-07-27,107.68,107.68,107.68,107.68,0
196,2015-07-28,107.75,107.75,107.75,107.75,0
197,2015-07-29,107.76,107.76,107.76,107.76,0
198,2015-07-30,107.74,107.74,107.74,107.74,0
199,2015-07-31,107.68,107.68,107.68,107.68,0
200,2015-08-03,107.78,107.78,107.78,107.78,0
201,2015-08-04,107.82,107.82,107.82,107.82,0
202,2015-08-05,107.79,107.79,107.79,107.79,0
203,2015-08-06,107.79,107.79,107.79,107.79,0
204,2015-08-07,107.81,107.81,107.81,107.81,0
205,2015-08-10,107.86,107.86,107.86,107.86,0
206,2015-08-11,105.07,105.07,105.07,105.07,0
207,2015-08-12,102.66,102.66,102.66,102.66,0
208,2015-08-13,104.04,104.04,104.04,104.04,0
209,2015-08-14,104.23,104.23,104.23,104.23,0
210,2015-08-17,104.17,104.17,104.17,104.17,0
211,2015-08-18,104.26,104.26,104.26,104.26,0
212,2015-08-19,104.31,104.31,104.31,104.31,0
213,2015-08-20,104.16,104.16,104.16,104.16,0
214,2015-08-21,104.15,104.15,104.15,104.15,0
215,2015-08-24,103.36,103.36,103.36,103.36,0
216,2015-08-25,103.84,103.84,103.84,103.84,0
217,2015-08-26,103.57,103.57,103.57,103.57,0
218,2015-08-27,103.71,103.71,103.71,103.71,0
219,2015-08-28,104.01,104.01,104.01,104.01,0
220,2015-08-31,104.27,104.27,104.27,104.27,0
221,2015-09-01,104.7,104.7,104.7,104.7,0
222,2015-09-02,104.14,104.14,104.14,104.14,0
223,2015-09-07,103.75,103.75,103.75,103.75,0
224,2015-09-08,103.99,103.99,103.99,103.99,0
225,2015-09-09,103.97,103.97,103.97,103.97,0
226,2015-09-10,104.88,104.88,104.88,104.88,0
227,2015-09-11,104.82,104.82,104.82,104.82,0
228,2015-09-14,104.98,104.98,104.98,104.98,0
229,2015-09-15,105.09,105.09,105.09,105.09,0
230,2015-09-16,105.03,105.03,105.03,105.03,0
231,2015-09-17,104.96,104.96,104.96,104.96,0
232,2015-09-18,105.21,105.21,105.21,105.21,0
233,2015-09-21,105.04,105.04,105.04,105.04,0
234,2015-09-22,105.02,105.02,105.02,105.02,0
235,2015-09-23,104.66,104.66,104.66,104.66,0
236,2015-09-24,104.72,104.72,104.72,104.72,0
237,2015-09-25,105.19,105.19,105.19,105.19,0
238,2015-09-29,105.72,105.72,105.72,105.72,0
239,2015-09-30,106.03,106.03,106.03,106.03,0
240,2015-10-08,106.01,106.01,106.01,106.01,0
241,2015-10-09,106.18,106.18,106.18,106.18,0
242,2015-10-12,106.57,106.57,106.57,106.57,0
243,2015-10-13,106.24,106.24,106.24,106.24,0
244,2015-10-14,106.09,106.09,106.09,106.09,0
245,2015-10-15,106.17,106.17,106.17,106.17,0
246,2015-10-16,105.91,105.91,105.91,105.91,0
247,2015-10-19,105.77,105.77,105.77,105.77,0
248,2015-10-20,105.81,105.81,105.81,105.81,0
249,2015-10-22,105.52,105.52,105.52,105.52,0
250,2015-10-23,105.59,105.59,105.59,105.59,0
251,2015-10-26,105.56,105.56,105.56,105.56,0
252,2015-10-27,105.51,105.51,105.51,105.51,0
253,2015-10-28,105.33,105.33,105.33,105.33,0
254,2015-10-29,106.02,106.02,106.02,106.02,0
255,2015-10-30,106.57,106.57,106.57,106.57,0
256,2015-11-02,106.28,106.28,106.28,106.28,0
257,2015-11-03,106.23,106.23,106.23,106.23,0
258,2015-11-04,106.24,106.24,106.24,106.24,0
259,2015-11-05,105.94,105.94,105.94,105.94,0
260,2015-11-06,105.84,105.84,105.84,105.84,0
261,2015-11-09,105.58,105.58,105.58,105.58,0
262,2015-11-10,105.63,105.63,105.63,105.63,0
263,2015-11-11,105.6,105.6,105.6,105.6,0
264,2015-11-12,105.57,105.57,105.57,105.57,0
265,2015-11-13,105.3,105.3,105.3,105.3,0
266,2015-11-16,105.54,105.54,105.54,105.54,0
267,2015-11-17,105.51,105.51,105.51,105.51,0
268,2015-11-18,105.22,105.22,105.22,105.22,0
269,2015-11-19,105.32,105.32,105.32,105.32,0
270,2015-11-20,105.29,105.29,105.29,105.29,0
271,2015-11-23,105.09,105.09,105.09,105.09,0
272,2015-11-24,105.04,105.04,105.04,105.04,0
273,2015-11-25,105.18,105.18,105.18,105.18,0
274,2015-11-26,104.99,104.99,104.99,104.99,0
275,2015-11-27,104.67,104.67,104.67,104.67,0
276,2015-11-30,105.13,105.13,105.13,105.13,0
277,2015-12-01,104.8,104.8,104.8,104.8,0
278,2015-12-02,104.87,104.87,104.87,104.87,0
279,2015-12-03,104.77,104.77,104.77,104.77,0
280,2015-12-04,104.81,104.81,104.81,104.81,0
281,2015-12-07,104.4,104.4,104.4,104.4,0
282,2015-12-08,104.08,104.08,104.08,104.08,0
283,2015-12-09,103.8,103.8,103.8,103.8,0
284,2015-12-10,103.48,103.48,103.48,103.48,0
285,2015-12-11,103.44,103.44,103.44,103.44,0
286,2015-12-14,103.09,103.09,103.09,103.09,0
287,2015-12-15,103.41,103.41,103.41,103.41,0
288,2015-12-16,103.4,103.4,103.4,103.4,0
289,2015-12-17,103.15,103.15,103.15,103.15,0
290,2015-12-18,102.96,102.96,102.96,102.96,0
291,2015-12-21,103.17,103.17,103.17,103.17,0
