,date,open,close,high,low,volumme
0,2014-09-25,700.7,700.7,700.7,700.7,0
1,2014-09-26,695.03,695.03,695.03,695.03,0
2,2014-09-29,697.88,697.88,697.88,697.88,0
3,2014-09-30,688.36,688.36,688.36,688.36,0
4,2014-10-01,691.41,691.41,691.41,691.41,0
5,2014-10-02,684.4,684.4,684.4,684.4,0
6,2014-10-03,670.26,670.26,670.26,670.26,0
7,2014-10-06,681.03,681.03,681.03,681.03,0
8,2014-10-07,687.48,687.48,687.48,687.48,0
9,2014-10-08,686.95,686.95,686.95,686.95,0
10,2014-10-09,695.95,695.95,695.95,695.95,0
11,2014-10-10,689.43,689.43,689.43,689.43,0
12,2014-10-13,691.5,691.5,691.5,691.5,0
13,2014-10-14,695.79,695.79,695.79,695.79,0
14,2014-10-15,691.49,691.49,691.49,691.49,0
15,2014-10-16,686.0,686.0,686.0,686.0,0
16,2014-10-17,687.81,687.81,687.81,687.81,0
17,2014-10-20,690.8,690.8,690.8,690.8,0
18,2014-10-21,698.22,698.22,698.22,698.22,0
19,2014-10-22,693.01,693.01,693.01,693.01,0
20,2014-10-23,687.65,687.65,687.65,687.65,0
21,2014-10-24,688.19,688.19,688.19,688.19,0
22,2014-10-27,688.96,688.96,688.96,688.96,0
23,2014-10-28,691.98,691.98,691.98,691.98,0
24,2014-10-29,692.99,692.99,692.99,692.99,0
25,2014-10-30,673.84,673.84,673.84,673.84,0
26,2014-10-31,666.24,666.24,666.24,666.24,0
27,2014-11-03,669.69,669.69,669.69,669.69,0
28,2014-11-04,662.67,662.67,662.67,662.67,0
29,2014-11-05,646.13,646.13,646.13,646.13,0
30,2014-11-06,642.72,642.72,642.72,642.72,0
31,2014-11-07,656.33,656.33,656.33,656.33,0
32,2014-11-10,652.06,652.06,652.06,652.06,0
33,2014-11-12,652.51,652.51,652.51,652.51,0
34,2014-11-13,651.79,651.79,651.79,651.79,0
35,2014-11-14,664.41,664.41,664.41,664.41,0
36,2014-11-17,659.91,659.91,659.91,659.91,0
37,2014-11-18,665.4,665.4,665.4,665.4,0
38,2014-11-19,663.95,663.95,663.95,663.95,0
39,2014-11-20,662.18,662.18,662.18,662.18,0
40,2014-11-21,673.55,673.55,673.55,673.55,0
41,2014-11-24,669.75,669.75,669.75,669.75,0
42,2014-11-25,674.35,674.35,674.35,674.35,0
43,2014-11-26,675.66,675.66,675.66,675.66,0
44,2014-11-28,661.85,661.85,661.85,661.85,0
45,2014-12-01,683.37,683.37,683.37,683.37,0
46,2014-12-02,673.81,673.81,673.81,673.81,0
47,2014-12-03,675.38,675.38,675.38,675.38,0
48,2014-12-04,679.47,679.47,679.47,679.47,0
49,2014-12-05,670.08,670.08,670.08,670.08,0
50,2014-12-08,671.35,671.35,671.35,671.35,0
51,2014-12-09,690.5,690.5,690.5,690.5,0
52,2014-12-10,691.62,691.62,691.62,691.62,0
53,2014-12-11,689.79,689.79,689.79,689.79,0
54,2014-12-12,686.91,686.91,686.91,686.91,0
55,2014-12-15,675.14,675.14,675.14,675.14,0
56,2014-12-16,660.13,660.13,660.13,660.13,0
57,2014-12-17,661.18,661.18,661.18,661.18,0
58,2014-12-18,663.26,663.26,663.26,663.26,0
59,2014-12-19,666.58,666.58,666.58,666.58,0
60,2014-12-22,660.1,660.1,660.1,660.1,0
61,2014-12-23,661.37,661.37,661.37,661.37,0
62,2014-12-24,658.78,658.78,658.78,658.78,0
63,2014-12-29,662.92,662.92,662.92,662.92,0
64,2014-12-30,671.69,671.69,671.69,671.69,0
65,2014-12-31,660.21,660.21,660.21,660.21,0
66,2015-01-02,660.81,660.81,660.81,660.81,0
67,2015-01-05,668.82,668.82,668.82,668.82,0
68,2015-01-06,678.07,678.07,678.07,678.07,0
69,2015-01-07,673.96,673.96,673.96,673.96,0
70,2015-01-08,672.47,672.47,672.47,672.47,0
71,2015-01-09,676.36,676.36,676.36,676.36,0
72,2015-01-12,684.66,684.66,684.66,684.66,0
73,2015-01-13,691.18,691.18,691.18,691.18,0
74,2015-01-14,682.47,682.47,682.47,682.47,0
75,2015-01-15,689.82,689.82,689.82,689.82,0
76,2015-01-16,696.25,696.25,696.25,696.25,0
77,2015-01-20,707.92,707.92,707.92,707.92,0
78,2015-01-21,706.56,706.56,706.56,706.56,0
79,2015-01-22,711.09,711.09,711.09,711.09,0
80,2015-01-23,707.38,707.38,707.38,707.38,0
81,2015-01-26,701.95,701.95,701.95,701.95,0
82,2015-01-27,706.08,706.08,706.08,706.08,0
83,2015-01-28,707.21,707.21,707.21,707.21,0
84,2015-01-29,680.57,680.57,680.57,680.57,0
85,2015-01-30,691.52,691.52,691.52,691.52,0
86,2015-02-02,693.1,693.1,693.1,693.1,0
87,2015-02-03,690.81,690.81,690.81,690.81,0
88,2015-02-04,693.44,693.44,693.44,693.44,0
89,2015-02-05,693.68,693.68,693.68,693.68,0
90,2015-02-06,677.7,677.7,677.7,677.7,0
91,2015-02-09,681.75,681.75,681.75,681.75,0
92,2015-02-10,674.1,674.1,674.1,674.1,0
93,2015-02-11,669.38,669.38,669.38,669.38,0
94,2015-02-12,671.7,671.7,671.7,671.7,0
95,2015-02-13,681.71,681.71,681.71,681.71,0
96,2015-02-17,664.62,664.62,664.62,664.62,0
97,2015-02-18,659.62,659.62,659.62,659.62,0
98,2015-02-19,664.52,664.52,664.52,664.52,0
99,2015-02-20,661.34,661.34,661.34,661.34,0
100,2015-02-23,660.64,660.64,660.64,660.64,0
101,2015-02-24,659.99,659.99,659.99,659.99,0
102,2015-02-25,666.71,666.71,666.71,666.71,0
103,2015-02-26,670.6,670.6,670.6,670.6,0
104,2015-02-27,673.46,673.46,673.46,673.46,0
105,2015-03-02,673.94,673.94,673.94,673.94,0
