,date,open,close,high,low,volumme
0,2014-09-17,13.52,13.52,13.52,13.52,0
1,2014-09-18,13.7,13.7,13.7,13.7,0
2,2014-09-19,13.74,13.74,13.74,13.74,0
3,2014-09-22,13.64,13.64,13.64,13.64,0
4,2014-09-23,13.45,13.45,13.45,13.45,0
5,2014-09-24,13.57,13.57,13.57,13.57,0
6,2014-09-25,13.45,13.45,13.45,13.45,0
7,2014-09-26,13.49,13.49,13.49,13.49,0
8,2014-09-29,13.47,13.47,13.47,13.47,0
9,2014-09-30,13.53,13.53,13.53,13.53,0
10,2014-10-01,13.41,13.41,13.41,13.41,0
11,2014-10-02,13.1,13.1,13.1,13.1,0
12,2014-10-03,13.25,13.25,13.25,13.25,0
13,2014-10-06,13.28,13.28,13.28,13.28,0
14,2014-10-07,13.04,13.04,13.04,13.04,0
15,2014-10-08,12.93,12.93,12.93,12.93,0
16,2014-10-09,12.88,12.88,12.88,12.88,0
17,2014-10-10,12.67,12.67,12.67,12.67,0
18,2014-10-13,12.67,12.67,12.67,12.67,0
19,2014-10-14,12.68,12.68,12.68,12.68,0
20,2014-10-15,12.33,12.33,12.33,12.33,0
21,2014-10-16,12.31,12.31,12.31,12.31,0
22,2014-10-17,12.67,12.67,12.67,12.67,0
23,2014-10-20,12.62,12.62,12.62,12.62,0
24,2014-10-21,12.91,12.91,12.91,12.91,0
25,2014-10-22,13.02,13.02,13.02,13.02,0
26,2014-10-23,13.09,13.09,13.09,13.09,0
27,2014-10-24,13.03,13.03,13.03,13.03,0
28,2014-10-27,12.99,12.99,12.99,12.99,0
29,2014-10-28,13.11,13.11,13.11,13.11,0
30,2014-10-29,13.14,13.14,13.14,13.14,0
31,2014-10-30,13.27,13.27,13.27,13.27,0
32,2014-10-31,13.47,13.47,13.47,13.47,0
33,2014-11-03,13.42,13.42,13.42,13.42,0
34,2014-11-04,13.31,13.31,13.31,13.31,0
35,2014-11-05,13.54,13.54,13.54,13.54,0
36,2014-11-06,13.56,13.56,13.56,13.56,0
37,2014-11-07,13.48,13.48,13.48,13.48,0
38,2014-11-10,13.58,13.58,13.58,13.58,0
39,2014-11-11,13.62,13.62,13.62,13.62,0
40,2014-11-12,13.48,13.48,13.48,13.48,0
41,2014-11-13,13.54,13.54,13.54,13.54,0
42,2014-11-14,13.52,13.52,13.52,13.52,0
43,2014-11-17,13.57,13.57,13.57,13.57,0
44,2014-11-18,13.62,13.62,13.62,13.62,0
45,2014-11-19,13.65,13.65,13.65,13.65,0
46,2014-11-20,13.67,13.67,13.67,13.67,0
47,2014-11-21,13.92,13.92,13.92,13.92,0
