,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2014-09-22,91.25,91.25,91.25,91.25,0
1,1.0,2014-09-23,91.69,91.69,91.69,91.69,0
2,2.0,2014-09-24,90.05,90.05,90.05,90.05,0
3,3.0,2014-09-25,90.97,90.97,90.97,90.97,0
4,4.0,2014-09-26,89.91,89.91,89.91,89.91,0
5,5.0,2014-09-29,85.97,85.97,85.97,85.97,0
6,6.0,2014-09-30,84.82,84.82,84.82,84.82,0
7,7.0,2014-10-01,83.87,83.87,83.87,83.87,0
8,8.0,2014-10-02,82.57,82.57,82.57,82.57,0
9,9.0,2014-10-03,83.54,83.54,83.54,83.54,0
10,10.0,2014-10-07,91.89,91.89,91.89,91.89,0
11,11.0,2014-10-08,91.75,91.75,91.75,91.75,0
12,12.0,2014-10-09,92.05,92.05,92.05,92.05,0
13,13.0,2014-10-10,90.31,90.31,90.31,90.31,0
14,14.0,2014-10-13,91.49,91.49,91.49,91.49,0
15,15.0,2014-10-14,91.46,91.46,91.46,91.46,0
16,16.0,2014-10-15,87.83,87.83,87.83,87.83,0
17,17.0,2014-10-16,84.6,84.6,84.6,84.6,0
18,18.0,2014-10-17,85.62,85.62,85.62,85.62,0
19,19.0,2014-10-20,85.15,85.15,85.15,85.15,0
20,20.0,2014-10-21,80.92,80.92,80.92,80.92,0
21,21.0,2014-10-22,81.59,81.59,81.59,81.59,0
22,22.0,2014-10-23,78.24,78.24,78.24,78.24,0
23,23.0,2014-10-24,78.92,78.92,78.92,78.92,0
24,24.0,2014-10-27,74.09,74.09,74.09,74.09,0
25,25.0,2014-10-28,78.81,78.81,78.81,78.81,0
26,26.0,2014-10-29,80.24,80.24,80.24,80.24,0
27,27.0,2014-10-30,83.35,83.35,83.35,83.35,0
28,28.0,2014-10-31,84.31,84.31,84.31,84.31,0
29,29.0,2014-11-03,82.75,82.75,82.75,82.75,0
30,30.0,2014-11-04,81.99,81.99,81.99,81.99,0
31,31.0,2014-11-05,81.94,81.94,81.94,81.94,0
32,32.0,2014-11-06,80.1,80.1,80.1,80.1,0
33,33.0,2014-11-07,80.19,80.19,80.19,80.19,0
34,34.0,2014-11-10,81.58,81.58,81.58,81.58,0
35,35.0,2014-11-11,79.44,79.44,79.44,79.44,0
36,36.0,2014-11-12,81.29,81.29,81.29,81.29,0
37,37.0,2014-11-13,79.76,79.76,79.76,79.76,0
38,38.0,2014-11-14,76.65,76.65,76.65,76.65,0
39,39.0,2014-11-17,77.65,77.65,77.65,77.65,0
40,40.0,2014-11-18,76.82,76.82,76.82,76.82,0
41,41.0,2014-11-19,79.43,79.43,79.43,79.43,0
42,42.0,2014-11-21,83.87,83.87,83.87,83.87,0
43,43.0,2014-11-24,85.1,85.1,85.1,85.1,0
44,44.0,2014-11-25,85.72,85.72,85.72,85.72,0
45,45.0,2014-11-26,85.4,85.4,85.4,85.4,0
46,46.0,2014-11-27,86.16,86.16,86.16,86.16,0
47,47.0,2014-11-28,83.46,83.46,83.46,83.46,0
48,48.0,2014-12-01,80.38,80.38,80.38,80.38,0
49,49.0,2014-12-02,80.29,80.29,80.29,80.29,0
50,50.0,2014-12-03,81.47,81.47,81.47,81.47,0
51,51.0,2014-12-04,78.92,78.92,78.92,78.92,0
52,52.0,2014-12-05,79.06,79.06,79.06,79.06,0
53,53.0,2014-12-08,79.07,79.07,79.07,79.07,0
54,54.0,2014-12-09,76.08,76.08,76.08,76.08,0
55,55.0,2014-12-10,75.76,75.76,75.76,75.76,0
56,56.0,2014-12-11,74.11,74.11,74.11,74.11,0
57,57.0,2014-12-12,72.38,72.38,72.38,72.38,0
58,58.0,2014-12-15,70.37,70.37,70.37,70.37,0
59,59.0,2014-12-16,67.11,67.11,67.11,67.11,0
60,60.0,2014-12-17,70.72,70.72,70.72,70.72,0
61,61.0,2014-12-18,73.53,73.53,73.53,73.53,0
62,62.0,2014-12-19,73.79,73.79,73.79,73.79,0
63,63.0,2014-12-22,73.99,73.99,73.99,73.99,0
64,64.0,2014-12-23,74.2,74.2,74.2,74.2,0
65,65.0,2014-12-29,74.96,74.96,74.96,74.96,0
66,66.0,2014-12-30,75.75,75.75,75.75,75.75,0
67,67.0,2015-01-02,73.54,73.54,73.54,73.54,0
68,68.0,2015-01-05,71.71,71.71,71.71,71.71,0
69,69.0,2015-01-06,72.64,72.64,72.64,72.64,0
70,70.0,2015-01-07,75.4,75.4,75.4,75.4,0
71,71.0,2015-01-08,76.12,76.12,76.12,76.12,0
72,72.0,2015-01-09,75.68,75.68,75.68,75.68,0
73,73.0,2015-01-12,73.82,73.82,73.82,73.82,0
74,74.0,2015-01-13,75.84,75.84,75.84,75.84,0
75,75.0,2015-01-14,75.72,75.72,75.72,75.72,0
76,76.0,2015-01-15,76.93,76.93,76.93,76.93,0
77,77.0,2015-01-16,78.13,78.13,78.13,78.13,0
78,78.0,2015-01-19,77.63,77.63,77.63,77.63,0
79,79.0,2015-01-20,77.31,77.31,77.31,77.31,0
80,80.0,2015-01-21,77.86,77.86,77.86,77.86,0
81,81.0,2015-01-22,82.02,82.02,82.02,82.02,0
82,82.0,2015-01-23,82.02,82.02,82.02,82.02,0
83,83.0,2015-01-26,80.95,80.95,80.95,80.95,0
84,84.0,2015-01-27,79.26,79.26,79.26,79.26,0
85,85.0,2015-01-28,79.21,79.21,79.21,79.21,0
86,86.0,2015-01-29,78.76,78.76,78.76,78.76,0
87,87.0,2015-01-30,75.81,75.81,75.81,75.81,0
88,88.0,2015-02-02,74.9,74.9,74.9,74.9,0
89,89.0,2015-02-03,75.75,75.75,75.75,75.75,0
90,90.0,2015-02-04,75.46,75.46,75.46,75.46,0
91,91.0,2015-02-05,75.38,75.38,75.38,75.38,0
92,92.0,2015-02-06,74.53,74.53,74.53,74.53,0
93,93.0,2015-02-09,74.62,74.62,74.62,74.62,0
94,94.0,2015-02-10,74.26,74.26,74.26,74.26,0
95,95.0,2015-02-11,71.68,71.68,71.68,71.68,0
96,96.0,2015-02-12,73.14,73.14,73.14,73.14,0
97,97.0,2015-02-13,74.48,74.48,74.48,74.48,0
98,98.0,2015-02-18,74.6,74.6,74.6,74.6,0
99,99.0,2015-02-19,74.71,74.71,74.71,74.71,0
100,100.0,2015-02-20,74.46,74.46,74.46,74.46,0
101,101.0,2015-02-23,74.69,74.69,74.69,74.69,0
102,102.0,2015-02-24,74.66,74.66,74.66,74.66,0
103,103.0,2015-02-25,74.39,74.39,74.39,74.39,0
104,104.0,2015-02-26,75.6,75.6,75.6,75.6,0
105,105.0,2015-02-27,77.15,77.15,77.15,77.15,0
106,106.0,2015-03-02,75.95,75.95,75.95,75.95,0
107,107.0,2015-03-03,75.71,75.71,75.71,75.71,0
108,108.0,2015-03-04,73.46,73.46,73.46,73.46,0
109,109.0,2015-03-05,73.53,73.53,73.53,73.53,0
110,110.0,2015-03-06,72.68,72.68,72.68,72.68,0
111,111.0,2015-03-09,71.24,71.24,71.24,71.24,0
112,112.0,2015-03-10,70.68,70.68,70.68,70.68,0
113,113.0,2015-03-11,71.47,71.47,71.47,71.47,0
114,114.0,2015-03-12,72.52,72.52,72.52,72.52,0
115,115.0,2015-03-13,69.26,69.26,69.26,69.26,0
116,116.0,2015-03-16,68.99,68.99,68.99,68.99,0
117,117.0,2015-03-17,68.73,68.73,68.73,68.73,0
118,118.0,2015-03-18,70.63,70.63,70.63,70.63,0
119,119.0,2015-03-19,70.35,70.35,70.35,70.35,0
120,120.0,2015-03-20,71.27,71.27,71.27,71.27,0
121,121.0,2015-03-23,71.31,71.31,71.31,71.31,0
122,122.0,2015-03-24,71.95,71.95,71.95,71.95,0
123,123.0,2015-03-25,71.27,71.27,71.27,71.27,0
124,124.0,2015-03-26,69.46,69.46,69.46,69.46,0
125,125.0,2015-03-27,68.47,68.47,68.47,68.47,0
126,126.0,2015-03-30,68.96,68.96,68.96,68.96,0
127,127.0,2015-03-31,70.4,70.4,70.4,70.4,0
128,128.0,2015-04-01,72.51,72.51,72.51,72.51,0
129,129.0,2015-04-02,73.38,73.38,73.38,73.38,0
130,130.0,2015-04-07,75.06,75.06,75.06,75.06,0
131,131.0,2015-04-08,76.59,76.59,76.59,76.59,0
132,132.0,2015-04-09,77.57,77.57,77.57,77.57,0
133,133.0,2015-04-10,77.58,77.58,77.58,77.58,0
134,134.0,2015-04-13,78.24,78.24,78.24,78.24,0
135,135.0,2015-04-14,76.95,76.95,76.95,76.95,0
136,136.0,2015-04-15,78.67,78.67,78.67,78.67,0
137,137.0,2015-04-16,79.68,79.68,79.68,79.68,0
138,138.0,2015-04-17,77.64,77.64,77.64,77.64,0
139,139.0,2015-04-20,77.93,77.93,77.93,77.93,0
140,140.0,2015-04-22,78.31,78.31,78.31,78.31,0
141,141.0,2015-04-23,79.61,79.61,79.61,79.61,0
142,142.0,2015-04-24,82.34,82.34,82.34,82.34,0
143,143.0,2015-04-27,82.99,82.99,82.99,82.99,0
144,144.0,2015-04-28,82.43,82.43,82.43,82.43,0
145,145.0,2015-04-29,80.23,80.23,80.23,80.23,0
146,146.0,2015-04-30,78.27,78.27,78.27,78.27,0
147,147.0,2015-05-04,77.79,77.79,77.79,77.79,0
148,148.0,2015-05-05,79.13,79.13,79.13,79.13,0
149,149.0,2015-05-06,78.92,78.92,78.92,78.92,0
150,150.0,2015-05-07,78.07,78.07,78.07,78.07,0
151,151.0,2015-05-08,79.25,79.25,79.25,79.25,0
152,152.0,2015-05-11,79.69,79.69,79.69,79.69,0
153,153.0,2015-05-12,78.04,78.04,78.04,78.04,0
154,154.0,2015-05-13,77.64,77.64,77.64,77.64,0
155,155.0,2015-05-15,77.61,77.61,77.61,77.61,0
156,156.0,2015-05-18,77.92,77.92,77.92,77.92,0
157,157.0,2015-05-19,76.97,76.97,76.97,76.97,0
158,158.0,2015-05-20,76.9,76.9,76.9,76.9,0
159,159.0,2015-05-21,76.83,76.83,76.83,76.83,0
160,160.0,2015-05-22,76.42,76.42,76.42,76.42,0
161,161.0,2015-05-26,74.84,74.84,74.84,74.84,0
162,162.0,2015-05-27,73.16,73.16,73.16,73.16,0
163,163.0,2015-05-28,72.75,72.75,72.75,72.75,0
164,164.0,2015-05-29,71.74,71.74,71.74,71.74,0
165,165.0,2015-06-01,71.44,71.44,71.44,71.44,0
166,166.0,2015-06-02,71.64,71.64,71.64,71.64,0
167,167.0,2015-06-03,71.83,71.83,71.83,71.83,0
168,168.0,2015-06-05,71.0,71.0,71.0,71.0,0
169,169.0,2015-06-08,71.35,71.35,71.35,71.35,0
170,170.0,2015-06-09,71.77,71.77,71.77,71.77,0
171,171.0,2015-06-10,72.6,72.6,72.6,72.6,0
172,172.0,2015-06-11,70.95,70.95,70.95,70.95,0
173,173.0,2015-06-12,71.67,71.67,71.67,71.67,0
174,174.0,2015-06-15,71.09,71.09,71.09,71.09,0
175,175.0,2015-06-16,71.91,71.91,71.91,71.91,0
176,176.0,2015-06-17,71.59,71.59,71.59,71.59,0
177,177.0,2015-06-19,72.28,72.28,72.28,72.28,0
178,178.0,2015-06-22,72.56,72.56,72.56,72.56,0
179,179.0,2015-06-24,73.94,73.94,73.94,73.94,0
180,180.0,2015-06-25,72.41,72.41,72.41,72.41,0
181,181.0,2015-06-26,72.21,72.21,72.21,72.21,0
182,182.0,2015-06-29,72.1,72.1,72.1,72.1,0
183,183.0,2015-06-30,71.75,71.75,71.75,71.75,0
184,184.0,2015-07-01,73.07,73.07,73.07,73.07,0
185,185.0,2015-07-02,72.52,72.52,72.52,72.52,0
186,186.0,2015-07-03,71.95,71.95,71.95,71.95,0
187,187.0,2015-07-06,71.25,71.25,71.25,71.25,0
188,188.0,2015-07-07,70.35,70.35,70.35,70.35,0
189,189.0,2015-07-08,69.21,69.21,69.21,69.21,0
190,190.0,2015-07-10,69.27,69.27,69.27,69.27,0
191,191.0,2015-07-13,71.49,71.49,71.49,71.49,0
192,192.0,2015-07-14,72.48,72.48,72.48,72.48,0
193,193.0,2015-07-16,73.6,73.6,73.6,73.6,0
194,194.0,2015-07-17,73.04,73.04,73.04,73.04,0
195,195.0,2015-07-20,70.94,70.94,70.94,70.94,0
196,196.0,2015-07-21,71.39,71.39,71.39,71.39,0
197,197.0,2015-07-22,70.18,70.18,70.18,70.18,0
198,198.0,2015-07-23,67.62,67.62,67.62,67.62,0
199,199.0,2015-07-24,64.8,64.8,64.8,64.8,0
200,200.0,2015-07-27,63.46,63.46,63.46,63.46,0
201,201.0,2015-07-28,63.46,63.46,63.46,63.46,0
202,202.0,2015-07-29,64.19,64.19,64.19,64.19,0
203,203.0,2015-07-30,65.09,65.09,65.09,65.09,0
204,204.0,2015-07-31,63.86,63.86,63.86,63.86,0
205,205.0,2015-08-03,64.11,64.11,64.11,64.11,0
206,206.0,2015-08-04,63.36,63.36,63.36,63.36,0
207,207.0,2015-08-05,63.67,63.67,63.67,63.67,0
208,208.0,2015-08-06,62.34,62.34,62.34,62.34,0
209,209.0,2015-08-07,61.53,61.53,61.53,61.53,0
210,210.0,2015-08-10,60.69,60.69,60.69,60.69,0
211,211.0,2015-08-11,60.2,60.2,60.2,60.2,0
212,212.0,2015-08-12,58.41,58.41,58.41,58.41,0
213,213.0,2015-08-13,58.24,58.24,58.24,58.24,0
214,214.0,2015-08-14,58.32,58.32,58.32,58.32,0
215,215.0,2015-08-17,58.53,58.53,58.53,58.53,0
216,216.0,2015-08-18,57.58,57.58,57.58,57.58,0
217,217.0,2015-08-19,57.83,57.83,57.83,57.83,0
218,218.0,2015-08-20,56.07,56.07,56.07,56.07,0
219,219.0,2015-08-21,55.1,55.1,55.1,55.1,0
220,220.0,2015-08-24,49.96,49.96,49.96,49.96,0
221,221.0,2015-08-25,52.69,52.69,52.69,52.69,0
222,222.0,2015-08-26,51.8,51.8,51.8,51.8,0
223,223.0,2015-08-27,55.47,55.47,55.47,55.47,0
224,224.0,2015-08-28,55.67,55.67,55.67,55.67,0
225,225.0,2015-08-31,52.24,52.24,52.24,52.24,0
226,226.0,2015-09-01,51.75,51.75,51.75,51.75,0
227,227.0,2015-09-02,51.2,51.2,51.2,51.2,0
228,228.0,2015-09-03,51.13,51.13,51.13,51.13,0
229,229.0,2015-09-04,51.14,51.14,51.14,51.14,0
230,230.0,2015-09-08,51.14,51.14,51.14,51.14,0
231,231.0,2015-09-09,51.61,51.61,51.61,51.61,0
232,232.0,2015-09-10,48.47,48.47,48.47,48.47,0
233,233.0,2015-09-11,48.71,48.71,48.71,48.71,0
234,234.0,2015-09-14,48.62,48.62,48.62,48.62,0
235,235.0,2015-09-15,50.21,50.21,50.21,50.21,0
236,236.0,2015-09-16,51.84,51.84,51.84,51.84,0
237,237.0,2015-09-17,51.21,51.21,51.21,51.21,0
238,238.0,2015-09-18,50.13,50.13,50.13,50.13,0
239,239.0,2015-09-21,48.86,48.86,48.86,48.86,0
240,240.0,2015-09-22,47.23,47.23,47.23,47.23,0
241,241.0,2015-09-23,46.76,46.76,46.76,46.76,0
242,242.0,2015-09-24,43.3,43.3,43.3,43.3,0
243,243.0,2015-09-25,47.31,47.31,47.31,47.31,0
244,244.0,2015-09-28,45.69,45.69,45.69,45.69,0
245,245.0,2015-09-29,44.57,44.57,44.57,44.57,0
246,246.0,2015-09-30,46.65,46.65,46.65,46.65,0
