,date,open,close,high,low,volumme
0,2014-09-16,425.33,425.33,425.33,425.33,0
1,2014-09-17,427.86,427.86,427.86,427.86,0
2,2014-09-18,433.02,433.02,433.02,433.02,0
3,2014-09-19,433.49,433.49,433.49,433.49,0
4,2014-09-22,430.38,430.38,430.38,430.38,0
5,2014-09-23,424.3,424.3,424.3,424.3,0
6,2014-09-24,427.74,427.74,427.74,427.74,0
7,2014-09-25,422.87,422.87,422.87,422.87,0
8,2014-09-26,424.72,424.72,424.72,424.72,0
9,2014-09-29,421.6,421.6,421.6,421.6,0
10,2014-09-30,424.82,424.82,424.82,424.82,0
11,2014-10-01,421.32,421.32,421.32,421.32,0
12,2014-10-02,411.21,411.21,411.21,411.21,0
13,2014-10-03,413.98,413.98,413.98,413.98,0
14,2014-10-06,414.94,414.94,414.94,414.94,0
15,2014-10-07,408.73,408.73,408.73,408.73,0
16,2014-10-08,404.29,404.29,404.29,404.29,0
17,2014-10-09,403.55,403.55,403.55,403.55,0
18,2014-10-10,396.67,396.67,396.67,396.67,0
19,2014-10-13,396.94,396.94,396.94,396.94,0
20,2014-10-14,397.81,397.81,397.81,397.81,0
21,2014-10-15,384.81,384.81,384.81,384.81,0
22,2014-10-16,383.62,383.62,383.62,383.62,0
23,2014-10-17,395.95,395.95,395.95,395.95,0
24,2014-10-20,391.86,391.86,391.86,391.86,0
25,2014-10-21,400.87,400.87,400.87,400.87,0
26,2014-10-22,403.78,403.78,403.78,403.78,0
27,2014-10-23,407.72,407.72,407.72,407.72,0
28,2014-10-24,406.19,406.19,406.19,406.19,0
29,2014-10-27,402.31,402.31,402.31,402.31,0
30,2014-10-28,409.4,409.4,409.4,409.4,0
31,2014-10-29,408.15,408.15,408.15,408.15,0
32,2014-10-30,409.41,409.41,409.41,409.41,0
33,2014-10-31,417.41,417.41,417.41,417.41,0
34,2014-11-03,414.83,414.83,414.83,414.83,0
35,2014-11-04,409.3,409.3,409.3,409.3,0
36,2014-11-05,415.73,415.73,415.73,415.73,0
37,2014-11-06,417.07,417.07,417.07,417.07,0
38,2014-11-07,412.27,412.27,412.27,412.27,0
39,2014-11-10,415.58,415.58,415.58,415.58,0
40,2014-11-11,416.78,416.78,416.78,416.78,0
41,2014-11-12,410.3,410.3,410.3,410.3,0
