,date,open,close,high,low,volumme
0,2014-09-25,163.12,163.12,163.12,163.12,0
1,2014-09-26,163.67,163.67,163.67,163.67,0
2,2014-09-29,162.97,162.97,162.97,162.97,0
3,2014-09-30,164.68,164.68,164.68,164.68,0
4,2014-10-01,163.19,163.19,163.19,163.19,0
5,2014-10-02,163.29,163.29,163.29,163.29,0
6,2014-10-03,163.42,163.42,163.42,163.42,0
7,2014-10-08,158.83,158.83,158.83,158.83,0
8,2014-10-09,165.19,165.19,165.19,165.19,0
9,2014-10-10,161.17,161.17,161.17,161.17,0
10,2014-10-13,164.46,164.46,164.46,164.46,0
11,2014-10-14,163.25,163.25,163.25,163.25,0
12,2014-10-15,163.47,163.47,163.47,163.47,0
13,2014-10-16,162.26,162.26,162.26,162.26,0
14,2014-10-17,166.2,166.2,166.2,166.2,0
15,2014-10-20,167.9,167.9,167.9,167.9,0
16,2014-10-21,172.49,172.49,172.49,172.49,0
17,2014-10-22,174.4,174.4,174.4,174.4,0
18,2014-10-23,178.11,178.11,178.11,178.11,0
19,2014-10-24,177.83,177.83,177.83,177.83,0
20,2014-10-27,177.13,177.13,177.13,177.13,0
21,2014-10-28,179.62,179.62,179.62,179.62,0
22,2014-10-30,182.77,182.77,182.77,182.77,0
23,2014-10-31,184.46,184.46,184.46,184.46,0
24,2014-11-03,182.37,182.37,182.37,182.37,0
25,2014-11-04,182.47,182.47,182.47,182.47,0
26,2014-11-05,179.12,179.12,179.12,179.12,0
27,2014-11-06,176.04,176.04,176.04,176.04,0
28,2014-11-07,176.47,176.47,176.47,176.47,0
29,2014-11-10,175.05,175.05,175.05,175.05,0
30,2014-11-11,176.3,176.3,176.3,176.3,0
31,2014-11-12,180.76,180.76,180.76,180.76,0
32,2014-11-13,182.24,182.24,182.24,182.24,0
33,2014-11-14,183.23,183.23,183.23,183.23,0
34,2014-11-17,183.06,183.06,183.06,183.06,0
35,2014-11-18,184.39,184.39,184.39,184.39,0
36,2014-11-19,183.52,183.52,183.52,183.52,0
37,2014-11-20,187.45,187.45,187.45,187.45,0
38,2014-11-21,191.41,191.41,191.41,191.41,0
39,2014-11-24,190.17,190.17,190.17,190.17,0
40,2014-11-25,190.48,190.48,190.48,190.48,0
41,2014-11-26,192.46,192.46,192.46,192.46,0
42,2014-11-27,194.15,194.15,194.15,194.15,0
43,2014-11-28,196.27,196.27,196.27,196.27,0
44,2014-12-01,195.47,195.47,195.47,195.47,0
45,2014-12-02,193.23,193.23,193.23,193.23,0
46,2014-12-03,193.71,193.71,193.71,193.71,0
47,2014-12-04,195.3,195.3,195.3,195.3,0
48,2014-12-05,193.1,193.1,193.1,193.1,0
49,2014-12-08,191.97,191.97,191.97,191.97,0
50,2014-12-09,187.93,187.93,187.93,187.93,0
51,2014-12-10,189.4,189.4,189.4,189.4,0
52,2014-12-11,190.29,190.29,190.29,190.29,0
53,2014-12-12,183.95,183.95,183.95,183.95,0
54,2014-12-15,179.88,179.88,179.88,179.88,0
55,2014-12-16,170.3,170.3,170.3,170.3,0
56,2014-12-17,177.91,177.91,177.91,177.91,0
57,2014-12-18,186.13,186.13,186.13,186.13,0
58,2014-12-19,187.47,187.47,187.47,187.47,0
59,2014-12-22,190.49,190.49,190.49,190.49,0
60,2014-12-23,190.01,190.01,190.01,190.01,0
61,2014-12-24,190.62,190.62,190.62,190.62,0
62,2014-12-29,189.71,189.71,189.71,189.71,0
63,2014-12-30,189.77,189.77,189.77,189.77,0
64,2014-12-31,192.17,192.17,192.17,192.17,0
65,2015-01-02,192.07,192.07,192.07,192.07,0
66,2015-01-06,198.97,198.97,198.97,198.97,0
67,2015-01-07,199.8,199.8,199.8,199.8,0
68,2015-01-08,204.06,204.06,204.06,204.06,0
69,2015-01-09,204.43,204.43,204.43,204.43,0
70,2015-01-12,206.22,206.22,206.22,206.22,0
71,2015-01-13,208.05,208.05,208.05,208.05,0
72,2015-01-14,206.2,206.2,206.2,206.2,0
73,2015-01-15,208.31,208.31,208.31,208.31,0
74,2015-01-16,205.84,205.84,205.84,205.84,0
75,2015-01-19,204.69,204.69,204.69,204.69,0
76,2015-01-20,207.25,207.25,207.25,207.25,0
77,2015-01-21,211.56,211.56,211.56,211.56,0
78,2015-01-22,216.98,216.98,216.98,216.98,0
79,2015-01-23,218.18,218.18,218.18,218.18,0
80,2015-01-26,219.65,219.65,219.65,219.65,0
81,2015-01-27,215.29,215.29,215.29,215.29,0
82,2015-01-28,213.94,213.94,213.94,213.94,0
83,2015-01-29,207.18,207.18,207.18,207.18,0
84,2015-01-30,206.77,206.77,206.77,206.77,0
85,2015-02-02,207.74,207.74,207.74,207.74,0
86,2015-02-03,203.37,203.37,203.37,203.37,0
87,2015-02-04,195.97,195.97,195.97,195.97,0
88,2015-02-05,196.62,196.62,196.62,196.62,0
89,2015-02-06,193.63,193.63,193.63,193.63,0
90,2015-02-09,190.55,190.55,190.55,190.55,0
91,2015-02-10,186.37,186.37,186.37,186.37,0
92,2015-02-11,187.46,187.46,187.46,187.46,0
93,2015-02-12,194.27,194.27,194.27,194.27,0
94,2015-02-13,194.48,194.48,194.48,194.48,0
95,2015-02-16,196.17,196.17,196.17,196.17,0
96,2015-02-17,192.07,192.07,192.07,192.07,0
97,2015-02-18,194.84,194.84,194.84,194.84,0
98,2015-02-19,197.55,197.55,197.55,197.55,0
99,2015-02-20,195.48,195.48,195.48,195.48,0
100,2015-02-23,195.67,195.67,195.67,195.67,0
101,2015-02-24,197.42,197.42,197.42,197.42,0
102,2015-02-25,195.19,195.19,195.19,195.19,0
103,2015-02-26,194.79,194.79,194.79,194.79,0
104,2015-02-27,189.95,189.95,189.95,189.95,0
105,2015-03-02,189.34,189.34,189.34,189.34,0
106,2015-03-03,188.83,188.83,188.83,188.83,0
