,date,open,close,high,low,volumme
0,2014-09-25,148.92,148.92,148.92,148.92,0
1,2014-09-26,149.72,149.72,149.72,149.72,0
2,2014-09-29,146.75,146.75,146.75,146.75,0
3,2014-09-30,146.54,146.54,146.54,146.54,0
4,2014-10-01,145.82,145.82,145.82,145.82,0
5,2014-10-02,145.33,145.33,145.33,145.33,0
6,2014-10-03,147.91,147.91,147.91,147.91,0
7,2014-10-06,147.74,147.74,147.74,147.74,0
8,2014-10-07,147.58,147.58,147.58,147.58,0
9,2014-10-08,146.51,146.51,146.51,146.51,0
10,2014-10-09,147.06,147.06,147.06,147.06,0
11,2014-10-10,146.47,146.47,146.47,146.47,0
12,2014-10-13,143.88,143.88,143.88,143.88,0
13,2014-10-14,144.12,144.12,144.12,144.12,0
14,2014-10-15,141.52,141.52,141.52,141.52,0
15,2014-10-16,141.35,141.35,141.35,141.35,0
16,2014-10-17,142.04,142.04,142.04,142.04,0
17,2014-10-20,143.26,143.26,143.26,143.26,0
18,2014-10-21,145.34,145.34,145.34,145.34,0
19,2014-10-22,147.34,147.34,147.34,147.34,0
20,2014-10-23,147.8,147.8,147.8,147.8,0
21,2014-10-24,146.7,146.7,146.7,146.7,0
22,2014-10-27,144.9,144.9,144.9,144.9,0
23,2014-10-28,146.45,146.45,146.45,146.45,0
24,2014-10-29,147.52,147.52,147.52,147.52,0
25,2014-10-30,148.33,148.33,148.33,148.33,0
26,2014-10-31,151.12,151.12,151.12,151.12,0
27,2014-11-03,151.04,151.04,151.04,151.04,0
28,2014-11-04,149.77,149.77,149.77,149.77,0
29,2014-11-05,149.76,149.76,149.76,149.76,0
30,2014-11-06,150.68,150.68,150.68,150.68,0
31,2014-11-07,149.96,149.96,149.96,149.96,0
32,2014-11-10,151.33,151.33,151.33,151.33,0
33,2014-11-11,150.92,150.92,150.92,150.92,0
34,2014-11-12,150.29,150.29,150.29,150.29,0
35,2014-11-13,150.93,150.93,150.93,150.93,0
36,2014-11-14,150.83,150.83,150.83,150.83,0
37,2014-11-17,150.32,150.32,150.32,150.32,0
38,2014-11-18,148.98,148.98,148.98,148.98,0
39,2014-11-19,148.34,148.34,148.34,148.34,0
40,2014-11-20,149.13,149.13,149.13,149.13,0
41,2014-11-21,152.82,152.82,152.82,152.82,0
42,2014-11-24,153.63,153.63,153.63,153.63,0
43,2014-11-25,153.37,153.37,153.37,153.37,0
44,2014-11-26,153.49,153.49,153.49,153.49,0
45,2014-11-27,153.27,153.27,153.27,153.27,0
46,2014-11-28,152.8,152.8,152.8,152.8,0
