,date,open,close,high,low,volumme
0,2014-09-25,209.11,209.11,209.11,209.11,0
1,2014-09-26,209.82,209.82,209.82,209.82,0
2,2014-09-29,208.92,208.92,208.92,208.92,0
3,2014-09-30,211.12,211.12,211.12,211.12,0
4,2014-10-01,209.21,209.21,209.21,209.21,0
5,2014-10-02,209.33,209.33,209.33,209.33,0
6,2014-10-03,209.5,209.5,209.5,209.5,0
7,2014-10-08,203.62,203.62,203.62,203.62,0
8,2014-10-09,211.77,211.77,211.77,211.77,0
9,2014-10-10,206.62,206.62,206.62,206.62,0
10,2014-10-13,210.84,210.84,210.84,210.84,0
11,2014-10-14,209.29,209.29,209.29,209.29,0
12,2014-10-15,209.56,209.56,209.56,209.56,0
13,2014-10-16,208.02,208.02,208.02,208.02,0
14,2014-10-17,213.06,213.06,213.06,213.06,0
15,2014-10-20,215.24,215.24,215.24,215.24,0
16,2014-10-21,221.13,221.13,221.13,221.13,0
17,2014-10-22,223.57,223.57,223.57,223.57,0
18,2014-10-23,228.34,228.34,228.34,228.34,0
19,2014-10-24,227.97,227.97,227.97,227.97,0
20,2014-10-27,227.07,227.07,227.07,227.07,0
21,2014-10-28,230.27,230.27,230.27,230.27,0
22,2014-10-30,234.31,234.31,234.31,234.31,0
23,2014-10-31,236.47,236.47,236.47,236.47,0
24,2014-11-03,233.79,233.79,233.79,233.79,0
25,2014-11-04,233.92,233.92,233.92,233.92,0
26,2014-11-05,229.62,229.62,229.62,229.62,0
27,2014-11-06,225.67,225.67,225.67,225.67,0
28,2014-11-07,226.23,226.23,226.23,226.23,0
29,2014-11-10,224.41,224.41,224.41,224.41,0
30,2014-11-11,226.01,226.01,226.01,226.01,0
31,2014-11-12,231.72,231.72,231.72,231.72,0
32,2014-11-13,233.63,233.63,233.63,233.63,0
33,2014-11-14,234.89,234.89,234.89,234.89,0
34,2014-11-17,234.67,234.67,234.67,234.67,0
35,2014-11-18,236.39,236.39,236.39,236.39,0
36,2014-11-19,235.27,235.27,235.27,235.27,0
37,2014-11-20,240.31,240.31,240.31,240.31,0
38,2014-11-21,245.38,245.38,245.38,245.38,0
39,2014-11-24,243.79,243.79,243.79,243.79,0
40,2014-11-25,244.19,244.19,244.19,244.19,0
41,2014-11-26,246.73,246.73,246.73,246.73,0
42,2014-11-27,248.89,248.89,248.89,248.89,0
43,2014-11-28,251.61,251.61,251.61,251.61,0
44,2014-12-01,250.59,250.59,250.59,250.59,0
45,2014-12-02,247.72,247.72,247.72,247.72,0
46,2014-12-03,248.33,248.33,248.33,248.33,0
47,2014-12-04,250.37,250.37,250.37,250.37,0
48,2014-12-05,247.55,247.55,247.55,247.55,0
49,2014-12-08,246.1,246.1,246.1,246.1,0
50,2014-12-09,240.91,240.91,240.91,240.91,0
51,2014-12-10,242.81,242.81,242.81,242.81,0
52,2014-12-11,243.95,243.95,243.95,243.95,0
53,2014-12-12,235.82,235.82,235.82,235.82,0
54,2014-12-15,230.6,230.6,230.6,230.6,0
55,2014-12-16,218.32,218.32,218.32,218.32,0
56,2014-12-17,228.07,228.07,228.07,228.07,0
57,2014-12-18,238.61,238.61,238.61,238.61,0
58,2014-12-19,240.34,240.34,240.34,240.34,0
59,2014-12-22,244.2,244.2,244.2,244.2,0
60,2014-12-23,243.58,243.58,243.58,243.58,0
61,2014-12-24,244.37,244.37,244.37,244.37,0
62,2014-12-29,243.2,243.2,243.2,243.2,0
63,2014-12-30,243.27,243.27,243.27,243.27,0
64,2014-12-31,246.36,246.36,246.36,246.36,0
65,2015-01-02,246.22,246.22,246.22,246.22,0
66,2015-01-06,255.08,255.08,255.08,255.08,0
67,2015-01-07,256.14,256.14,256.14,256.14,0
68,2015-01-08,261.6,261.6,261.6,261.6,0
69,2015-01-09,262.08,262.08,262.08,262.08,0
70,2015-01-12,264.37,264.37,264.37,264.37,0
71,2015-01-13,266.71,266.71,266.71,266.71,0
72,2015-01-14,264.35,264.35,264.35,264.35,0
73,2015-01-15,267.05,267.05,267.05,267.05,0
74,2015-01-16,263.89,263.89,263.89,263.89,0
75,2015-01-19,262.4,262.4,262.4,262.4,0
76,2015-01-20,265.69,265.69,265.69,265.69,0
77,2015-01-21,271.21,271.21,271.21,271.21,0
78,2015-01-22,278.16,278.16,278.16,278.16,0
79,2015-01-23,279.7,279.7,279.7,279.7,0
80,2015-01-26,281.59,281.59,281.59,281.59,0
81,2015-01-27,275.99,275.99,275.99,275.99,0
82,2015-01-28,274.27,274.27,274.27,274.27,0
