,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2014-09-22,130.32,130.32,130.32,130.32,0
1,1.0,2014-09-23,128.82,128.82,128.82,128.82,0
2,2.0,2014-09-24,128.53,128.53,128.53,128.53,0
3,3.0,2014-09-25,130.73,130.73,130.73,130.73,0
4,4.0,2014-09-26,128.35,128.35,128.35,128.35,0
5,5.0,2014-09-29,129.65,129.65,129.65,129.65,0
6,6.0,2014-09-30,130.12,130.12,130.12,130.12,0
7,7.0,2014-10-01,130.07,130.07,130.07,130.07,0
8,8.0,2014-10-02,127.59,127.59,127.59,127.59,0
9,9.0,2014-10-06,130.74,130.74,130.74,130.74,0
10,10.0,2014-10-07,128.38,128.38,128.38,128.38,0
11,11.0,2014-10-08,126.89,126.89,126.89,126.89,0
12,12.0,2014-10-09,128.29,128.29,128.29,128.29,0
13,13.0,2014-10-10,126.11,126.11,126.11,126.11,0
14,14.0,2014-10-13,124.35,124.35,124.35,124.35,0
15,15.0,2014-10-14,122.29,122.29,122.29,122.29,0
16,16.0,2014-10-15,122.24,122.24,122.24,122.24,0
17,17.0,2014-10-16,120.34,120.34,120.34,120.34,0
18,18.0,2014-10-17,121.76,121.76,121.76,121.76,0
19,19.0,2014-10-20,122.57,122.57,122.57,122.57,0
20,20.0,2014-10-21,123.21,123.21,123.21,123.21,0
21,21.0,2014-10-22,126.81,126.81,126.81,126.81,0
22,22.0,2014-10-23,126.95,126.95,126.95,126.95,0
23,23.0,2014-10-24,127.95,127.95,127.95,127.95,0
24,24.0,2014-10-27,128.54,128.54,128.54,128.54,0
25,25.0,2014-10-28,128.79,128.79,128.79,128.79,0
26,26.0,2014-10-29,129.72,129.72,129.72,129.72,0
27,27.0,2014-10-30,130.72,130.72,130.72,130.72,0
28,28.0,2014-10-31,133.2,133.2,133.2,133.2,0
29,29.0,2014-11-03,134.32,134.32,134.32,134.32,0
30,30.0,2014-11-04,134.08,134.08,134.08,134.08,0
31,31.0,2014-11-05,134.44,134.44,134.44,134.44,0
32,32.0,2014-11-06,134.57,134.57,134.57,134.57,0
33,33.0,2014-11-07,136.3,136.3,136.3,136.3,0
34,34.0,2014-11-10,135.4,135.4,135.4,135.4,0
35,35.0,2014-11-11,136.62,136.62,136.62,136.62,0
36,36.0,2014-11-12,135.97,135.97,135.97,135.97,0
37,37.0,2014-11-13,136.0,136.0,136.0,136.0,0
38,38.0,2014-11-14,135.84,135.84,135.84,135.84,0
39,39.0,2014-11-17,135.14,135.14,135.14,135.14,0
40,40.0,2014-11-18,135.33,135.33,135.33,135.33,0
41,41.0,2014-11-19,136.05,136.05,136.05,136.05,0
