,date,open,close,high,low,volumme
0,2014-09-22,118.49,118.49,118.49,118.49,0
1,2014-09-23,117.64,117.64,117.64,117.64,0
2,2014-09-24,117.86,117.86,117.86,117.86,0
3,2014-09-25,117.56,117.56,117.56,117.56,0
4,2014-09-26,117.7,117.7,117.7,117.7,0
5,2014-09-29,117.43,117.43,117.43,117.43,0
6,2014-09-30,117.6,117.6,117.6,117.6,0
7,2014-10-01,117.24,117.24,117.24,117.24,0
8,2014-10-02,116.15,116.15,116.15,116.15,0
9,2014-10-03,116.73,116.73,116.73,116.73,0
10,2014-10-06,116.84,116.84,116.84,116.84,0
11,2014-10-09,115.09,115.09,115.09,115.09,0
12,2014-10-10,114.44,114.44,114.44,114.44,0
13,2014-10-13,114.3,114.3,114.3,114.3,0
14,2014-10-14,114.67,114.67,114.67,114.67,0
15,2014-10-15,113.41,113.41,113.41,113.41,0
16,2014-10-16,113.13,113.13,113.13,113.13,0
17,2014-10-17,114.5,114.5,114.5,114.5,0
18,2014-10-20,114.3,114.3,114.3,114.3,0
19,2014-10-21,115.21,115.21,115.21,115.21,0
20,2014-10-22,115.71,115.71,115.71,115.71,0
21,2014-10-23,116.15,116.15,116.15,116.15,0
22,2014-10-24,115.98,115.98,115.98,115.98,0
23,2014-10-27,115.77,115.77,115.77,115.77,0
24,2014-10-28,116.38,116.38,116.38,116.38,0
25,2014-10-29,116.64,116.64,116.64,116.64,0
26,2014-10-30,117.36,117.36,117.36,117.36,0
27,2014-10-31,118.23,118.23,118.23,118.23,0
28,2014-11-03,118.29,118.29,118.29,118.29,0
29,2014-11-04,118.06,118.06,118.06,118.06,0
30,2014-11-05,118.76,118.76,118.76,118.76,0
31,2014-11-06,118.98,118.98,118.98,118.98,0
32,2014-11-07,118.74,118.74,118.74,118.74,0
33,2014-11-12,118.47,118.47,118.47,118.47,0
34,2014-11-13,118.58,118.58,118.58,118.58,0
35,2014-11-14,118.53,118.53,118.53,118.53,0
36,2014-11-17,118.7,118.7,118.7,118.7,0
37,2014-11-18,118.82,118.82,118.82,118.82,0
38,2014-11-19,118.71,118.71,118.71,118.71,0
39,2014-11-20,118.7,118.7,118.7,118.7,0
40,2014-11-21,119.65,119.65,119.65,119.65,0
41,2014-11-24,120.07,120.07,120.07,120.07,0
42,2014-11-25,120.05,120.05,120.05,120.05,0
43,2014-11-26,119.9,119.9,119.9,119.9,0
44,2014-11-27,120.35,120.35,120.35,120.35,0
45,2014-11-28,120.38,120.38,120.38,120.38,0
46,2014-12-01,120.24,120.24,120.24,120.24,0
47,2014-12-02,120.34,120.34,120.34,120.34,0
48,2014-12-03,120.71,120.71,120.71,120.71,0
49,2014-12-04,120.15,120.15,120.15,120.15,0
50,2014-12-05,121.17,121.17,121.17,121.17,0
51,2014-12-08,120.92,120.92,120.92,120.92,0
52,2014-12-10,119.48,119.48,119.48,119.48,0
53,2014-12-11,119.71,119.71,119.71,119.71,0
54,2014-12-12,118.82,118.82,118.82,118.82,0
55,2014-12-15,118.2,118.2,118.2,118.2,0
56,2014-12-16,118.48,118.48,118.48,118.48,0
57,2014-12-17,118.77,118.77,118.77,118.77,0
58,2014-12-18,120.41,120.41,120.41,120.41,0
59,2014-12-19,120.7,120.7,120.7,120.7,0
60,2014-12-22,120.97,120.97,120.97,120.97,0
61,2014-12-29,121.39,121.39,121.39,121.39,0
62,2014-12-30,121.18,121.18,121.18,121.18,0
63,2014-12-31,121.37,121.37,121.37,121.37,0
64,2015-01-02,121.53,121.53,121.53,121.53,0
65,2015-01-05,121.15,121.15,121.15,121.15,0
66,2015-01-06,120.86,120.86,120.86,120.86,0
67,2015-01-08,122.27,122.27,122.27,122.27,0
68,2015-01-09,121.87,121.87,121.87,121.87,0
69,2015-01-12,122.4,122.4,122.4,122.4,0
70,2015-01-13,123.15,123.15,123.15,123.15,0
71,2015-01-14,122.69,122.69,122.69,122.69,0
72,2015-01-15,123.39,123.39,123.39,123.39,0
73,2015-01-16,123.93,123.93,123.93,123.93,0
74,2015-01-19,124.01,124.01,124.01,124.01,0
75,2015-01-20,124.59,124.59,124.59,124.59,0
76,2015-01-21,124.83,124.83,124.83,124.83,0
77,2015-01-22,125.99,125.99,125.99,125.99,0
78,2015-01-23,127.39,127.39,127.39,127.39,0
79,2015-01-27,127.09,127.09,127.09,127.09,0
80,2015-01-29,127.73,127.73,127.73,127.73,0
81,2015-01-30,127.7,127.7,127.7,127.7,0
82,2015-02-02,127.61,127.61,127.61,127.61,0
83,2015-02-03,127.86,127.86,127.86,127.86,0
84,2015-02-04,128.4,128.4,128.4,128.4,0
85,2015-02-05,128.6,128.6,128.6,128.6,0
86,2015-02-06,128.71,128.71,128.71,128.71,0
87,2015-02-09,128.0,128.0,128.0,128.0,0
88,2015-02-10,128.59,128.59,128.59,128.59,0
89,2015-02-11,128.58,128.58,128.58,128.58,0
90,2015-02-12,129.45,129.45,129.45,129.45,0
91,2015-02-13,129.49,129.49,129.49,129.49,0
92,2015-02-16,129.43,129.43,129.43,129.43,0
93,2015-02-17,129.39,129.39,129.39,129.39,0
94,2015-02-18,129.8,129.8,129.8,129.8,0
95,2015-02-19,130.02,130.02,130.02,130.02,0
96,2015-02-20,130.08,130.08,130.08,130.08,0
97,2015-02-23,130.73,130.73,130.73,130.73,0
98,2015-02-24,131.03,131.03,131.03,131.03,0
99,2015-02-25,131.05,131.05,131.05,131.05,0
100,2015-02-27,132.0,132.0,132.0,132.0,0
101,2015-03-02,132.01,132.01,132.01,132.01,0
102,2015-03-03,131.28,131.28,131.28,131.28,0
103,2015-03-05,132.28,132.28,132.28,132.28,0
104,2015-03-06,132.35,132.35,132.35,132.35,0
105,2015-03-09,132.39,132.39,132.39,132.39,0
106,2015-03-10,132.23,132.23,132.23,132.23,0
107,2015-03-11,133.44,133.44,133.44,133.44,0
108,2015-03-13,133.82,133.82,133.82,133.82,0
109,2015-03-16,134.55,134.55,134.55,134.55,0
110,2015-03-17,133.8,133.8,133.8,133.8,0
111,2015-03-18,133.68,133.68,133.68,133.68,0
112,2015-03-19,133.97,133.97,133.97,133.97,0
113,2015-03-20,134.13,134.13,134.13,134.13,0
114,2015-03-23,133.59,133.59,133.59,133.59,0
115,2015-03-24,134.0,134.0,134.0,134.0,0
116,2015-03-25,133.2,133.2,133.2,133.2,0
117,2015-03-26,132.59,132.59,132.59,132.59,0
118,2015-03-27,132.82,132.82,132.82,132.82,0
119,2015-03-30,133.56,133.56,133.56,133.56,0
120,2015-03-31,133.24,133.24,133.24,133.24,0
121,2015-04-01,133.39,133.39,133.39,133.39,0
122,2015-04-02,133.24,133.24,133.24,133.24,0
123,2015-04-07,134.09,134.09,134.09,134.09,0
124,2015-04-08,134.23,134.23,134.23,134.23,0
125,2015-04-10,135.95,135.95,135.95,135.95,0
126,2015-04-13,136.14,136.14,136.14,136.14,0
127,2015-04-14,136.68,136.68,136.68,136.68,0
128,2015-04-15,136.2,136.2,136.2,136.2,0
129,2015-04-16,135.68,135.68,135.68,135.68,0
130,2015-04-17,134.62,134.62,134.62,134.62,0
131,2015-04-20,135.0,135.0,135.0,135.0,0
132,2015-04-21,135.48,135.48,135.48,135.48,0
133,2015-04-22,135.32,135.32,135.32,135.32,0
134,2015-04-23,134.75,134.75,134.75,134.75,0
135,2015-04-24,134.95,134.95,134.95,134.95,0
136,2015-04-27,135.72,135.72,135.72,135.72,0
137,2015-04-28,134.84,134.84,134.84,134.84,0
138,2015-04-29,133.45,133.45,133.45,133.45,0
139,2015-04-30,132.86,132.86,132.86,132.86,0
140,2015-05-04,133.4,133.4,133.4,133.4,0
141,2015-05-05,132.3,132.3,132.3,132.3,0
142,2015-05-06,132.02,132.02,132.02,132.02,0
143,2015-05-07,132.26,132.26,132.26,132.26,0
144,2015-05-12,133.22,133.22,133.22,133.22,0
145,2015-05-15,133.3,133.3,133.3,133.3,0
146,2015-05-18,133.5,133.5,133.5,133.5,0
147,2015-05-19,134.85,134.85,134.85,134.85,0
148,2015-05-20,134.75,134.75,134.75,134.75,0
149,2015-05-21,134.69,134.69,134.69,134.69,0
150,2015-05-22,134.48,134.48,134.48,134.48,0
151,2015-05-26,134.06,134.06,134.06,134.06,0
152,2015-05-27,135.12,135.12,135.12,135.12,0
153,2015-05-29,134.0,134.0,134.0,134.0,0
154,2015-06-01,134.13,134.13,134.13,134.13,0
155,2015-06-02,133.4,133.4,133.4,133.4,0
156,2015-06-03,133.0,133.0,133.0,133.0,0
157,2015-06-04,132.48,132.48,132.48,132.48,0
158,2015-06-05,131.98,131.98,131.98,131.98,0
159,2015-06-08,131.17,131.17,131.17,131.17,0
160,2015-06-09,130.86,130.86,130.86,130.86,0
161,2015-06-10,131.58,131.58,131.58,131.58,0
162,2015-06-11,132.12,132.12,132.12,132.12,0
163,2015-06-12,131.66,131.66,131.66,131.66,0
164,2015-06-15,130.63,130.63,130.63,130.63,0
165,2015-06-17,130.5,130.5,130.5,130.5,0
166,2015-06-18,130.53,130.53,130.53,130.53,0
167,2015-06-19,130.86,130.86,130.86,130.86,0
168,2015-06-22,132.23,132.23,132.23,132.23,0
169,2015-06-24,132.96,132.96,132.96,132.96,0
