,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2014-09-22,107.92,107.92,107.92,107.92,0
1,1.0,2014-09-23,107.8,107.8,107.8,107.8,0
2,2.0,2014-09-24,107.4,107.4,107.4,107.4,0
3,3.0,2014-09-25,107.11,107.11,107.11,107.11,0
4,4.0,2014-09-26,106.8,106.8,106.8,106.8,0
5,5.0,2014-09-29,106.35,106.35,106.35,106.35,0
6,6.0,2014-09-30,105.85,105.85,105.85,105.85,0
7,7.0,2014-10-01,106.13,106.13,106.13,106.13,0
8,8.0,2014-10-02,106.36,106.36,106.36,106.36,0
9,9.0,2014-10-03,106.36,106.36,106.36,106.36,0
10,10.0,2014-10-06,106.76,106.76,106.76,106.76,0
11,11.0,2014-10-07,107.09,107.09,107.09,107.09,0
12,12.0,2014-10-08,106.85,106.85,106.85,106.85,0
13,13.0,2014-10-09,106.55,106.55,106.55,106.55,0
14,14.0,2014-10-10,106.49,106.49,106.49,106.49,0
15,15.0,2014-10-13,105.96,105.96,105.96,105.96,0
16,16.0,2014-10-14,105.72,105.72,105.72,105.72,0
17,17.0,2014-10-15,105.31,105.31,105.31,105.31,0
18,18.0,2014-10-16,104.66,104.66,104.66,104.66,0
19,19.0,2014-10-17,104.37,104.37,104.37,104.37,0
20,20.0,2014-10-20,105.63,105.63,105.63,105.63,0
21,21.0,2014-10-21,105.75,105.75,105.75,105.75,0
22,22.0,2014-10-22,106.3,106.3,106.3,106.3,0
23,23.0,2014-10-23,106.52,106.52,106.52,106.52,0
24,24.0,2014-10-24,106.71,106.71,106.71,106.71,0
25,25.0,2014-10-27,106.75,106.75,106.75,106.75,0
26,26.0,2014-10-28,106.78,106.78,106.78,106.78,0
27,27.0,2014-10-29,106.85,106.85,106.85,106.85,0
28,28.0,2014-10-30,106.81,106.81,106.81,106.81,0
29,29.0,2014-10-31,106.64,106.64,106.64,106.64,0
30,30.0,2014-11-03,106.81,106.81,106.81,106.81,0
31,31.0,2014-11-04,106.85,106.85,106.85,106.85,0
32,32.0,2014-11-05,106.7,106.7,106.7,106.7,0
33,33.0,2014-11-06,106.9,106.9,106.9,106.9,0
34,34.0,2014-11-07,107.07,107.07,107.07,107.07,0
35,35.0,2014-11-10,107.16,107.16,107.16,107.16,0
36,36.0,2014-11-11,107.18,107.18,107.18,107.18,0
37,37.0,2014-11-12,107.41,107.41,107.41,107.41,0
38,38.0,2014-11-13,107.26,107.26,107.26,107.26,0
39,39.0,2014-11-14,107.08,107.08,107.08,107.08,0
40,40.0,2014-11-17,106.89,106.89,106.89,106.89,0
41,41.0,2014-11-18,106.81,106.81,106.81,106.81,0
