,date,open,close,high,low,volumme
0,2014-09-22,106.32,106.32,106.32,106.32,0
1,2014-09-23,104.68,104.68,104.68,104.68,0
2,2014-09-24,105.42,105.42,105.42,105.42,0
3,2014-09-25,104.56,104.56,104.56,104.56,0
4,2014-09-26,104.67,104.67,104.67,104.67,0
5,2014-09-29,104.63,104.63,104.63,104.63,0
6,2014-09-30,104.94,104.94,104.94,104.94,0
7,2014-10-01,104.15,104.15,104.15,104.15,0
8,2014-10-02,102.4,102.4,102.4,102.4,0
9,2014-10-03,103.35,103.35,103.35,103.35,0
10,2014-10-06,103.38,103.38,103.38,103.38,0
11,2014-10-07,101.61,101.61,101.61,101.61,0
12,2014-10-08,101.17,101.17,101.17,101.17,0
13,2014-10-09,100.37,100.37,100.37,100.37,0
14,2014-10-10,99.32,99.32,99.32,99.32,0
15,2014-10-13,98.99,98.99,98.99,98.99,0
16,2014-10-14,99.29,99.29,99.29,99.29,0
17,2014-10-15,97.14,97.14,97.14,97.14,0
18,2014-10-16,96.99,96.99,96.99,96.99,0
19,2014-10-17,99.2,99.2,99.2,99.2,0
20,2014-10-20,99.18,99.18,99.18,99.18,0
21,2014-10-21,101.06,101.06,101.06,101.06,0
22,2014-10-22,101.76,101.76,101.76,101.76,0
23,2014-10-23,102.61,102.61,102.61,102.61,0
24,2014-10-24,102.24,102.24,102.24,102.24,0
25,2014-10-27,101.98,101.98,101.98,101.98,0
26,2014-10-28,103.11,103.11,103.11,103.11,0
27,2014-10-29,103.38,103.38,103.38,103.38,0
28,2014-10-30,104.35,104.35,104.35,104.35,0
29,2014-10-31,106.19,106.19,106.19,106.19,0
30,2014-11-03,105.55,105.55,105.55,105.55,0
31,2014-11-04,104.75,104.75,104.75,104.75,0
32,2014-11-05,105.9,105.9,105.9,105.9,0
33,2014-11-06,106.34,106.34,106.34,106.34,0
34,2014-11-07,106.0,106.0,106.0,106.0,0
35,2014-11-10,106.62,106.62,106.62,106.62,0
36,2014-11-11,107.23,107.23,107.23,107.23,0
37,2014-11-12,105.98,105.98,105.98,105.98,0
38,2014-11-13,106.17,106.17,106.17,106.17,0
39,2014-11-14,106.05,106.05,106.05,106.05,0
40,2014-11-17,106.41,106.41,106.41,106.41,0
41,2014-11-18,107.13,107.13,107.13,107.13,0
42,2014-11-19,107.36,107.36,107.36,107.36,0
43,2014-11-20,107.31,107.31,107.31,107.31,0
44,2014-11-21,108.91,108.91,108.91,108.91,0
45,2014-11-24,109.01,109.01,109.01,109.01,0
46,2014-11-25,109.37,109.37,109.37,109.37,0
47,2014-11-26,109.3,109.3,109.3,109.3,0
48,2014-11-27,109.81,109.81,109.81,109.81,0
49,2014-11-28,109.57,109.57,109.57,109.57,0
50,2014-12-01,109.16,109.16,109.16,109.16,0
51,2014-12-02,109.56,109.56,109.56,109.56,0
52,2014-12-03,110.22,110.22,110.22,110.22,0
53,2014-12-04,109.32,109.32,109.32,109.32,0
54,2014-12-05,110.91,110.91,110.91,110.91,0
55,2014-12-08,110.31,110.31,110.31,110.31,0
56,2014-12-09,108.35,108.35,108.35,108.35,0
57,2014-12-10,107.99,107.99,107.99,107.99,0
58,2014-12-11,108.04,108.04,108.04,108.04,0
59,2014-12-12,105.59,105.59,105.59,105.59,0
60,2014-12-15,103.65,103.65,103.65,103.65,0
61,2014-12-16,104.87,104.87,104.87,104.87,0
62,2014-12-17,105.13,105.13,105.13,105.13,0
63,2014-12-18,108.04,108.04,108.04,108.04,0
64,2014-12-19,108.36,108.36,108.36,108.36,0
65,2014-12-22,108.98,108.98,108.98,108.98,0
66,2014-12-23,109.78,109.78,109.78,109.78,0
67,2014-12-29,110.02,110.02,110.02,110.02,0
68,2014-12-30,108.9,108.9,108.9,108.9,0
69,2014-12-31,109.33,109.33,109.33,109.33,0
70,2015-01-02,109.01,109.01,109.01,109.01,0
71,2015-01-05,107.13,107.13,107.13,107.13,0
72,2015-01-06,106.57,106.57,106.57,106.57,0
73,2015-01-07,107.19,107.19,107.19,107.19,0
74,2015-01-08,109.64,109.64,109.64,109.64,0
75,2015-01-09,108.68,108.68,108.68,108.68,0
76,2015-01-12,109.34,109.34,109.34,109.34,0
77,2015-01-13,110.51,110.51,110.51,110.51,0
78,2015-01-14,109.48,109.48,109.48,109.48,0
79,2015-01-15,111.41,111.41,111.41,111.41,0
80,2015-01-16,112.26,112.26,112.26,112.26,0
81,2015-01-19,112.56,112.56,112.56,112.56,0
82,2015-01-20,113.33,113.33,113.33,113.33,0
83,2015-01-21,113.97,113.97,113.97,113.97,0
84,2015-01-22,115.71,115.71,115.71,115.71,0
85,2015-01-23,117.76,117.76,117.76,117.76,0
86,2015-01-26,118.76,118.76,118.76,118.76,0
87,2015-01-27,117.8,117.8,117.8,117.8,0
88,2015-01-28,118.38,118.38,118.38,118.38,0
89,2015-01-29,118.65,118.65,118.65,118.65,0
90,2015-01-30,118.14,118.14,118.14,118.14,0
91,2015-02-02,117.89,117.89,117.89,117.89,0
92,2015-02-03,118.15,118.15,118.15,118.15,0
93,2015-02-04,118.25,118.25,118.25,118.25,0
94,2015-02-05,118.63,118.63,118.63,118.63,0
95,2015-02-06,118.12,118.12,118.12,118.12,0
96,2015-02-09,117.11,117.11,117.11,117.11,0
97,2015-02-10,117.87,117.87,117.87,117.87,0
98,2015-02-11,117.78,117.78,117.78,117.78,0
99,2015-02-12,118.52,118.52,118.52,118.52,0
100,2015-02-13,118.19,118.19,118.19,118.19,0
101,2015-02-16,117.6,117.6,117.6,117.6,0
102,2015-02-17,117.66,117.66,117.66,117.66,0
103,2015-02-18,118.75,118.75,118.75,118.75,0
104,2015-02-19,119.28,119.28,119.28,119.28,0
105,2015-02-20,119.58,119.58,119.58,119.58,0
106,2015-02-23,120.62,120.62,120.62,120.62,0
107,2015-02-24,121.5,121.5,121.5,121.5,0
108,2015-02-25,120.61,120.61,120.61,120.61,0
109,2015-02-26,121.3,121.3,121.3,121.3,0
110,2015-02-27,121.84,121.84,121.84,121.84,0
111,2015-03-02,121.45,121.45,121.45,121.45,0
112,2015-03-03,120.2,120.2,120.2,120.2,0
113,2015-03-04,120.82,120.82,120.82,120.82,0
114,2015-03-05,122.09,122.09,122.09,122.09,0
115,2015-03-06,122.07,122.07,122.07,122.07,0
116,2015-03-09,121.84,121.84,121.84,121.84,0
117,2015-03-10,121.31,121.31,121.31,121.31,0
118,2015-03-11,123.29,123.29,123.29,123.29,0
119,2015-03-12,123.59,123.59,123.59,123.59,0
120,2015-03-13,124.39,124.39,124.39,124.39,0
121,2015-03-16,125.61,125.61,125.61,125.61,0
122,2015-03-17,124.88,124.88,124.88,124.88,0
123,2015-03-18,125.47,125.47,125.47,125.47,0
124,2015-03-19,125.78,125.78,125.78,125.78,0
125,2015-03-20,126.21,126.21,126.21,126.21,0
126,2015-03-23,125.2,125.2,125.2,125.2,0
127,2015-03-24,125.29,125.29,125.29,125.29,0
128,2015-03-25,123.86,123.86,123.86,123.86,0
129,2015-03-26,122.66,122.66,122.66,122.66,0
130,2015-03-27,123.42,123.42,123.42,123.42,0
131,2015-03-30,124.68,124.68,124.68,124.68,0
132,2015-03-31,124.12,124.12,124.12,124.12,0
133,2015-04-01,124.4,124.4,124.4,124.4,0
134,2015-04-02,124.59,124.59,124.59,124.59,0
135,2015-04-07,126.16,126.16,126.16,126.16,0
136,2015-04-08,126.16,126.16,126.16,126.16,0
137,2015-04-09,127.69,127.69,127.69,127.69,0
138,2015-04-10,128.92,128.92,128.92,128.92,0
139,2015-04-13,129.18,129.18,129.18,129.18,0
140,2015-04-14,128.57,128.57,128.57,128.57,0
141,2015-04-15,129.35,129.35,129.35,129.35,0
142,2015-04-16,128.49,128.49,128.49,128.49,0
143,2015-04-17,126.57,126.57,126.57,126.57,0
144,2015-04-20,127.67,127.67,127.67,127.67,0
145,2015-04-21,128.52,128.52,128.52,128.52,0
146,2015-04-22,128.33,128.33,128.33,128.33,0
147,2015-04-23,127.61,127.61,127.61,127.61,0
148,2015-04-24,128.33,128.33,128.33,128.33,0
149,2015-04-27,129.22,129.22,129.22,129.22,0
150,2015-04-28,127.35,127.35,127.35,127.35,0
151,2015-04-29,124.47,124.47,124.47,124.47,0
152,2015-04-30,124.3,124.3,124.3,124.3,0
153,2015-05-04,125.31,125.31,125.31,125.31,0
154,2015-05-05,123.64,123.64,123.64,123.64,0
155,2015-05-06,122.87,122.87,122.87,122.87,0
156,2015-05-07,123.31,123.31,123.31,123.31,0
157,2015-05-08,126.49,126.49,126.49,126.49,0
158,2015-05-11,126.6,126.6,126.6,126.6,0
159,2015-05-12,125.13,125.13,125.13,125.13,0
160,2015-05-13,124.99,124.99,124.99,124.99,0
161,2015-05-15,125.6,125.6,125.6,125.6,0
162,2015-05-18,125.87,125.87,125.87,125.87,0
163,2015-05-19,127.9,127.9,127.9,127.9,0
164,2015-05-20,128.32,128.32,128.32,128.32,0
165,2015-05-21,128.88,128.88,128.88,128.88,0
166,2015-05-22,128.86,128.86,128.86,128.86,0
167,2015-05-26,127.64,127.64,127.64,127.64,0
168,2015-05-27,129.5,129.5,129.5,129.5,0
169,2015-05-28,129.28,129.28,129.28,129.28,0
170,2015-05-29,127.73,127.73,127.73,127.73,0
171,2015-06-01,128.01,128.01,128.01,128.01,0
172,2015-06-02,126.52,126.52,126.52,126.52,0
173,2015-06-03,126.67,126.67,126.67,126.67,0
174,2015-06-04,125.52,125.52,125.52,125.52,0
175,2015-06-05,124.41,124.41,124.41,124.41,0
176,2015-06-08,123.39,123.39,123.39,123.39,0
177,2015-06-09,122.93,122.93,122.93,122.93,0
178,2015-06-10,124.49,124.49,124.49,124.49,0
179,2015-06-11,125.09,125.09,125.09,125.09,0
180,2015-06-12,123.9,123.9,123.9,123.9,0
181,2015-06-15,122.35,122.35,122.35,122.35,0
182,2015-06-16,123.08,123.08,123.08,123.08,0
183,2015-06-18,123.05,123.05,123.05,123.05,0
184,2015-06-19,123.16,123.16,123.16,123.16,0
185,2015-06-22,125.69,125.69,125.69,125.69,0
186,2015-06-24,126.31,126.31,126.31,126.31,0
187,2015-06-25,126.17,126.17,126.17,126.17,0
188,2015-06-26,126.35,126.35,126.35,126.35,0
189,2015-06-29,123.28,123.28,123.28,123.28,0
190,2015-06-30,121.92,121.92,121.92,121.92,0
191,2015-07-01,123.75,123.75,123.75,123.75,0
192,2015-07-02,123.33,123.33,123.33,123.33,0
193,2015-07-03,122.8,122.8,122.8,122.8,0
194,2015-07-06,121.66,121.66,121.66,121.66,0
195,2015-07-07,120.47,120.47,120.47,120.47,0
196,2015-07-08,120.07,120.07,120.07,120.07,0
197,2015-07-09,122.03,122.03,122.03,122.03,0
198,2015-07-10,124.41,124.41,124.41,124.41,0
199,2015-07-13,126.15,126.15,126.15,126.15,0
200,2015-07-14,126.54,126.54,126.54,126.54,0
201,2015-07-15,126.96,126.96,126.96,126.96,0
202,2015-07-16,128.22,128.22,128.22,128.22,0
203,2015-07-17,128.02,128.02,128.02,128.02,0
204,2015-07-20,128.83,128.83,128.83,128.83,0
205,2015-07-21,127.8,127.8,127.8,127.8,0
206,2015-07-22,127.75,127.75,127.75,127.75,0
207,2015-07-23,127.43,127.43,127.43,127.43,0
208,2015-07-24,126.48,126.48,126.48,126.48,0
209,2015-07-27,123.97,123.97,123.97,123.97,0
210,2015-07-28,124.74,124.74,124.74,124.74,0
211,2015-07-29,125.39,125.39,125.39,125.39,0
212,2015-07-30,126.08,126.08,126.08,126.08,0
213,2015-07-31,126.5,126.5,126.5,126.5,0
214,2015-08-03,127.7,127.7,127.7,127.7,0
215,2015-08-04,127.78,127.78,127.78,127.78,0
216,2015-08-05,128.59,128.59,128.59,128.59,0
217,2015-08-06,127.36,127.36,127.36,127.36,0
218,2015-08-07,126.18,126.18,126.18,126.18,0
219,2015-08-10,127.1,127.1,127.1,127.1,0
220,2015-08-11,125.28,125.28,125.28,125.28,0
221,2015-08-12,122.19,122.19,122.19,122.19,0
222,2015-08-13,123.4,123.4,123.4,123.4,0
223,2015-08-14,123.75,123.75,123.75,123.75,0
224,2015-08-17,123.98,123.98,123.98,123.98,0
225,2015-08-18,124.37,124.37,124.37,124.37,0
226,2015-08-19,122.34,122.34,122.34,122.34,0
227,2015-08-20,119.38,119.38,119.38,119.38,0
228,2015-08-21,116.21,116.21,116.21,116.21,0
229,2015-08-24,111.14,111.14,111.14,111.14,0
230,2015-08-25,115.13,115.13,115.13,115.13,0
231,2015-08-26,113.51,113.51,113.51,113.51,0
232,2015-08-27,116.86,116.86,116.86,116.86,0
233,2015-08-28,117.15,117.15,117.15,117.15,0
234,2015-08-31,116.73,116.73,116.73,116.73,0
235,2015-09-01,113.9,113.9,113.9,113.9,0
236,2015-09-02,114.16,114.16,114.16,114.16,0
237,2015-09-03,116.71,116.71,116.71,116.71,0
238,2015-09-04,113.92,113.92,113.92,113.92,0
239,2015-09-07,114.61,114.61,114.61,114.61,0
240,2015-09-08,115.89,115.89,115.89,115.89,0
241,2015-09-09,116.58,116.58,116.58,116.58,0
242,2015-09-10,115.66,115.66,115.66,115.66,0
243,2015-09-11,114.6,114.6,114.6,114.6,0
244,2015-09-14,113.97,113.97,113.97,113.97,0
245,2015-09-15,114.71,114.71,114.71,114.71,0
246,2015-09-16,115.98,115.98,115.98,115.98,0
247,2015-09-17,115.91,115.91,115.91,115.91,0
248,2015-09-18,114.25,114.25,114.25,114.25,0
249,2015-09-21,115.22,115.22,115.22,115.22,0
250,2015-09-22,112.1,112.1,112.1,112.1,0
251,2015-09-23,112.12,112.12,112.12,112.12,0
252,2015-09-24,110.15,110.15,110.15,110.15,0
253,2015-09-25,112.92,112.92,112.92,112.92,0
254,2015-09-28,110.83,110.83,110.83,110.83,0
255,2015-09-29,110.28,110.28,110.28,110.28,0
256,2015-09-30,113.0,113.0,113.0,113.0,0
257,2015-10-01,112.46,112.46,112.46,112.46,0
258,2015-10-02,113.05,113.05,113.05,113.05,0
259,2015-10-05,115.84,115.84,115.84,115.84,0
260,2015-10-06,116.55,116.55,116.55,116.55,0
261,2015-10-07,116.65,116.65,116.65,116.65,0
262,2015-10-08,117.33,117.33,117.33,117.33,0
263,2015-10-09,117.36,117.36,117.36,117.36,0
264,2015-10-12,117.02,117.02,117.02,117.02,0
265,2015-10-13,116.02,116.02,116.02,116.02,0
266,2015-10-14,115.07,115.07,115.07,115.07,0
267,2015-10-15,116.9,116.9,116.9,116.9,0
268,2015-10-16,117.33,117.33,117.33,117.33,0
269,2015-10-19,117.94,117.94,117.94,117.94,0
270,2015-10-20,117.47,117.47,117.47,117.47,0
271,2015-10-21,118.06,118.06,118.06,118.06,0
272,2015-10-22,120.01,120.01,120.01,120.01,0
273,2015-10-23,122.26,122.26,122.26,122.26,0
274,2015-10-26,122.01,122.01,122.01,122.01,0
275,2015-10-27,120.81,120.81,120.81,120.81,0
276,2015-10-28,121.85,121.85,121.85,121.85,0
277,2015-10-29,122.24,122.24,122.24,122.24,0
278,2015-10-30,122.19,122.19,122.19,122.19,0
279,2015-11-03,123.22,123.22,123.22,123.22,0
280,2015-11-04,123.87,123.87,123.87,123.87,0
281,2015-11-05,124.27,124.27,124.27,124.27,0
282,2015-11-06,124.3,124.3,124.3,124.3,0
283,2015-11-09,122.88,122.88,122.88,122.88,0
284,2015-11-10,123.24,123.24,123.24,123.24,0
285,2015-11-11,123.95,123.95,123.95,123.95,0
286,2015-11-12,122.67,122.67,122.67,122.67,0
287,2015-11-13,121.73,121.73,121.73,121.73,0
288,2015-11-16,122.58,122.58,122.58,122.58,0
289,2015-11-17,124.98,124.98,124.98,124.98,0
290,2015-11-18,124.73,124.73,124.73,124.73,0
291,2015-11-19,125.72,125.72,125.72,125.72,0
292,2015-11-20,126.09,126.09,126.09,126.09,0
293,2015-11-23,125.73,125.73,125.73,125.73,0
294,2015-11-24,124.13,124.13,124.13,124.13,0
295,2015-11-25,125.7,125.7,125.7,125.7,0
296,2015-11-26,126.61,126.61,126.61,126.61,0
297,2015-11-27,126.92,126.92,126.92,126.92,0
298,2015-11-30,127.31,127.31,127.31,127.31,0
299,2015-12-01,126.83,126.83,126.83,126.83,0
300,2015-12-02,126.88,126.88,126.88,126.88,0
301,2015-12-03,123.61,123.61,123.61,123.61,0
302,2015-12-04,123.68,123.68,123.68,123.68,0
303,2015-12-07,124.55,124.55,124.55,124.55,0
304,2015-12-08,122.89,122.89,122.89,122.89,0
305,2015-12-09,122.4,122.4,122.4,122.4,0
306,2015-12-10,121.88,121.88,121.88,121.88,0
307,2015-12-11,119.99,119.99,119.99,119.99,0
308,2015-12-14,118.36,118.36,118.36,118.36,0
309,2015-12-15,120.72,120.72,120.72,120.72,0
310,2015-12-16,121.39,121.39,121.39,121.39,0
311,2015-12-17,122.43,122.43,122.43,122.43,0
312,2015-12-18,121.06,121.06,121.06,121.06,0
313,2015-12-21,119.99,119.99,119.99,119.99,0
314,2015-12-22,119.63,119.63,119.63,119.63,0
315,2015-12-23,122.1,122.1,122.1,122.1,0
316,2015-12-28,121.49,121.49,121.49,121.49,0
317,2015-12-29,123.31,123.31,123.31,123.31,0
318,2015-12-30,122.9,122.9,122.9,122.9,0
319,2015-12-31,122.21,122.21,122.21,122.21,0
320,2016-01-04,119.8,119.8,119.8,119.8,0
321,2016-01-05,120.3,120.3,120.3,120.3,0
322,2016-01-06,118.8,118.8,118.8,118.8,0
323,2016-01-07,116.63,116.63,116.63,116.63,0
324,2016-01-08,115.36,115.36,115.36,115.36,0
325,2016-01-11,114.86,114.86,114.86,114.86,0
326,2016-01-12,116.36,116.36,116.36,116.36,0
327,2016-01-13,116.48,116.48,116.48,116.48,0
328,2016-01-14,114.77,114.77,114.77,114.77,0
329,2016-01-15,111.97,111.97,111.97,111.97,0
330,2016-01-18,111.69,111.69,111.69,111.69,0
331,2016-01-19,112.96,112.96,112.96,112.96,0
332,2016-01-20,110.07,110.07,110.07,110.07,0
333,2016-01-21,111.52,111.52,111.52,111.52,0
334,2016-01-22,114.56,114.56,114.56,114.56,0
335,2016-01-25,114.12,114.12,114.12,114.12,0
336,2016-01-26,114.78,114.78,114.78,114.78,0
337,2016-01-27,115.4,115.4,115.4,115.4,0
338,2016-01-28,113.88,113.88,113.88,113.88,0
339,2016-01-29,116.31,116.31,116.31,116.31,0
340,2016-02-01,116.32,116.32,116.32,116.32,0
341,2016-02-02,114.7,114.7,114.7,114.7,0
342,2016-02-03,113.75,113.75,113.75,113.75,0
343,2016-02-04,113.38,113.38,113.38,113.38,0
344,2016-02-05,112.34,112.34,112.34,112.34,0
345,2016-02-08,108.62,108.62,108.62,108.62,0
346,2016-02-09,108.13,108.13,108.13,108.13,0
347,2016-02-10,109.73,109.73,109.73,109.73,0
348,2016-02-11,106.35,106.35,106.35,106.35,0
349,2016-02-12,108.27,108.27,108.27,108.27,0
350,2016-02-15,111.42,111.42,111.42,111.42,0
351,2016-02-16,111.13,111.13,111.13,111.13,0
352,2016-02-17,113.48,113.48,113.48,113.48,0
353,2016-02-18,113.94,113.94,113.94,113.94,0
354,2016-02-19,113.61,113.61,113.61,113.61,0
355,2016-02-22,115.18,115.18,115.18,115.18,0
356,2016-02-23,114.24,114.24,114.24,114.24,0
357,2016-02-24,111.96,111.96,111.96,111.96,0
358,2016-02-25,113.41,113.41,113.41,113.41,0
359,2016-02-26,114.29,114.29,114.29,114.29,0
360,2016-02-29,115.04,115.04,115.04,115.04,0
361,2016-03-01,116.92,116.92,116.92,116.92,0
362,2016-03-02,116.71,116.71,116.71,116.71,0
363,2016-03-03,116.22,116.22,116.22,116.22,0
364,2016-03-04,116.71,116.71,116.71,116.71,0
365,2016-03-07,116.39,116.39,116.39,116.39,0
366,2016-03-08,115.23,115.23,115.23,115.23,0
367,2016-03-09,115.78,115.78,115.78,115.78,0
368,2016-03-10,114.01,114.01,114.01,114.01,0
369,2016-03-11,116.18,116.18,116.18,116.18,0
370,2016-03-14,116.95,116.95,116.95,116.95,0
371,2016-03-15,115.91,115.91,115.91,115.91,0
372,2016-03-16,116.39,116.39,116.39,116.39,0
373,2016-03-17,116.57,116.57,116.57,116.57,0
374,2016-03-18,116.83,116.83,116.83,116.83,0
375,2016-03-21,116.76,116.76,116.76,116.76,0
376,2016-03-22,116.61,116.61,116.61,116.61,0
377,2016-03-23,117.11,117.11,117.11,117.11,0
378,2016-03-24,116.09,116.09,116.09,116.09,0
379,2016-03-29,116.96,116.96,116.96,116.96,0
380,2016-03-30,118.43,118.43,118.43,118.43,0
381,2016-03-31,117.39,117.39,117.39,117.39,0
382,2016-04-01,116.18,116.18,116.18,116.18,0
383,2016-04-04,116.59,116.59,116.59,116.59,0
384,2016-04-05,114.73,114.73,114.73,114.73,0
385,2016-04-06,115.7,115.7,115.7,115.7,0
386,2016-04-07,115.1,115.1,115.1,115.1,0
387,2016-04-08,116.17,116.17,116.17,116.17,0
388,2016-04-11,116.25,116.25,116.25,116.25,0
389,2016-04-12,116.62,116.62,116.62,116.62,0
390,2016-04-13,118.45,118.45,118.45,118.45,0
391,2016-04-14,118.6,118.6,118.6,118.6,0
392,2016-04-15,118.12,118.12,118.12,118.12,0
393,2016-04-18,118.52,118.52,118.52,118.52,0
394,2016-04-19,119.92,119.92,119.92,119.92,0
395,2016-04-20,119.71,119.71,119.71,119.71,0
396,2016-04-21,119.27,119.27,119.27,119.27,0
397,2016-04-22,118.95,118.95,118.95,118.95,0
398,2016-04-25,118.82,118.82,118.82,118.82,0
399,2016-04-26,118.83,118.83,118.83,118.83,0
400,2016-04-27,119.41,119.41,119.41,119.41,0
401,2016-04-28,119.59,119.59,119.59,119.59,0
402,2016-04-29,118.07,118.07,118.07,118.07,0
403,2016-05-02,118.3,118.3,118.3,118.3,0
404,2016-05-03,116.92,116.92,116.92,116.92,0
405,2016-05-04,116.21,116.21,116.21,116.21,0
406,2016-05-09,117.42,117.42,117.42,117.42,0
407,2016-05-10,118.14,118.14,118.14,118.14,0
408,2016-05-11,117.49,117.49,117.49,117.49,0
409,2016-05-12,117.43,117.43,117.43,117.43,0
410,2016-05-17,117.59,117.59,117.59,117.59,0
411,2016-05-18,118.09,118.09,118.09,118.09,0
412,2016-05-19,117.32,117.32,117.32,117.32,0
413,2016-05-20,118.64,118.64,118.64,118.64,0
414,2016-05-23,118.3,118.3,118.3,118.3,0
415,2016-05-24,120.29,120.29,120.29,120.29,0
416,2016-05-25,120.93,120.93,120.93,120.93,0
417,2016-05-26,121.24,121.24,121.24,121.24,0
418,2016-05-27,121.69,121.69,121.69,121.69,0
419,2016-05-30,121.76,121.76,121.76,121.76,0
420,2016-06-01,120.64,120.64,120.64,120.64,0
421,2016-06-02,120.74,120.74,120.74,120.74,0
422,2016-06-03,120.16,120.16,120.16,120.16,0
423,2016-06-06,120.29,120.29,120.29,120.29,0
424,2016-06-07,121.2,121.2,121.2,121.2,0
425,2016-06-08,120.59,120.59,120.59,120.59,0
426,2016-06-09,119.96,119.96,119.96,119.96,0
427,2016-06-10,117.54,117.54,117.54,117.54,0
428,2016-06-13,115.86,115.86,115.86,115.86,0
429,2016-06-14,114.11,114.11,114.11,114.11,0
430,2016-06-15,114.93,114.93,114.93,114.93,0
431,2016-06-16,113.99,113.99,113.99,113.99,0
432,2016-06-17,114.89,114.89,114.89,114.89,0
433,2016-06-20,118.56,118.56,118.56,118.56,0
434,2016-06-21,119.04,119.04,119.04,119.04,0
435,2016-06-22,119.4,119.4,119.4,119.4,0
436,2016-06-24,114.26,114.26,114.26,114.26,0
437,2016-06-27,109.89,109.89,109.89,109.89,0
438,2016-06-28,112.72,112.72,112.72,112.72,0
439,2016-06-29,115.8,115.8,115.8,115.8,0
440,2016-06-30,117.18,117.18,117.18,117.18,0
441,2016-07-01,117.91,117.91,117.91,117.91,0
442,2016-07-04,117.12,117.12,117.12,117.12,0
443,2016-07-05,115.7,115.7,115.7,115.7,0
444,2016-07-06,114.22,114.22,114.22,114.22,0
445,2016-07-07,115.09,115.09,115.09,115.09,0
446,2016-07-08,116.61,116.61,116.61,116.61,0
447,2016-07-11,118.22,118.22,118.22,118.22,0
448,2016-07-12,118.76,118.76,118.76,118.76,0
449,2016-07-13,119.03,119.03,119.03,119.03,0
450,2016-07-14,119.78,119.78,119.78,119.78,0
451,2016-07-15,119.54,119.54,119.54,119.54,0
452,2016-07-18,120.05,120.05,120.05,120.05,0
453,2016-07-19,119.7,119.7,119.7,119.7,0
454,2016-07-20,120.66,120.66,120.66,120.66,0
455,2016-07-21,120.12,120.12,120.12,120.12,0
456,2016-07-22,120.21,120.21,120.21,120.21,0
457,2016-07-25,120.4,120.4,120.4,120.4,0
458,2016-07-26,120.61,120.61,120.61,120.61,0
459,2016-07-27,120.89,120.89,120.89,120.89,0
460,2016-07-28,120.5,120.5,120.5,120.5,0
461,2016-07-29,120.79,120.79,120.79,120.79,0
462,2016-08-01,120.56,120.56,120.56,120.56,0
463,2016-08-02,119.55,119.55,119.55,119.55,0
464,2016-08-03,119.17,119.17,119.17,119.17,0
465,2016-08-04,119.81,119.81,119.81,119.81,0
466,2016-08-05,120.72,120.72,120.72,120.72,0
467,2016-08-08,120.75,120.75,120.75,120.75,0
468,2016-08-09,122.01,122.01,122.01,122.01,0
469,2016-08-10,121.35,121.35,121.35,121.35,0
470,2016-08-11,122.73,122.73,122.73,122.73,0
471,2016-08-12,122.51,122.51,122.51,122.51,0
472,2016-08-16,121.79,121.79,121.79,121.79,0
473,2016-08-17,120.93,120.93,120.93,120.93,0
474,2016-08-18,122.09,122.09,122.09,122.09,0
475,2016-08-19,121.75,121.75,121.75,121.75,0
476,2016-08-22,122.08,122.08,122.08,122.08,0
477,2016-08-23,122.58,122.58,122.58,122.58,0
478,2016-08-24,122.78,122.78,122.78,122.78,0
479,2016-08-25,122.17,122.17,122.17,122.17,0
480,2016-08-26,122.76,122.76,122.76,122.76,0
481,2016-08-29,122.63,122.63,122.63,122.63,0
482,2016-08-30,122.83,122.83,122.83,122.83,0
483,2016-08-31,122.16,122.16,122.16,122.16,0
484,2016-09-01,122.37,122.37,122.37,122.37,0
485,2016-09-02,124.56,124.56,124.56,124.56,0
486,2016-09-05,124.7,124.7,124.7,124.7,0
487,2016-09-06,124.48,124.48,124.48,124.48,0
488,2016-09-07,124.75,124.75,124.75,124.75,0
489,2016-09-08,124.08,124.08,124.08,124.08,0
490,2016-09-09,122.33,122.33,122.33,122.33,0
491,2016-09-12,121.37,121.37,121.37,121.37,0
492,2016-09-13,120.68,120.68,120.68,120.68,0
493,2016-09-14,120.71,120.71,120.71,120.71,0
494,2016-09-15,121.37,121.37,121.37,121.37,0
495,2016-09-16,120.79,120.79,120.79,120.79,0
496,2016-09-19,121.95,121.95,121.95,121.95,0
497,2016-09-20,122.06,122.06,122.06,122.06,0
498,2016-09-21,122.36,122.36,122.36,122.36,0
499,2016-09-22,124.05,124.05,124.05,124.05,0
500,2016-09-23,123.18,123.18,123.18,123.18,0
501,2016-09-26,121.74,121.74,121.74,121.74,0
502,2016-09-27,121.87,121.87,121.87,121.87,0
503,2016-09-28,122.65,122.65,122.65,122.65,0
