,date,open,close,high,low,volumme
0,2014-09-17,97.37,97.37,97.37,97.37,0
1,2014-09-18,97.54,97.54,97.54,97.54,0
2,2014-09-19,98.14,98.14,98.14,98.14,0
3,2014-09-22,97.7,97.7,97.7,97.7,0
4,2014-09-23,96.73,96.73,96.73,96.73,0
5,2014-09-24,96.94,96.94,96.94,96.94,0
6,2014-09-25,96.33,96.33,96.33,96.33,0
7,2014-09-26,96.12,96.12,96.12,96.12,0
8,2014-09-29,95.86,95.86,95.86,95.86,0
9,2014-09-30,96.13,96.13,96.13,96.13,0
10,2014-10-01,95.68,95.68,95.68,95.68,0
11,2014-10-02,94.34,94.34,94.34,94.34,0
12,2014-10-03,94.66,94.66,94.66,94.66,0
13,2014-10-06,94.67,94.67,94.67,94.67,0
14,2014-10-07,93.55,93.55,93.55,93.55,0
15,2014-10-08,92.12,92.12,92.12,92.12,0
16,2014-10-09,91.61,91.61,91.61,91.61,0
17,2014-10-10,89.89,89.89,89.89,89.89,0
18,2014-10-13,89.22,89.22,89.22,89.22,0
19,2014-10-14,89.56,89.56,89.56,89.56,0
20,2014-10-15,88.04,88.04,88.04,88.04,0
21,2014-10-16,86.75,86.75,86.75,86.75,0
22,2014-10-17,88.82,88.82,88.82,88.82,0
23,2014-10-20,89.13,89.13,89.13,89.13,0
24,2014-10-21,90.47,90.47,90.47,90.47,0
25,2014-10-22,91.04,91.04,91.04,91.04,0
26,2014-10-23,91.19,91.19,91.19,91.19,0
27,2014-10-24,91.05,91.05,91.05,91.05,0
28,2014-10-27,90.8,90.8,90.8,90.8,0
29,2014-10-28,91.43,91.43,91.43,91.43,0
30,2014-10-29,91.37,91.37,91.37,91.37,0
31,2014-10-30,91.2,91.2,91.2,91.2,0
32,2014-10-31,91.96,91.96,91.96,91.96,0
33,2014-11-03,92.29,92.29,92.29,92.29,0
34,2014-11-04,92.27,92.27,92.27,92.27,0
35,2014-11-05,92.56,92.56,92.56,92.56,0
36,2014-11-06,93.47,93.47,93.47,93.47,0
37,2014-11-07,93.85,93.85,93.85,93.85,0
38,2014-11-10,94.36,94.36,94.36,94.36,0
39,2014-11-12,94.83,94.83,94.83,94.83,0
40,2014-11-13,95.38,95.38,95.38,95.38,0
41,2014-11-14,95.1,95.1,95.1,95.1,0
42,2014-11-17,94.71,94.71,94.71,94.71,0
43,2014-11-18,95.08,95.08,95.08,95.08,0
44,2014-11-19,94.76,94.76,94.76,94.76,0
45,2014-11-20,95.11,95.11,95.11,95.11,0
46,2014-11-21,95.89,95.89,95.89,95.89,0
47,2014-11-24,96.51,96.51,96.51,96.51,0
48,2014-11-25,97.23,97.23,97.23,97.23,0
49,2014-11-26,97.74,97.74,97.74,97.74,0
50,2014-11-27,97.92,97.92,97.92,97.92,0
51,2014-11-28,98.04,98.04,98.04,98.04,0
52,2014-12-01,97.75,97.75,97.75,97.75,0
53,2014-12-02,97.66,97.66,97.66,97.66,0
54,2014-12-03,97.55,97.55,97.55,97.55,0
55,2014-12-04,97.61,97.61,97.61,97.61,0
56,2014-12-05,98.64,98.64,98.64,98.64,0
57,2014-12-08,98.72,98.72,98.72,98.72,0
58,2014-12-09,97.53,97.53,97.53,97.53,0
59,2014-12-10,97.41,97.41,97.41,97.41,0
60,2014-12-11,96.65,96.65,96.65,96.65,0
61,2014-12-14,95.35,95.35,95.35,95.35,0
62,2014-12-15,94.22,94.22,94.22,94.22,0
63,2014-12-16,93.58,93.58,93.58,93.58,0
64,2014-12-17,93.74,93.74,93.74,93.74,0
65,2014-12-18,95.16,95.16,95.16,95.16,0
66,2014-12-19,95.7,95.7,95.7,95.7,0
67,2014-12-22,95.87,95.87,95.87,95.87,0
68,2014-12-23,96.08,96.08,96.08,96.08,0
69,2014-12-24,95.71,95.71,95.71,95.71,0
70,2014-12-29,95.44,95.44,95.44,95.44,0
71,2014-12-30,95.72,95.72,95.72,95.72,0
72,2014-12-31,96.21,96.21,96.21,96.21,0
73,2015-01-02,96.27,96.27,96.27,96.27,0
74,2015-01-05,95.9,95.9,95.9,95.9,0
75,2015-01-06,95.62,95.62,95.62,95.62,0
76,2015-01-07,95.49,95.49,95.49,95.49,0
77,2015-01-08,96.03,96.03,96.03,96.03,0
78,2015-01-09,96.05,96.05,96.05,96.05,0
79,2015-01-12,96.23,96.23,96.23,96.23,0
80,2015-01-13,96.53,96.53,96.53,96.53,0
81,2015-01-14,96.01,96.01,96.01,96.01,0
82,2015-01-15,96.48,96.48,96.48,96.48,0
83,2015-01-16,96.56,96.56,96.56,96.56,0
84,2015-01-19,96.47,96.47,96.47,96.47,0
85,2015-01-20,96.77,96.77,96.77,96.77,0
86,2015-01-21,96.72,96.72,96.72,96.72,0
87,2015-01-22,97.23,97.23,97.23,97.23,0
88,2015-01-23,98.54,98.54,98.54,98.54,0
89,2015-01-26,98.77,98.77,98.77,98.77,0
90,2015-01-27,98.96,98.96,98.96,98.96,0
91,2015-01-28,99.14,99.14,99.14,99.14,0
92,2015-01-29,99.24,99.24,99.24,99.24,0
93,2015-01-30,99.41,99.41,99.41,99.41,0
94,2015-02-02,100.04,100.04,100.04,100.04,0
95,2015-02-03,100.87,100.87,100.87,100.87,0
96,2015-02-04,100.79,100.79,100.79,100.79,0
97,2015-02-05,101.44,101.44,101.44,101.44,0
98,2015-02-06,101.47,101.47,101.47,101.47,0
99,2015-02-09,101.37,101.37,101.37,101.37,0
100,2015-02-10,101.86,101.86,101.86,101.86,0
101,2015-02-11,101.92,101.92,101.92,101.92,0
102,2015-02-12,102.4,102.4,102.4,102.4,0
103,2015-02-13,102.56,102.56,102.56,102.56,0
104,2015-02-16,102.62,102.62,102.62,102.62,0
105,2015-02-17,103.18,103.18,103.18,103.18,0
106,2015-02-18,103.46,103.46,103.46,103.46,0
107,2015-02-19,103.56,103.56,103.56,103.56,0
108,2015-02-20,103.71,103.71,103.71,103.71,0
109,2015-02-23,103.77,103.77,103.77,103.77,0
110,2015-02-24,104.29,104.29,104.29,104.29,0
111,2015-02-25,104.21,104.21,104.21,104.21,0
112,2015-02-26,104.8,104.8,104.8,104.8,0
113,2015-02-27,105.19,105.19,105.19,105.19,0
114,2015-03-02,105.1,105.1,105.1,105.1,0
115,2015-03-03,104.48,104.48,104.48,104.48,0
116,2015-03-04,105.32,105.32,105.32,105.32,0
117,2015-03-05,105.97,105.97,105.97,105.97,0
118,2015-03-06,106.41,106.41,106.41,106.41,0
119,2015-03-09,105.99,105.99,105.99,105.99,0
120,2015-03-10,105.75,105.75,105.75,105.75,0
121,2015-03-11,108.19,108.19,108.19,108.19,0
122,2015-03-12,108.24,108.24,108.24,108.24,0
123,2015-03-13,108.64,108.64,108.64,108.64,0
124,2015-03-16,109.62,109.62,109.62,109.62,0
125,2015-03-17,109.0,109.0,109.0,109.0,0
126,2015-03-18,108.39,108.39,108.39,108.39,0
127,2015-03-19,108.75,108.75,108.75,108.75,0
128,2015-03-20,109.56,109.56,109.56,109.56,0
129,2015-03-23,109.15,109.15,109.15,109.15,0
130,2015-03-24,109.48,109.48,109.48,109.48,0
131,2015-03-25,109.38,109.38,109.38,109.38,0
132,2015-03-26,108.9,108.9,108.9,108.9,0
133,2015-03-27,109.24,109.24,109.24,109.24,0
134,2015-03-30,110.03,110.03,110.03,110.03,0
135,2015-03-31,110.42,110.42,110.42,110.42,0
136,2015-04-01,110.56,110.56,110.56,110.56,0
137,2015-04-02,110.78,110.78,110.78,110.78,0
138,2015-04-07,112.05,112.05,112.05,112.05,0
139,2015-04-08,112.54,112.54,112.54,112.54,0
140,2015-04-09,113.62,113.62,113.62,113.62,0
141,2015-04-10,114.5,114.5,114.5,114.5,0
142,2015-04-13,114.75,114.75,114.75,114.75,0
143,2015-04-14,114.36,114.36,114.36,114.36,0
144,2015-04-15,115.21,115.21,115.21,115.21,0
145,2015-04-16,114.93,114.93,114.93,114.93,0
146,2015-04-17,112.92,112.92,112.92,112.92,0
147,2015-04-20,113.4,113.4,113.4,113.4,0
148,2015-04-21,113.62,113.62,113.62,113.62,0
149,2015-04-22,113.65,113.65,113.65,113.65,0
150,2015-04-23,113.55,113.55,113.55,113.55,0
151,2015-04-24,113.74,113.74,113.74,113.74,0
152,2015-04-27,114.31,114.31,114.31,114.31,0
153,2015-04-28,113.54,113.54,113.54,113.54,0
154,2015-04-29,112.22,112.22,112.22,112.22,0
155,2015-04-30,111.99,111.99,111.99,111.99,0
156,2015-05-04,111.84,111.84,111.84,111.84,0
157,2015-05-05,111.22,111.22,111.22,111.22,0
158,2015-05-06,111.23,111.23,111.23,111.23,0
159,2015-05-07,111.12,111.12,111.12,111.12,0
160,2015-05-11,113.39,113.39,113.39,113.39,0
161,2015-05-12,112.85,112.85,112.85,112.85,0
162,2015-05-13,113.63,113.63,113.63,113.63,0
163,2015-05-18,114.53,114.53,114.53,114.53,0
164,2015-05-19,115.89,115.89,115.89,115.89,0
165,2015-05-20,116.64,116.64,116.64,116.64,0
166,2015-05-21,117.82,117.82,117.82,117.82,0
167,2015-05-22,118.4,118.4,118.4,118.4,0
168,2015-05-26,118.65,118.65,118.65,118.65,0
169,2015-05-27,118.75,118.75,118.75,118.75,0
170,2015-05-28,118.44,118.44,118.44,118.44,0
171,2015-05-29,117.77,117.77,117.77,117.77,0
172,2015-06-01,118.17,118.17,118.17,118.17,0
173,2015-06-02,118.04,118.04,118.04,118.04,0
174,2015-06-03,117.8,117.8,117.8,117.8,0
175,2015-06-04,116.74,116.74,116.74,116.74,0
176,2015-06-05,115.76,115.76,115.76,115.76,0
177,2015-06-08,114.59,114.59,114.59,114.59,0
