,date,open,close,high,low,volumme
0,2014-09-17,1.029,1.029,1.029,1.029,0
1,2014-09-18,1.039,1.039,1.039,1.039,0
2,2014-09-19,1.044,1.044,1.044,1.044,0
3,2014-09-22,1.04,1.04,1.04,1.04,0
4,2014-09-23,1.026,1.026,1.026,1.026,0
5,2014-09-24,1.022,1.022,1.022,1.022,0
6,2014-09-25,1.035,1.035,1.035,1.035,0
7,2014-09-26,1.025,1.025,1.025,1.025,0
8,2014-09-29,1.022,1.022,1.022,1.022,0
9,2014-09-30,1.028,1.028,1.028,1.028,0
10,2014-10-01,1.032,1.032,1.032,1.032,0
11,2014-10-02,1.019,1.019,1.019,1.019,0
12,2014-10-03,1.003,1.003,1.003,1.003,0
13,2014-10-06,1.011,1.011,1.011,1.011,0
14,2014-10-07,0.996,0.996,0.996,0.996,0
15,2014-10-08,0.986,0.986,0.986,0.986,0
16,2014-10-09,0.982,0.982,0.982,0.982,0
17,2014-10-10,0.959,0.959,0.959,0.959,0
18,2014-10-13,0.963,0.963,0.963,0.963,0
19,2014-10-14,0.949,0.949,0.949,0.949,0
20,2014-10-15,0.949,0.949,0.949,0.949,0
21,2014-10-16,0.906,0.906,0.906,0.906,0
22,2014-10-17,0.933,0.933,0.933,0.933,0
23,2014-10-20,0.939,0.939,0.939,0.939,0
24,2014-10-21,0.958,0.958,0.958,0.958,0
25,2014-10-22,0.963,0.963,0.963,0.963,0
26,2014-10-23,0.967,0.967,0.967,0.967,0
27,2014-10-24,0.98,0.98,0.98,0.98,0
28,2014-10-28,0.981,0.981,0.981,0.981,0
29,2014-10-29,0.984,0.984,0.984,0.984,0
30,2014-10-30,0.97,0.97,0.97,0.97,0
31,2014-10-31,1.005,1.005,1.005,1.005,0
32,2014-11-03,1.002,1.002,1.002,1.002,0
33,2014-11-04,1.002,1.002,1.002,1.002,0
34,2014-11-05,1.003,1.003,1.003,1.003,0
35,2014-11-06,1.005,1.005,1.005,1.005,0
36,2014-11-07,1.003,1.003,1.003,1.003,0
37,2014-11-10,1.0,1.0,1.0,1.0,0
38,2014-11-11,1.011,1.011,1.011,1.011,0
39,2014-11-12,1.001,1.001,1.001,1.001,0
40,2014-11-13,1.004,1.004,1.004,1.004,0
41,2014-11-14,0.997,0.997,0.997,0.997,0
42,2014-11-17,0.999,0.999,0.999,0.999,0
43,2014-11-18,1.015,1.015,1.015,1.015,0
44,2014-11-19,1.019,1.019,1.019,1.019,0
45,2014-11-20,1.01,1.01,1.01,1.01,0
46,2014-11-21,1.028,1.028,1.028,1.028,0
47,2014-11-24,1.042,1.042,1.042,1.042,0
48,2014-11-25,1.044,1.044,1.044,1.044,0
49,2014-11-26,1.044,1.044,1.044,1.044,0
50,2014-11-27,1.047,1.047,1.047,1.047,0
51,2014-11-28,1.049,1.049,1.049,1.049,0
52,2014-12-01,1.051,1.051,1.051,1.051,0
53,2014-12-02,1.049,1.049,1.049,1.049,0
54,2014-12-03,1.052,1.052,1.052,1.052,0
55,2014-12-04,1.058,1.058,1.058,1.058,0
56,2014-12-05,1.057,1.057,1.057,1.057,0
57,2014-12-08,1.062,1.062,1.062,1.062,0
58,2014-12-09,1.047,1.047,1.047,1.047,0
59,2014-12-10,1.041,1.041,1.041,1.041,0
60,2014-12-11,1.027,1.027,1.027,1.027,0
61,2014-12-12,1.022,1.022,1.022,1.022,0
