,date,open,close,high,low,volumme
0,2014-09-17,98.94,98.94,98.94,98.94,0
1,2014-09-18,99.45,99.45,99.45,99.45,0
2,2014-09-19,99.67,99.67,99.67,99.67,0
3,2014-09-22,99.39,99.39,99.39,99.39,0
4,2014-09-23,98.31,98.31,98.31,98.31,0
5,2014-09-24,98.31,98.31,98.31,98.31,0
6,2014-09-25,97.77,97.77,97.77,97.77,0
7,2014-09-26,97.91,97.91,97.91,97.91,0
8,2014-09-29,98.01,98.01,98.01,98.01,0
9,2014-09-30,97.95,97.95,97.95,97.95,0
10,2014-10-01,97.26,97.26,97.26,97.26,0
11,2014-10-02,96.25,96.25,96.25,96.25,0
12,2014-10-03,97.1,97.1,97.1,97.1,0
13,2014-10-06,97.05,97.05,97.05,97.05,0
14,2014-10-07,96.27,96.27,96.27,96.27,0
15,2014-10-08,95.89,95.89,95.89,95.89,0
16,2014-10-09,95.03,95.03,95.03,95.03,0
17,2014-10-10,94.65,94.65,94.65,94.65,0
18,2014-10-13,94.31,94.31,94.31,94.31,0
19,2014-10-14,94.82,94.82,94.82,94.82,0
20,2014-10-15,93.91,93.91,93.91,93.91,0
21,2014-10-16,93.89,93.89,93.89,93.89,0
22,2014-10-17,94.98,94.98,94.98,94.98,0
23,2014-10-20,95.0,95.0,95.0,95.0,0
24,2014-10-21,96.09,96.09,96.09,96.09,0
25,2014-10-22,96.7,96.7,96.7,96.7,0
26,2014-10-23,96.75,96.75,96.75,96.75,0
27,2014-10-24,96.63,96.63,96.63,96.63,0
28,2014-10-27,96.87,96.87,96.87,96.87,0
29,2014-10-28,97.29,97.29,97.29,97.29,0
30,2014-10-29,97.73,97.73,97.73,97.73,0
31,2014-10-30,98.03,98.03,98.03,98.03,0
32,2014-10-31,98.11,98.11,98.11,98.11,0
33,2014-11-03,97.82,97.82,97.82,97.82,0
34,2014-11-04,97.8,97.8,97.8,97.8,0
35,2014-11-05,97.93,97.93,97.93,97.93,0
36,2014-11-06,97.77,97.77,97.77,97.77,0
37,2014-11-07,97.72,97.72,97.72,97.72,0
38,2014-11-10,98.08,98.08,98.08,98.08,0
