,date,open,close,high,low,volumme
0,2014-11-25,25.82,25.82,25.82,25.82,0
1,2014-11-26,25.82,25.82,25.82,25.82,0
2,2014-11-27,25.86,25.86,25.86,25.86,0
3,2014-11-28,25.85,25.85,25.85,25.85,0
4,2014-12-01,25.75,25.75,25.75,25.75,0
5,2014-12-02,25.88,25.88,25.88,25.88,0
6,2014-12-03,25.99,25.99,25.99,25.99,0
7,2014-12-04,25.69,25.69,25.69,25.69,0
8,2014-12-05,26.09,26.09,26.09,26.09,0
9,2014-12-08,25.9,25.9,25.9,25.9,0
10,2014-12-09,25.32,25.32,25.32,25.32,0
11,2014-12-10,25.29,25.29,25.29,25.29,0
12,2014-12-11,25.29,25.29,25.29,25.29,0
13,2014-12-12,24.65,24.65,24.65,24.65,0
14,2014-12-15,24.16,24.16,24.16,24.16,0
15,2014-12-16,24.43,24.43,24.43,24.43,0
16,2014-12-17,24.51,24.51,24.51,24.51,0
17,2014-12-18,25.27,25.27,25.27,25.27,0
18,2014-12-19,25.39,25.39,25.39,25.39,0
19,2014-12-22,25.54,25.54,25.54,25.54,0
20,2014-12-23,25.63,25.63,25.63,25.63,0
21,2014-12-29,25.66,25.66,25.66,25.66,0
22,2014-12-30,25.43,25.43,25.43,25.43,0
23,2014-12-31,25.49,25.49,25.49,25.49,0
24,2015-01-02,25.44,25.44,25.44,25.44,0
25,2015-01-05,24.93,24.93,24.93,24.93,0
26,2015-01-06,24.73,24.73,24.73,24.73,0
27,2015-01-07,24.82,24.82,24.82,24.82,0
28,2015-01-08,25.48,25.48,25.48,25.48,0
29,2015-01-09,25.21,25.21,25.21,25.21,0
30,2015-01-12,25.42,25.42,25.42,25.42,0
31,2015-01-13,25.8,25.8,25.8,25.8,0
32,2015-01-14,25.51,25.51,25.51,25.51,0
33,2015-01-15,26.14,26.14,26.14,26.14,0
34,2015-01-16,26.41,26.41,26.41,26.41,0
35,2015-01-19,26.48,26.48,26.48,26.48,0
36,2015-01-20,26.65,26.65,26.65,26.65,0
37,2015-01-21,26.76,26.76,26.76,26.76,0
38,2015-01-22,27.1,27.1,27.1,27.1,0
39,2015-01-23,27.65,27.65,27.65,27.65,0
40,2015-01-26,27.86,27.86,27.86,27.86,0
41,2015-01-27,27.54,27.54,27.54,27.54,0
42,2015-01-28,27.64,27.64,27.64,27.64,0
43,2015-01-29,27.62,27.62,27.62,27.62,0
44,2015-01-30,27.5,27.5,27.5,27.5,0
45,2015-02-02,27.49,27.49,27.49,27.49,0
46,2015-02-03,27.67,27.67,27.67,27.67,0
47,2015-02-04,27.79,27.79,27.79,27.79,0
48,2015-02-05,27.82,27.82,27.82,27.82,0
49,2015-02-06,27.83,27.83,27.83,27.83,0
50,2015-02-09,27.54,27.54,27.54,27.54,0
51,2015-02-10,27.76,27.76,27.76,27.76,0
52,2015-02-11,27.74,27.74,27.74,27.74,0
53,2015-02-12,27.96,27.96,27.96,27.96,0
54,2015-02-13,28.03,28.03,28.03,28.03,0
55,2015-02-16,27.99,27.99,27.99,27.99,0
56,2015-02-17,28.02,28.02,28.02,28.02,0
57,2015-02-18,28.27,28.27,28.27,28.27,0
58,2015-02-19,28.32,28.32,28.32,28.32,0
59,2015-02-20,28.38,28.38,28.38,28.38,0
60,2015-02-23,28.61,28.61,28.61,28.61,0
61,2015-02-24,28.73,28.73,28.73,28.73,0
62,2015-02-25,28.72,28.72,28.72,28.72,0
63,2015-02-26,29.03,29.03,29.03,29.03,0
64,2015-02-27,29.15,29.15,29.15,29.15,0
65,2015-03-02,29.13,29.13,29.13,29.13,0
66,2015-03-03,28.84,28.84,28.84,28.84,0
67,2015-03-04,29.04,29.04,29.04,29.04,0
68,2015-03-05,29.37,29.37,29.37,29.37,0
69,2015-03-06,29.47,29.47,29.47,29.47,0
70,2015-03-09,29.46,29.46,29.46,29.46,0
71,2015-03-10,29.28,29.28,29.28,29.28,0
72,2015-03-11,29.78,29.78,29.78,29.78,0
73,2015-03-12,29.78,29.78,29.78,29.78,0
74,2015-03-13,29.97,29.97,29.97,29.97,0
75,2015-03-16,30.25,30.25,30.25,30.25,0
76,2015-03-17,29.95,29.95,29.95,29.95,0
77,2015-03-18,29.97,29.97,29.97,29.97,0
78,2015-03-19,30.13,30.13,30.13,30.13,0
79,2015-03-20,30.34,30.34,30.34,30.34,0
80,2015-03-23,30.07,30.07,30.07,30.07,0
81,2015-03-24,30.18,30.18,30.18,30.18,0
82,2015-03-25,29.8,29.8,29.8,29.8,0
83,2015-03-26,29.52,29.52,29.52,29.52,0
84,2015-03-27,29.61,29.61,29.61,29.61,0
85,2015-03-30,29.97,29.97,29.97,29.97,0
86,2015-03-31,29.77,29.77,29.77,29.77,0
87,2015-04-01,29.82,29.82,29.82,29.82,0
88,2015-04-02,29.77,29.77,29.77,29.77,0
89,2015-04-07,30.18,30.18,30.18,30.18,0
90,2015-04-08,30.16,30.16,30.16,30.16,0
91,2015-04-09,30.52,30.52,30.52,30.52,0
92,2015-04-10,30.86,30.86,30.86,30.86,0
93,2015-04-13,30.89,30.89,30.89,30.89,0
94,2015-04-14,30.71,30.71,30.71,30.71,0
95,2015-04-15,30.89,30.89,30.89,30.89,0
96,2015-04-16,30.67,30.67,30.67,30.67,0
97,2015-04-17,30.09,30.09,30.09,30.09,0
98,2015-04-20,30.38,30.38,30.38,30.38,0
99,2015-04-21,30.68,30.68,30.68,30.68,0
100,2015-04-22,30.64,30.64,30.64,30.64,0
101,2015-04-23,30.45,30.45,30.45,30.45,0
102,2015-04-24,30.53,30.53,30.53,30.53,0
103,2015-04-27,30.86,30.86,30.86,30.86,0
104,2015-04-28,30.31,30.31,30.31,30.31,0
105,2015-04-29,29.62,29.62,29.62,29.62,0
106,2015-04-30,29.51,29.51,29.51,29.51,0
107,2015-05-04,29.67,29.67,29.67,29.67,0
108,2015-05-05,29.2,29.2,29.2,29.2,0
109,2015-05-06,29.01,29.01,29.01,29.01,0
110,2015-05-07,29.12,29.12,29.12,29.12,0
111,2015-05-08,29.89,29.89,29.89,29.89,0
112,2015-05-11,30.02,30.02,30.02,30.02,0
113,2015-05-12,29.59,29.59,29.59,29.59,0
114,2015-05-13,29.56,29.56,29.56,29.56,0
115,2015-05-15,29.71,29.71,29.71,29.71,0
116,2015-05-18,29.88,29.88,29.88,29.88,0
117,2015-05-19,30.41,30.41,30.41,30.41,0
118,2015-05-20,30.48,30.48,30.48,30.48,0
119,2015-05-21,30.55,30.55,30.55,30.55,0
120,2015-05-22,30.5,30.5,30.5,30.5,0
121,2015-05-26,30.25,30.25,30.25,30.25,0
122,2015-05-27,30.61,30.61,30.61,30.61,0
123,2015-05-28,30.46,30.46,30.46,30.46,0
124,2015-05-29,29.9,29.9,29.9,29.9,0
125,2015-06-01,29.97,29.97,29.97,29.97,0
126,2015-06-02,29.68,29.68,29.68,29.68,0
127,2015-06-03,29.71,29.71,29.71,29.71,0
128,2015-06-04,29.48,29.48,29.48,29.48,0
129,2015-06-05,29.19,29.19,29.19,29.19,0
130,2015-06-08,28.94,28.94,28.94,28.94,0
131,2015-06-09,28.82,28.82,28.82,28.82,0
132,2015-06-10,29.38,29.38,29.38,29.38,0
133,2015-06-11,29.57,29.57,29.57,29.57,0
134,2015-06-12,29.32,29.32,29.32,29.32,0
135,2015-06-15,28.79,28.79,28.79,28.79,0
136,2015-06-16,29.0,29.0,29.0,29.0,0
137,2015-06-18,28.86,28.86,28.86,28.86,0
138,2015-06-19,29.02,29.02,29.02,29.02,0
139,2015-06-22,29.72,29.72,29.72,29.72,0
140,2015-06-24,29.95,29.95,29.95,29.95,0
141,2015-06-25,29.9,29.9,29.9,29.9,0
142,2015-06-26,29.93,29.93,29.93,29.93,0
143,2015-06-29,29.08,29.08,29.08,29.08,0
144,2015-06-30,28.76,28.76,28.76,28.76,0
145,2015-07-01,29.27,29.27,29.27,29.27,0
146,2015-07-02,29.02,29.02,29.02,29.02,0
147,2015-07-03,28.88,28.88,28.88,28.88,0
148,2015-07-06,27.77,27.77,27.77,27.77,0
149,2015-07-07,27.24,27.24,27.24,27.24,0
150,2015-07-08,27.21,27.21,27.21,27.21,0
151,2015-07-09,27.86,27.86,27.86,27.86,0
152,2015-07-10,28.54,28.54,28.54,28.54,0
153,2015-07-13,29.09,29.09,29.09,29.09,0
154,2015-07-14,29.18,29.18,29.18,29.18,0
155,2015-07-15,29.34,29.34,29.34,29.34,0
156,2015-07-16,29.71,29.71,29.71,29.71,0
157,2015-07-17,29.72,29.72,29.72,29.72,0
158,2015-07-20,29.79,29.79,29.79,29.79,0
159,2015-07-21,29.45,29.45,29.45,29.45,0
160,2015-07-22,29.26,29.26,29.26,29.26,0
161,2015-07-23,29.14,29.14,29.14,29.14,0
162,2015-07-24,28.91,28.91,28.91,28.91,0
163,2015-07-27,28.21,28.21,28.21,28.21,0
164,2015-07-28,28.45,28.45,28.45,28.45,0
165,2015-07-29,28.71,28.71,28.71,28.71,0
166,2015-07-30,28.85,28.85,28.85,28.85,0
167,2015-07-31,28.9,28.9,28.9,28.9,0
168,2015-08-03,29.16,29.16,29.16,29.16,0
169,2015-08-04,29.13,29.13,29.13,29.13,0
170,2015-08-05,29.48,29.48,29.48,29.48,0
171,2015-08-06,29.25,29.25,29.25,29.25,0
172,2015-08-07,28.92,28.92,28.92,28.92,0
173,2015-08-10,29.12,29.12,29.12,29.12,0
174,2015-08-11,28.68,28.68,28.68,28.68,0
175,2015-08-12,27.87,27.87,27.87,27.87,0
176,2015-08-13,28.22,28.22,28.22,28.22,0
177,2015-08-14,28.2,28.2,28.2,28.2,0
178,2015-08-17,28.29,28.29,28.29,28.29,0
179,2015-08-18,28.42,28.42,28.42,28.42,0
180,2015-08-19,27.89,27.89,27.89,27.89,0
181,2015-08-20,27.24,27.24,27.24,27.24,0
182,2015-08-21,26.33,26.33,26.33,26.33,0
183,2015-08-24,24.97,24.97,24.97,24.97,0
184,2015-08-25,26.14,26.14,26.14,26.14,0
185,2015-08-26,25.74,25.74,25.74,25.74,0
186,2015-08-27,26.61,26.61,26.61,26.61,0
187,2015-08-28,26.6,26.6,26.6,26.6,0
188,2015-08-31,26.58,26.58,26.58,26.58,0
189,2015-09-01,25.88,25.88,25.88,25.88,0
190,2015-09-02,25.97,25.97,25.97,25.97,0
191,2015-09-03,26.63,26.63,26.63,26.63,0
192,2015-09-04,26.01,26.01,26.01,26.01,0
193,2015-09-07,26.13,26.13,26.13,26.13,0
194,2015-09-08,26.43,26.43,26.43,26.43,0
195,2015-09-09,26.76,26.76,26.76,26.76,0
196,2015-09-10,26.51,26.51,26.51,26.51,0
197,2015-09-11,26.22,26.22,26.22,26.22,0
198,2015-09-14,26.06,26.06,26.06,26.06,0
199,2015-09-15,26.29,26.29,26.29,26.29,0
200,2015-09-16,26.65,26.65,26.65,26.65,0
201,2015-09-17,26.61,26.61,26.61,26.61,0
202,2015-09-18,26.18,26.18,26.18,26.18,0
203,2015-09-21,26.45,26.45,26.45,26.45,0
204,2015-09-22,25.7,25.7,25.7,25.7,0
205,2015-09-23,25.72,25.72,25.72,25.72,0
206,2015-09-24,25.1,25.1,25.1,25.1,0
207,2015-09-25,25.82,25.82,25.82,25.82,0
208,2015-09-28,25.32,25.32,25.32,25.32,0
209,2015-09-29,25.04,25.04,25.04,25.04,0
210,2015-09-30,25.64,25.64,25.64,25.64,0
211,2015-10-01,25.52,25.52,25.52,25.52,0
212,2015-10-02,25.58,25.58,25.58,25.58,0
213,2015-10-05,26.36,26.36,26.36,26.36,0
214,2015-10-06,26.5,26.5,26.5,26.5,0
215,2015-10-07,26.4,26.4,26.4,26.4,0
216,2015-10-08,26.39,26.39,26.39,26.39,0
217,2015-10-09,26.35,26.35,26.35,26.35,0
218,2015-10-12,26.24,26.24,26.24,26.24,0
219,2015-10-13,26.01,26.01,26.01,26.01,0
220,2015-10-14,25.77,25.77,25.77,25.77,0
221,2015-10-15,26.22,26.22,26.22,26.22,0
222,2015-10-16,26.47,26.47,26.47,26.47,0
223,2015-10-19,26.6,26.6,26.6,26.6,0
224,2015-10-20,26.54,26.54,26.54,26.54,0
225,2015-10-21,26.54,26.54,26.54,26.54,0
226,2015-10-22,26.95,26.95,26.95,26.95,0
227,2015-10-23,27.56,27.56,27.56,27.56,0
228,2015-10-26,27.5,27.5,27.5,27.5,0
229,2015-10-27,27.25,27.25,27.25,27.25,0
230,2015-10-28,27.57,27.57,27.57,27.57,0
231,2015-10-29,27.61,27.61,27.61,27.61,0
232,2015-10-30,27.64,27.64,27.64,27.64,0
233,2015-11-02,27.76,27.76,27.76,27.76,0
234,2015-11-03,27.84,27.84,27.84,27.84,0
235,2015-11-04,27.96,27.96,27.96,27.96,0
236,2015-11-05,27.94,27.94,27.94,27.94,0
237,2015-11-06,28.12,28.12,28.12,28.12,0
238,2015-11-09,27.8,27.8,27.8,27.8,0
239,2015-11-10,27.83,27.83,27.83,27.83,0
240,2015-11-11,28.0,28.0,28.0,28.0,0
241,2015-11-12,27.64,27.64,27.64,27.64,0
242,2015-11-13,27.43,27.43,27.43,27.43,0
243,2015-11-16,27.51,27.51,27.51,27.51,0
244,2015-11-17,28.15,28.15,28.15,28.15,0
245,2015-11-18,28.08,28.08,28.08,28.08,0
246,2015-11-19,28.2,28.2,28.2,28.2,0
247,2015-11-20,28.22,28.22,28.22,28.22,0
248,2015-11-23,28.13,28.13,28.13,28.13,0
249,2015-11-24,27.72,27.72,27.72,27.72,0
250,2015-11-25,28.13,28.13,28.13,28.13,0
251,2015-11-26,28.44,28.44,28.44,28.44,0
252,2015-11-27,28.44,28.44,28.44,28.44,0
253,2015-11-30,28.57,28.57,28.57,28.57,0
254,2015-12-01,28.47,28.47,28.47,28.47,0
255,2015-12-02,28.49,28.49,28.49,28.49,0
256,2015-12-03,27.63,27.63,27.63,27.63,0
257,2015-12-04,27.56,27.56,27.56,27.56,0
258,2015-12-07,27.8,27.8,27.8,27.8,0
259,2015-12-08,27.35,27.35,27.35,27.35,0
260,2015-12-09,27.22,27.22,27.22,27.22,0
261,2015-12-10,27.13,27.13,27.13,27.13,0
262,2015-12-11,26.63,26.63,26.63,26.63,0
263,2015-12-14,26.23,26.23,26.23,26.23,0
264,2015-12-15,27.02,27.02,27.02,27.02,0
265,2015-12-16,27.06,27.06,27.06,27.06,0
266,2015-12-17,27.41,27.41,27.41,27.41,0
267,2015-12-18,27.15,27.15,27.15,27.15,0
268,2015-12-21,26.84,26.84,26.84,26.84,0
269,2015-12-22,26.77,26.77,26.77,26.77,0
270,2015-12-23,27.44,27.44,27.44,27.44,0
271,2015-12-28,27.26,27.26,27.26,27.26,0
272,2015-12-29,27.73,27.73,27.73,27.73,0
273,2015-12-30,27.61,27.61,27.61,27.61,0
274,2015-12-31,27.47,27.47,27.47,27.47,0
275,2016-01-04,26.76,26.76,26.76,26.76,0
276,2016-01-05,26.93,26.93,26.93,26.93,0
277,2016-01-06,26.53,26.53,26.53,26.53,0
278,2016-01-07,25.95,25.95,25.95,25.95,0
279,2016-01-08,25.52,25.52,25.52,25.52,0
280,2016-01-11,25.44,25.44,25.44,25.44,0
281,2016-01-12,25.71,25.71,25.71,25.71,0
282,2016-01-13,25.73,25.73,25.73,25.73,0
283,2016-01-14,25.31,25.31,25.31,25.31,0
284,2016-01-15,24.58,24.58,24.58,24.58,0
285,2016-01-18,24.48,24.48,24.48,24.48,0
286,2016-01-19,24.9,24.9,24.9,24.9,0
287,2016-01-20,24.09,24.09,24.09,24.09,0
288,2016-01-21,24.55,24.55,24.55,24.55,0
289,2016-01-22,25.33,25.33,25.33,25.33,0
290,2016-01-25,25.29,25.29,25.29,25.29,0
291,2016-01-26,25.39,25.39,25.39,25.39,0
292,2016-01-27,25.46,25.46,25.46,25.46,0
293,2016-01-28,24.96,24.96,24.96,24.96,0
294,2016-01-29,25.6,25.6,25.6,25.6,0
295,2016-02-01,25.69,25.69,25.69,25.69,0
296,2016-02-02,25.17,25.17,25.17,25.17,0
297,2016-02-03,24.81,24.81,24.81,24.81,0
298,2016-02-04,24.74,24.74,24.74,24.74,0
299,2016-02-05,24.43,24.43,24.43,24.43,0
300,2016-02-08,23.45,23.45,23.45,23.45,0
301,2016-02-09,23.3,23.3,23.3,23.3,0
302,2016-02-10,23.72,23.72,23.72,23.72,0
303,2016-02-11,22.92,22.92,22.92,22.92,0
304,2016-02-12,23.41,23.41,23.41,23.41,0
305,2016-02-15,24.11,24.11,24.11,24.11,0
306,2016-02-16,24.0,24.0,24.0,24.0,0
307,2016-02-17,24.67,24.67,24.67,24.67,0
308,2016-02-18,24.84,24.84,24.84,24.84,0
309,2016-02-19,24.67,24.67,24.67,24.67,0
310,2016-02-22,25.07,25.07,25.07,25.07,0
311,2016-02-23,24.84,24.84,24.84,24.84,0
312,2016-02-24,24.39,24.39,24.39,24.39,0
313,2016-02-25,24.83,24.83,24.83,24.83,0
314,2016-02-26,25.16,25.16,25.16,25.16,0
315,2016-02-29,25.38,25.38,25.38,25.38,0
316,2016-03-01,25.76,25.76,25.76,25.76,0
317,2016-03-02,25.75,25.75,25.75,25.75,0
318,2016-03-03,25.6,25.6,25.6,25.6,0
319,2016-03-04,25.73,25.73,25.73,25.73,0
320,2016-03-07,25.68,25.68,25.68,25.68,0
321,2016-03-08,25.41,25.41,25.41,25.41,0
322,2016-03-09,25.55,25.55,25.55,25.55,0
323,2016-03-10,25.24,25.24,25.24,25.24,0
324,2016-03-11,25.79,25.79,25.79,25.79,0
325,2016-03-14,25.94,25.94,25.94,25.94,0
326,2016-03-15,25.74,25.74,25.74,25.74,0
327,2016-03-16,25.82,25.82,25.82,25.82,0
328,2016-03-17,25.77,25.77,25.77,25.77,0
329,2016-03-18,25.75,25.75,25.75,25.75,0
330,2016-03-21,25.66,25.66,25.66,25.66,0
331,2016-03-22,25.68,25.68,25.68,25.68,0
332,2016-03-23,25.77,25.77,25.77,25.77,0
333,2016-03-24,25.51,25.51,25.51,25.51,0
334,2016-03-29,25.62,25.62,25.62,25.62,0
335,2016-03-30,25.95,25.95,25.95,25.95,0
336,2016-03-31,25.75,25.75,25.75,25.75,0
337,2016-04-01,25.54,25.54,25.54,25.54,0
338,2016-04-04,25.66,25.66,25.66,25.66,0
339,2016-04-05,25.31,25.31,25.31,25.31,0
340,2016-04-06,25.47,25.47,25.47,25.47,0
341,2016-04-07,25.35,25.35,25.35,25.35,0
342,2016-04-08,25.53,25.53,25.53,25.53,0
343,2016-04-11,25.55,25.55,25.55,25.55,0
344,2016-04-12,25.64,25.64,25.64,25.64,0
345,2016-04-13,26.02,26.02,26.02,26.02,0
346,2016-04-14,26.11,26.11,26.11,26.11,0
347,2016-04-15,25.97,25.97,25.97,25.97,0
348,2016-04-18,26.07,26.07,26.07,26.07,0
349,2016-04-19,26.37,26.37,26.37,26.37,0
350,2016-04-20,26.22,26.22,26.22,26.22,0
351,2016-04-21,26.07,26.07,26.07,26.07,0
352,2016-04-22,26.04,26.04,26.04,26.04,0
353,2016-04-25,25.98,25.98,25.98,25.98,0
354,2016-04-26,25.94,25.94,25.94,25.94,0
355,2016-04-27,26.12,26.12,26.12,26.12,0
356,2016-04-28,26.2,26.2,26.2,26.2,0
357,2016-04-29,25.83,25.83,25.83,25.83,0
358,2016-05-02,25.88,25.88,25.88,25.88,0
359,2016-05-03,25.59,25.59,25.59,25.59,0
360,2016-05-04,25.35,25.35,25.35,25.35,0
361,2016-05-06,25.38,25.38,25.38,25.38,0
362,2016-05-09,25.53,25.53,25.53,25.53,0
363,2016-05-10,25.69,25.69,25.69,25.69,0
364,2016-05-11,25.61,25.61,25.61,25.61,0
365,2016-05-12,25.46,25.46,25.46,25.46,0
366,2016-05-13,25.59,25.59,25.59,25.59,0
367,2016-05-17,25.59,25.59,25.59,25.59,0
368,2016-05-18,25.78,25.78,25.78,25.78,0
369,2016-05-19,25.59,25.59,25.59,25.59,0
370,2016-05-20,25.93,25.93,25.93,25.93,0
371,2016-05-23,25.9,25.9,25.9,25.9,0
372,2016-05-24,26.51,26.51,26.51,26.51,0
373,2016-05-25,26.76,26.76,26.76,26.76,0
374,2016-05-26,26.8,26.8,26.8,26.8,0
375,2016-05-27,26.88,26.88,26.88,26.88,0
376,2016-05-30,26.91,26.91,26.91,26.91,0
377,2016-05-31,26.77,26.77,26.77,26.77,0
378,2016-06-01,26.6,26.6,26.6,26.6,0
379,2016-06-02,26.68,26.68,26.68,26.68,0
380,2016-06-03,26.47,26.47,26.47,26.47,0
