,date,open,close,high,low,volumme
0,2015-01-06,99.31,99.31,99.31,99.31,0
1,2015-01-07,99.01,99.01,99.01,99.01,0
2,2015-01-08,100.56,100.56,100.56,100.56,0
3,2015-01-09,99.85,99.85,99.85,99.85,0
4,2015-01-12,100.47,100.47,100.47,100.47,0
5,2015-01-13,102.02,102.02,102.02,102.02,0
6,2015-01-14,100.95,100.95,100.95,100.95,0
7,2015-01-15,101.68,101.68,101.68,101.68,0
8,2015-01-16,102.0,102.0,102.0,102.0,0
9,2015-01-19,103.54,103.54,103.54,103.54,0
10,2015-01-20,104.44,104.44,104.44,104.44,0
11,2015-01-21,105.13,105.13,105.13,105.13,0
12,2015-01-22,106.8,106.8,106.8,106.8,0
13,2015-01-23,107.51,107.51,107.51,107.51,0
14,2015-01-26,108.77,108.77,108.77,108.77,0
15,2015-01-27,107.92,107.92,107.92,107.92,0
16,2015-01-28,106.99,106.99,106.99,106.99,0
17,2015-01-29,107.59,107.59,107.59,107.59,0
18,2015-01-30,107.6,107.6,107.6,107.6,0
19,2015-02-02,107.98,107.98,107.98,107.98,0
20,2015-02-03,110.19,110.19,110.19,110.19,0
21,2015-02-04,110.69,110.69,110.69,110.69,0
22,2015-02-05,110.8,110.8,110.8,110.8,0
23,2015-02-06,110.93,110.93,110.93,110.93,0
24,2015-02-09,109.49,109.49,109.49,109.49,0
25,2015-02-10,110.24,110.24,110.24,110.24,0
26,2015-02-11,109.59,109.59,109.59,109.59,0
27,2015-02-12,111.79,111.79,111.79,111.79,0
28,2015-02-13,112.01,112.01,112.01,112.01,0
29,2015-02-16,112.31,112.31,112.31,112.31,0
30,2015-02-17,112.37,112.37,112.37,112.37,0
31,2015-02-18,113.94,113.94,113.94,113.94,0
32,2015-02-19,114.02,114.02,114.02,114.02,0
33,2015-02-20,114.13,114.13,114.13,114.13,0
34,2015-02-23,114.13,114.13,114.13,114.13,0
35,2015-02-24,114.64,114.64,114.64,114.64,0
36,2015-02-25,114.08,114.08,114.08,114.08,0
37,2015-02-26,115.18,115.18,115.18,115.18,0
38,2015-02-27,115.84,115.84,115.84,115.84,0
39,2015-03-02,115.38,115.38,115.38,115.38,0
40,2015-03-03,114.81,114.81,114.81,114.81,0
41,2015-03-04,114.99,114.99,114.99,114.99,0
42,2015-03-05,116.01,116.01,116.01,116.01,0
43,2015-03-06,117.16,117.16,117.16,117.16,0
44,2015-03-09,117.12,117.12,117.12,117.12,0
45,2015-03-10,116.14,116.14,116.14,116.14,0
46,2015-03-11,118.3,118.3,118.3,118.3,0
47,2015-03-12,118.18,118.18,118.18,118.18,0
48,2015-03-13,118.24,118.24,118.24,118.24,0
49,2015-03-16,118.88,118.88,118.88,118.88,0
50,2015-03-17,117.75,117.75,117.75,117.75,0
51,2015-03-18,116.89,116.89,116.89,116.89,0
52,2015-03-19,118.02,118.02,118.02,118.02,0
53,2015-03-20,118.93,118.93,118.93,118.93,0
54,2015-03-23,118.98,118.98,118.98,118.98,0
55,2015-03-24,120.65,120.65,120.65,120.65,0
56,2015-03-25,119.18,119.18,119.18,119.18,0
57,2015-03-26,117.89,117.89,117.89,117.89,0
58,2015-03-27,117.76,117.76,117.76,117.76,0
59,2015-03-30,119.05,119.05,119.05,119.05,0
60,2015-03-31,119.09,119.09,119.09,119.09,0
61,2015-04-01,119.38,119.38,119.38,119.38,0
62,2015-04-02,120.04,120.04,120.04,120.04,0
63,2015-04-07,121.16,121.16,121.16,121.16,0
64,2015-04-08,120.99,120.99,120.99,120.99,0
65,2015-04-09,122.51,122.51,122.51,122.51,0
66,2015-04-10,123.76,123.76,123.76,123.76,0
67,2015-04-13,123.95,123.95,123.95,123.95,0
68,2015-04-14,123.76,123.76,123.76,123.76,0
69,2015-04-15,124.03,124.03,124.03,124.03,0
70,2015-04-16,122.63,122.63,122.63,122.63,0
71,2015-04-17,120.05,120.05,120.05,120.05,0
72,2015-04-20,120.45,120.45,120.45,120.45,0
73,2015-04-21,120.96,120.96,120.96,120.96,0
74,2015-04-22,121.71,121.71,121.71,121.71,0
75,2015-04-23,120.96,120.96,120.96,120.96,0
76,2015-04-24,121.84,121.84,121.84,121.84,0
77,2015-04-27,123.5,123.5,123.5,123.5,0
78,2015-04-28,122.01,122.01,122.01,122.01,0
79,2015-04-29,119.59,119.59,119.59,119.59,0
80,2015-04-30,118.99,118.99,118.99,118.99,0
81,2015-05-04,119.53,119.53,119.53,119.53,0
82,2015-05-05,117.27,117.27,117.27,117.27,0
83,2015-05-06,117.58,117.58,117.58,117.58,0
84,2015-05-07,117.48,117.48,117.48,117.48,0
85,2015-05-11,119.65,119.65,119.65,119.65,0
86,2015-05-12,118.64,118.64,118.64,118.64,0
87,2015-05-13,118.75,118.75,118.75,118.75,0
88,2015-05-18,119.74,119.74,119.74,119.74,0
89,2015-05-19,121.52,121.52,121.52,121.52,0
90,2015-05-20,121.8,121.8,121.8,121.8,0
91,2015-05-21,121.76,121.76,121.76,121.76,0
92,2015-05-22,121.36,121.36,121.36,121.36,0
93,2015-05-26,120.22,120.22,120.22,120.22,0
94,2015-05-27,121.65,121.65,121.65,121.65,0
95,2015-05-28,121.18,121.18,121.18,121.18,0
