,date,open,close,high,low,volumme
0,2015-02-06,112.06,112.06,112.06,112.06,0
1,2015-02-13,112.15,112.15,112.15,112.15,0
2,2015-02-20,114.01,114.01,114.01,114.01,0
3,2015-02-27,115.55,115.55,115.55,115.55,0
4,2015-03-06,117.06,117.06,117.06,117.06,0
5,2015-03-13,118.06,118.06,118.06,118.06,0
6,2015-03-20,118.35,118.35,118.35,118.35,0
7,2015-03-27,112.97,112.97,112.97,112.97,0
8,2015-04-07,113.94,113.94,113.94,113.94,0
9,2015-04-10,117.26,117.26,117.26,117.26,0
10,2015-04-17,115.31,115.31,115.31,115.31,0
11,2015-04-24,118.65,118.65,118.65,118.65,0
12,2015-05-04,118.34,118.34,118.34,118.34,0
13,2015-05-11,117.75,117.75,117.75,117.75,0
14,2015-05-15,119.34,119.34,119.34,119.34,0
15,2015-05-22,122.32,122.32,122.32,122.32,0
16,2015-05-29,125.12,125.12,125.12,125.12,0
17,2015-06-05,124.18,124.18,124.18,124.18,0
18,2015-06-12,123.89,123.89,123.89,123.89,0
19,2015-06-19,122.2,122.2,122.2,122.2,0
20,2015-06-26,124.79,124.79,124.79,124.79,0
21,2015-06-29,124.79,124.79,124.79,124.79,0
22,2015-07-03,120.25,120.25,120.25,120.25,0
23,2015-07-10,123.86,123.86,123.86,123.86,0
24,2015-07-17,133.59,133.59,133.59,133.59,0
25,2015-07-24,131.84,131.84,131.84,131.84,0
26,2015-07-31,130.47,130.47,130.47,130.47,0
27,2015-08-07,128.34,128.34,128.34,128.34,0
28,2015-08-14,126.5,126.5,126.5,126.5,0
29,2015-08-21,121.33,121.33,121.33,121.33,0
30,2015-08-28,124.92,124.92,124.92,124.92,0
31,2015-09-04,122.58,122.58,122.58,122.58,0
32,2015-09-11,123.84,123.84,123.84,123.84,0
33,2015-09-18,124.71,124.71,124.71,124.71,0
34,2015-09-25,119.86,119.86,119.86,119.86,0
35,2015-10-02,114.1,114.1,114.1,114.1,0
36,2015-10-09,113.71,113.71,113.71,113.71,0
37,2015-10-16,114.14,114.14,114.14,114.14,0
38,2015-10-23,115.26,115.26,115.26,115.26,0
39,2015-10-30,115.74,115.74,115.74,115.74,0
40,2015-11-06,124.0,124.0,124.0,124.0,0
41,2015-11-13,121.72,121.72,121.72,121.72,0
42,2015-11-20,122.01,122.01,122.01,122.01,0
43,2015-11-27,123.45,123.45,123.45,123.45,0
44,2015-12-04,121.01,121.01,121.01,121.01,0
45,2015-12-11,115.89,115.89,115.89,115.89,0
46,2015-12-18,119.49,119.49,119.49,119.49,0
47,2015-12-28,120.67,120.67,120.67,120.67,0
48,2015-12-31,121.77,121.77,121.77,121.77,0
49,2016-01-04,120.1,120.1,120.1,120.1,0
50,2016-01-05,119.83,119.83,119.83,119.83,0
51,2016-01-06,117.59,117.59,117.59,117.59,0
52,2016-01-07,114.29,114.29,114.29,114.29,0
53,2016-01-08,113.31,113.31,113.31,113.31,0
54,2016-01-11,110.57,110.57,110.57,110.57,0
55,2016-01-12,112.54,112.54,112.54,112.54,0
56,2016-01-13,111.15,111.15,111.15,111.15,0
57,2016-01-14,107.8,107.8,107.8,107.8,0
58,2016-01-15,102.06,102.06,102.06,102.06,0
59,2016-01-18,97.35,97.35,97.35,97.35,0
60,2016-01-20,96.78,96.78,96.78,96.78,0
61,2016-01-21,98.72,98.72,98.72,98.72,0
62,2016-01-22,102.81,102.81,102.81,102.81,0
63,2016-01-25,105.37,105.37,105.37,105.37,0
64,2016-01-26,106.36,106.36,106.36,106.36,0
65,2016-01-27,106.23,106.23,106.23,106.23,0
66,2016-01-28,103.51,103.51,103.51,103.51,0
