,date,open,close,high,low,volumme
0,2015-06-09,96.7,96.7,96.7,96.7,0
1,2015-06-10,98.38,98.38,98.38,98.38,0
2,2015-06-11,98.92,98.92,98.92,98.92,0
3,2015-06-12,97.8,97.8,97.8,97.8,0
4,2015-06-15,95.95,95.95,95.95,95.95,0
5,2015-06-16,96.61,96.61,96.61,96.61,0
6,2015-06-18,95.84,95.84,95.84,95.84,0
7,2015-06-19,96.49,96.49,96.49,96.49,0
8,2015-06-22,98.69,98.69,98.69,98.69,0
9,2015-06-24,99.42,99.42,99.42,99.42,0
10,2015-06-25,100.02,100.02,100.02,100.02,0
11,2015-06-26,100.21,100.21,100.21,100.21,0
12,2015-06-29,97.04,97.04,97.04,97.04,0
13,2015-06-30,96.88,96.88,96.88,96.88,0
14,2015-07-01,98.98,98.98,98.98,98.98,0
15,2015-07-02,97.88,97.88,97.88,97.88,0
16,2015-07-03,97.57,97.57,97.57,97.57,0
17,2015-07-06,96.06,96.06,96.06,96.06,0
18,2015-07-07,94.06,94.06,94.06,94.06,0
19,2015-07-08,94.53,94.53,94.53,94.53,0
20,2015-07-09,96.71,96.71,96.71,96.71,0
21,2015-07-10,98.81,98.81,98.81,98.81,0
22,2015-07-13,100.34,100.34,100.34,100.34,0
23,2015-07-14,99.96,99.96,99.96,99.96,0
24,2015-07-15,100.69,100.69,100.69,100.69,0
25,2015-07-16,102.35,102.35,102.35,102.35,0
26,2015-07-17,102.51,102.51,102.51,102.51,0
27,2015-07-20,103.52,103.52,103.52,103.52,0
28,2015-07-21,102.52,102.52,102.52,102.52,0
29,2015-07-22,102.34,102.34,102.34,102.34,0
30,2015-07-23,102.43,102.43,102.43,102.43,0
31,2015-07-24,102.0,102.0,102.0,102.0,0
32,2015-07-27,99.55,99.55,99.55,99.55,0
33,2015-07-28,100.36,100.36,100.36,100.36,0
34,2015-07-29,101.19,101.19,101.19,101.19,0
35,2015-07-30,100.42,100.42,100.42,100.42,0
36,2015-07-31,100.76,100.76,100.76,100.76,0
37,2015-08-03,101.76,101.76,101.76,101.76,0
38,2015-08-04,101.22,101.22,101.22,101.22,0
39,2015-08-05,102.07,102.07,102.07,102.07,0
40,2015-08-06,101.57,101.57,101.57,101.57,0
41,2015-08-07,100.19,100.19,100.19,100.19,0
42,2015-08-10,100.85,100.85,100.85,100.85,0
43,2015-08-11,99.73,99.73,99.73,99.73,0
44,2015-08-12,97.03,97.03,97.03,97.03,0
45,2015-08-13,98.41,98.41,98.41,98.41,0
46,2015-08-14,98.31,98.31,98.31,98.31,0
47,2015-08-17,98.58,98.58,98.58,98.58,0
48,2015-08-18,99.07,99.07,99.07,99.07,0
49,2015-08-19,97.69,97.69,97.69,97.69,0
50,2015-08-20,94.86,94.86,94.86,94.86,0
51,2015-08-21,92.2,92.2,92.2,92.2,0
52,2015-08-24,88.3,88.3,88.3,88.3,0
53,2015-08-25,92.34,92.34,92.34,92.34,0
54,2015-08-26,91.62,91.62,91.62,91.62,0
55,2015-08-27,94.16,94.16,94.16,94.16,0
56,2015-08-28,93.96,93.96,93.96,93.96,0
57,2015-08-31,94.03,94.03,94.03,94.03,0
58,2015-09-01,91.81,91.81,91.81,91.81,0
59,2015-09-02,92.01,92.01,92.01,92.01,0
60,2015-09-03,93.7,93.7,93.7,93.7,0
61,2015-09-04,91.96,91.96,91.96,91.96,0
62,2015-09-07,92.04,92.04,92.04,92.04,0
63,2015-09-08,93.06,93.06,93.06,93.06,0
64,2015-09-09,93.7,93.7,93.7,93.7,0
65,2015-09-10,93.04,93.04,93.04,93.04,0
66,2015-09-11,92.02,92.02,92.02,92.02,0
67,2015-09-14,91.26,91.26,91.26,91.26,0
68,2015-09-15,91.95,91.95,91.95,91.95,0
69,2015-09-16,92.48,92.48,92.48,92.48,0
70,2015-09-17,92.84,92.84,92.84,92.84,0
71,2015-09-18,91.78,91.78,91.78,91.78,0
72,2015-09-22,89.36,89.36,89.36,89.36,0
73,2015-09-23,89.44,89.44,89.44,89.44,0
74,2015-09-24,87.56,87.56,87.56,87.56,0
75,2015-09-25,89.76,89.76,89.76,89.76,0
76,2015-09-28,87.94,87.94,87.94,87.94,0
77,2015-09-29,87.31,87.31,87.31,87.31,0
78,2015-09-30,88.7,88.7,88.7,88.7,0
79,2015-10-01,88.48,88.48,88.48,88.48,0
80,2015-10-02,88.84,88.84,88.84,88.84,0
81,2015-10-05,91.16,91.16,91.16,91.16,0
82,2015-10-06,91.61,91.61,91.61,91.61,0
83,2015-10-07,91.41,91.41,91.41,91.41,0
84,2015-10-08,91.86,91.86,91.86,91.86,0
85,2015-10-09,91.85,91.85,91.85,91.85,0
86,2015-10-12,90.93,90.93,90.93,90.93,0
87,2015-10-13,90.12,90.12,90.12,90.12,0
88,2015-10-14,89.34,89.34,89.34,89.34,0
89,2015-10-15,90.92,90.92,90.92,90.92,0
90,2015-10-16,90.9,90.9,90.9,90.9,0
91,2015-10-19,92.15,92.15,92.15,92.15,0
92,2015-10-20,92.23,92.23,92.23,92.23,0
93,2015-10-21,92.81,92.81,92.81,92.81,0
94,2015-10-22,93.63,93.63,93.63,93.63,0
95,2015-10-23,94.94,94.94,94.94,94.94,0
96,2015-10-26,94.48,94.48,94.48,94.48,0
97,2015-10-27,93.27,93.27,93.27,93.27,0
98,2015-10-28,94.3,94.3,94.3,94.3,0
99,2015-10-29,94.5,94.5,94.5,94.5,0
100,2015-10-30,94.72,94.72,94.72,94.72,0
101,2015-11-02,95.48,95.48,95.48,95.48,0
102,2015-11-03,95.58,95.58,95.58,95.58,0
103,2015-11-04,95.23,95.23,95.23,95.23,0
104,2015-11-05,95.25,95.25,95.25,95.25,0
105,2015-11-06,96.55,96.55,96.55,96.55,0
106,2015-11-09,95.73,95.73,95.73,95.73,0
107,2015-11-10,95.83,95.83,95.83,95.83,0
108,2015-11-11,96.03,96.03,96.03,96.03,0
109,2015-11-12,94.85,94.85,94.85,94.85,0
110,2015-11-13,94.3,94.3,94.3,94.3,0
111,2015-11-16,94.39,94.39,94.39,94.39,0
112,2015-11-17,95.48,95.48,95.48,95.48,0
113,2015-11-18,94.9,94.9,94.9,94.9,0
114,2015-11-19,95.36,95.36,95.36,95.36,0
115,2015-11-20,95.32,95.32,95.32,95.32,0
116,2015-11-23,95.29,95.29,95.29,95.29,0
117,2015-11-24,93.71,93.71,93.71,93.71,0
118,2015-11-25,95.13,95.13,95.13,95.13,0
119,2015-11-26,96.03,96.03,96.03,96.03,0
120,2015-11-27,96.44,96.44,96.44,96.44,0
121,2015-11-30,97.11,97.11,97.11,97.11,0
122,2015-12-01,97.23,97.23,97.23,97.23,0
123,2015-12-02,97.55,97.55,97.55,97.55,0
124,2015-12-03,96.06,96.06,96.06,96.06,0
125,2015-12-04,96.14,96.14,96.14,96.14,0
126,2015-12-07,97.15,97.15,97.15,97.15,0
127,2015-12-08,95.4,95.4,95.4,95.4,0
128,2015-12-09,94.86,94.86,94.86,94.86,0
129,2015-12-10,94.53,94.53,94.53,94.53,0
130,2015-12-11,92.74,92.74,92.74,92.74,0
131,2015-12-14,91.42,91.42,91.42,91.42,0
132,2015-12-15,93.78,93.78,93.78,93.78,0
133,2015-12-16,94.08,94.08,94.08,94.08,0
134,2015-12-17,95.06,95.06,95.06,95.06,0
135,2015-12-18,94.45,94.45,94.45,94.45,0
136,2015-12-21,93.1,93.1,93.1,93.1,0
137,2015-12-22,93.11,93.11,93.11,93.11,0
138,2015-12-23,94.51,94.51,94.51,94.51,0
139,2015-12-28,94.25,94.25,94.25,94.25,0
140,2015-12-29,95.82,95.82,95.82,95.82,0
141,2015-12-30,95.85,95.85,95.85,95.85,0
142,2015-12-31,95.58,95.58,95.58,95.58,0
143,2016-01-04,93.78,93.78,93.78,93.78,0
144,2016-01-05,93.73,93.73,93.73,93.73,0
145,2016-01-06,92.31,92.31,92.31,92.31,0
146,2016-01-07,90.6,90.6,90.6,90.6,0
147,2016-01-08,89.74,89.74,89.74,89.74,0
148,2016-01-11,89.13,89.13,89.13,89.13,0
149,2016-01-12,90.37,90.37,90.37,90.37,0
150,2016-01-13,90.2,90.2,90.2,90.2,0
151,2016-01-14,88.71,88.71,88.71,88.71,0
152,2016-01-15,86.49,86.49,86.49,86.49,0
153,2016-01-18,84.68,84.68,84.68,84.68,0
154,2016-01-19,86.4,86.4,86.4,86.4,0
155,2016-01-20,83.4,83.4,83.4,83.4,0
156,2016-01-21,84.6,84.6,84.6,84.6,0
157,2016-01-22,87.5,87.5,87.5,87.5,0
158,2016-01-25,87.77,87.77,87.77,87.77,0
159,2016-01-26,88.19,88.19,88.19,88.19,0
160,2016-01-27,88.29,88.29,88.29,88.29,0
161,2016-01-28,86.63,86.63,86.63,86.63,0
162,2016-01-29,88.64,88.64,88.64,88.64,0
163,2016-02-01,88.89,88.89,88.89,88.89,0
164,2016-02-02,87.53,87.53,87.53,87.53,0
165,2016-02-03,85.99,85.99,85.99,85.99,0
166,2016-02-04,85.87,85.87,85.87,85.87,0
167,2016-02-05,84.59,84.59,84.59,84.59,0
168,2016-02-08,80.32,80.32,80.32,80.32,0
169,2016-02-09,79.46,79.46,79.46,79.46,0
170,2016-02-10,81.05,81.05,81.05,81.05,0
171,2016-02-11,78.31,78.31,78.31,78.31,0
172,2016-02-12,79.64,79.64,79.64,79.64,0
173,2016-02-15,82.52,82.52,82.52,82.52,0
174,2016-02-16,81.78,81.78,81.78,81.78,0
175,2016-02-17,84.19,84.19,84.19,84.19,0
176,2016-02-18,84.58,84.58,84.58,84.58,0
177,2016-02-19,84.37,84.37,84.37,84.37,0
178,2016-02-22,85.57,85.57,85.57,85.57,0
179,2016-02-23,85.29,85.29,85.29,85.29,0
180,2016-02-24,83.4,83.4,83.4,83.4,0
181,2016-02-25,84.63,84.63,84.63,84.63,0
182,2016-02-26,85.57,85.57,85.57,85.57,0
183,2016-02-29,86.19,86.19,86.19,86.19,0
184,2016-03-01,88.02,88.02,88.02,88.02,0
185,2016-03-02,87.75,87.75,87.75,87.75,0
186,2016-03-03,87.48,87.48,87.48,87.48,0
187,2016-03-04,88.03,88.03,88.03,88.03,0
188,2016-03-07,87.71,87.71,87.71,87.71,0
189,2016-03-08,86.28,86.28,86.28,86.28,0
190,2016-03-09,86.7,86.7,86.7,86.7,0
