,date,open,close,high,low,volumme
0,2015-05-04,106.31,106.31,106.31,106.31,0
1,2015-05-05,105.55,105.55,105.55,105.55,0
2,2015-05-06,104.96,104.96,104.96,104.96,0
3,2015-05-07,105.17,105.17,105.17,105.17,0
4,2015-05-11,106.1,106.1,106.1,106.1,0
5,2015-05-12,105.42,105.42,105.42,105.42,0
6,2015-05-15,105.65,105.65,105.65,105.65,0
7,2015-05-18,105.83,105.83,105.83,105.83,0
8,2015-05-19,106.6,106.6,106.6,106.6,0
9,2015-05-20,106.78,106.78,106.78,106.78,0
10,2015-05-21,106.78,106.78,106.78,106.78,0
11,2015-05-22,106.97,106.97,106.97,106.97,0
12,2015-05-26,106.57,106.57,106.57,106.57,0
13,2015-05-27,107.12,107.12,107.12,107.12,0
14,2015-05-28,106.8,106.8,106.8,106.8,0
15,2015-05-29,106.4,106.4,106.4,106.4,0
16,2015-06-01,106.44,106.44,106.44,106.44,0
17,2015-06-02,105.7,105.7,105.7,105.7,0
18,2015-06-03,105.53,105.53,105.53,105.53,0
19,2015-06-04,105.18,105.18,105.18,105.18,0
20,2015-06-05,104.86,104.86,104.86,104.86,0
21,2015-06-08,104.31,104.31,104.31,104.31,0
22,2015-06-09,103.96,103.96,103.96,103.96,0
23,2015-06-10,104.58,104.58,104.58,104.58,0
24,2015-06-11,104.88,104.88,104.88,104.88,0
25,2015-06-12,104.47,104.47,104.47,104.47,0
26,2015-06-15,103.71,103.71,103.71,103.71,0
27,2015-06-16,103.78,103.78,103.78,103.78,0
28,2015-06-17,103.52,103.52,103.52,103.52,0
29,2015-06-18,103.54,103.54,103.54,103.54,0
30,2015-06-19,103.91,103.91,103.91,103.91,0
31,2015-06-23,105.22,105.22,105.22,105.22,0
32,2015-06-25,105.07,105.07,105.07,105.07,0
33,2015-06-26,105.14,105.14,105.14,105.14,0
34,2015-06-29,103.7,103.7,103.7,103.7,0
35,2015-06-30,103.88,103.88,103.88,103.88,0
36,2015-07-01,104.15,104.15,104.15,104.15,0
37,2015-07-02,104.07,104.07,104.07,104.07,0
38,2015-07-03,104.13,104.13,104.13,104.13,0
39,2015-07-06,103.91,103.91,103.91,103.91,0
40,2015-07-07,104.03,104.03,104.03,104.03,0
41,2015-07-08,103.59,103.59,103.59,103.59,0
42,2015-07-09,103.86,103.86,103.86,103.86,0
43,2015-07-10,103.91,103.91,103.91,103.91,0
44,2015-07-13,104.42,104.42,104.42,104.42,0
45,2015-07-15,104.68,104.68,104.68,104.68,0
46,2015-07-16,104.99,104.99,104.99,104.99,0
47,2015-07-17,105.1,105.1,105.1,105.1,0
48,2015-07-20,105.09,105.09,105.09,105.09,0
49,2015-07-21,104.9,104.9,104.9,104.9,0
50,2015-07-22,104.79,104.79,104.79,104.79,0
51,2015-07-23,104.72,104.72,104.72,104.72,0
52,2015-07-24,104.52,104.52,104.52,104.52,0
53,2015-07-27,104.01,104.01,104.01,104.01,0
54,2015-07-28,104.22,104.22,104.22,104.22,0
55,2015-07-29,104.34,104.34,104.34,104.34,0
56,2015-07-30,104.51,104.51,104.51,104.51,0
57,2015-07-31,104.64,104.64,104.64,104.64,0
58,2015-08-03,104.84,104.84,104.84,104.84,0
59,2015-08-04,104.64,104.64,104.64,104.64,0
60,2015-08-05,104.89,104.89,104.89,104.89,0
61,2015-08-06,104.78,104.78,104.78,104.78,0
62,2015-08-07,104.67,104.67,104.67,104.67,0
63,2015-08-10,104.8,104.8,104.8,104.8,0
64,2015-08-11,104.46,104.46,104.46,104.46,0
65,2015-08-12,103.62,103.62,103.62,103.62,0
66,2015-08-13,103.96,103.96,103.96,103.96,0
67,2015-08-14,103.86,103.86,103.86,103.86,0
68,2015-08-17,104.02,104.02,104.02,104.02,0
69,2015-08-18,103.94,103.94,103.94,103.94,0
70,2015-08-19,103.49,103.49,103.49,103.49,0
71,2015-08-21,101.59,101.59,101.59,101.59,0
72,2015-08-24,99.39,99.39,99.39,99.39,0
73,2015-08-25,100.3,100.3,100.3,100.3,0
74,2015-08-26,100.2,100.2,100.2,100.2,0
75,2015-08-27,101.42,101.42,101.42,101.42,0
76,2015-08-28,101.61,101.61,101.61,101.61,0
77,2015-08-31,101.27,101.27,101.27,101.27,0
78,2015-09-01,100.09,100.09,100.09,100.09,0
79,2015-09-03,100.99,100.99,100.99,100.99,0
80,2015-09-04,100.06,100.06,100.06,100.06,0
81,2015-09-07,100.14,100.14,100.14,100.14,0
82,2015-09-08,100.59,100.59,100.59,100.59,0
83,2015-09-09,101.18,101.18,101.18,101.18,0
84,2015-09-10,100.69,100.69,100.69,100.69,0
85,2015-09-11,100.47,100.47,100.47,100.47,0
86,2015-09-14,100.28,100.28,100.28,100.28,0
87,2015-09-15,100.47,100.47,100.47,100.47,0
88,2015-09-16,100.86,100.86,100.86,100.86,0
89,2015-09-17,101.02,101.02,101.02,101.02,0
90,2015-09-18,100.46,100.46,100.46,100.46,0
91,2015-09-21,100.2,100.2,100.2,100.2,0
92,2015-09-23,99.42,99.42,99.42,99.42,0
93,2015-09-24,98.78,98.78,98.78,98.78,0
94,2015-09-25,99.47,99.47,99.47,99.47,0
95,2015-09-28,98.6,98.6,98.6,98.6,0
96,2015-09-29,98.34,98.34,98.34,98.34,0
97,2015-09-30,98.93,98.93,98.93,98.93,0
98,2015-10-01,99.05,99.05,99.05,99.05,0
99,2015-10-02,99.29,99.29,99.29,99.29,0
100,2015-10-05,100.17,100.17,100.17,100.17,0
101,2015-10-06,100.36,100.36,100.36,100.36,0
