,date,open,close,high,low,volumme
0,2014-09-25,8.54,8.54,8.54,8.54,0
1,2014-09-26,8.5673,8.5673,8.5673,8.5673,0
2,2014-09-29,8.53157,8.53157,8.53157,8.53157,0
3,2014-09-30,8.58296,8.58296,8.58296,8.58296,0
4,2014-10-01,8.5119,8.5119,8.5119,8.5119,0
5,2014-10-02,8.30356,8.30356,8.30356,8.30356,0
6,2014-10-03,8.37823,8.37823,8.37823,8.37823,0
7,2014-10-06,8.39709,8.39709,8.39709,8.39709,0
8,2014-10-07,8.27225,8.27225,8.27225,8.27225,0
9,2014-10-08,8.2024,8.2024,8.2024,8.2024,0
10,2014-10-09,8.16507,8.16507,8.16507,8.16507,0
11,2014-10-10,8.03099,8.03099,8.03099,8.03099,0
12,2014-10-13,8.02938,8.02938,8.02938,8.02938,0
13,2014-10-14,8.02577,8.02577,8.02577,8.02577,0
14,2014-10-15,7.76926,7.76926,7.76926,7.76926,0
15,2014-10-16,7.72912,7.72912,7.72912,7.72912,0
16,2014-10-17,7.94348,7.94348,7.94348,7.94348,0
17,2014-10-20,7.90414,7.90414,7.90414,7.90414,0
18,2014-10-21,8.08037,8.08037,8.08037,8.08037,0
19,2014-10-22,8.14018,8.14018,8.14018,8.14018,0
20,2014-10-23,8.19678,8.19678,8.19678,8.19678,0
21,2014-10-24,8.16748,8.16748,8.16748,8.16748,0
22,2014-10-27,8.1169,8.1169,8.1169,8.1169,0
23,2014-10-28,8.19397,8.19397,8.19397,8.19397,0
24,2014-10-29,8.20762,8.20762,8.20762,8.20762,0
25,2014-10-30,8.25699,8.25699,8.25699,8.25699,0
26,2014-10-31,8.40914,8.40914,8.40914,8.40914,0
27,2014-11-03,8.3437,8.3437,8.3437,8.3437,0
28,2014-11-04,8.2574,8.2574,8.2574,8.2574,0
29,2014-11-05,8.3979,8.3979,8.3979,8.3979,0
30,2014-11-06,8.41436,8.41436,8.41436,8.41436,0
31,2014-11-07,8.37381,8.37381,8.37381,8.37381,0
32,2014-11-10,8.43122,8.43122,8.43122,8.43122,0
33,2014-11-12,8.35695,8.35695,8.35695,8.35695,0
34,2014-11-13,8.37903,8.37903,8.37903,8.37903,0
35,2014-11-14,8.37582,8.37582,8.37582,8.37582,0
36,2014-11-17,8.41516,8.41516,8.41516,8.41516,0
37,2014-11-18,8.46775,8.46775,8.46775,8.46775,0
38,2014-11-19,8.46775,8.46775,8.46775,8.46775,0
39,2014-11-20,8.44486,8.44486,8.44486,8.44486,0
40,2014-11-21,8.61668,8.61668,8.61668,8.61668,0
41,2014-11-24,8.62832,8.62832,8.62832,8.62832,0
42,2014-11-25,8.64518,8.64518,8.64518,8.64518,0
43,2014-11-26,8.64999,8.64999,8.64999,8.64999,0
44,2014-11-27,8.67609,8.67609,8.67609,8.67609,0
45,2014-11-28,8.67047,8.67047,8.67047,8.67047,0
46,2014-12-01,8.63073,8.63073,8.63073,8.63073,0
47,2014-12-02,8.67609,8.67609,8.67609,8.67609,0
48,2014-12-03,8.72867,8.72867,8.72867,8.72867,0
49,2014-12-04,8.61908,8.61908,8.61908,8.61908,0
50,2014-12-05,8.76801,8.76801,8.76801,8.76801,0
51,2014-12-08,8.70338,8.70338,8.70338,8.70338,0
52,2014-12-09,8.50387,8.50387,8.50387,8.50387,0
53,2014-12-10,8.47136,8.47136,8.47136,8.47136,0
54,2014-12-11,8.47658,8.47658,8.47658,8.47658,0
55,2014-12-12,8.25579,8.25579,8.25579,8.25579,0
56,2014-12-15,8.07876,8.07876,8.07876,8.07876,0
57,2014-12-16,8.21565,8.21565,8.21565,8.21565,0
58,2014-12-17,8.2313,8.2313,8.2313,8.2313,0
59,2014-12-18,8.47256,8.47256,8.47256,8.47256,0
60,2014-12-19,8.50869,8.50869,8.50869,8.50869,0
61,2014-12-22,8.55245,8.55245,8.55245,8.55245,0
62,2014-12-23,8.60263,8.60263,8.60263,8.60263,0
63,2014-12-24,8.60303,8.60303,8.60303,8.60303,0
64,2014-12-29,8.61266,8.61266,8.61266,8.61266,0
65,2014-12-30,8.52997,8.52997,8.52997,8.52997,0
66,2014-12-31,8.56529,8.56529,8.56529,8.56529,0
67,2015-01-02,8.54201,8.54201,8.54201,8.54201,0
68,2015-01-05,8.34451,8.34451,8.34451,8.34451,0
69,2015-01-06,8.29754,8.29754,8.29754,8.29754,0
70,2015-01-07,8.34009,8.34009,8.34009,8.34009,0
71,2015-01-08,8.57212,8.57212,8.57212,8.57212,0
72,2015-01-09,8.46333,8.46333,8.46333,8.46333,0
73,2015-01-12,8.50829,8.50829,8.50829,8.50829,0
74,2015-01-13,8.62671,8.62671,8.62671,8.62671,0
75,2015-01-14,8.49665,8.49665,8.49665,8.49665,0
76,2015-01-15,8.72867,8.72867,8.72867,8.72867,0
77,2015-01-16,8.83545,8.83545,8.83545,8.83545,0
78,2015-01-19,8.85231,8.85231,8.85231,8.85231,0
79,2015-01-20,8.92417,8.92417,8.92417,8.92417,0
80,2015-01-21,8.97796,8.97796,8.97796,8.97796,0
81,2015-01-22,9.12448,9.12448,9.12448,9.12448,0
82,2015-01-23,9.28465,9.28465,9.28465,9.28465,0
83,2015-01-26,9.33563,9.33563,9.33563,9.33563,0
84,2015-01-27,9.24772,9.24772,9.24772,9.24772,0
85,2015-01-28,9.26097,9.26097,9.26097,9.26097,0
86,2015-01-29,9.24652,9.24652,9.24652,9.24652,0
87,2015-01-30,9.19835,9.19835,9.19835,9.19835,0
88,2015-02-02,9.20718,9.20718,9.20718,9.20718,0
89,2015-02-03,9.28104,9.28104,9.28104,9.28104,0
90,2015-02-04,9.31958,9.31958,9.31958,9.31958,0
91,2015-02-05,9.33443,9.33443,9.33443,9.33443,0
92,2015-02-06,9.3537,9.3537,9.3537,9.3537,0
93,2015-02-09,9.28224,9.28224,9.28224,9.28224,0
94,2015-02-10,9.33684,9.33684,9.33684,9.33684,0
95,2015-02-11,9.31195,9.31195,9.31195,9.31195,0
96,2015-02-12,9.38501,9.38501,9.38501,9.38501,0
97,2015-02-13,9.45366,9.45366,9.45366,9.45366,0
98,2015-02-16,9.44362,9.44362,9.44362,9.44362,0
99,2015-02-17,9.45566,9.45566,9.45566,9.45566,0
100,2015-02-18,9.54077,9.54077,9.54077,9.54077,0
101,2015-02-19,9.56124,9.56124,9.56124,9.56124,0
102,2015-02-20,9.58091,9.58091,9.58091,9.58091,0
103,2015-02-23,9.64714,9.64714,9.64714,9.64714,0
104,2015-02-24,9.70214,9.70214,9.70214,9.70214,0
105,2015-02-25,9.69331,9.69331,9.69331,9.69331,0
106,2015-02-26,9.78724,9.78724,9.78724,9.78724,0
107,2015-02-27,9.82939,9.82939,9.82939,9.82939,0
108,2015-03-02,9.80731,9.80731,9.80731,9.80731,0
109,2015-03-03,9.7186,9.7186,9.7186,9.7186,0
110,2015-03-04,9.79848,9.79848,9.79848,9.79848,0
111,2015-03-05,9.88278,9.88278,9.88278,9.88278,0
112,2015-03-06,9.8888,9.8888,9.8888,9.8888,0
113,2015-03-09,9.86873,9.86873,9.86873,9.86873,0
114,2015-03-10,9.7748,9.7748,9.7748,9.7748,0
115,2015-03-11,9.91771,9.91771,9.91771,9.91771,0
116,2015-03-12,9.91369,9.91369,9.91369,9.91369,0
117,2015-03-13,9.93537,9.93537,9.93537,9.93537,0
118,2015-03-16,10.03011,10.03011,10.03011,10.03011,0
119,2015-03-17,9.96548,9.96548,9.96548,9.96548,0
120,2015-03-18,9.9988,9.9988,9.9988,9.9988,0
121,2015-03-19,10.0554,10.0554,10.0554,10.0554,0
122,2015-03-20,10.1409,10.1409,10.1409,10.1409,0
123,2015-03-23,10.07547,10.07547,10.07547,10.07547,0
124,2015-03-24,10.10397,10.10397,10.10397,10.10397,0
125,2015-03-25,9.99358,9.99358,9.99358,9.99358,0
126,2015-03-26,9.9153,9.9153,9.9153,9.9153,0
127,2015-03-27,9.93698,9.93698,9.93698,9.93698,0
128,2015-03-30,10.04817,10.04817,10.04817,10.04817,0
129,2015-03-31,9.98515,9.98515,9.98515,9.98515,0
130,2015-04-01,10.02047,10.02047,10.02047,10.02047,0
131,2015-04-02,10.00883,10.00883,10.00883,10.00883,0
132,2015-04-07,10.18064,10.18064,10.18064,10.18064,0
133,2015-04-08,10.17904,10.17904,10.17904,10.17904,0
134,2015-04-09,10.29063,10.29063,10.29063,10.29063,0
135,2015-04-10,10.38698,10.38698,10.38698,10.38698,0
136,2015-04-13,10.40705,10.40705,10.40705,10.40705,0
137,2015-04-14,10.3645,10.3645,10.3645,10.3645,0
138,2015-04-15,10.42752,10.42752,10.42752,10.42752,0
139,2015-04-16,10.35647,10.35647,10.35647,10.35647,0
140,2015-04-17,10.18024,10.18024,10.18024,10.18024,0
141,2015-04-20,10.26976,10.26976,10.26976,10.26976,0
142,2015-04-21,10.32355,10.32355,10.32355,10.32355,0
143,2015-04-22,10.31432,10.31432,10.31432,10.31432,0
144,2015-04-23,10.27498,10.27498,10.27498,10.27498,0
145,2015-04-24,10.31191,10.31191,10.31191,10.31191,0
146,2015-04-27,10.40785,10.40785,10.40785,10.40785,0
147,2015-04-28,10.25611,10.25611,10.25611,10.25611,0
148,2015-04-29,10.03372,10.03372,10.03372,10.03372,0
149,2015-04-30,10.0,10.0,10.0,10.0,0
150,2015-05-05,9.8945,9.8945,9.8945,9.8945,0
151,2015-05-06,9.8416,9.8416,9.8416,9.8416,0
152,2015-05-07,9.846,9.846,9.846,9.846,0
153,2015-05-08,10.1188,10.1188,10.1188,10.1188,0
154,2015-05-11,10.1584,10.1584,10.1584,10.1584,0
155,2015-05-12,10.032,10.032,10.032,10.032,0
156,2015-05-13,10.0055,10.0055,10.0055,10.0055,0
157,2015-05-15,10.0347,10.0347,10.0347,10.0347,0
158,2015-05-18,10.0826,10.0826,10.0826,10.0826,0
159,2015-05-19,10.2506,10.2506,10.2506,10.2506,0
160,2015-05-20,10.2916,10.2916,10.2916,10.2916,0
161,2015-05-21,10.3343,10.3343,10.3343,10.3343,0
162,2015-05-22,10.3288,10.3288,10.3288,10.3288,0
163,2015-05-26,10.2216,10.2216,10.2216,10.2216,0
164,2015-05-27,10.3544,10.3544,10.3544,10.3544,0
165,2015-05-28,10.3141,10.3141,10.3141,10.3141,0
166,2015-05-29,10.1336,10.1336,10.1336,10.1336,0
167,2015-06-01,10.1382,10.1382,10.1382,10.1382,0
168,2015-06-02,10.0395,10.0395,10.0395,10.0395,0
169,2015-06-03,10.0301,10.0301,10.0301,10.0301,0
170,2015-06-04,9.95,9.95,9.95,9.95,0
171,2015-06-05,9.8635,9.8635,9.8635,9.8635,0
172,2015-06-08,9.7734,9.7734,9.7734,9.7734,0
173,2015-06-09,9.7295,9.7295,9.7295,9.7295,0
174,2015-06-10,9.9104,9.9104,9.9104,9.9104,0
175,2015-06-11,9.9664,9.9664,9.9664,9.9664,0
176,2015-06-12,9.8777,9.8777,9.8777,9.8777,0
177,2015-06-15,9.7151,9.7151,9.7151,9.7151,0
178,2015-06-16,9.7783,9.7783,9.7783,9.7783,0
179,2015-06-18,9.7406,9.7406,9.7406,9.7406,0
180,2015-06-19,9.777,9.777,9.777,9.777,0
181,2015-06-22,9.9991,9.9991,9.9991,9.9991,0
182,2015-06-24,10.0776,10.0776,10.0776,10.0776,0
183,2015-06-25,10.0507,10.0507,10.0507,10.0507,0
184,2015-06-26,10.0763,10.0763,10.0763,10.0763,0
185,2015-06-29,9.8054,9.8054,9.8054,9.8054,0
186,2015-06-30,9.678,9.678,9.678,9.678,0
187,2015-07-01,9.8194,9.8194,9.8194,9.8194,0
188,2015-07-02,9.7842,9.7842,9.7842,9.7842,0
189,2015-07-03,9.7353,9.7353,9.7353,9.7353,0
190,2015-07-06,9.6134,9.6134,9.6134,9.6134,0
191,2015-07-07,9.4601,9.4601,9.4601,9.4601,0
192,2015-07-08,9.4664,9.4664,9.4664,9.4664,0
193,2015-07-09,9.673,9.673,9.673,9.673,0
194,2015-07-10,9.8679,9.8679,9.8679,9.8679,0
195,2015-07-13,10.0612,10.0612,10.0612,10.0612,0
196,2015-07-14,10.1101,10.1101,10.1101,10.1101,0
197,2015-07-15,10.1507,10.1507,10.1507,10.1507,0
198,2015-07-16,10.2863,10.2863,10.2863,10.2863,0
199,2015-07-17,10.3226,10.3226,10.3226,10.3226,0
200,2015-07-20,10.3265,10.3265,10.3265,10.3265,0
201,2015-07-21,10.2257,10.2257,10.2257,10.2257,0
202,2015-07-22,10.1601,10.1601,10.1601,10.1601,0
203,2015-07-23,10.1132,10.1132,10.1132,10.1132,0
204,2015-07-24,10.0229,10.0229,10.0229,10.0229,0
205,2015-07-27,9.8051,9.8051,9.8051,9.8051,0
206,2015-07-28,9.9066,9.9066,9.9066,9.9066,0
207,2015-07-29,10.0074,10.0074,10.0074,10.0074,0
208,2015-07-30,10.0598,10.0598,10.0598,10.0598,0
209,2015-08-03,10.1497,10.1497,10.1497,10.1497,0
210,2015-08-04,10.1323,10.1323,10.1323,10.1323,0
211,2015-08-05,10.2686,10.2686,10.2686,10.2686,0
212,2015-08-06,10.1869,10.1869,10.1869,10.1869,0
213,2015-08-07,10.0964,10.0964,10.0964,10.0964,0
214,2015-08-10,10.1601,10.1601,10.1601,10.1601,0
215,2015-08-11,9.9943,9.9943,9.9943,9.9943,0
216,2015-08-12,9.7293,9.7293,9.7293,9.7293,0
217,2015-08-13,9.8366,9.8366,9.8366,9.8366,0
218,2015-08-14,9.8221,9.8221,9.8221,9.8221,0
219,2015-08-17,9.8406,9.8406,9.8406,9.8406,0
220,2015-08-18,9.8589,9.8589,9.8589,9.8589,0
221,2015-08-19,9.6794,9.6794,9.6794,9.6794,0
222,2015-08-20,9.4868,9.4868,9.4868,9.4868,0
223,2015-08-21,9.1805,9.1805,9.1805,9.1805,0
224,2015-08-24,8.6886,8.6886,8.6886,8.6886,0
225,2015-08-25,9.0434,9.0434,9.0434,9.0434,0
226,2015-08-26,8.8988,8.8988,8.8988,8.8988,0
227,2015-08-27,9.2127,9.2127,9.2127,9.2127,0
228,2015-08-28,9.234,9.234,9.234,9.234,0
229,2015-09-01,8.9611,8.9611,8.9611,8.9611,0
230,2015-09-02,8.9842,8.9842,8.9842,8.9842,0
231,2015-09-03,9.1968,9.1968,9.1968,9.1968,0
232,2015-09-04,8.963,8.963,8.963,8.963,0
233,2015-09-07,9.0058,9.0058,9.0058,9.0058,0
234,2015-09-08,9.1122,9.1122,9.1122,9.1122,0
235,2015-09-09,9.2385,9.2385,9.2385,9.2385,0
236,2015-09-10,9.1256,9.1256,9.1256,9.1256,0
237,2015-09-11,9.0336,9.0336,9.0336,9.0336,0
238,2015-09-14,8.9777,8.9777,8.9777,8.9777,0
239,2015-09-15,9.0482,9.0482,9.0482,9.0482,0
240,2015-09-16,9.1924,9.1924,9.1924,9.1924,0
241,2015-09-17,9.1759,9.1759,9.1759,9.1759,0
242,2015-09-18,9.0066,9.0066,9.0066,9.0066,0
243,2015-09-21,9.091,9.091,9.091,9.091,0
244,2015-09-22,8.8055,8.8055,8.8055,8.8055,0
245,2015-09-23,8.8163,8.8163,8.8163,8.8163,0
246,2015-09-24,8.6318,8.6318,8.6318,8.6318,0
247,2015-09-25,8.8741,8.8741,8.8741,8.8741,0
248,2015-09-28,8.6841,8.6841,8.6841,8.6841,0
249,2015-09-29,8.6305,8.6305,8.6305,8.6305,0
250,2015-09-30,8.8458,8.8458,8.8458,8.8458,0
251,2015-10-01,8.8048,8.8048,8.8048,8.8048,0
252,2015-10-02,8.8513,8.8513,8.8513,8.8513,0
253,2015-10-05,9.1127,9.1127,9.1127,9.1127,0
254,2015-10-06,9.1885,9.1885,9.1885,9.1885,0
255,2015-10-07,9.1899,9.1899,9.1899,9.1899,0
256,2015-10-08,9.2088,9.2088,9.2088,9.2088,0
257,2015-10-09,9.2457,9.2457,9.2457,9.2457,0
258,2015-10-12,9.2224,9.2224,9.2224,9.2224,0
259,2015-10-13,9.1392,9.1392,9.1392,9.1392,0
260,2015-10-14,9.0759,9.0759,9.0759,9.0759,0
261,2015-10-15,9.2066,9.2066,9.2066,9.2066,0
262,2015-10-16,9.2696,9.2696,9.2696,9.2696,0
263,2015-10-19,9.2998,9.2998,9.2998,9.2998,0
264,2015-10-20,9.2552,9.2552,9.2552,9.2552,0
265,2015-10-21,9.2524,9.2524,9.2524,9.2524,0
266,2015-10-22,9.4549,9.4549,9.4549,9.4549,0
267,2015-10-23,9.6241,9.6241,9.6241,9.6241,0
268,2015-10-26,9.5881,9.5881,9.5881,9.5881,0
269,2015-10-27,9.4835,9.4835,9.4835,9.4835,0
270,2015-10-28,9.5849,9.5849,9.5849,9.5849,0
271,2015-10-29,9.5779,9.5779,9.5779,9.5779,0
272,2015-10-30,9.5706,9.5706,9.5706,9.5706,0
273,2015-11-02,9.6052,9.6052,9.6052,9.6052,0
274,2015-11-03,9.6476,9.6476,9.6476,9.6476,0
275,2015-11-04,9.6978,9.6978,9.6978,9.6978,0
276,2015-11-05,9.6522,9.6522,9.6522,9.6522,0
277,2015-11-06,9.675,9.675,9.675,9.675,0
278,2015-11-09,9.573,9.573,9.573,9.573,0
279,2015-11-10,9.5855,9.5855,9.5855,9.5855,0
280,2015-11-11,9.638,9.638,9.638,9.638,0
281,2015-11-12,9.4914,9.4914,9.4914,9.4914,0
282,2015-11-13,9.4128,9.4128,9.4128,9.4128,0
283,2015-11-16,9.4429,9.4429,9.4429,9.4429,0
284,2015-11-17,9.6783,9.6783,9.6783,9.6783,0
285,2015-11-18,9.6698,9.6698,9.6698,9.6698,0
286,2015-11-19,9.7166,9.7166,9.7166,9.7166,0
287,2015-11-20,9.7381,9.7381,9.7381,9.7381,0
288,2015-11-23,9.704,9.704,9.704,9.704,0
289,2015-11-24,9.589,9.589,9.589,9.589,0
290,2015-11-25,9.7157,9.7157,9.7157,9.7157,0
291,2015-11-26,9.8092,9.8092,9.8092,9.8092,0
292,2015-11-27,9.7846,9.7846,9.7846,9.7846,0
293,2015-11-30,9.8274,9.8274,9.8274,9.8274,0
294,2015-12-01,9.7925,9.7925,9.7925,9.7925,0
295,2015-12-02,9.7886,9.7886,9.7886,9.7886,0
296,2015-12-03,9.4803,9.4803,9.4803,9.4803,0
297,2015-12-04,9.435,9.435,9.435,9.435,0
298,2015-12-07,9.4772,9.4772,9.4772,9.4772,0
299,2015-12-08,9.3084,9.3084,9.3084,9.3084,0
300,2015-12-09,9.2723,9.2723,9.2723,9.2723,0
301,2015-12-10,9.2416,9.2416,9.2416,9.2416,0
302,2015-12-11,9.0468,9.0468,9.0468,9.0468,0
