,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2015-06-11,38.64,38.64,38.64,38.64,0
1,1.0,2015-06-12,38.68,38.68,38.68,38.68,0
2,2.0,2015-06-15,38.68,38.68,38.68,38.68,0
3,3.0,2015-06-16,38.29,38.29,38.29,38.29,0
4,4.0,2015-06-19,37.92,37.92,37.92,37.92,0
5,5.0,2015-06-24,39.02,39.02,39.02,39.02,0
6,6.0,2015-06-25,38.99,38.99,38.99,38.99,0
7,7.0,2015-06-26,39.1,39.1,39.1,39.1,0
8,8.0,2015-06-29,38.38,38.38,38.38,38.38,0
9,9.0,2015-06-30,38.68,38.68,38.68,38.68,0
10,10.0,2015-07-01,38.94,38.94,38.94,38.94,0
11,11.0,2015-07-02,39.1,39.1,39.1,39.1,0
12,12.0,2015-07-03,39.51,39.51,39.51,39.51,0
13,13.0,2015-07-06,38.8,38.8,38.8,38.8,0
14,14.0,2015-07-07,39.67,39.67,39.67,39.67,0
15,15.0,2015-07-08,38.01,38.01,38.01,38.01,0
16,16.0,2015-07-09,38.06,38.06,38.06,38.06,0
17,17.0,2015-07-10,37.22,37.22,37.22,37.22,0
18,18.0,2015-07-13,38.22,38.22,38.22,38.22,0
19,19.0,2015-07-14,38.96,38.96,38.96,38.96,0
20,20.0,2015-07-15,39.05,39.05,39.05,39.05,0
21,21.0,2015-07-16,39.68,39.68,39.68,39.68,0
22,22.0,2015-07-17,40.0,40.0,40.0,40.0,0
23,23.0,2015-07-21,40.08,40.08,40.08,40.08,0
24,24.0,2015-07-22,39.7,39.7,39.7,39.7,0
25,25.0,2015-07-23,39.69,39.69,39.69,39.69,0
26,26.0,2015-07-24,39.67,39.67,39.67,39.67,0
27,27.0,2015-07-27,38.83,38.83,38.83,38.83,0
28,28.0,2015-07-28,38.59,38.59,38.59,38.59,0
29,29.0,2015-07-29,38.65,38.65,38.65,38.65,0
30,30.0,2015-07-30,39.22,39.22,39.22,39.22,0
31,31.0,2015-08-03,39.52,39.52,39.52,39.52,0
32,32.0,2015-08-04,39.45,39.45,39.45,39.45,0
33,33.0,2015-08-05,39.59,39.59,39.59,39.59,0
34,34.0,2015-08-06,39.72,39.72,39.72,39.72,0
35,35.0,2015-08-07,39.86,39.86,39.86,39.86,0
36,36.0,2015-08-10,39.79,39.79,39.79,39.79,0
37,37.0,2015-08-11,39.3,39.3,39.3,39.3,0
38,38.0,2015-08-12,38.54,38.54,38.54,38.54,0
39,39.0,2015-08-13,38.69,38.69,38.69,38.69,0
40,40.0,2015-08-14,38.69,38.69,38.69,38.69,0
41,41.0,2015-08-17,38.99,38.99,38.99,38.99,0
42,42.0,2015-08-18,39.08,39.08,39.08,39.08,0
43,43.0,2015-08-19,38.46,38.46,38.46,38.46,0
44,44.0,2015-08-20,37.67,37.67,37.67,37.67,0
45,45.0,2015-08-21,36.5,36.5,36.5,36.5,0
46,46.0,2015-08-24,34.51,34.51,34.51,34.51,0
47,47.0,2015-08-25,33.88,33.88,33.88,33.88,0
48,48.0,2015-08-26,35.32,35.32,35.32,35.32,0
49,49.0,2015-08-27,36.0,36.0,36.0,36.0,0
50,50.0,2015-08-28,37.18,37.18,37.18,37.18,0
51,51.0,2015-08-31,36.81,36.81,36.81,36.81,0
52,52.0,2015-09-01,35.68,35.68,35.68,35.68,0
53,53.0,2015-09-02,35.32,35.32,35.32,35.32,0
54,54.0,2015-09-03,36.02,36.02,36.02,36.02,0
55,55.0,2015-09-04,35.42,35.42,35.42,35.42,0
56,56.0,2015-09-07,35.16,35.16,35.16,35.16,0
57,57.0,2015-09-08,34.25,34.25,34.25,34.25,0
58,58.0,2015-09-09,36.01,36.01,36.01,36.01,0
59,59.0,2015-09-10,35.3,35.3,35.3,35.3,0
60,60.0,2015-09-11,35.18,35.18,35.18,35.18,0
61,61.0,2015-09-14,34.98,34.98,34.98,34.98,0
62,62.0,2015-09-15,35.0,35.0,35.0,35.0,0
63,63.0,2015-09-16,35.08,35.08,35.08,35.08,0
64,64.0,2015-09-17,35.51,35.51,35.51,35.51,0
65,65.0,2015-09-18,34.93,34.93,34.93,34.93,0
66,66.0,2015-09-24,34.39,34.39,34.39,34.39,0
67,67.0,2015-09-25,34.85,34.85,34.85,34.85,0
68,68.0,2015-09-28,34.87,34.87,34.87,34.87,0
69,69.0,2015-09-29,33.18,33.18,33.18,33.18,0
70,70.0,2015-09-30,34.33,34.33,34.33,34.33,0
71,71.0,2015-10-01,34.9,34.9,34.9,34.9,0
72,72.0,2015-10-02,34.98,34.98,34.98,34.98,0
73,73.0,2015-10-05,35.33,35.33,35.33,35.33,0
74,74.0,2015-10-06,35.45,35.45,35.45,35.45,0
75,75.0,2015-10-07,36.03,36.03,36.03,36.03,0
76,76.0,2015-10-08,35.61,35.61,35.61,35.61,0
77,77.0,2015-10-09,36.04,36.04,36.04,36.04,0
78,78.0,2015-10-13,35.91,35.91,35.91,35.91,0
79,79.0,2015-10-14,35.1,35.1,35.1,35.1,0
80,80.0,2015-10-15,35.96,35.96,35.96,35.96,0
81,81.0,2015-10-16,36.13,36.13,36.13,36.13,0
82,82.0,2015-10-19,35.97,35.97,35.97,35.97,0
83,83.0,2015-10-20,35.83,35.83,35.83,35.83,0
84,84.0,2015-10-21,36.43,36.43,36.43,36.43,0
85,85.0,2015-10-22,36.8,36.8,36.8,36.8,0
86,86.0,2015-10-23,37.62,37.62,37.62,37.62,0
87,87.0,2015-10-26,38.04,38.04,38.04,38.04,0
88,88.0,2015-10-27,37.83,37.83,37.83,37.83,0
89,89.0,2015-10-28,37.81,37.81,37.81,37.81,0
90,90.0,2015-10-29,37.91,37.91,37.91,37.91,0
91,91.0,2015-10-30,38.0,38.0,38.0,38.0,0
92,92.0,2015-11-02,37.42,37.42,37.42,37.42,0
93,93.0,2015-11-04,37.98,37.98,37.98,37.98,0
94,94.0,2015-11-05,38.38,38.38,38.38,38.38,0
95,95.0,2015-11-06,38.52,38.52,38.52,38.52,0
96,96.0,2015-11-09,39.21,39.21,39.21,39.21,0
97,97.0,2015-11-10,39.38,39.38,39.38,39.38,0
98,98.0,2015-11-11,39.53,39.53,39.53,39.53,0
99,99.0,2015-11-12,39.33,39.33,39.33,39.33,0
100,100.0,2015-11-13,39.33,39.33,39.33,39.33,0
101,101.0,2015-11-16,38.96,38.96,38.96,38.96,0
102,102.0,2015-11-17,39.43,39.43,39.43,39.43,0
103,103.0,2015-11-18,39.35,39.35,39.35,39.35,0
104,104.0,2015-11-19,39.58,39.58,39.58,39.58,0
105,105.0,2015-11-20,39.84,39.84,39.84,39.84,0
106,106.0,2015-11-24,40.22,40.22,40.22,40.22,0
107,107.0,2015-11-25,39.95,39.95,39.95,39.95,0
108,108.0,2015-11-26,40.1,40.1,40.1,40.1,0
109,109.0,2015-11-27,39.95,39.95,39.95,39.95,0
110,110.0,2015-11-30,39.58,39.58,39.58,39.58,0
111,111.0,2015-12-01,40.16,40.16,40.16,40.16,0
112,112.0,2015-12-02,40.1,40.1,40.1,40.1,0
113,113.0,2015-12-03,39.17,39.17,39.17,39.17,0
114,114.0,2015-12-04,38.37,38.37,38.37,38.37,0
115,115.0,2015-12-07,38.75,38.75,38.75,38.75,0
116,116.0,2015-12-08,38.43,38.43,38.43,38.43,0
117,117.0,2015-12-09,37.99,37.99,37.99,37.99,0
118,118.0,2015-12-10,37.85,37.85,37.85,37.85,0
119,119.0,2015-12-11,37.98,37.98,37.98,37.98,0
120,120.0,2015-12-14,37.4,37.4,37.4,37.4,0
121,121.0,2015-12-15,36.87,36.87,36.87,36.87,0
122,122.0,2015-12-16,37.68,37.68,37.68,37.68,0
123,123.0,2015-12-17,38.28,38.28,38.28,38.28,0
124,124.0,2015-12-18,37.87,37.87,37.87,37.87,0
125,125.0,2015-12-21,37.57,37.57,37.57,37.57,0
126,126.0,2015-12-22,37.49,37.49,37.49,37.49,0
127,127.0,2015-12-24,37.36,37.36,37.36,37.36,0
128,128.0,2015-12-28,37.46,37.46,37.46,37.46,0
129,129.0,2015-12-29,37.98,37.98,37.98,37.98,0
130,130.0,2015-12-30,37.96,37.96,37.96,37.96,0
131,131.0,2016-01-04,37.9,37.9,37.9,37.9,0
132,132.0,2016-01-05,38.11,38.11,38.11,38.11,0
133,133.0,2016-01-06,37.68,37.68,37.68,37.68,0
134,134.0,2016-01-07,36.69,36.69,36.69,36.69,0
135,135.0,2016-01-08,36.32,36.32,36.32,36.32,0
136,136.0,2016-01-12,35.27,35.27,35.27,35.27,0
137,137.0,2016-01-13,36.13,36.13,36.13,36.13,0
138,138.0,2016-01-14,35.28,35.28,35.28,35.28,0
139,139.0,2016-01-15,35.13,35.13,35.13,35.13,0
140,140.0,2016-01-18,34.83,34.83,34.83,34.83,0
141,141.0,2016-01-19,34.84,34.84,34.84,34.84,0
142,142.0,2016-01-20,33.94,33.94,33.94,33.94,0
143,143.0,2016-01-21,33.02,33.02,33.02,33.02,0
144,144.0,2016-01-22,34.48,34.48,34.48,34.48,0
145,145.0,2016-01-25,34.77,34.77,34.77,34.77,0
146,146.0,2016-01-26,33.95,33.95,33.95,33.95,0
147,147.0,2016-01-27,34.79,34.79,34.79,34.79,0
148,148.0,2016-01-28,34.31,34.31,34.31,34.31,0
149,149.0,2016-01-29,34.99,34.99,34.99,34.99,0
150,150.0,2016-02-01,35.32,35.32,35.32,35.32,0
151,151.0,2016-02-02,35.1,35.1,35.1,35.1,0
152,152.0,2016-02-03,34.1,34.1,34.1,34.1,0
153,153.0,2016-02-04,33.46,33.46,33.46,33.46,0
154,154.0,2016-02-05,33.18,33.18,33.18,33.18,0
155,155.0,2016-02-08,33.74,33.74,33.74,33.74,0
156,156.0,2016-02-09,31.69,31.69,31.69,31.69,0
157,157.0,2016-02-10,31.01,31.01,31.01,31.01,0
158,158.0,2016-02-12,29.52,29.52,29.52,29.52,0
159,159.0,2016-02-15,31.7,31.7,31.7,31.7,0
160,160.0,2016-02-16,32.0,32.0,32.0,32.0,0
161,161.0,2016-02-17,31.55,31.55,31.55,31.55,0
162,162.0,2016-02-18,32.53,32.53,32.53,32.53,0
163,163.0,2016-02-19,32.2,32.2,32.2,32.2,0
164,164.0,2016-02-22,32.64,32.64,32.64,32.64,0
