,date,open,close,high,low,volumme
0,2015-08-12,9.689,9.689,9.689,9.689,0
1,2015-08-13,9.831,9.831,9.831,9.831,0
2,2015-08-14,9.835,9.835,9.835,9.835,0
3,2015-08-17,9.901,9.901,9.901,9.901,0
4,2015-08-18,9.953,9.953,9.953,9.953,0
5,2015-08-19,9.792,9.792,9.792,9.792,0
6,2015-08-20,9.545,9.545,9.545,9.545,0
7,2015-08-21,9.184,9.184,9.184,9.184,0
8,2015-08-24,8.681,8.681,8.681,8.681,0
9,2015-08-25,8.898,8.898,8.898,8.898,0
10,2015-08-26,8.763,8.763,8.763,8.763,0
11,2015-08-27,9.199,9.199,9.199,9.199,0
12,2015-08-28,9.269,9.269,9.269,9.269,0
13,2015-08-31,9.241,9.241,9.241,9.241,0
14,2015-09-01,8.953,8.953,8.953,8.953,0
15,2015-09-02,8.939,8.939,8.939,8.939,0
16,2015-09-03,9.228,9.228,9.228,9.228,0
17,2015-09-04,9.022,9.022,9.022,9.022,0
18,2015-09-07,9.023,9.023,9.023,9.023,0
19,2015-09-08,9.101,9.101,9.101,9.101,0
20,2015-09-09,9.255,9.255,9.255,9.255,0
21,2015-09-10,9.092,9.092,9.092,9.092,0
22,2015-09-11,8.997,8.997,8.997,8.997,0
23,2015-09-14,9.006,9.006,9.006,9.006,0
24,2015-09-15,9.085,9.085,9.085,9.085,0
25,2015-09-16,9.171,9.171,9.171,9.171,0
26,2015-09-17,9.19,9.19,9.19,9.19,0
27,2015-09-18,9.055,9.055,9.055,9.055,0
28,2015-09-21,9.148,9.148,9.148,9.148,0
29,2015-09-23,8.982,8.982,8.982,8.982,0
30,2015-09-24,8.783,8.783,8.783,8.783,0
31,2015-09-25,8.981,8.981,8.981,8.981,0
32,2015-09-28,8.712,8.712,8.712,8.712,0
33,2015-09-29,8.644,8.644,8.644,8.644,0
34,2015-09-30,8.803,8.803,8.803,8.803,0
35,2015-10-01,8.818,8.818,8.818,8.818,0
36,2015-10-02,8.808,8.808,8.808,8.808,0
37,2015-10-05,9.119,9.119,9.119,9.119,0
38,2015-10-06,9.056,9.056,9.056,9.056,0
39,2015-10-07,9.118,9.118,9.118,9.118,0
40,2015-10-08,9.104,9.104,9.104,9.104,0
41,2015-10-09,9.109,9.109,9.109,9.109,0
42,2015-10-12,9.086,9.086,9.086,9.086,0
43,2015-10-13,9.086,9.086,9.086,9.086,0
44,2015-10-14,8.987,8.987,8.987,8.987,0
45,2015-10-15,9.072,9.072,9.072,9.072,0
46,2015-10-16,9.217,9.217,9.217,9.217,0
47,2015-10-19,9.252,9.252,9.252,9.252,0
48,2015-10-20,9.208,9.208,9.208,9.208,0
49,2015-10-21,9.219,9.219,9.219,9.219,0
50,2015-10-22,9.421,9.421,9.421,9.421,0
51,2015-10-23,9.63,9.63,9.63,9.63,0
52,2015-10-26,9.61,9.61,9.61,9.61,0
53,2015-10-27,9.562,9.562,9.562,9.562,0
54,2015-10-28,9.626,9.626,9.626,9.626,0
55,2015-10-29,9.735,9.735,9.735,9.735,0
56,2015-10-30,9.721,9.721,9.721,9.721,0
57,2015-11-02,9.755,9.755,9.755,9.755,0
58,2015-11-03,9.867,9.867,9.867,9.867,0
59,2015-11-04,9.919,9.919,9.919,9.919,0
60,2015-11-05,9.91,9.91,9.91,9.91,0
61,2015-11-06,10.02,10.02,10.02,10.02,0
62,2015-11-09,9.917,9.917,9.917,9.917,0
63,2015-11-10,10.01,10.01,10.01,10.01,0
64,2015-11-11,10.02,10.02,10.02,10.02,0
65,2015-11-12,9.905,9.905,9.905,9.905,0
66,2015-11-13,9.858,9.858,9.858,9.858,0
67,2015-11-16,9.846,9.846,9.846,9.846,0
68,2015-11-17,10.07,10.07,10.07,10.07,0
69,2015-11-18,10.06,10.06,10.06,10.06,0
70,2015-11-19,10.02,10.02,10.02,10.02,0
71,2015-11-20,10.13,10.13,10.13,10.13,0
72,2015-11-23,10.18,10.18,10.18,10.18,0
73,2015-11-24,10.08,10.08,10.08,10.08,0
74,2015-11-25,10.16,10.16,10.16,10.16,0
75,2015-11-26,10.21,10.21,10.21,10.21,0
76,2015-11-27,10.18,10.18,10.18,10.18,0
77,2015-11-30,10.19,10.19,10.19,10.19,0
78,2015-12-01,10.2,10.2,10.2,10.2,0
79,2015-12-02,10.26,10.26,10.26,10.26,0
80,2015-12-03,9.866,9.866,9.866,9.866,0
81,2015-12-04,9.842,9.842,9.842,9.842,0
82,2015-12-07,9.888,9.888,9.888,9.888,0
83,2015-12-08,9.778,9.778,9.778,9.778,0
84,2015-12-09,9.64,9.64,9.64,9.64,0
85,2015-12-10,9.674,9.674,9.674,9.674,0
86,2015-12-11,9.485,9.485,9.485,9.485,0
87,2015-12-14,9.356,9.356,9.356,9.356,0
88,2015-12-15,9.63,9.63,9.63,9.63,0
89,2015-12-16,9.643,9.643,9.643,9.643,0
90,2015-12-17,9.783,9.783,9.783,9.783,0
91,2015-12-18,9.618,9.618,9.618,9.618,0
92,2015-12-21,9.519,9.519,9.519,9.519,0
93,2015-12-22,9.542,9.542,9.542,9.542,0
94,2015-12-23,9.76,9.76,9.76,9.76,0
95,2015-12-24,9.733,9.733,9.733,9.733,0
96,2015-12-28,9.645,9.645,9.645,9.645,0
97,2015-12-29,9.819,9.819,9.819,9.819,0
98,2015-12-30,9.792,9.792,9.792,9.792,0
99,2015-12-31,9.769,9.769,9.769,9.769,0
100,2016-01-04,9.572,9.572,9.572,9.572,0
101,2016-01-05,9.685,9.685,9.685,9.685,0
102,2016-01-06,9.559,9.559,9.559,9.559,0
103,2016-01-07,9.318,9.318,9.318,9.318,0
104,2016-01-08,9.195,9.195,9.195,9.195,0
105,2016-01-11,9.119,9.119,9.119,9.119,0
106,2016-01-12,9.181,9.181,9.181,9.181,0
107,2016-01-13,9.147,9.147,9.147,9.147,0
108,2016-01-14,9.01,9.01,9.01,9.01,0
109,2016-01-15,8.741,8.741,8.741,8.741,0
110,2016-01-18,8.809,8.809,8.809,8.809,0
111,2016-01-19,8.853,8.853,8.853,8.853,0
112,2016-01-20,8.545,8.545,8.545,8.545,0
113,2016-01-21,8.795,8.795,8.795,8.795,0
114,2016-01-22,8.95,8.95,8.95,8.95,0
115,2016-01-25,8.91,8.91,8.91,8.91,0
116,2016-01-26,8.906,8.906,8.906,8.906,0
117,2016-01-27,8.965,8.965,8.965,8.965,0
118,2016-01-28,8.77,8.77,8.77,8.77,0
119,2016-01-29,9.052,9.052,9.052,9.052,0
120,2016-02-01,9.093,9.093,9.093,9.093,0
121,2016-02-02,8.966,8.966,8.966,8.966,0
122,2016-02-03,8.729,8.729,8.729,8.729,0
123,2016-02-04,8.672,8.672,8.672,8.672,0
124,2016-02-05,8.583,8.583,8.583,8.583,0
125,2016-02-08,8.279,8.279,8.279,8.279,0
126,2016-02-09,8.099,8.099,8.099,8.099,0
127,2016-02-10,8.243,8.243,8.243,8.243,0
128,2016-02-11,7.939,7.939,7.939,7.939,0
129,2016-02-12,8.106,8.106,8.106,8.106,0
130,2016-02-15,8.368,8.368,8.368,8.368,0
131,2016-02-16,8.397,8.397,8.397,8.397,0
132,2016-02-17,8.602,8.602,8.602,8.602,0
133,2016-02-18,8.636,8.636,8.636,8.636,0
134,2016-02-19,8.554,8.554,8.554,8.554,0
135,2016-02-22,8.761,8.761,8.761,8.761,0
136,2016-02-23,8.677,8.677,8.677,8.677,0
137,2016-02-24,8.565,8.565,8.565,8.565,0
