,date,open,close,high,low,volumme
0,2015-10-01,149.3,149.3,149.3,149.3,0
1,2015-10-02,149.55,149.55,149.55,149.55,0
2,2015-10-05,153.14,153.14,153.14,153.14,0
3,2015-10-06,153.76,153.76,153.76,153.76,0
4,2015-10-07,153.15,153.15,153.15,153.15,0
5,2015-10-08,153.61,153.61,153.61,153.61,0
6,2015-10-09,153.69,153.69,153.69,153.69,0
7,2015-10-12,153.05,153.05,153.05,153.05,0
8,2015-10-13,152.15,152.15,152.15,152.15,0
9,2015-10-14,151.13,151.13,151.13,151.13,0
10,2015-10-15,153.41,153.41,153.41,153.41,0
11,2015-10-16,153.64,153.64,153.64,153.64,0
12,2015-10-19,154.72,154.72,154.72,154.72,0
13,2015-10-20,154.6,154.6,154.6,154.6,0
14,2015-10-21,155.41,155.41,155.41,155.41,0
15,2015-10-22,157.6,157.6,157.6,157.6,0
16,2015-10-23,160.68,160.68,160.68,160.68,0
17,2015-10-26,160.36,160.36,160.36,160.36,0
18,2015-10-27,159.31,159.31,159.31,159.31,0
19,2015-10-28,161.22,161.22,161.22,161.22,0
20,2015-10-29,161.87,161.87,161.87,161.87,0
21,2015-10-30,161.94,161.94,161.94,161.94,0
22,2015-11-02,162.83,162.83,162.83,162.83,0
23,2015-11-03,163.06,163.06,163.06,163.06,0
24,2015-11-04,162.89,162.89,162.89,162.89,0
25,2015-11-05,163.67,163.67,163.67,163.67,0
26,2015-11-06,164.64,164.64,164.64,164.64,0
27,2015-11-09,163.01,163.01,163.01,163.01,0
28,2015-11-10,164.05,164.05,164.05,164.05,0
29,2015-11-11,165.28,165.28,165.28,165.28,0
30,2015-11-12,163.71,163.71,163.71,163.71,0
31,2015-11-13,162.16,162.16,162.16,162.16,0
32,2015-11-16,163.54,163.54,163.54,163.54,0
33,2015-11-17,166.64,166.64,166.64,166.64,0
34,2015-11-18,165.67,165.67,165.67,165.67,0
35,2015-11-19,166.52,166.52,166.52,166.52,0
36,2015-11-20,166.86,166.86,166.86,166.86,0
37,2015-11-23,166.64,166.64,166.64,166.64,0
38,2015-11-24,164.02,164.02,164.02,164.02,0
39,2015-11-25,166.3,166.3,166.3,166.3,0
40,2015-11-26,167.69,167.69,167.69,167.69,0
41,2015-11-27,168.2,168.2,168.2,168.2,0
42,2015-11-30,169.33,169.33,169.33,169.33,0
43,2015-12-01,168.89,168.89,168.89,168.89,0
44,2015-12-02,169.33,169.33,169.33,169.33,0
45,2015-12-03,165.36,165.36,165.36,165.36,0
46,2015-12-04,165.41,165.41,165.41,165.41,0
47,2015-12-07,167.4,167.4,167.4,167.4,0
48,2015-12-08,164.85,164.85,164.85,164.85,0
49,2015-12-09,163.62,163.62,163.62,163.62,0
50,2015-12-10,162.66,162.66,162.66,162.66,0
51,2015-12-11,159.78,159.78,159.78,159.78,0
52,2015-12-14,157.76,157.76,157.76,157.76,0
53,2015-12-15,161.98,161.98,161.98,161.98,0
54,2015-12-16,162.95,162.95,162.95,162.95,0
55,2015-12-17,165.0,165.0,165.0,165.0,0
56,2015-12-18,163.45,163.45,163.45,163.45,0
57,2015-12-21,161.1,161.1,161.1,161.1,0
58,2015-12-22,160.64,160.64,160.64,160.64,0
59,2015-12-23,163.3,163.3,163.3,163.3,0
60,2015-12-28,162.31,162.31,162.31,162.31,0
61,2015-12-29,165.37,165.37,165.37,165.37,0
62,2015-12-30,164.68,164.68,164.68,164.68,0
63,2015-12-31,163.75,163.75,163.75,163.75,0
64,2016-01-04,160.74,160.74,160.74,160.74,0
65,2016-01-05,161.04,161.04,161.04,161.04,0
66,2016-01-06,159.25,159.25,159.25,159.25,0
67,2016-01-07,157.26,157.26,157.26,157.26,0
68,2016-01-08,155.95,155.95,155.95,155.95,0
69,2016-01-11,155.94,155.94,155.94,155.94,0
70,2016-01-12,157.65,157.65,157.65,157.65,0
71,2016-01-13,157.43,157.43,157.43,157.43,0
72,2016-01-14,153.77,153.77,153.77,153.77,0
73,2016-01-15,151.29,151.29,151.29,151.29,0
74,2016-01-18,150.53,150.53,150.53,150.53,0
75,2016-01-19,153.7,153.7,153.7,153.7,0
76,2016-01-20,148.91,148.91,148.91,148.91,0
77,2016-01-21,150.29,150.29,150.29,150.29,0
78,2016-01-22,154.37,154.37,154.37,154.37,0
79,2016-01-25,155.23,155.23,155.23,155.23,0
80,2016-01-26,155.4,155.4,155.4,155.4,0
81,2016-01-27,156.15,156.15,156.15,156.15,0
82,2016-01-28,153.22,153.22,153.22,153.22,0
83,2016-01-29,156.98,156.98,156.98,156.98,0
84,2016-02-01,157.53,157.53,157.53,157.53,0
85,2016-02-02,154.91,154.91,154.91,154.91,0
86,2016-02-03,152.63,152.63,152.63,152.63,0
87,2016-02-04,151.35,151.35,151.35,151.35,0
88,2016-02-05,148.66,148.66,148.66,148.66,0
89,2016-02-08,143.01,143.01,143.01,143.01,0
90,2016-02-09,142.67,142.67,142.67,142.67,0
91,2016-02-10,145.36,145.36,145.36,145.36,0
92,2016-02-11,141.92,141.92,141.92,141.92,0
93,2016-02-12,144.78,144.78,144.78,144.78,0
94,2016-02-15,148.96,148.96,148.96,148.96,0
95,2016-02-16,148.25,148.25,148.25,148.25,0
96,2016-02-17,151.98,151.98,151.98,151.98,0
97,2016-02-18,152.79,152.79,152.79,152.79,0
98,2016-02-19,152.56,152.56,152.56,152.56,0
99,2016-02-22,154.42,154.42,154.42,154.42,0
100,2016-02-23,153.3,153.3,153.3,153.3,0
101,2016-02-24,150.89,150.89,150.89,150.89,0
102,2016-02-25,152.7,152.7,152.7,152.7,0
103,2016-02-26,153.87,153.87,153.87,153.87,0
104,2016-02-29,154.67,154.67,154.67,154.67,0
105,2016-03-01,157.28,157.28,157.28,157.28,0
106,2016-03-02,156.48,156.48,156.48,156.48,0
107,2016-03-03,155.34,155.34,155.34,155.34,0
108,2016-03-04,155.59,155.59,155.59,155.59,0
109,2016-03-07,154.94,154.94,154.94,154.94,0
110,2016-03-08,153.43,153.43,153.43,153.43,0
111,2016-03-09,154.53,154.53,154.53,154.53,0
112,2016-03-10,152.8,152.8,152.8,152.8,0
113,2016-03-11,156.14,156.14,156.14,156.14,0
114,2016-03-14,157.58,157.58,157.58,157.58,0
115,2016-03-15,156.77,156.77,156.77,156.77,0
116,2016-03-16,157.48,157.48,157.48,157.48,0
117,2016-03-17,156.56,156.56,156.56,156.56,0
118,2016-03-18,157.16,157.16,157.16,157.16,0
119,2016-03-21,156.58,156.58,156.58,156.58,0
120,2016-03-22,157.12,157.12,157.12,157.12,0
121,2016-03-23,158.02,158.02,158.02,158.02,0
122,2016-03-24,156.31,156.31,156.31,156.31,0
123,2016-03-29,157.33,157.33,157.33,157.33,0
124,2016-03-30,159.23,159.23,159.23,159.23,0
125,2016-03-31,157.86,157.86,157.86,157.86,0
126,2016-04-01,156.79,156.79,156.79,156.79,0
127,2016-04-04,157.36,157.36,157.36,157.36,0
128,2016-04-05,155.01,155.01,155.01,155.01,0
129,2016-04-06,156.12,156.12,156.12,156.12,0
130,2016-04-08,156.45,156.45,156.45,156.45,0
131,2016-04-11,156.46,156.46,156.46,156.46,0
132,2016-04-12,156.94,156.94,156.94,156.94,0
133,2016-04-13,159.14,159.14,159.14,159.14,0
134,2016-04-14,158.86,158.86,158.86,158.86,0
135,2016-04-15,157.86,157.86,157.86,157.86,0
