,date,open,close,high,low,volumme
0,2015-10-28,104.868,104.868,104.868,104.868,0
1,2015-10-29,106.266,106.266,106.266,106.266,0
2,2015-10-30,106.762,106.762,106.762,106.762,0
3,2015-11-02,106.582,106.582,106.582,106.582,0
4,2015-11-03,106.724,106.724,106.724,106.724,0
5,2015-11-04,107.258,107.258,107.258,107.258,0
6,2015-11-05,107.252,107.252,107.252,107.252,0
7,2015-11-06,107.916,107.916,107.916,107.916,0
8,2015-11-09,108.596,108.596,108.596,108.596,0
9,2015-11-10,107.204,107.204,107.204,107.204,0
10,2015-11-11,107.528,107.528,107.528,107.528,0
11,2015-11-12,108.782,108.782,108.782,108.782,0
12,2015-11-13,107.304,107.304,107.304,107.304,0
13,2015-11-16,106.278,106.278,106.278,106.278,0
14,2015-11-17,106.19,106.19,106.19,106.19,0
15,2015-11-18,108.546,108.546,108.546,108.546,0
16,2015-11-19,108.06,108.06,108.06,108.06,0
17,2015-11-20,108.084,108.084,108.084,108.084,0
18,2015-11-23,108.332,108.332,108.332,108.332,0
19,2015-11-24,108.098,108.098,108.098,108.098,0
20,2015-11-25,106.142,106.142,106.142,106.142,0
21,2015-11-26,108.378,108.378,108.378,108.378,0
22,2015-11-27,109.09,109.09,109.09,109.09,0
23,2015-11-30,109.056,109.056,109.056,109.056,0
24,2015-12-01,109.44,109.44,109.44,109.44,0
25,2015-12-02,109.146,109.146,109.146,109.146,0
26,2015-12-03,109.378,109.378,109.378,109.378,0
27,2015-12-07,105.74,105.74,105.74,105.74,0
28,2015-12-08,107.252,107.252,107.252,107.252,0
29,2015-12-09,105.618,105.618,105.618,105.618,0
30,2015-12-10,104.918,104.918,104.918,104.918,0
31,2015-12-11,104.528,104.528,104.528,104.528,0
32,2015-12-14,102.83,102.83,102.83,102.83,0
33,2015-12-15,101.402,101.402,101.402,101.402,0
34,2015-12-16,103.938,103.938,103.938,103.938,0
35,2015-12-17,104.14,104.14,104.14,104.14,0
36,2015-12-18,105.292,105.292,105.292,105.292,0
37,2015-12-21,104.276,104.276,104.276,104.276,0
38,2015-12-22,103.272,103.272,103.272,103.272,0
39,2015-12-23,102.842,102.842,102.842,102.842,0
40,2015-12-24,105.038,105.038,105.038,105.038,0
41,2015-12-28,104.966,104.966,104.966,104.966,0
42,2015-12-29,104.688,104.688,104.688,104.688,0
43,2015-12-30,106.244,106.244,106.244,106.244,0
44,2015-12-31,105.894,105.894,105.894,105.894,0
45,2016-01-04,105.314,105.314,105.314,105.314,0
46,2016-01-05,102.526,102.526,102.526,102.526,0
47,2016-01-06,103.314,103.314,103.314,103.314,0
48,2016-01-07,102.054,102.054,102.054,102.054,0
49,2016-01-08,100.164,100.164,100.164,100.164,0
50,2016-01-11,99.044,99.044,99.044,99.044,0
51,2016-01-12,98.37,98.37,98.37,98.37,0
52,2016-01-13,99.64,99.64,99.64,99.64,0
53,2016-01-14,100.132,100.132,100.132,100.132,0
54,2016-01-15,98.204,98.204,98.204,98.204,0
55,2016-01-18,96.048,96.048,96.048,96.048,0
56,2016-01-19,95.666,95.666,95.666,95.666,0
57,2016-01-20,97.216,97.216,97.216,97.216,0
58,2016-01-21,94.212,94.212,94.212,94.212,0
59,2016-01-22,95.794,95.794,95.794,95.794,0
60,2016-01-25,98.206,98.206,98.206,98.206,0
61,2016-01-26,98.59,98.59,98.59,98.59,0
62,2016-01-27,98.696,98.696,98.696,98.696,0
63,2016-01-28,99.516,99.516,99.516,99.516,0
64,2016-01-29,97.408,97.408,97.408,97.408,0
65,2016-02-01,99.778,99.778,99.778,99.778,0
66,2016-02-02,100.16,100.16,100.16,100.16,0
67,2016-02-03,98.37,98.37,98.37,98.37,0
68,2016-02-04,97.084,97.084,97.084,97.084,0
69,2016-02-05,96.63,96.63,96.63,96.63,0
