,date,open,close,high,low,volumme
0,2016-08-11,1081.54,1081.54,1081.54,1081.54,0
1,2016-08-12,1081.75,1081.75,1081.75,1081.75,0
2,2016-08-16,1079.11,1079.11,1079.11,1079.11,0
3,2016-08-17,1068.23,1068.23,1068.23,1068.23,0
4,2016-08-18,1072.81,1072.81,1072.81,1072.81,0
5,2016-08-19,1069.76,1069.76,1069.76,1069.76,0
6,2016-08-22,1075.7,1075.7,1075.7,1075.7,0
7,2016-08-23,1084.7,1084.7,1084.7,1084.7,0
8,2016-08-24,1085.96,1085.96,1085.96,1085.96,0
9,2016-08-25,1079.12,1079.12,1079.12,1079.12,0
10,2016-08-26,1080.5,1080.5,1080.5,1080.5,0
11,2016-08-29,1080.7,1080.7,1080.7,1080.7,0
12,2016-08-30,1083.73,1083.73,1083.73,1083.73,0
13,2016-08-31,1081.07,1081.07,1081.07,1081.07,0
14,2016-09-01,1086.25,1086.25,1086.25,1086.25,0
15,2016-09-02,1094.67,1094.67,1094.67,1094.67,0
16,2016-09-05,1099.05,1099.05,1099.05,1099.05,0
17,2016-09-06,1100.77,1100.77,1100.77,1100.77,0
18,2016-09-07,1103.91,1103.91,1103.91,1103.91,0
19,2016-09-08,1101.02,1101.02,1101.02,1101.02,0
20,2016-09-09,1095.19,1095.19,1095.19,1095.19,0
21,2016-09-12,1083.48,1083.48,1083.48,1083.48,0
22,2016-09-13,1080.46,1080.46,1080.46,1080.46,0
23,2016-09-14,1084.41,1084.41,1084.41,1084.41,0
24,2016-09-15,1090.09,1090.09,1090.09,1090.09,0
25,2016-09-16,1088.94,1088.94,1088.94,1088.94,0
26,2016-09-19,1095.13,1095.13,1095.13,1095.13,0
27,2016-09-20,1094.48,1094.48,1094.48,1094.48,0
28,2016-09-21,1099.98,1099.98,1099.98,1099.98,0
29,2016-09-22,1112.38,1112.38,1112.38,1112.38,0
30,2016-09-23,1109.29,1109.29,1109.29,1109.29,0
31,2016-09-26,1103.87,1103.87,1103.87,1103.87,0
32,2016-09-27,1100.43,1100.43,1100.43,1100.43,0
33,2016-09-28,1109.02,1109.02,1109.02,1109.02,0
34,2016-09-29,1110.27,1110.27,1110.27,1110.27,0
35,2016-09-30,1110.8,1110.8,1110.8,1110.8,0
36,2016-10-03,1112.95,1112.95,1112.95,1112.95,0
37,2016-10-04,1120.84,1120.84,1120.84,1120.84,0
