,date,open,close,high,low,volumme
0,2016-09-28,1038.39,1038.39,1038.39,1038.39,0
1,2016-09-29,1039.37,1039.37,1039.37,1039.37,0
2,2016-09-30,1043.9,1043.9,1043.9,1043.9,0
3,2016-10-04,1052.18,1052.18,1052.18,1052.18,0
4,2016-10-05,1049.73,1049.73,1049.73,1049.73,0
5,2016-10-06,1048.17,1048.17,1048.17,1048.17,0
6,2016-10-07,1038.6,1038.6,1038.6,1038.6,0
7,2016-10-10,1049.86,1049.86,1049.86,1049.86,0
8,2016-10-11,1045.41,1045.41,1045.41,1045.41,0
9,2016-10-12,1041.93,1041.93,1041.93,1041.93,0
10,2016-10-13,1031.77,1031.77,1031.77,1031.77,0
11,2016-10-14,1047.69,1047.69,1047.69,1047.69,0
12,2016-10-17,1042.95,1042.95,1042.95,1042.95,0
13,2016-10-18,1056.35,1056.35,1056.35,1056.35,0
14,2016-10-19,1059.85,1059.85,1059.85,1059.85,0
15,2016-10-20,1064.85,1064.85,1064.85,1064.85,0
16,2016-10-21,1065.03,1065.03,1065.03,1065.03,0
17,2016-10-24,1070.4,1070.4,1070.4,1070.4,0
18,2016-10-25,1067.06,1067.06,1067.06,1067.06,0
19,2016-10-26,1064.71,1064.71,1064.71,1064.71,0
20,2016-10-27,1066.27,1066.27,1066.27,1066.27,0
21,2016-10-28,1065.52,1065.52,1065.52,1065.52,0
22,2016-10-31,1059.01,1059.01,1059.01,1059.01,0
23,2016-11-03,1030.68,1030.68,1030.68,1030.68,0
24,2016-11-04,1023.45,1023.45,1023.45,1023.45,0
25,2016-11-07,1041.12,1041.12,1041.12,1041.12,0
26,2016-11-08,1045.27,1045.27,1045.27,1045.27,0
27,2016-11-09,1055.27,1055.27,1055.27,1055.27,0
28,2016-11-10,1049.47,1049.47,1049.47,1049.47,0
29,2016-11-14,1045.62,1045.62,1045.62,1045.62,0
30,2016-11-15,1050.92,1050.92,1050.92,1050.92,0
31,2016-11-16,1045.3,1045.3,1045.3,1045.3,0
32,2016-11-17,1050.26,1050.26,1050.26,1050.26,0
33,2016-11-18,1045.11,1045.11,1045.11,1045.11,0
34,2016-11-21,1048.38,1048.38,1048.38,1048.38,0
35,2016-11-22,1053.15,1053.15,1053.15,1053.15,0
36,2016-11-23,1049.92,1049.92,1049.92,1049.92,0
37,2016-11-24,1052.68,1052.68,1052.68,1052.68,0
38,2016-11-28,1044.84,1044.84,1044.84,1044.84,0
39,2016-11-30,1056.24,1056.24,1056.24,1056.24,0
40,2016-12-01,1049.37,1049.37,1049.37,1049.37,0
41,2016-12-02,1044.17,1044.17,1044.17,1044.17,0
42,2016-12-05,1055.01,1055.01,1055.01,1055.01,0
43,2016-12-06,1070.16,1070.16,1070.16,1070.16,0
44,2016-12-07,1084.58,1084.58,1084.58,1084.58,0
45,2016-12-08,1098.25,1098.25,1098.25,1098.25,0
46,2016-12-09,1102.43,1102.43,1102.43,1102.43,0
47,2016-12-12,1102.1,1102.1,1102.1,1102.1,0
48,2016-12-13,1113.67,1113.67,1113.67,1113.67,0
49,2016-12-14,1106.29,1106.29,1106.29,1106.29,0
50,2016-12-15,1118.28,1118.28,1118.28,1118.28,0
51,2016-12-16,1121.68,1121.68,1121.68,1121.68,0
52,2016-12-19,1121.69,1121.69,1121.69,1121.69,0
53,2016-12-20,1128.26,1128.26,1128.26,1128.26,0
54,2016-12-21,1127.32,1127.32,1127.32,1127.32,0
55,2016-12-22,1125.84,1125.84,1125.84,1125.84,0
56,2016-12-23,1128.39,1128.39,1128.39,1128.39,0
57,2016-12-28,1129.17,1129.17,1129.17,1129.17,0
58,2016-12-29,1128.29,1128.29,1128.29,1128.29,0
59,2017-01-02,1140.46,1140.46,1140.46,1140.46,0
60,2017-01-03,1143.18,1143.18,1143.18,1143.18,0
61,2017-01-04,1142.59,1142.59,1142.59,1142.59,0
62,2017-01-05,1143.2,1143.2,1143.2,1143.2,0
63,2017-01-06,1144.46,1144.46,1144.46,1144.46,0
64,2017-01-09,1140.2,1140.2,1140.2,1140.2,0
65,2017-01-10,1139.96,1139.96,1139.96,1139.96,0
66,2017-01-11,1141.96,1141.96,1141.96,1141.96,0
67,2017-01-12,1133.69,1133.69,1133.69,1133.69,0
68,2017-01-13,1146.11,1146.11,1146.11,1146.11,0
69,2017-01-16,1137.18,1137.18,1137.18,1137.18,0
70,2017-01-17,1133.8,1133.8,1133.8,1133.8,0
71,2017-01-18,1136.3,1136.3,1136.3,1136.3,0
72,2017-01-19,1137.07,1137.07,1137.07,1137.07,0
73,2017-01-23,1131.7,1131.7,1131.7,1131.7,0
74,2017-01-24,1136.14,1136.14,1136.14,1136.14,0
75,2017-01-25,1150.32,1150.32,1150.32,1150.32,0
76,2017-01-26,1148.81,1148.81,1148.81,1148.81,0
77,2017-01-27,1145.26,1145.26,1145.26,1145.26,0
78,2017-01-30,1131.14,1131.14,1131.14,1131.14,0
79,2017-01-31,1120.99,1120.99,1120.99,1120.99,0
80,2017-02-01,1129.5,1129.5,1129.5,1129.5,0
81,2017-02-02,1131.74,1131.74,1131.74,1131.74,0
82,2017-02-03,1137.59,1137.59,1137.59,1137.59,0
83,2017-02-06,1125.2,1125.2,1125.2,1125.2,0
84,2017-02-07,1125.52,1125.52,1125.52,1125.52,0
85,2017-02-08,1126.97,1126.97,1126.97,1126.97,0
86,2017-02-09,1138.31,1138.31,1138.31,1138.31,0
87,2017-02-10,1138.03,1138.03,1138.03,1138.03,0
88,2017-02-13,1149.16,1149.16,1149.16,1149.16,0
89,2017-02-14,1152.14,1152.14,1152.14,1152.14,0
90,2017-02-15,1154.45,1154.45,1154.45,1154.45,0
91,2017-02-16,1151.46,1151.46,1151.46,1151.46,0
92,2017-02-17,1150.42,1150.42,1150.42,1150.42,0
93,2017-02-20,1151.65,1151.65,1151.65,1151.65,0
94,2017-02-21,1159.41,1159.41,1159.41,1159.41,0
95,2017-02-22,1160.91,1160.91,1160.91,1160.91,0
96,2017-02-23,1157.03,1157.03,1157.03,1157.03,0
97,2017-02-24,1146.4,1146.4,1146.4,1146.4,0
98,2017-02-27,1148.82,1148.82,1148.82,1148.82,0
99,2017-02-28,1151.24,1151.24,1151.24,1151.24,0
100,2017-03-01,1172.98,1172.98,1172.98,1172.98,0
101,2017-03-02,1172.01,1172.01,1172.01,1172.01,0
102,2017-03-03,1176.47,1176.47,1176.47,1176.47,0
103,2017-03-06,1171.33,1171.33,1171.33,1171.33,0
104,2017-03-07,1170.01,1170.01,1170.01,1170.01,0
105,2017-03-08,1171.38,1171.38,1171.38,1171.38,0
106,2017-03-09,1178.22,1178.22,1178.22,1178.22,0
107,2017-03-10,1180.84,1180.84,1180.84,1180.84,0
108,2017-03-13,1182.07,1182.07,1182.07,1182.07,0
109,2017-03-14,1177.96,1177.96,1177.96,1177.96,0
110,2017-03-15,1181.77,1181.77,1181.77,1181.77,0
111,2017-03-16,1191.68,1191.68,1191.68,1191.68,0
112,2017-03-17,1195.12,1195.12,1195.12,1195.12,0
113,2017-03-20,1192.02,1192.02,1192.02,1192.02,0
114,2017-03-21,1187.19,1187.19,1187.19,1187.19,0
115,2017-03-22,1183.58,1183.58,1183.58,1183.58,0
116,2017-03-23,1194.15,1194.15,1194.15,1194.15,0
117,2017-03-24,1194.03,1194.03,1194.03,1194.03,0
118,2017-03-27,1191.3,1191.3,1191.3,1191.3,0
119,2017-03-28,1201.03,1201.03,1201.03,1201.03,0
120,2017-03-29,1203.68,1203.68,1203.68,1203.68,0
121,2017-03-30,1208.78,1208.78,1208.78,1208.78,0
122,2017-03-31,1214.93,1214.93,1214.93,1214.93,0
123,2017-04-03,1207.44,1207.44,1207.44,1207.44,0
124,2017-04-04,1210.11,1210.11,1210.11,1210.11,0
125,2017-04-05,1208.45,1208.45,1208.45,1208.45,0
126,2017-04-06,1213.67,1213.67,1213.67,1213.67,0
127,2017-04-07,1215.75,1215.75,1215.75,1215.75,0
128,2017-04-10,1211.89,1211.89,1211.89,1211.89,0
129,2017-04-11,1208.0,1208.0,1208.0,1208.0,0
130,2017-04-12,1208.06,1208.06,1208.06,1208.06,0
131,2017-04-13,1202.54,1202.54,1202.54,1202.54,0
132,2017-04-18,1190.09,1190.09,1190.09,1190.09,0
133,2017-04-19,1195.73,1195.73,1195.73,1195.73,0
134,2017-04-20,1201.71,1201.71,1201.71,1201.71,0
135,2017-04-21,1201.05,1201.05,1201.05,1201.05,0
136,2017-04-24,1245.44,1245.44,1245.44,1245.44,0
137,2017-04-25,1248.76,1248.76,1248.76,1248.76,0
138,2017-04-26,1249.64,1249.64,1249.64,1249.64,0
139,2017-04-27,1245.61,1245.61,1245.61,1245.61,0
140,2017-04-28,1245.11,1245.11,1245.11,1245.11,0
141,2017-05-02,1255.0,1255.0,1255.0,1255.0,0
142,2017-05-03,1256.28,1256.28,1256.28,1256.28,0
