,date,open,close,high,low,volumme
0,2016-07-21,102.47,102.47,102.47,102.47,0
1,2016-07-22,102.64,102.64,102.64,102.64,0
2,2016-07-25,102.78,102.78,102.78,102.78,0
3,2016-07-26,102.94,102.94,102.94,102.94,0
4,2016-07-27,103.75,103.75,103.75,103.75,0
5,2016-07-28,103.07,103.07,103.07,103.07,0
6,2016-07-29,103.72,103.72,103.72,103.72,0
7,2016-08-01,103.11,103.11,103.11,103.11,0
8,2016-08-02,101.38,101.38,101.38,101.38,0
9,2016-08-03,101.8,101.8,101.8,101.8,0
10,2016-08-04,102.47,102.47,102.47,102.47,0
11,2016-08-05,103.95,103.95,103.95,103.95,0
12,2016-08-08,104.21,104.21,104.21,104.21,0
13,2016-08-09,105.88,105.88,105.88,105.88,0
14,2016-08-10,105.66,105.66,105.66,105.66,0
15,2016-08-11,106.78,106.78,106.78,106.78,0
16,2016-08-12,106.62,106.62,106.62,106.62,0
17,2016-08-16,105.84,105.84,105.84,105.84,0
18,2016-08-17,104.73,104.73,104.73,104.73,0
19,2016-08-18,105.35,105.35,105.35,105.35,0
20,2016-08-19,104.68,104.68,104.68,104.68,0
21,2016-08-22,104.51,104.51,104.51,104.51,0
22,2016-08-23,105.52,105.52,105.52,105.52,0
23,2016-08-24,105.91,105.91,105.91,105.91,0
24,2016-08-25,105.16,105.16,105.16,105.16,0
25,2016-08-26,105.84,105.84,105.84,105.84,0
26,2016-08-29,105.49,105.49,105.49,105.49,0
27,2016-08-30,106.36,106.36,106.36,106.36,0
28,2016-08-31,106.08,106.08,106.08,106.08,0
29,2016-09-01,106.06,106.06,106.06,106.06,0
30,2016-09-02,108.1,108.1,108.1,108.1,0
31,2016-09-05,108.03,108.03,108.03,108.03,0
32,2016-09-06,107.63,107.63,107.63,107.63,0
33,2016-09-07,108.18,108.18,108.18,108.18,0
34,2016-09-08,107.59,107.59,107.59,107.59,0
35,2016-09-09,106.27,106.27,106.27,106.27,0
36,2016-09-12,104.98,104.98,104.98,104.98,0
37,2016-09-13,104.23,104.23,104.23,104.23,0
38,2016-09-14,104.02,104.02,104.02,104.02,0
39,2016-09-15,104.44,104.44,104.44,104.44,0
40,2016-09-16,103.33,103.33,103.33,103.33,0
41,2016-09-19,104.58,104.58,104.58,104.58,0
42,2016-09-20,104.54,104.54,104.54,104.54,0
43,2016-09-21,105.09,105.09,105.09,105.09,0
44,2016-09-22,107.23,107.23,107.23,107.23,0
45,2016-09-23,106.69,106.69,106.69,106.69,0
46,2016-09-26,104.94,104.94,104.94,104.94,0
47,2016-09-27,104.81,104.81,104.81,104.81,0
48,2016-09-28,105.47,105.47,105.47,105.47,0
49,2016-09-29,105.41,105.41,105.41,105.41,0
50,2016-09-30,105.98,105.98,105.98,105.98,0
51,2016-10-03,105.98,105.98,105.98,105.98,0
52,2016-10-04,106.8,106.8,106.8,106.8,0
53,2016-10-05,106.59,106.59,106.59,106.59,0
54,2016-10-06,106.39,106.39,106.39,106.39,0
55,2016-10-07,105.4,105.4,105.4,105.4,0
56,2016-10-10,106.39,106.39,106.39,106.39,0
57,2016-10-11,106.02,106.02,106.02,106.02,0
58,2016-10-12,105.69,105.69,105.69,105.69,0
59,2016-10-13,104.73,104.73,104.73,104.73,0
60,2016-10-14,106.22,106.22,106.22,106.22,0
61,2016-10-17,105.75,105.75,105.75,105.75,0
62,2016-10-18,107.0,107.0,107.0,107.0,0
63,2016-10-19,107.29,107.29,107.29,107.29,0
64,2016-10-20,107.9,107.9,107.9,107.9,0
65,2016-10-21,107.85,107.85,107.85,107.85,0
66,2016-10-24,108.34,108.34,108.34,108.34,0
67,2016-10-25,107.93,107.93,107.93,107.93,0
68,2016-10-26,107.61,107.61,107.61,107.61,0
69,2016-10-27,107.83,107.83,107.83,107.83,0
70,2016-10-28,108.0,108.0,108.0,108.0,0
71,2016-10-31,107.45,107.45,107.45,107.45,0
72,2016-11-02,104.81,104.81,104.81,104.81,0
73,2016-11-03,104.63,104.63,104.63,104.63,0
74,2016-11-04,104.04,104.04,104.04,104.04,0
75,2016-11-07,105.81,105.81,105.81,105.81,0
76,2016-11-08,106.22,106.22,106.22,106.22,0
77,2016-11-09,106.8,106.8,106.8,106.8,0
78,2016-11-10,106.4,106.4,106.4,106.4,0
79,2016-11-11,105.99,105.99,105.99,105.99,0
80,2016-11-14,106.0,106.0,106.0,106.0,0
81,2016-11-15,106.43,106.43,106.43,106.43,0
82,2016-11-16,105.89,105.89,105.89,105.89,0
83,2016-11-17,106.4,106.4,106.4,106.4,0
84,2016-11-18,105.99,105.99,105.99,105.99,0
85,2016-11-21,106.15,106.15,106.15,106.15,0
86,2016-11-22,106.58,106.58,106.58,106.58,0
87,2016-11-23,106.14,106.14,106.14,106.14,0
88,2016-11-24,106.48,106.48,106.48,106.48,0
89,2016-11-25,106.73,106.73,106.73,106.73,0
90,2016-11-28,105.71,105.71,105.71,105.71,0
91,2016-11-29,106.22,106.22,106.22,106.22,0
92,2016-11-30,106.82,106.82,106.82,106.82,0
93,2016-12-01,106.06,106.06,106.06,106.06,0
94,2016-12-02,105.52,105.52,105.52,105.52,0
95,2016-12-05,106.63,106.63,106.63,106.63,0
96,2016-12-06,108.08,108.08,108.08,108.08,0
97,2016-12-07,109.12,109.12,109.12,109.12,0
98,2016-12-08,110.45,110.45,110.45,110.45,0
99,2016-12-09,110.91,110.91,110.91,110.91,0
100,2016-12-12,110.78,110.78,110.78,110.78,0
101,2016-12-13,111.78,111.78,111.78,111.78,0
102,2016-12-14,111.05,111.05,111.05,111.05,0
103,2016-12-15,111.96,111.96,111.96,111.96,0
104,2016-12-16,112.21,112.21,112.21,112.21,0
105,2016-12-19,112.24,112.24,112.24,112.24,0
106,2016-12-20,112.81,112.81,112.81,112.81,0
107,2016-12-21,112.72,112.72,112.72,112.72,0
108,2016-12-22,112.68,112.68,112.68,112.68,0
109,2016-12-23,112.84,112.84,112.84,112.84,0
110,2016-12-27,113.05,113.05,113.05,113.05,0
111,2016-12-28,113.0,113.0,113.0,113.0,0
112,2016-12-29,112.76,112.76,112.76,112.76,0
113,2016-12-30,113.14,113.14,113.14,113.14,0
114,2017-01-02,113.89,113.89,113.89,113.89,0
115,2017-01-03,114.22,114.22,114.22,114.22,0
116,2017-01-04,114.15,114.15,114.15,114.15,0
117,2017-01-05,114.09,114.09,114.09,114.09,0
118,2017-01-06,114.12,114.12,114.12,114.12,0
119,2017-01-09,113.77,113.77,113.77,113.77,0
120,2017-01-10,113.67,113.67,113.67,113.67,0
121,2017-01-11,113.8,113.8,113.8,113.8,0
122,2017-01-12,112.97,112.97,112.97,112.97,0
123,2017-01-13,114.07,114.07,114.07,114.07,0
124,2017-01-16,113.23,113.23,113.23,113.23,0
125,2017-01-17,112.93,112.93,112.93,112.93,0
126,2017-01-18,113.18,113.18,113.18,113.18,0
127,2017-01-19,113.11,113.11,113.11,113.11,0
128,2017-01-20,113.26,113.26,113.26,113.26,0
129,2017-01-23,112.44,112.44,112.44,112.44,0
130,2017-01-24,112.66,112.66,112.66,112.66,0
131,2017-01-25,113.98,113.98,113.98,113.98,0
132,2017-01-26,113.75,113.75,113.75,113.75,0
133,2017-01-27,113.6,113.6,113.6,113.6,0
134,2017-01-30,112.39,112.39,112.39,112.39,0
135,2017-01-31,111.35,111.35,111.35,111.35,0
136,2017-02-01,112.3,112.3,112.3,112.3,0
137,2017-02-02,112.41,112.41,112.41,112.41,0
138,2017-02-03,112.92,112.92,112.92,112.92,0
139,2017-02-06,111.82,111.82,111.82,111.82,0
140,2017-02-07,112.18,112.18,112.18,112.18,0
141,2017-02-08,112.44,112.44,112.44,112.44,0
142,2017-02-09,113.37,113.37,113.37,113.37,0
143,2017-02-10,113.24,113.24,113.24,113.24,0
144,2017-02-13,114.32,114.32,114.32,114.32,0
145,2017-02-14,114.38,114.38,114.38,114.38,0
146,2017-02-15,114.95,114.95,114.95,114.95,0
147,2017-02-16,114.62,114.62,114.62,114.62,0
148,2017-02-17,114.8,114.8,114.8,114.8,0
149,2017-02-20,114.72,114.72,114.72,114.72,0
150,2017-02-21,115.24,115.24,115.24,115.24,0
151,2017-02-22,115.31,115.31,115.31,115.31,0
152,2017-02-23,114.96,114.96,114.96,114.96,0
153,2017-02-24,113.87,113.87,113.87,113.87,0
154,2017-02-27,114.15,114.15,114.15,114.15,0
155,2017-02-28,114.17,114.17,114.17,114.17,0
156,2017-03-01,116.13,116.13,116.13,116.13,0
157,2017-03-02,116.01,116.01,116.01,116.01,0
158,2017-03-03,116.19,116.19,116.19,116.19,0
159,2017-03-06,115.96,115.96,115.96,115.96,0
160,2017-03-07,115.6,115.6,115.6,115.6,0
161,2017-03-08,115.73,115.73,115.73,115.73,0
162,2017-03-09,116.59,116.59,116.59,116.59,0
163,2017-03-10,116.72,116.72,116.72,116.72,0
164,2017-03-13,116.8,116.8,116.8,116.8,0
165,2017-03-14,116.6,116.6,116.6,116.6,0
