,date,open,close,high,low,volumme
0,2016-08-24,101.52,101.52,101.52,101.52,0
1,2016-08-25,101.19,101.19,101.19,101.19,0
2,2016-08-26,101.2,101.2,101.2,101.2,0
3,2016-08-29,101.38,101.38,101.38,101.38,0
4,2016-08-30,101.37,101.37,101.37,101.37,0
5,2016-08-31,101.16,101.16,101.16,101.16,0
6,2016-09-01,101.04,101.04,101.04,101.04,0
7,2016-09-02,101.66,101.66,101.66,101.66,0
8,2016-09-05,102.29,102.29,102.29,102.29,0
9,2016-09-06,103.01,103.01,103.01,103.01,0
10,2016-09-07,104.03,104.03,104.03,104.03,0
11,2016-09-08,103.88,103.88,103.88,103.88,0
12,2016-09-09,102.35,102.35,102.35,102.35,0
13,2016-09-12,101.98,101.98,101.98,101.98,0
14,2016-09-13,101.14,101.14,101.14,101.14,0
15,2016-09-14,100.96,100.96,100.96,100.96,0
16,2016-09-15,101.49,101.49,101.49,101.49,0
17,2016-09-16,102.54,102.54,102.54,102.54,0
18,2016-09-19,102.98,102.98,102.98,102.98,0
19,2016-09-20,103.25,103.25,103.25,103.25,0
20,2016-09-21,104.57,104.57,104.57,104.57,0
21,2016-09-22,104.52,104.52,104.52,104.52,0
22,2016-09-23,104.78,104.78,104.78,104.78,0
23,2016-09-26,104.05,104.05,104.05,104.05,0
24,2016-09-27,104.93,104.93,104.93,104.93,0
25,2016-09-28,105.64,105.64,105.64,105.64,0
26,2016-09-29,105.17,105.17,105.17,105.17,0
27,2016-09-30,105.4,105.4,105.4,105.4,0
28,2016-10-03,105.64,105.64,105.64,105.64,0
29,2016-10-04,105.8,105.8,105.8,105.8,0
30,2016-10-05,105.44,105.44,105.44,105.44,0
31,2016-10-06,105.18,105.18,105.18,105.18,0
32,2016-10-07,105.02,105.02,105.02,105.02,0
33,2016-10-10,105.55,105.55,105.55,105.55,0
34,2016-10-11,105.35,105.35,105.35,105.35,0
35,2016-10-12,105.1,105.1,105.1,105.1,0
36,2016-10-13,105.02,105.02,105.02,105.02,0
37,2016-10-14,105.33,105.33,105.33,105.33,0
38,2016-10-17,105.62,105.62,105.62,105.62,0
39,2016-10-18,106.59,106.59,106.59,106.59,0
40,2016-10-19,107.55,107.55,107.55,107.55,0
41,2016-10-20,107.69,107.69,107.69,107.69,0
42,2016-10-21,107.75,107.75,107.75,107.75,0
43,2016-10-24,107.54,107.54,107.54,107.54,0
44,2016-10-25,107.19,107.19,107.19,107.19,0
45,2016-10-26,106.61,106.61,106.61,106.61,0
46,2016-10-27,105.41,105.41,105.41,105.41,0
47,2016-10-28,104.97,104.97,104.97,104.97,0
48,2016-10-31,104.93,104.93,104.93,104.93,0
49,2016-11-02,102.16,102.16,102.16,102.16,0
50,2016-11-03,102.06,102.06,102.06,102.06,0
51,2016-11-04,101.25,101.25,101.25,101.25,0
52,2016-11-07,102.34,102.34,102.34,102.34,0
53,2016-11-08,102.13,102.13,102.13,102.13,0
54,2016-11-09,102.35,102.35,102.35,102.35,0
55,2016-11-10,104.02,104.02,104.02,104.02,0
56,2016-11-11,104.42,104.42,104.42,104.42,0
57,2016-11-14,105.25,105.25,105.25,105.25,0
58,2016-11-15,105.68,105.68,105.68,105.68,0
59,2016-11-16,106.53,106.53,106.53,106.53,0
60,2016-11-17,106.99,106.99,106.99,106.99,0
61,2016-11-18,107.66,107.66,107.66,107.66,0
62,2016-11-21,107.9,107.9,107.9,107.9,0
63,2016-11-22,108.27,108.27,108.27,108.27,0
64,2016-11-23,108.63,108.63,108.63,108.63,0
65,2016-11-24,108.27,108.27,108.27,108.27,0
