,date,open,close,high,low,volumme
0,2016-07-28,99.34,99.34,99.34,99.34,0
1,2016-07-29,99.94,99.94,99.94,99.94,0
2,2016-08-01,99.56,99.56,99.56,99.56,0
3,2016-08-02,98.45,98.45,98.45,98.45,0
4,2016-08-03,98.13,98.13,98.13,98.13,0
5,2016-08-04,98.69,98.69,98.69,98.69,0
6,2016-08-05,99.8,99.8,99.8,99.8,0
7,2016-08-08,99.72,99.72,99.72,99.72,0
8,2016-08-09,100.69,100.69,100.69,100.69,0
9,2016-08-10,100.37,100.37,100.37,100.37,0
10,2016-08-11,101.35,101.35,101.35,101.35,0
11,2016-08-12,101.06,101.06,101.06,101.06,0
12,2016-08-16,100.16,100.16,100.16,100.16,0
13,2016-08-17,99.26,99.26,99.26,99.26,0
14,2016-08-18,99.78,99.78,99.78,99.78,0
15,2016-08-19,99.19,99.19,99.19,99.19,0
16,2016-08-22,99.5,99.5,99.5,99.5,0
17,2016-08-23,100.35,100.35,100.35,100.35,0
18,2016-08-24,100.5,100.5,100.5,100.5,0
19,2016-08-25,99.68,99.68,99.68,99.68,0
20,2016-08-26,100.05,100.05,100.05,100.05,0
21,2016-08-29,99.92,99.92,99.92,99.92,0
22,2016-08-30,100.32,100.32,100.32,100.32,0
23,2016-08-31,99.9,99.9,99.9,99.9,0
24,2016-09-01,100.09,100.09,100.09,100.09,0
25,2016-09-02,101.8,101.8,101.8,101.8,0
26,2016-09-05,101.79,101.79,101.79,101.79,0
27,2016-09-06,101.36,101.36,101.36,101.36,0
28,2016-09-07,101.72,101.72,101.72,101.72,0
29,2016-09-08,101.38,101.38,101.38,101.38,0
30,2016-09-09,100.52,100.52,100.52,100.52,0
31,2016-09-12,99.65,99.65,99.65,99.65,0
32,2016-09-13,98.92,98.92,98.92,98.92,0
33,2016-09-14,98.83,98.83,98.83,98.83,0
34,2016-09-15,99.4,99.4,99.4,99.4,0
35,2016-09-16,98.77,98.77,98.77,98.77,0
36,2016-09-19,99.33,99.33,99.33,99.33,0
37,2016-09-20,99.2,99.2,99.2,99.2,0
38,2016-09-21,99.78,99.78,99.78,99.78,0
39,2016-09-22,101.15,101.15,101.15,101.15,0
40,2016-09-23,100.72,100.72,100.72,100.72,0
41,2016-09-26,99.28,99.28,99.28,99.28,0
42,2016-09-27,99.2,99.2,99.2,99.2,0
43,2016-09-28,99.95,99.95,99.95,99.95,0
44,2016-09-29,99.94,99.94,99.94,99.94,0
45,2016-09-30,100.05,100.05,100.05,100.05,0
46,2016-10-03,100.18,100.18,100.18,100.18,0
47,2016-10-04,100.65,100.65,100.65,100.65,0
48,2016-10-05,100.04,100.04,100.04,100.04,0
49,2016-10-06,99.5,99.5,99.5,99.5,0
50,2016-10-07,98.49,98.49,98.49,98.49,0
51,2016-10-10,99.09,99.09,99.09,99.09,0
52,2016-10-11,98.69,98.69,98.69,98.69,0
53,2016-10-12,98.29,98.29,98.29,98.29,0
54,2016-10-13,97.53,97.53,97.53,97.53,0
55,2016-10-14,98.7,98.7,98.7,98.7,0
56,2016-10-17,98.17,98.17,98.17,98.17,0
57,2016-10-18,99.37,99.37,99.37,99.37,0
58,2016-10-19,99.89,99.89,99.89,99.89,0
59,2016-10-20,100.04,100.04,100.04,100.04,0
60,2016-10-21,100.09,100.09,100.09,100.09,0
61,2016-10-24,100.54,100.54,100.54,100.54,0
62,2016-10-25,100.09,100.09,100.09,100.09,0
63,2016-10-26,99.85,99.85,99.85,99.85,0
64,2016-10-27,99.92,99.92,99.92,99.92,0
65,2016-10-28,99.59,99.59,99.59,99.59,0
66,2016-10-31,98.97,98.97,98.97,98.97,0
67,2016-11-02,97.15,97.15,97.15,97.15,0
68,2016-11-03,97.03,97.03,97.03,97.03,0
69,2016-11-04,96.27,96.27,96.27,96.27,0
70,2016-11-07,97.76,97.76,97.76,97.76,0
71,2016-11-08,98.0,98.0,98.0,98.0,0
72,2016-11-09,99.67,99.67,99.67,99.67,0
73,2016-11-10,98.87,98.87,98.87,98.87,0
74,2016-11-11,98.12,98.12,98.12,98.12,0
75,2016-11-14,98.14,98.14,98.14,98.14,0
