,date,open,close,high,low,volumme
0,2018-12-27,108.73,108.73,108.73,108.73,0
1,2018-12-28,110.84,110.84,110.84,110.84,0
2,2018-12-31,112.12,112.12,112.12,112.12,0
3,2019-01-02,112.13,112.13,112.13,112.13,0
4,2019-01-03,111.52,111.52,111.52,111.52,0
5,2019-01-04,113.32,113.32,113.32,113.32,0
6,2019-01-07,114.8,114.8,114.8,114.8,0
7,2019-01-08,115.71,115.71,115.71,115.71,0
8,2019-01-09,116.55,116.55,116.55,116.55,0
9,2019-01-10,117.08,117.08,117.08,117.08,0
10,2019-01-11,117.58,117.58,117.58,117.58,0
11,2019-01-14,116.89,116.89,116.89,116.89,0
12,2019-01-15,117.07,117.07,117.07,117.07,0
13,2019-01-16,117.66,117.66,117.66,117.66,0
14,2019-01-17,117.97,117.97,117.97,117.97,0
15,2019-01-18,119.12,119.12,119.12,119.12,0
16,2019-01-21,119.58,119.58,119.58,119.58,0
17,2019-01-22,119.21,119.21,119.21,119.21,0
18,2019-01-23,119.49,119.49,119.49,119.49,0
19,2019-01-24,119.47,119.47,119.47,119.47,0
20,2019-01-25,120.19,120.19,120.19,120.19,0
21,2019-01-28,119.66,119.66,119.66,119.66,0
22,2019-01-29,120.09,120.09,120.09,120.09,0
23,2019-01-30,119.7,119.7,119.7,119.7,0
24,2019-01-31,120.08,120.08,120.08,120.08,0
25,2019-02-01,119.85,119.85,119.85,119.85,0
26,2019-02-04,120.4,120.4,120.4,120.4,0
27,2019-02-05,120.7,120.7,120.7,120.7,0
28,2019-02-06,120.89,120.89,120.89,120.89,0
29,2019-02-07,119.88,119.88,119.88,119.88,0
30,2019-02-08,118.6,118.6,118.6,118.6,0
31,2019-02-11,119.04,119.04,119.04,119.04,0
32,2019-02-12,119.84,119.84,119.84,119.84,0
33,2019-02-13,120.36,120.36,120.36,120.36,0
34,2019-02-14,120.14,120.14,120.14,120.14,0
35,2019-02-15,120.9,120.9,120.9,120.9,0
36,2019-02-18,121.61,121.61,121.61,121.61,0
37,2019-02-19,121.78,121.78,121.78,121.78,0
38,2019-02-20,122.2,122.2,122.2,122.2,0
39,2019-02-21,121.63,121.63,121.63,121.63,0
40,2019-02-22,122.03,122.03,122.03,122.03,0
41,2019-02-25,122.17,122.17,122.17,122.17,0
42,2019-02-26,122.41,122.41,122.41,122.41,0
43,2019-02-27,122.47,122.47,122.47,122.47,0
44,2019-02-28,122.26,122.26,122.26,122.26,0
45,2019-03-01,122.88,122.88,122.88,122.88,0
46,2019-03-04,122.88,122.88,122.88,122.88,0
47,2019-03-05,123.12,123.12,123.12,123.12,0
48,2019-03-06,122.93,122.93,122.93,122.93,0
49,2019-03-07,122.28,122.28,122.28,122.28,0
50,2019-03-08,121.16,121.16,121.16,121.16,0
51,2019-03-11,122.3,122.3,122.3,122.3,0
52,2019-03-12,122.17,122.17,122.17,122.17,0
53,2019-03-13,122.9,122.9,122.9,122.9,0
54,2019-03-14,123.24,123.24,123.24,123.24,0
55,2019-03-15,124.19,124.19,124.19,124.19,0
56,2019-03-18,124.59,124.59,124.59,124.59,0
57,2019-03-19,124.89,124.89,124.89,124.89,0
58,2019-03-20,124.21,124.21,124.21,124.21,0
59,2019-03-21,123.55,123.55,123.55,123.55,0
60,2019-03-22,123.08,123.08,123.08,123.08,0
61,2019-03-26,122.15,122.15,122.15,122.15,0
62,2019-03-27,122.28,122.28,122.28,122.28,0
63,2019-03-28,121.97,121.97,121.97,121.97,0
64,2019-03-29,122.04,122.04,122.04,122.04,0
65,2019-04-01,123.24,123.24,123.24,123.24,0
66,2019-04-02,123.04,123.04,123.04,123.04,0
67,2019-04-03,124.25,124.25,124.25,124.25,0
68,2019-04-04,124.16,124.16,124.16,124.16,0
69,2019-04-05,124.44,124.44,124.44,124.44,0
70,2019-04-08,124.58,124.58,124.58,124.58,0
71,2019-04-09,124.3,124.3,124.3,124.3,0
72,2019-04-10,125.09,125.09,125.09,125.09,0
73,2019-04-11,125.5,125.5,125.5,125.5,0
74,2019-04-12,126.11,126.11,126.11,126.11,0
75,2019-04-15,126.92,126.92,126.92,126.92,0
76,2019-04-16,127.6,127.6,127.6,127.6,0
77,2019-04-17,128.03,128.03,128.03,128.03,0
78,2019-04-18,127.94,127.94,127.94,127.94,0
79,2019-04-23,128.08,128.08,128.08,128.08,0
80,2019-04-24,128.4,128.4,128.4,128.4,0
81,2019-04-25,128.41,128.41,128.41,128.41,0
82,2019-04-26,128.28,128.28,128.28,128.28,0
83,2019-04-29,128.49,128.49,128.49,128.49,0
84,2019-04-30,129.4,129.4,129.4,129.4,0
85,2019-05-02,128.96,128.96,128.96,128.96,0
86,2019-05-03,129.72,129.72,129.72,129.72,0
87,2019-05-06,128.56,128.56,128.56,128.56,0
88,2019-05-07,127.96,127.96,127.96,127.96,0
89,2019-05-08,127.81,127.81,127.81,127.81,0
90,2019-05-10,126.88,126.88,126.88,126.88,0
91,2019-05-13,125.45,125.45,125.45,125.45,0
92,2019-05-14,126.34,126.34,126.34,126.34,0
93,2019-05-15,126.42,126.42,126.42,126.42,0
94,2019-05-16,127.31,127.31,127.31,127.31,0
95,2019-05-17,127.42,127.42,127.42,127.42,0
96,2019-05-20,126.69,126.69,126.69,126.69,0
97,2019-05-21,127.6,127.6,127.6,127.6,0
98,2019-05-22,127.85,127.85,127.85,127.85,0
99,2019-05-23,126.53,126.53,126.53,126.53,0
100,2019-05-24,126.87,126.87,126.87,126.87,0
101,2019-05-27,127.34,127.34,127.34,127.34,0
102,2019-05-28,127.39,127.39,127.39,127.39,0
103,2019-05-29,126.02,126.02,126.02,126.02,0
104,2019-05-31,125.61,125.61,125.61,125.61,0
105,2019-06-03,125.37,125.37,125.37,125.37,0
106,2019-06-19,128.17,128.17,128.17,128.17,0
107,2019-06-20,128.39,128.39,128.39,128.39,0
108,2019-06-21,128.08,128.08,128.08,128.08,0
109,2019-06-24,128.08,128.08,128.08,128.08,0
110,2019-06-25,128.1,128.1,128.1,128.1,0
111,2019-06-26,127.38,127.38,127.38,127.38,0
112,2019-06-27,127.62,127.62,127.62,127.62,0
113,2019-06-28,128.08,128.08,128.08,128.08,0
114,2019-07-01,128.54,128.54,128.54,128.54,0
115,2019-07-02,128.66,128.66,128.66,128.66,0
116,2019-07-03,128.99,128.99,128.99,128.99,0
117,2019-07-05,128.95,128.95,128.95,128.95,0
118,2019-07-08,128.57,128.57,128.57,128.57,0
119,2019-07-09,127.6,127.6,127.6,127.6,0
120,2019-07-10,127.85,127.85,127.85,127.85,0
121,2019-07-11,128.16,128.16,128.16,128.16,0
122,2019-07-12,127.95,127.95,127.95,127.95,0
123,2019-07-15,127.96,127.96,127.96,127.96,0
124,2019-07-16,127.94,127.94,127.94,127.94,0
125,2019-07-17,127.65,127.65,127.65,127.65,0
126,2019-07-18,127.03,127.03,127.03,127.03,0
127,2019-07-19,127.33,127.33,127.33,127.33,0
128,2019-07-22,127.87,127.87,127.87,127.87,0
129,2019-07-23,128.15,128.15,128.15,128.15,0
130,2019-07-24,130.29,130.29,130.29,130.29,0
131,2019-07-25,130.04,130.04,130.04,130.04,0
132,2019-07-26,129.67,129.67,129.67,129.67,0
133,2019-07-29,129.46,129.46,129.46,129.46,0
134,2019-07-30,128.11,128.11,128.11,128.11,0
135,2019-07-31,128.4,128.4,128.4,128.4,0
