,date,open,close,high,low,volumme
0,2017-01-30,103.32,103.32,103.32,103.32,0
1,2017-01-31,103.1,103.1,103.1,103.1,0
2,2017-02-01,103.11,103.11,103.11,103.11,0
3,2017-02-02,102.98,102.98,102.98,102.98,0
4,2017-02-03,103.64,103.64,103.64,103.64,0
5,2017-02-06,103.48,103.48,103.48,103.48,0
6,2017-02-07,103.59,103.59,103.59,103.59,0
7,2017-02-08,103.85,103.85,103.85,103.85,0
8,2017-02-09,104.33,104.33,104.33,104.33,0
9,2017-02-10,104.49,104.49,104.49,104.49,0
10,2017-02-13,105.2,105.2,105.2,105.2,0
11,2017-02-14,105.34,105.34,105.34,105.34,0
12,2017-02-15,105.93,105.93,105.93,105.93,0
13,2017-02-16,106.17,106.17,106.17,106.17,0
14,2017-02-17,106.57,106.57,106.57,106.57,0
15,2017-02-20,106.55,106.55,106.55,106.55,0
16,2017-02-21,106.92,106.92,106.92,106.92,0
17,2017-02-22,107.09,107.09,107.09,107.09,0
18,2017-02-23,107.0,107.0,107.0,107.0,0
19,2017-02-24,107.16,107.16,107.16,107.16,0
20,2017-02-27,107.23,107.23,107.23,107.23,0
21,2017-02-28,106.65,106.65,106.65,106.65,0
22,2017-03-01,107.86,107.86,107.86,107.86,0
23,2017-03-02,107.62,107.62,107.62,107.62,0
24,2017-03-03,107.75,107.75,107.75,107.75,0
25,2017-03-06,107.23,107.23,107.23,107.23,0
26,2017-03-07,106.87,106.87,106.87,106.87,0
27,2017-03-08,107.12,107.12,107.12,107.12,0
28,2017-03-09,107.41,107.41,107.41,107.41,0
29,2017-03-10,107.96,107.96,107.96,107.96,0
30,2017-03-13,108.13,108.13,108.13,108.13,0
31,2017-03-14,107.8,107.8,107.8,107.8,0
32,2017-03-15,108.48,108.48,108.48,108.48,0
33,2017-03-16,108.72,108.72,108.72,108.72,0
34,2017-03-17,108.41,108.41,108.41,108.41,0
35,2017-03-20,108.53,108.53,108.53,108.53,0
36,2017-03-21,107.19,107.19,107.19,107.19,0
37,2017-03-22,107.54,107.54,107.54,107.54,0
38,2017-03-23,107.37,107.37,107.37,107.37,0
39,2017-03-24,107.45,107.45,107.45,107.45,0
40,2017-03-27,107.53,107.53,107.53,107.53,0
41,2017-03-28,107.83,107.83,107.83,107.83,0
42,2017-03-29,108.27,108.27,108.27,108.27,0
43,2017-03-30,108.08,108.08,108.08,108.08,0
44,2017-03-31,108.16,108.16,108.16,108.16,0
45,2017-04-03,107.93,107.93,107.93,107.93,0
46,2017-04-04,108.28,108.28,108.28,108.28,0
47,2017-04-05,107.94,107.94,107.94,107.94,0
48,2017-04-06,107.99,107.99,107.99,107.99,0
49,2017-04-07,107.84,107.84,107.84,107.84,0
50,2017-04-10,108.16,108.16,108.16,108.16,0
51,2017-04-11,108.01,108.01,108.01,108.01,0
52,2017-04-12,107.55,107.55,107.55,107.55,0
53,2017-04-13,107.01,107.01,107.01,107.01,0
54,2017-04-18,107.84,107.84,107.84,107.84,0
55,2017-04-19,107.82,107.82,107.82,107.82,0
56,2017-04-20,108.55,108.55,108.55,108.55,0
57,2017-04-21,108.08,108.08,108.08,108.08,0
58,2017-04-24,109.32,109.32,109.32,109.32,0
59,2017-04-25,109.74,109.74,109.74,109.74,0
60,2017-04-26,109.67,109.67,109.67,109.67,0
61,2017-04-27,109.95,109.95,109.95,109.95,0
62,2017-04-28,110.73,110.73,110.73,110.73,0
63,2017-05-02,111.42,111.42,111.42,111.42,0
64,2017-05-03,111.53,111.53,111.53,111.53,0
65,2017-05-04,112.01,112.01,112.01,112.01,0
66,2017-05-05,112.22,112.22,112.22,112.22,0
67,2017-05-08,112.39,112.39,112.39,112.39,0
68,2017-05-09,112.53,112.53,112.53,112.53,0
69,2017-05-10,112.58,112.58,112.58,112.58,0
70,2017-05-11,112.42,112.42,112.42,112.42,0
71,2017-05-12,112.58,112.58,112.58,112.58,0
72,2017-05-15,113.08,113.08,113.08,113.08,0
73,2017-05-16,113.5,113.5,113.5,113.5,0
74,2017-05-17,111.44,111.44,111.44,111.44,0
75,2017-05-18,111.68,111.68,111.68,111.68,0
76,2017-05-19,113.0,113.0,113.0,113.0,0
77,2017-05-22,114.0,114.0,114.0,114.0,0
78,2017-05-23,114.23,114.23,114.23,114.23,0
79,2017-05-24,114.6,114.6,114.6,114.6,0
80,2017-05-26,115.3,115.3,115.3,115.3,0
81,2017-05-29,115.27,115.27,115.27,115.27,0
82,2017-05-30,115.39,115.39,115.39,115.39,0
83,2017-05-31,115.36,115.36,115.36,115.36,0
84,2017-06-01,116.36,116.36,116.36,116.36,0
85,2017-06-02,117.08,117.08,117.08,117.08,0
86,2017-06-06,116.77,116.77,116.77,116.77,0
87,2017-06-07,116.91,116.91,116.91,116.91,0
88,2017-06-08,117.74,117.74,117.74,117.74,0
89,2017-06-09,116.1,116.1,116.1,116.1,0
90,2017-06-12,115.99,115.99,115.99,115.99,0
91,2017-06-13,116.63,116.63,116.63,116.63,0
92,2017-06-14,116.46,116.46,116.46,116.46,0
93,2017-06-15,115.98,115.98,115.98,115.98,0
94,2017-06-16,116.29,116.29,116.29,116.29,0
95,2017-06-19,117.5,117.5,117.5,117.5,0
96,2017-06-20,117.08,117.08,117.08,117.08,0
97,2017-06-21,117.91,117.91,117.91,117.91,0
98,2017-06-22,118.25,118.25,118.25,118.25,0
99,2017-06-26,118.64,118.64,118.64,118.64,0
100,2017-06-27,116.98,116.98,116.98,116.98,0
101,2017-06-28,118.08,118.08,118.08,118.08,0
102,2017-06-29,116.36,116.36,116.36,116.36,0
103,2017-06-30,116.14,116.14,116.14,116.14,0
104,2017-07-03,115.64,115.64,115.64,115.64,0
105,2017-07-04,115.62,115.62,115.62,115.62,0
106,2017-07-05,116.53,116.53,116.53,116.53,0
107,2017-07-06,115.19,115.19,115.19,115.19,0
108,2017-07-07,116.3,116.3,116.3,116.3,0
109,2017-07-10,116.89,116.89,116.89,116.89,0
110,2017-07-11,117.03,117.03,117.03,117.03,0
111,2017-07-12,118.07,118.07,118.07,118.07,0
112,2017-07-13,118.24,118.24,118.24,118.24,0
113,2017-07-14,119.0,119.0,119.0,119.0,0
114,2017-07-17,118.86,118.86,118.86,118.86,0
115,2017-07-18,119.55,119.55,119.55,119.55,0
