,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2017-06-21,127.28,127.28,127.28,127.28,0
1,1.0,2017-06-22,127.35,127.35,127.35,127.35,0
2,2.0,2017-06-26,127.33,127.33,127.33,127.33,0
3,3.0,2017-06-27,126.73,126.73,126.73,126.73,0
4,4.0,2017-06-28,126.67,126.67,126.67,126.67,0
5,5.0,2017-06-29,126.12,126.12,126.12,126.12,0
6,6.0,2017-06-30,126.0,126.0,126.0,126.0,0
7,7.0,2017-07-03,125.81,125.81,125.81,125.81,0
8,8.0,2017-07-04,125.86,125.86,125.86,125.86,0
9,9.0,2017-07-05,125.98,125.98,125.98,125.98,0
10,10.0,2017-07-06,125.46,125.46,125.46,125.46,0
11,11.0,2017-07-07,125.42,125.42,125.42,125.42,0
12,12.0,2017-07-10,125.62,125.62,125.62,125.62,0
13,13.0,2017-07-11,125.49,125.49,125.49,125.49,0
14,14.0,2017-07-12,125.84,125.84,125.84,125.84,0
15,15.0,2017-07-13,125.71,125.71,125.71,125.71,0
16,16.0,2017-07-17,125.9,125.9,125.9,125.9,0
17,17.0,2017-07-18,126.15,126.15,126.15,126.15,0
18,18.0,2017-07-19,126.31,126.31,126.31,126.31,0
19,19.0,2017-07-20,126.35,126.35,126.35,126.35,0
20,20.0,2017-07-21,126.54,126.54,126.54,126.54,0
21,21.0,2017-07-24,126.52,126.52,126.52,126.52,0
22,22.0,2017-07-25,126.04,126.04,126.04,126.04,0
23,23.0,2017-07-26,126.13,126.13,126.13,126.13,0
24,24.0,2017-07-27,126.25,126.25,126.25,126.25,0
25,25.0,2017-07-28,126.21,126.21,126.21,126.21,0
26,26.0,2017-07-31,126.24,126.24,126.24,126.24,0
27,27.0,2017-08-01,126.65,126.65,126.65,126.65,0
28,28.0,2017-08-02,126.66,126.66,126.66,126.66,0
29,29.0,2017-08-03,126.88,126.88,126.88,126.88,0
30,30.0,2017-08-04,126.7,126.7,126.7,126.7,0
31,31.0,2017-08-07,126.75,126.75,126.75,126.75,0
32,32.0,2017-08-08,126.62,126.62,126.62,126.62,0
33,33.0,2017-08-09,126.93,126.93,126.93,126.93,0
34,34.0,2017-08-10,127.03,127.03,127.03,127.03,0
35,35.0,2017-08-11,127.18,127.18,127.18,127.18,0
36,36.0,2017-08-14,126.99,126.99,126.99,126.99,0
37,37.0,2017-08-16,126.73,126.73,126.73,126.73,0
38,38.0,2017-08-17,126.86,126.86,126.86,126.86,0
39,39.0,2017-08-18,127.05,127.05,127.05,127.05,0
40,40.0,2017-08-21,127.03,127.03,127.03,127.03,0
41,41.0,2017-08-22,126.95,126.95,126.95,126.95,0
42,42.0,2017-08-23,127.12,127.12,127.12,127.12,0
43,43.0,2017-08-24,127.03,127.03,127.03,127.03,0
44,44.0,2017-08-25,127.02,127.02,127.02,127.02,0
45,45.0,2017-08-28,127.08,127.08,127.08,127.08,0
46,46.0,2017-08-29,127.3,127.3,127.3,127.3,0
47,47.0,2017-08-30,127.18,127.18,127.18,127.18,0
48,48.0,2017-08-31,127.2,127.2,127.2,127.2,0
49,49.0,2017-09-01,126.97,126.97,126.97,126.97,0
50,50.0,2017-09-04,126.98,126.98,126.98,126.98,0
51,51.0,2017-09-05,127.3,127.3,127.3,127.3,0
52,52.0,2017-09-06,127.23,127.23,127.23,127.23,0
53,53.0,2017-09-07,127.49,127.49,127.49,127.49,0
54,54.0,2017-09-08,127.37,127.37,127.37,127.37,0
55,55.0,2017-09-11,127.19,127.19,127.19,127.19,0
56,56.0,2017-09-12,126.77,126.77,126.77,126.77,0
57,57.0,2017-09-13,126.74,126.74,126.74,126.74,0
58,58.0,2017-09-14,126.61,126.61,126.61,126.61,0
59,59.0,2017-09-15,126.5,126.5,126.5,126.5,0
60,60.0,2017-09-18,126.38,126.38,126.38,126.38,0
61,61.0,2017-09-19,126.45,126.45,126.45,126.45,0
62,62.0,2017-09-20,126.51,126.51,126.51,126.51,0
63,63.0,2017-09-21,126.39,126.39,126.39,126.39,0
64,64.0,2017-09-22,126.45,126.45,126.45,126.45,0
65,65.0,2017-09-25,126.77,126.77,126.77,126.77,0
66,66.0,2017-09-26,126.65,126.65,126.65,126.65,0
67,67.0,2017-09-27,126.29,126.29,126.29,126.29,0
68,68.0,2017-09-28,126.16,126.16,126.16,126.16,0
69,69.0,2017-09-29,126.26,126.26,126.26,126.26,0
70,70.0,2017-10-02,126.3,126.3,126.3,126.3,0
71,71.0,2017-10-03,126.26,126.26,126.26,126.26,0
72,72.0,2017-10-04,126.3,126.3,126.3,126.3,0
73,73.0,2017-10-05,126.26,126.26,126.26,126.26,0
74,74.0,2017-10-06,126.21,126.21,126.21,126.21,0
75,75.0,2017-10-09,126.32,126.32,126.32,126.32,0
76,76.0,2017-10-10,126.39,126.39,126.39,126.39,0
77,77.0,2017-10-11,126.33,126.33,126.33,126.33,0
78,78.0,2017-10-12,126.43,126.43,126.43,126.43,0
79,79.0,2017-10-13,126.76,126.76,126.76,126.76,0
80,80.0,2017-10-16,126.86,126.86,126.86,126.86,0
81,81.0,2017-10-17,126.9,126.9,126.9,126.9,0
82,82.0,2017-10-18,126.68,126.68,126.68,126.68,0
83,83.0,2017-10-19,126.73,126.73,126.73,126.73,0
84,84.0,2017-10-20,126.29,126.29,126.29,126.29,0
85,85.0,2017-10-23,126.44,126.44,126.44,126.44,0
86,86.0,2017-10-24,126.14,126.14,126.14,126.14,0
87,87.0,2017-10-25,126.06,126.06,126.06,126.06,0
88,88.0,2017-10-26,126.26,126.26,126.26,126.26,0
89,89.0,2017-10-27,126.59,126.59,126.59,126.59,0
90,90.0,2017-10-30,126.9,126.9,126.9,126.9,0
91,91.0,2017-10-31,127.0,127.0,127.0,127.0,0
92,92.0,2017-11-02,127.1,127.1,127.1,127.1,0
93,93.0,2017-11-03,127.13,127.13,127.13,127.13,0
94,94.0,2017-11-06,127.28,127.28,127.28,127.28,0
95,95.0,2017-11-07,127.41,127.41,127.41,127.41,0
96,96.0,2017-11-08,127.38,127.38,127.38,127.38,0
97,97.0,2017-11-09,126.98,126.98,126.98,126.98,0
98,98.0,2017-11-10,126.67,126.67,126.67,126.67,0
99,99.0,2017-11-13,126.62,126.62,126.62,126.62,0
100,100.0,2017-11-14,126.75,126.75,126.75,126.75,0
101,101.0,2017-11-15,126.9,126.9,126.9,126.9,0
102,102.0,2017-11-16,126.86,126.86,126.86,126.86,0
103,103.0,2017-11-17,126.95,126.95,126.95,126.95,0
104,104.0,2017-11-20,126.97,126.97,126.97,126.97,0
105,105.0,2017-11-21,127.13,127.13,127.13,127.13,0
106,106.0,2017-11-22,127.2,127.2,127.2,127.2,0
107,107.0,2017-11-23,127.22,127.22,127.22,127.22,0
108,108.0,2017-11-24,127.07,127.07,127.07,127.07,0
109,109.0,2017-11-27,127.18,127.18,127.18,127.18,0
110,110.0,2017-11-28,127.21,127.21,127.21,127.21,0
111,111.0,2017-11-29,126.85,126.85,126.85,126.85,0
112,112.0,2017-11-30,126.93,126.93,126.93,126.93,0
113,113.0,2017-12-01,127.41,127.41,127.41,127.41,0
114,114.0,2017-12-04,127.16,127.16,127.16,127.16,0
115,115.0,2017-12-05,127.25,127.25,127.25,127.25,0
116,116.0,2017-12-06,127.47,127.47,127.47,127.47,0
117,117.0,2017-12-07,127.48,127.48,127.48,127.48,0
118,118.0,2017-12-08,127.35,127.35,127.35,127.35,0
119,119.0,2017-12-11,127.37,127.37,127.37,127.37,0
120,120.0,2017-12-12,127.19,127.19,127.19,127.19,0
121,121.0,2017-12-13,127.26,127.26,127.26,127.26,0
122,122.0,2017-12-14,127.27,127.27,127.27,127.27,0
123,123.0,2017-12-15,127.34,127.34,127.34,127.34,0
124,124.0,2017-12-18,127.32,127.32,127.32,127.32,0
125,125.0,2017-12-19,126.81,126.81,126.81,126.81,0
126,126.0,2017-12-20,126.49,126.49,126.49,126.49,0
