,date,open,close,high,low,volumme
0,2017-08-02,199.76,199.76,199.76,199.76,0
1,2017-08-03,200.38,200.38,200.38,200.38,0
2,2017-08-04,201.1,201.1,201.1,201.1,0
3,2017-08-07,201.78,201.78,201.78,201.78,0
4,2017-08-08,202.01,202.01,202.01,202.01,0
5,2017-08-09,200.6,200.6,200.6,200.6,0
6,2017-08-10,198.88,198.88,198.88,198.88,0
7,2017-08-11,198.54,198.54,198.54,198.54,0
8,2017-08-14,200.0,200.0,200.0,200.0,0
9,2017-08-16,201.15,201.15,201.15,201.15,0
10,2017-08-17,199.81,199.81,199.81,199.81,0
11,2017-08-18,199.31,199.31,199.31,199.31,0
12,2017-08-21,199.09,199.09,199.09,199.09,0
13,2017-08-22,200.5,200.5,200.5,200.5,0
14,2017-08-23,200.24,200.24,200.24,200.24,0
15,2017-08-24,200.46,200.46,200.46,200.46,0
16,2017-08-25,200.17,200.17,200.17,200.17,0
17,2017-08-28,200.11,200.11,200.11,200.11,0
18,2017-08-29,199.73,199.73,199.73,199.73,0
19,2017-08-30,200.97,200.97,200.97,200.97,0
20,2017-08-31,202.03,202.03,202.03,202.03,0
21,2017-09-01,202.81,202.81,202.81,202.81,0
22,2017-09-05,201.91,201.91,201.91,201.91,0
23,2017-09-06,201.87,201.87,201.87,201.87,0
24,2017-09-07,202.4,202.4,202.4,202.4,0
25,2017-09-08,202.21,202.21,202.21,202.21,0
26,2017-09-11,204.36,204.36,204.36,204.36,0
27,2017-09-12,204.27,204.27,204.27,204.27,0
28,2017-09-13,205.05,205.05,205.05,205.05,0
29,2017-09-14,204.33,204.33,204.33,204.33,0
30,2017-09-15,204.53,204.53,204.53,204.53,0
31,2017-09-18,205.04,205.04,205.04,205.04,0
32,2017-09-19,205.52,205.52,205.52,205.52,0
33,2017-09-20,205.07,205.07,205.07,205.07,0
34,2017-09-21,204.85,204.85,204.85,204.85,0
35,2017-09-22,204.68,204.68,204.68,204.68,0
36,2017-09-25,203.54,203.54,203.54,203.54,0
37,2017-09-26,203.03,203.03,203.03,203.03,0
38,2017-09-27,203.91,203.91,203.91,203.91,0
39,2017-09-28,204.33,204.33,204.33,204.33,0
40,2017-09-29,205.34,205.34,205.34,205.34,0
41,2017-10-02,205.89,205.89,205.89,205.89,0
42,2017-10-03,206.43,206.43,206.43,206.43,0
43,2017-10-04,206.79,206.79,206.79,206.79,0
44,2017-10-05,207.38,207.38,207.38,207.38,0
45,2017-10-06,207.73,207.73,207.73,207.73,0
46,2017-10-09,207.8,207.8,207.8,207.8,0
47,2017-10-10,208.23,208.23,208.23,208.23,0
48,2017-10-11,208.31,208.31,208.31,208.31,0
49,2017-10-12,208.4,208.4,208.4,208.4,0
50,2017-10-13,208.46,208.46,208.46,208.46,0
