,date,open,close,high,low,volumme
0,2017-10-11,103.58,103.58,103.58,103.58,0
1,2017-10-12,103.94,103.94,103.94,103.94,0
2,2017-10-16,105.02,105.02,105.02,105.02,0
3,2017-10-18,105.77,105.77,105.77,105.77,0
4,2017-10-19,106.29,106.29,106.29,106.29,0
5,2017-10-20,106.09,106.09,106.09,106.09,0
6,2017-10-23,107.3,107.3,107.3,107.3,0
7,2017-10-24,107.8,107.8,107.8,107.8,0
8,2017-10-25,107.32,107.32,107.32,107.32,0
9,2017-10-26,107.49,107.49,107.49,107.49,0
10,2017-10-27,108.79,108.79,108.79,108.79,0
11,2017-10-30,108.85,108.85,108.85,108.85,0
12,2017-10-31,108.84,108.84,108.84,108.84,0
13,2017-11-02,111.44,111.44,111.44,111.44,0
14,2017-11-06,111.45,111.45,111.45,111.45,0
15,2017-11-08,113.27,113.27,113.27,113.27,0
16,2017-11-09,113.06,113.06,113.06,113.06,0
17,2017-11-10,112.12,112.12,112.12,112.12,0
18,2017-11-14,110.63,110.63,110.63,110.63,0
19,2017-11-15,108.89,108.89,108.89,108.89,0
20,2017-11-16,110.47,110.47,110.47,110.47,0
21,2017-11-17,110.71,110.71,110.71,110.71,0
22,2017-11-20,110.04,110.04,110.04,110.04,0
23,2017-11-21,110.64,110.64,110.64,110.64,0
24,2017-11-22,111.33,111.33,111.33,111.33,0
25,2017-11-24,111.45,111.45,111.45,111.45,0
26,2017-11-27,111.14,111.14,111.14,111.14,0
27,2017-11-28,111.1,111.1,111.1,111.1,0
28,2017-11-29,111.66,111.66,111.66,111.66,0
29,2017-11-30,112.28,112.28,112.28,112.28,0
30,2017-12-01,112.71,112.71,112.71,112.71,0
31,2017-12-04,112.13,112.13,112.13,112.13,0
32,2017-12-05,111.71,111.71,111.71,111.71,0
33,2017-12-06,109.49,109.49,109.49,109.49,0
34,2017-12-07,111.08,111.08,111.08,111.08,0
35,2017-12-08,112.63,112.63,112.63,112.63,0
36,2017-12-11,113.24,113.24,113.24,113.24,0
37,2017-12-12,112.87,112.87,112.87,112.87,0
38,2017-12-13,112.33,112.33,112.33,112.33,0
39,2017-12-14,112.02,112.02,112.02,112.02,0
40,2017-12-15,111.31,111.31,111.31,111.31,0
41,2017-12-18,113.02,113.02,113.02,113.02,0
42,2017-12-19,112.85,112.85,112.85,112.85,0
43,2017-12-20,112.95,112.95,112.95,112.95,0
44,2017-12-21,112.81,112.81,112.81,112.81,0
45,2017-12-22,112.99,112.99,112.99,112.99,0
46,2017-12-27,113.15,113.15,113.15,113.15,0
47,2017-12-28,112.51,112.51,112.51,112.51,0
48,2017-12-29,112.41,112.41,112.41,112.41,0
49,2018-01-04,116.03,116.03,116.03,116.03,0
50,2018-01-05,117.0,117.0,117.0,117.0,0
51,2018-01-09,117.68,117.68,117.68,117.68,0
52,2018-01-10,117.41,117.41,117.41,117.41,0
53,2018-01-11,117.03,117.03,117.03,117.03,0
54,2018-01-12,116.74,116.74,116.74,116.74,0
55,2018-01-15,117.01,117.01,117.01,117.01,0
56,2018-01-16,118.16,118.16,118.16,118.16,0
57,2018-01-17,117.76,117.76,117.76,117.76,0
58,2018-01-18,117.23,117.23,117.23,117.23,0
59,2018-01-19,117.44,117.44,117.44,117.44,0
60,2018-01-22,117.48,117.48,117.48,117.48,0
61,2018-01-23,118.97,118.97,118.97,118.97,0
62,2018-01-24,118.07,118.07,118.07,118.07,0
63,2018-01-25,116.74,116.74,116.74,116.74,0
64,2018-01-26,116.54,116.54,116.54,116.54,0
65,2018-01-29,116.54,116.54,116.54,116.54,0
66,2018-01-30,114.89,114.89,114.89,114.89,0
67,2018-01-31,113.93,113.93,113.93,113.93,0
68,2018-02-01,115.82,115.82,115.82,115.82,0
69,2018-02-02,114.77,114.77,114.77,114.77,0
70,2018-02-05,111.86,111.86,111.86,111.86,0
71,2018-02-06,106.58,106.58,106.58,106.58,0
72,2018-02-07,106.66,106.66,106.66,106.66,0
73,2018-02-08,107.88,107.88,107.88,107.88,0
74,2018-02-09,105.37,105.37,105.37,105.37,0
75,2018-02-13,104.67,104.67,104.67,104.67,0
76,2018-02-14,104.22,104.22,104.22,104.22,0
77,2018-02-15,105.74,105.74,105.74,105.74,0
78,2018-02-16,106.99,106.99,106.99,106.99,0
79,2018-02-19,109.09,109.09,109.09,109.09,0
80,2018-02-20,107.99,107.99,107.99,107.99,0
81,2018-02-21,108.21,108.21,108.21,108.21,0
82,2018-02-22,107.06,107.06,107.06,107.06,0
83,2018-02-23,107.82,107.82,107.82,107.82,0
84,2018-02-26,109.15,109.15,109.15,109.15,0
85,2018-02-27,110.31,110.31,110.31,110.31,0
86,2018-02-28,108.72,108.72,108.72,108.72,0
87,2018-03-01,107.02,107.02,107.02,107.02,0
88,2018-03-02,104.36,104.36,104.36,104.36,0
89,2018-03-05,103.63,103.63,103.63,103.63,0
90,2018-03-06,105.48,105.48,105.48,105.48,0
91,2018-03-07,104.67,104.67,104.67,104.67,0
92,2018-03-08,105.23,105.23,105.23,105.23,0
93,2018-03-09,105.73,105.73,105.73,105.73,0
94,2018-03-12,107.43,107.43,107.43,107.43,0
95,2018-03-14,107.2,107.2,107.2,107.2,0
96,2018-03-15,107.36,107.36,107.36,107.36,0
97,2018-03-16,106.74,106.74,106.74,106.74,0
98,2018-03-19,105.77,105.77,105.77,105.77,0
99,2018-03-20,105.28,105.28,105.28,105.28,0
100,2018-03-22,106.31,106.31,106.31,106.31,0
101,2018-03-26,102.22,102.22,102.22,102.22,0
102,2018-03-27,104.92,104.92,104.92,104.92,0
103,2018-03-28,104.14,104.14,104.14,104.14,0
104,2018-03-29,104.76,104.76,104.76,104.76,0
105,2018-04-03,105.44,105.44,105.44,105.44,0
106,2018-04-05,107.15,107.15,107.15,107.15,0
107,2018-04-06,106.76,106.76,106.76,106.76,0
108,2018-04-09,107.29,107.29,107.29,107.29,0
109,2018-04-10,107.86,107.86,107.86,107.86,0
110,2018-04-11,107.32,107.32,107.32,107.32,0
111,2018-04-12,107.18,107.18,107.18,107.18,0
112,2018-04-16,108.03,108.03,108.03,108.03,0
113,2018-04-17,108.08,108.08,108.08,108.08,0
114,2018-04-18,109.63,109.63,109.63,109.63,0
115,2018-04-19,109.77,109.77,109.77,109.77,0
116,2018-04-20,109.62,109.62,109.62,109.62,0
117,2018-04-23,109.26,109.26,109.26,109.26,0
118,2018-04-24,110.19,110.19,110.19,110.19,0
119,2018-04-25,109.84,109.84,109.84,109.84,0
120,2018-04-26,110.37,110.37,110.37,110.37,0
121,2018-04-27,111.12,111.12,111.12,111.12,0
122,2018-05-02,111.06,111.06,111.06,111.06,0
123,2018-05-07,111.07,111.07,111.07,111.07,0
124,2018-05-09,110.78,110.78,110.78,110.78,0
125,2018-05-14,112.97,112.97,112.97,112.97,0
126,2018-05-16,112.23,112.23,112.23,112.23,0
127,2018-05-17,112.83,112.83,112.83,112.83,0
128,2018-05-18,113.27,113.27,113.27,113.27,0
129,2018-05-22,113.41,113.41,113.41,113.41,0
130,2018-05-23,112.08,112.08,112.08,112.08,0
131,2018-05-24,110.82,110.82,110.82,110.82,0
132,2018-05-25,110.86,110.86,110.86,110.86,0
133,2018-05-28,110.99,110.99,110.99,110.99,0
134,2018-05-29,110.37,110.37,110.37,110.37,0
135,2018-05-30,108.63,108.63,108.63,108.63,0
136,2018-05-31,109.56,109.56,109.56,109.56,0
137,2018-06-01,109.4,109.4,109.4,109.4,0
138,2018-06-04,110.86,110.86,110.86,110.86,0
139,2018-06-05,111.15,111.15,111.15,111.15,0
140,2018-06-06,111.58,111.58,111.58,111.58,0
141,2018-06-07,112.56,112.56,112.56,112.56,0
142,2018-06-08,111.92,111.92,111.92,111.92,0
143,2018-06-11,112.47,112.47,112.47,112.47,0
144,2018-06-12,112.84,112.84,112.84,112.84,0
145,2018-06-13,113.27,113.27,113.27,113.27,0
146,2018-06-14,112.14,112.14,112.14,112.14,0
147,2018-06-15,112.7,112.7,112.7,112.7,0
148,2018-06-18,111.84,111.84,111.84,111.84,0
149,2018-06-19,109.85,109.85,109.85,109.85,0
150,2018-06-20,111.2,111.2,111.2,111.2,0
151,2018-06-21,111.88,111.88,111.88,111.88,0
152,2018-06-22,111.02,111.02,111.02,111.02,0
153,2018-06-25,110.14,110.14,110.14,110.14,0
154,2018-06-26,110.17,110.17,110.17,110.17,0
155,2018-06-27,109.94,109.94,109.94,109.94,0
156,2018-06-28,109.93,109.93,109.93,109.93,0
157,2018-06-29,110.1,110.1,110.1,110.1,0
158,2018-07-02,107.75,107.75,107.75,107.75,0
159,2018-07-03,107.6,107.6,107.6,107.6,0
160,2018-07-04,107.27,107.27,107.27,107.27,0
161,2018-07-05,106.43,106.43,106.43,106.43,0
162,2018-07-06,107.62,107.62,107.62,107.62,0
163,2018-07-09,108.92,108.92,108.92,108.92,0
164,2018-07-10,109.63,109.63,109.63,109.63,0
165,2018-07-11,108.31,108.31,108.31,108.31,0
166,2018-07-12,109.57,109.57,109.57,109.57,0
167,2018-07-13,111.58,111.58,111.58,111.58,0
168,2018-07-17,112.05,112.05,112.05,112.05,0
169,2018-07-18,112.52,112.52,112.52,112.52,0
170,2018-07-19,112.39,112.39,112.39,112.39,0
171,2018-07-20,112.05,112.05,112.05,112.05,0
172,2018-07-23,110.55,110.55,110.55,110.55,0
173,2018-07-24,111.1,111.1,111.1,111.1,0
174,2018-07-25,111.61,111.61,111.61,111.61,0
175,2018-07-26,111.46,111.46,111.46,111.46,0
176,2018-07-27,112.08,112.08,112.08,112.08,0
177,2018-07-30,111.23,111.23,111.23,111.23,0
178,2018-07-31,111.29,111.29,111.29,111.29,0
179,2018-08-02,111.1,111.1,111.1,111.1,0
180,2018-08-03,111.12,111.12,111.12,111.12,0
181,2018-08-06,111.0,111.0,111.0,111.0,0
182,2018-08-07,111.75,111.75,111.75,111.75,0
183,2018-08-08,111.66,111.66,111.66,111.66,0
184,2018-08-09,111.43,111.43,111.43,111.43,0
185,2018-08-10,109.94,109.94,109.94,109.94,0
186,2018-08-13,107.64,107.64,107.64,107.64,0
187,2018-08-14,110.07,110.07,110.07,110.07,0
188,2018-08-16,109.27,109.27,109.27,109.27,0
189,2018-08-17,109.65,109.65,109.65,109.65,0
190,2018-08-20,109.3,109.3,109.3,109.3,0
191,2018-08-21,109.39,109.39,109.39,109.39,0
192,2018-08-22,110.07,110.07,110.07,110.07,0
193,2018-08-23,110.28,110.28,110.28,110.28,0
194,2018-08-24,111.19,111.19,111.19,111.19,0
195,2018-08-27,112.12,112.12,112.12,112.12,0
196,2018-08-28,112.15,112.15,112.15,112.15,0
197,2018-08-29,112.37,112.37,112.37,112.37,0
198,2018-08-30,112.47,112.47,112.47,112.47,0
199,2018-08-31,112.45,112.45,112.45,112.45,0
200,2018-09-03,111.66,111.66,111.66,111.66,0
201,2018-09-04,111.6,111.6,111.6,111.6,0
202,2018-09-05,111.02,111.02,111.02,111.02,0
203,2018-09-06,110.59,110.59,110.59,110.59,0
204,2018-09-07,109.69,109.69,109.69,109.69,0
205,2018-09-10,110.0,110.0,110.0,110.0,0
206,2018-09-11,111.42,111.42,111.42,111.42,0
