,date,open,close,high,low,volumme
0,2018-01-08,10.4463,10.4463,10.4463,10.4463,0
1,2018-01-09,10.5034,10.5034,10.5034,10.5034,0
2,2018-01-10,10.4319,10.4319,10.4319,10.4319,0
3,2018-01-11,10.3943,10.3943,10.3943,10.3943,0
4,2018-01-12,10.402,10.402,10.402,10.402,0
5,2018-01-15,10.377,10.377,10.377,10.377,0
6,2018-01-16,10.4057,10.4057,10.4057,10.4057,0
7,2018-01-17,10.4101,10.4101,10.4101,10.4101,0
8,2018-01-18,10.4059,10.4059,10.4059,10.4059,0
9,2018-01-19,10.4605,10.4605,10.4605,10.4605,0
10,2018-01-22,10.4757,10.4757,10.4757,10.4757,0
11,2018-01-23,10.4873,10.4873,10.4873,10.4873,0
12,2018-01-24,10.4781,10.4781,10.4781,10.4781,0
13,2018-01-25,10.4176,10.4176,10.4176,10.4176,0
14,2018-01-26,10.4782,10.4782,10.4782,10.4782,0
15,2018-01-29,10.4284,10.4284,10.4284,10.4284,0
16,2018-01-30,10.2973,10.2973,10.2973,10.2973,0
17,2018-01-31,10.3206,10.3206,10.3206,10.3206,0
18,2018-02-01,10.341,10.341,10.341,10.341,0
19,2018-02-02,10.1865,10.1865,10.1865,10.1865,0
20,2018-02-05,9.9968,9.9968,9.9968,9.9968,0
21,2018-02-06,9.776,9.776,9.776,9.776,0
22,2018-02-07,10.0132,10.0132,10.0132,10.0132,0
23,2018-02-08,9.8258,9.8258,9.8258,9.8258,0
24,2018-02-09,9.6877,9.6877,9.6877,9.6877,0
25,2018-02-12,9.8123,9.8123,9.8123,9.8123,0
26,2018-02-13,9.766,9.766,9.766,9.766,0
27,2018-02-14,9.8885,9.8885,9.8885,9.8885,0
28,2018-02-15,9.9497,9.9497,9.9497,9.9497,0
29,2018-02-16,10.062,10.062,10.062,10.062,0
30,2018-02-19,10.0106,10.0106,10.0106,10.0106,0
31,2018-02-20,10.0528,10.0528,10.0528,10.0528,0
32,2018-02-21,10.0748,10.0748,10.0748,10.0748,0
33,2018-02-22,10.0517,10.0517,10.0517,10.0517,0
34,2018-02-23,10.1115,10.1115,10.1115,10.1115,0
35,2018-02-26,10.1464,10.1464,10.1464,10.1464,0
36,2018-02-27,10.1298,10.1298,10.1298,10.1298,0
37,2018-02-28,10.0323,10.0323,10.0323,10.0323,0
38,2018-03-01,9.9029,9.9029,9.9029,9.9029,0
39,2018-03-02,9.7333,9.7333,9.7333,9.7333,0
40,2018-03-05,9.833,9.833,9.833,9.833,0
41,2018-03-06,9.9081,9.9081,9.9081,9.9081,0
42,2018-03-07,9.9301,9.9301,9.9301,9.9301,0
43,2018-03-08,9.9993,9.9993,9.9993,9.9993,0
44,2018-03-09,10.0217,10.0217,10.0217,10.0217,0
45,2018-03-12,10.0644,10.0644,10.0644,10.0644,0
46,2018-03-13,9.9736,9.9736,9.9736,9.9736,0
47,2018-03-14,9.907,9.907,9.907,9.907,0
48,2018-03-15,9.9432,9.9432,9.9432,9.9432,0
49,2018-03-16,9.8845,9.8845,9.8845,9.8845,0
50,2018-03-19,9.852,9.852,9.852,9.852,0
51,2018-03-20,9.8723,9.8723,9.8723,9.8723,0
52,2018-03-21,9.8712,9.8712,9.8712,9.8712,0
