,date,open,close,high,low,volumme
0,2017-11-09,102.06,102.06,102.06,102.06,0
1,2017-11-10,102.02,102.02,102.02,102.02,0
2,2017-11-13,101.98,101.98,101.98,101.98,0
3,2017-11-14,101.91,101.91,101.91,101.91,0
4,2017-11-15,101.1,101.1,101.1,101.1,0
5,2017-11-16,102.56,102.56,102.56,102.56,0
6,2017-11-20,103.33,103.33,103.33,103.33,0
7,2017-11-21,104.41,104.41,104.41,104.41,0
8,2017-11-22,104.53,104.53,104.53,104.53,0
9,2017-11-24,105.39,105.39,105.39,105.39,0
10,2017-11-27,104.83,104.83,104.83,104.83,0
11,2017-11-28,105.2,105.2,105.2,105.2,0
12,2017-11-29,102.64,102.64,102.64,102.64,0
13,2017-11-30,103.12,103.12,103.12,103.12,0
14,2017-12-01,102.31,102.31,102.31,102.31,0
15,2017-12-04,100.27,100.27,100.27,100.27,0
16,2017-12-05,100.34,100.34,100.34,100.34,0
17,2017-12-06,100.87,100.87,100.87,100.87,0
18,2017-12-07,101.73,101.73,101.73,101.73,0
19,2017-12-08,102.22,102.22,102.22,102.22,0
20,2017-12-11,102.77,102.77,102.77,102.77,0
21,2017-12-12,102.22,102.22,102.22,102.22,0
22,2017-12-13,102.73,102.73,102.73,102.73,0
23,2017-12-14,102.9,102.9,102.9,102.9,0
24,2017-12-15,103.8,103.8,103.8,103.8,0
25,2017-12-18,104.47,104.47,104.47,104.47,0
26,2017-12-19,103.85,103.85,103.85,103.85,0
27,2017-12-20,103.47,103.47,103.47,103.47,0
28,2017-12-21,103.62,103.62,103.62,103.62,0
29,2017-12-22,103.52,103.52,103.52,103.52,0
30,2017-12-27,103.26,103.26,103.26,103.26,0
31,2017-12-28,103.21,103.21,103.21,103.21,0
32,2017-12-29,102.86,102.86,102.86,102.86,0
33,2018-01-02,104.42,104.42,104.42,104.42,0
34,2018-01-03,105.62,105.62,105.62,105.62,0
35,2018-01-04,105.93,105.93,105.93,105.93,0
36,2018-01-05,107.14,107.14,107.14,107.14,0
37,2018-01-08,107.6,107.6,107.6,107.6,0
38,2018-01-09,107.67,107.67,107.67,107.67,0
39,2018-01-10,107.47,107.47,107.47,107.47,0
40,2018-01-11,108.15,108.15,108.15,108.15,0
41,2018-01-12,109.07,109.07,109.07,109.07,0
42,2018-01-16,108.4,108.4,108.4,108.4,0
43,2018-01-17,109.32,109.32,109.32,109.32,0
44,2018-01-18,109.51,109.51,109.51,109.51,0
45,2018-01-19,110.28,110.28,110.28,110.28,0
46,2018-01-22,111.2,111.2,111.2,111.2,0
47,2018-01-23,112.37,112.37,112.37,112.37,0
48,2018-01-24,112.07,112.07,112.07,112.07,0
49,2018-01-25,112.04,112.04,112.04,112.04,0
50,2018-01-26,113.66,113.66,113.66,113.66,0
51,2018-01-29,112.81,112.81,112.81,112.81,0
52,2018-01-30,111.85,111.85,111.85,111.85,0
53,2018-01-31,112.9,112.9,112.9,112.9,0
54,2018-02-01,112.32,112.32,112.32,112.32,0
55,2018-02-02,110.46,110.46,110.46,110.46,0
56,2018-02-05,107.05,107.05,107.05,107.05,0
57,2018-02-06,107.98,107.98,107.98,107.98,0
58,2018-02-07,108.11,108.11,108.11,108.11,0
59,2018-02-08,104.23,104.23,104.23,104.23,0
60,2018-02-09,105.15,105.15,105.15,105.15,0
61,2018-02-12,106.8,106.8,106.8,106.8,0
62,2018-02-13,107.55,107.55,107.55,107.55,0
63,2018-02-14,109.87,109.87,109.87,109.87,0
64,2018-02-15,111.76,111.76,111.76,111.76,0
65,2018-02-16,111.88,111.88,111.88,111.88,0
66,2018-02-20,112.52,112.52,112.52,112.52,0
67,2018-02-21,112.33,112.33,112.33,112.33,0
68,2018-02-22,112.16,112.16,112.16,112.16,0
69,2018-02-23,113.98,113.98,113.98,113.98,0
70,2018-02-26,114.83,114.83,114.83,114.83,0
71,2018-02-27,113.8,113.8,113.8,113.8,0
72,2018-02-28,113.58,113.58,113.58,113.58,0
73,2018-03-01,112.56,112.56,112.56,112.56,0
74,2018-03-02,113.94,113.94,113.94,113.94,0
75,2018-03-05,115.01,115.01,115.01,115.01,0
76,2018-03-06,115.6,115.6,115.6,115.6,0
77,2018-03-07,116.36,116.36,116.36,116.36,0
78,2018-03-08,117.29,117.29,117.29,117.29,0
79,2018-03-09,118.38,118.38,118.38,118.38,0
80,2018-03-12,118.78,118.78,118.78,118.78,0
81,2018-03-13,117.49,117.49,117.49,117.49,0
82,2018-03-14,118.35,118.35,118.35,118.35,0
83,2018-03-15,118.41,118.41,118.41,118.41,0
84,2018-03-16,118.04,118.04,118.04,118.04,0
85,2018-03-19,116.51,116.51,116.51,116.51,0
86,2018-03-20,117.96,117.96,117.96,117.96,0
87,2018-03-21,117.61,117.61,117.61,117.61,0
88,2018-03-22,115.26,115.26,115.26,115.26,0
89,2018-03-23,112.63,112.63,112.63,112.63,0
90,2018-03-26,115.78,115.78,115.78,115.78,0
91,2018-03-27,112.81,112.81,112.81,112.81,0
92,2018-03-28,111.09,111.09,111.09,111.09,0
93,2018-03-29,112.72,112.72,112.72,112.72,0
94,2018-04-03,110.94,110.94,110.94,110.94,0
95,2018-04-04,111.16,111.16,111.16,111.16,0
96,2018-04-05,111.87,111.87,111.87,111.87,0
97,2018-04-06,110.07,110.07,110.07,110.07,0
98,2018-04-09,110.48,110.48,110.48,110.48,0
99,2018-04-10,112.48,112.48,112.48,112.48,0
100,2018-04-11,112.38,112.38,112.38,112.38,0
101,2018-04-12,113.3,113.3,113.3,113.3,0
102,2018-04-13,112.59,112.59,112.59,112.59,0
103,2018-04-16,113.29,113.29,113.29,113.29,0
104,2018-04-17,115.88,115.88,115.88,115.88,0
105,2018-04-18,116.62,116.62,116.62,116.62,0
106,2018-04-19,116.27,116.27,116.27,116.27,0
107,2018-04-20,114.83,114.83,114.83,114.83,0
108,2018-04-23,114.31,114.31,114.31,114.31,0
109,2018-04-24,111.98,111.98,111.98,111.98,0
110,2018-04-25,111.01,111.01,111.01,111.01,0
111,2018-04-26,113.13,113.13,113.13,113.13,0
112,2018-04-27,113.24,113.24,113.24,113.24,0
113,2018-04-30,113.4,113.4,113.4,113.4,0
114,2018-05-02,113.93,113.93,113.93,113.93,0
115,2018-05-03,114.58,114.58,114.58,114.58,0
116,2018-05-04,115.97,115.97,115.97,115.97,0
117,2018-05-08,117.63,117.63,117.63,117.63,0
118,2018-05-09,119.17,119.17,119.17,119.17,0
119,2018-05-11,120.18,120.18,120.18,120.18,0
120,2018-05-14,119.47,119.47,119.47,119.47,0
121,2018-05-15,118.35,118.35,118.35,118.35,0
122,2018-05-16,118.91,118.91,118.91,118.91,0
123,2018-05-17,119.07,119.07,119.07,119.07,0
124,2018-05-18,119.53,119.53,119.53,119.53,0
125,2018-05-22,119.18,119.18,119.18,119.18,0
126,2018-05-23,120.12,120.12,120.12,120.12,0
127,2018-05-24,120.16,120.16,120.16,120.16,0
128,2018-05-25,120.03,120.03,120.03,120.03,0
129,2018-05-29,119.55,119.55,119.55,119.55,0
130,2018-05-30,120.45,120.45,120.45,120.45,0
131,2018-05-31,120.56,120.56,120.56,120.56,0
132,2018-06-01,122.43,122.43,122.43,122.43,0
133,2018-06-04,124.13,124.13,124.13,124.13,0
134,2018-06-05,124.57,124.57,124.57,124.57,0
135,2018-06-06,125.35,125.35,125.35,125.35,0
136,2018-06-07,123.65,123.65,123.65,123.65,0
137,2018-06-08,123.99,123.99,123.99,123.99,0
138,2018-06-11,124.14,124.14,124.14,124.14,0
139,2018-06-12,125.39,125.39,125.39,125.39,0
140,2018-06-13,125.53,125.53,125.53,125.53,0
141,2018-06-14,126.53,126.53,126.53,126.53,0
142,2018-06-15,126.3,126.3,126.3,126.3,0
143,2018-06-18,126.87,126.87,126.87,126.87,0
144,2018-06-19,125.73,125.73,125.73,125.73,0
145,2018-06-20,126.4,126.4,126.4,126.4,0
146,2018-06-21,125.28,125.28,125.28,125.28,0
147,2018-06-22,124.03,124.03,124.03,124.03,0
148,2018-06-25,120.86,120.86,120.86,120.86,0
149,2018-06-26,121.43,121.43,121.43,121.43,0
150,2018-06-27,118.95,118.95,118.95,118.95,0
151,2018-06-28,120.38,120.38,120.38,120.38,0
152,2018-06-29,121.02,121.02,121.02,121.02,0
153,2018-07-02,121.91,121.91,121.91,121.91,0
154,2018-07-03,121.26,121.26,121.26,121.26,0
155,2018-07-05,122.09,122.09,122.09,122.09,0
156,2018-07-06,123.63,123.63,123.63,123.63,0
157,2018-07-09,124.64,124.64,124.64,124.64,0
158,2018-07-10,124.09,124.09,124.09,124.09,0
159,2018-07-11,123.8,123.8,123.8,123.8,0
160,2018-07-12,125.95,125.95,125.95,125.95,0
161,2018-07-13,125.78,125.78,125.78,125.78,0
162,2018-07-16,125.47,125.47,125.47,125.47,0
163,2018-07-17,125.96,125.96,125.96,125.96,0
164,2018-07-18,125.78,125.78,125.78,125.78,0
165,2018-07-19,124.81,124.81,124.81,124.81,0
166,2018-07-20,124.77,124.77,124.77,124.77,0
167,2018-07-23,125.12,125.12,125.12,125.12,0
168,2018-07-24,124.41,124.41,124.41,124.41,0
169,2018-07-25,126.96,126.96,126.96,126.96,0
170,2018-07-26,125.47,125.47,125.47,125.47,0
171,2018-07-27,122.87,122.87,122.87,122.87,0
172,2018-07-30,119.59,119.59,119.59,119.59,0
173,2018-07-31,119.53,119.53,119.53,119.53,0
174,2018-08-01,120.59,120.59,120.59,120.59,0
175,2018-08-02,121.87,121.87,121.87,121.87,0
176,2018-08-03,121.38,121.38,121.38,121.38,0
177,2018-08-06,122.36,122.36,122.36,122.36,0
178,2018-08-07,123.45,123.45,123.45,123.45,0
179,2018-08-08,123.45,123.45,123.45,123.45,0
180,2018-08-09,124.12,124.12,124.12,124.12,0
181,2018-08-10,123.58,123.58,123.58,123.58,0
182,2018-08-13,123.19,123.19,123.19,123.19,0
183,2018-08-14,123.61,123.61,123.61,123.61,0
184,2018-08-16,121.97,121.97,121.97,121.97,0
185,2018-08-17,122.28,122.28,122.28,122.28,0
186,2018-08-20,122.79,122.79,122.79,122.79,0
187,2018-08-21,123.13,123.13,123.13,123.13,0
188,2018-08-22,124.23,124.23,124.23,124.23,0
189,2018-08-23,124.35,124.35,124.35,124.35,0
190,2018-08-24,126.65,126.65,126.65,126.65,0
