,date,open,close,high,low,volumme
0,2018-01-31,97.1,97.1,97.1,97.1,0
1,2018-02-01,97.12,97.12,97.12,97.12,0
2,2018-02-02,95.63,95.63,95.63,95.63,0
3,2018-02-05,93.47,93.47,93.47,93.47,0
4,2018-02-06,91.47,91.47,91.47,91.47,0
5,2018-02-07,93.9,93.9,93.9,93.9,0
6,2018-02-08,91.82,91.82,91.82,91.82,0
7,2018-02-09,90.47,90.47,90.47,90.47,0
8,2018-02-12,91.56,91.56,91.56,91.56,0
9,2018-02-13,90.91,90.91,90.91,90.91,0
10,2018-02-14,92.17,92.17,92.17,92.17,0
11,2018-02-15,92.92,92.92,92.92,92.92,0
12,2018-02-16,93.95,93.95,93.95,93.95,0
13,2018-02-19,93.44,93.44,93.44,93.44,0
14,2018-02-20,94.41,94.41,94.41,94.41,0
15,2018-02-21,94.66,94.66,94.66,94.66,0
16,2018-02-22,93.76,93.76,93.76,93.76,0
17,2018-02-23,93.93,93.93,93.93,93.93,0
18,2018-02-26,94.68,94.68,94.68,94.68,0
19,2018-02-27,94.41,94.41,94.41,94.41,0
20,2018-02-28,93.96,93.96,93.96,93.96,0
21,2018-03-01,92.74,92.74,92.74,92.74,0
22,2018-03-02,90.44,90.44,90.44,90.44,0
23,2018-03-05,91.45,91.45,91.45,91.45,0
24,2018-03-06,92.24,92.24,92.24,92.24,0
25,2018-03-07,92.62,92.62,92.62,92.62,0
26,2018-03-08,93.71,93.71,93.71,93.71,0
27,2018-03-09,94.4,94.4,94.4,94.4,0
28,2018-03-12,94.96,94.96,94.96,94.96,0
29,2018-03-13,94.27,94.27,94.27,94.27,0
30,2018-03-14,93.66,93.66,93.66,93.66,0
31,2018-03-15,93.79,93.79,93.79,93.79,0
32,2018-03-16,93.52,93.52,93.52,93.52,0
33,2018-03-19,93.04,93.04,93.04,93.04,0
34,2018-03-20,93.69,93.69,93.69,93.69,0
35,2018-03-21,93.96,93.96,93.96,93.96,0
36,2018-03-22,92.17,92.17,92.17,92.17,0
37,2018-03-23,91.32,91.32,91.32,91.32,0
38,2018-03-26,91.99,91.99,91.99,91.99,0
39,2018-03-27,93.02,93.02,93.02,93.02,0
40,2018-03-28,91.97,91.97,91.97,91.97,0
41,2018-03-29,92.05,92.05,92.05,92.05,0
42,2018-04-03,91.51,91.51,91.51,91.51,0
43,2018-04-04,90.95,90.95,90.95,90.95,0
44,2018-04-05,93.4,93.4,93.4,93.4,0
45,2018-04-06,93.22,93.22,93.22,93.22,0
46,2018-04-09,93.32,93.32,93.32,93.32,0
47,2018-04-10,94.18,94.18,94.18,94.18,0
48,2018-04-11,93.94,93.94,93.94,93.94,0
49,2018-04-12,94.97,94.97,94.97,94.97,0
50,2018-04-13,95.1,95.1,95.1,95.1,0
51,2018-04-16,95.05,95.05,95.05,95.05,0
52,2018-04-17,95.74,95.74,95.74,95.74,0
53,2018-04-18,97.21,97.21,97.21,97.21,0
54,2018-04-19,98.27,98.27,98.27,98.27,0
55,2018-04-20,97.96,97.96,97.96,97.96,0
56,2018-04-23,97.89,97.89,97.89,97.89,0
57,2018-04-24,97.72,97.72,97.72,97.72,0
58,2018-04-25,95.62,95.62,95.62,95.62,0
59,2018-04-26,96.76,96.76,96.76,96.76,0
60,2018-04-27,96.94,96.94,96.94,96.94,0
61,2018-04-30,97.63,97.63,97.63,97.63,0
62,2018-05-02,99.01,99.01,99.01,99.01,0
63,2018-05-03,98.17,98.17,98.17,98.17,0
64,2018-05-04,98.74,98.74,98.74,98.74,0
65,2018-05-07,99.53,99.53,99.53,99.53,0
66,2018-05-09,100.26,100.26,100.26,100.26,0
67,2018-05-11,100.17,100.17,100.17,100.17,0
68,2018-05-14,100.19,100.19,100.19,100.19,0
69,2018-05-15,100.11,100.11,100.11,100.11,0
70,2018-05-16,100.34,100.34,100.34,100.34,0
71,2018-05-17,101.67,101.67,101.67,101.67,0
72,2018-05-18,101.54,101.54,101.54,101.54,0
73,2018-05-22,101.83,101.83,101.83,101.83,0
74,2018-05-23,100.33,100.33,100.33,100.33,0
75,2018-05-24,99.93,99.93,99.93,99.93,0
