,date,open,close,high,low,volumme
0,2018-06-07,106.03,106.03,106.03,106.03,0
1,2018-06-08,106.11,106.11,106.11,106.11,0
2,2018-06-11,106.56,106.56,106.56,106.56,0
3,2018-06-12,106.73,106.73,106.73,106.73,0
4,2018-06-13,107.29,107.29,107.29,107.29,0
5,2018-06-14,108.13,108.13,108.13,108.13,0
6,2018-06-15,107.43,107.43,107.43,107.43,0
7,2018-06-18,106.9,106.9,106.9,106.9,0
8,2018-06-19,105.85,105.85,105.85,105.85,0
9,2018-06-20,106.08,106.08,106.08,106.08,0
10,2018-06-21,105.58,105.58,105.58,105.58,0
11,2018-06-22,105.96,105.96,105.96,105.96,0
12,2018-06-25,104.13,104.13,104.13,104.13,0
13,2018-06-26,104.9,104.9,104.9,104.9,0
14,2018-06-27,105.33,105.33,105.33,105.33,0
15,2018-06-28,103.62,103.62,103.62,103.62,0
16,2018-06-29,104.62,104.62,104.62,104.62,0
17,2018-07-02,103.64,103.64,103.64,103.64,0
18,2018-07-03,103.88,103.88,103.88,103.88,0
19,2018-07-04,103.52,103.52,103.52,103.52,0
20,2018-07-05,103.93,103.93,103.93,103.93,0
21,2018-07-06,104.45,104.45,104.45,104.45,0
22,2018-07-09,104.87,104.87,104.87,104.87,0
23,2018-07-10,105.37,105.37,105.37,105.37,0
24,2018-07-11,104.92,104.92,104.92,104.92,0
25,2018-07-12,106.14,106.14,106.14,106.14,0
26,2018-07-13,106.35,106.35,106.35,106.35,0
27,2018-07-16,106.15,106.15,106.15,106.15,0
28,2018-07-17,106.44,106.44,106.44,106.44,0
29,2018-07-18,106.87,106.87,106.87,106.87,0
30,2018-07-19,106.41,106.41,106.41,106.41,0
31,2018-07-20,106.28,106.28,106.28,106.28,0
32,2018-07-23,105.9,105.9,105.9,105.9,0
33,2018-07-24,106.67,106.67,106.67,106.67,0
34,2018-07-25,106.31,106.31,106.31,106.31,0
35,2018-07-26,107.18,107.18,107.18,107.18,0
36,2018-07-27,107.01,107.01,107.01,107.01,0
37,2018-07-30,106.46,106.46,106.46,106.46,0
38,2018-07-31,106.32,106.32,106.32,106.32,0
39,2018-08-01,106.63,106.63,106.63,106.63,0
40,2018-08-02,106.48,106.48,106.48,106.48,0
41,2018-08-03,107.23,107.23,107.23,107.23,0
42,2018-08-06,107.18,107.18,107.18,107.18,0
43,2018-08-07,107.24,107.24,107.24,107.24,0
44,2018-08-08,107.26,107.26,107.26,107.26,0
45,2018-08-09,107.59,107.59,107.59,107.59,0
46,2018-08-10,106.67,106.67,106.67,106.67,0
47,2018-08-13,106.42,106.42,106.42,106.42,0
48,2018-08-14,106.31,106.31,106.31,106.31,0
49,2018-08-16,105.58,105.58,105.58,105.58,0
50,2018-08-17,105.81,105.81,105.81,105.81,0
51,2018-08-20,106.55,106.55,106.55,106.55,0
52,2018-08-21,106.72,106.72,106.72,106.72,0
53,2018-08-22,106.95,106.95,106.95,106.95,0
54,2018-08-23,107.23,107.23,107.23,107.23,0
55,2018-08-24,107.57,107.57,107.57,107.57,0
56,2018-08-27,107.99,107.99,107.99,107.99,0
57,2018-08-28,107.56,107.56,107.56,107.56,0
58,2018-08-29,107.84,107.84,107.84,107.84,0
59,2018-08-30,107.53,107.53,107.53,107.53,0
60,2018-08-31,107.22,107.22,107.22,107.22,0
61,2018-09-03,107.24,107.24,107.24,107.24,0
62,2018-09-04,106.51,106.51,106.51,106.51,0
63,2018-09-05,104.31,104.31,104.31,104.31,0
64,2018-09-06,103.67,103.67,103.67,103.67,0
65,2018-09-07,104.27,104.27,104.27,104.27,0
66,2018-09-10,104.51,104.51,104.51,104.51,0
67,2018-09-11,104.65,104.65,104.65,104.65,0
68,2018-09-12,104.94,104.94,104.94,104.94,0
69,2018-09-13,105.21,105.21,105.21,105.21,0
70,2018-09-14,105.53,105.53,105.53,105.53,0
71,2018-09-17,105.5,105.5,105.5,105.5,0
72,2018-09-18,105.73,105.73,105.73,105.73,0
73,2018-09-19,105.28,105.28,105.28,105.28,0
74,2018-09-20,105.57,105.57,105.57,105.57,0
75,2018-09-21,106.01,106.01,106.01,106.01,0
76,2018-09-24,105.27,105.27,105.27,105.27,0
77,2018-09-25,105.81,105.81,105.81,105.81,0
78,2018-09-26,106.08,106.08,106.08,106.08,0
79,2018-09-27,106.34,106.34,106.34,106.34,0
80,2018-09-28,105.81,105.81,105.81,105.81,0
81,2018-10-01,106.46,106.46,106.46,106.46,0
82,2018-10-02,105.93,105.93,105.93,105.93,0
83,2018-10-03,105.86,105.86,105.86,105.86,0
84,2018-10-04,105.06,105.06,105.06,105.06,0
85,2018-10-05,104.12,104.12,104.12,104.12,0
86,2018-10-08,102.11,102.11,102.11,102.11,0
87,2018-10-09,102.32,102.32,102.32,102.32,0
88,2018-10-10,98.78,98.78,98.78,98.78,0
89,2018-10-11,98.02,98.02,98.02,98.02,0
90,2018-10-12,98.31,98.31,98.31,98.31,0
91,2018-10-15,98.32,98.32,98.32,98.32,0
92,2018-10-16,100.61,100.61,100.61,100.61,0
93,2018-10-17,100.44,100.44,100.44,100.44,0
94,2018-10-18,99.52,99.52,99.52,99.52,0
95,2018-10-19,98.53,98.53,98.53,98.53,0
96,2018-10-22,98.07,98.07,98.07,98.07,0
97,2018-10-23,95.9,95.9,95.9,95.9,0
98,2018-10-24,95.18,95.18,95.18,95.18,0
99,2018-10-25,95.25,95.25,95.25,95.25,0
100,2018-10-26,94.59,94.59,94.59,94.59,0
101,2018-10-29,96.06,96.06,96.06,96.06,0
102,2018-10-30,96.0,96.0,96.0,96.0,0
103,2018-10-31,97.72,97.72,97.72,97.72,0
104,2018-11-02,98.73,98.73,98.73,98.73,0
105,2018-11-05,97.55,97.55,97.55,97.55,0
106,2018-11-06,97.29,97.29,97.29,97.29,0
107,2018-11-07,98.49,98.49,98.49,98.49,0
108,2018-11-08,98.49,98.49,98.49,98.49,0
109,2018-11-09,98.27,98.27,98.27,98.27,0
110,2018-11-12,96.24,96.24,96.24,96.24,0
111,2018-11-13,96.87,96.87,96.87,96.87,0
112,2018-11-14,96.49,96.49,96.49,96.49,0
113,2018-11-15,95.08,95.08,95.08,95.08,0
114,2018-11-16,94.98,94.98,94.98,94.98,0
