,date,open,close,high,low,volumme
0,2018-07-05,99.64,99.64,99.64,99.64,0
1,2018-07-06,99.64,99.64,99.64,99.64,0
2,2018-07-09,100.53,100.53,100.53,100.53,0
3,2018-07-10,100.95,100.95,100.95,100.95,0
4,2018-07-11,99.79,99.79,99.79,99.79,0
5,2018-07-12,100.5,100.5,100.5,100.5,0
6,2018-07-13,100.59,100.59,100.59,100.59,0
7,2018-07-16,100.73,100.73,100.73,100.73,0
8,2018-07-17,101.45,101.45,101.45,101.45,0
9,2018-07-18,102.06,102.06,102.06,102.06,0
10,2018-07-19,101.35,101.35,101.35,101.35,0
11,2018-07-20,101.15,101.15,101.15,101.15,0
12,2018-07-23,101.16,101.16,101.16,101.16,0
13,2018-07-24,101.59,101.59,101.59,101.59,0
14,2018-07-25,101.26,101.26,101.26,101.26,0
15,2018-07-26,101.9,101.9,101.9,101.9,0
16,2018-07-27,102.69,102.69,102.69,102.69,0
17,2018-07-30,102.29,102.29,102.29,102.29,0
18,2018-07-31,102.14,102.14,102.14,102.14,0
19,2018-08-01,101.61,101.61,101.61,101.61,0
20,2018-08-02,100.92,100.92,100.92,100.92,0
21,2018-08-03,101.17,101.17,101.17,101.17,0
22,2018-08-06,101.12,101.12,101.12,101.12,0
23,2018-08-07,101.65,101.65,101.65,101.65,0
24,2018-08-08,101.36,101.36,101.36,101.36,0
25,2018-08-09,101.77,101.77,101.77,101.77,0
26,2018-08-10,100.65,100.65,100.65,100.65,0
27,2018-08-13,100.27,100.27,100.27,100.27,0
28,2018-08-14,100.14,100.14,100.14,100.14,0
29,2018-08-16,98.72,98.72,98.72,98.72,0
30,2018-08-17,98.72,98.72,98.72,98.72,0
31,2018-08-20,99.28,99.28,99.28,99.28,0
32,2018-08-21,99.86,99.86,99.86,99.86,0
33,2018-08-22,99.42,99.42,99.42,99.42,0
34,2018-08-23,99.39,99.39,99.39,99.39,0
35,2018-08-24,99.47,99.47,99.47,99.47,0
36,2018-08-27,100.12,100.12,100.12,100.12,0
37,2018-08-28,100.31,100.31,100.31,100.31,0
38,2018-08-29,100.18,100.18,100.18,100.18,0
39,2018-08-30,99.97,99.97,99.97,99.97,0
40,2018-08-31,99.05,99.05,99.05,99.05,0
41,2018-09-03,98.92,98.92,98.92,98.92,0
42,2018-09-04,98.38,98.38,98.38,98.38,0
43,2018-09-05,97.28,97.28,97.28,97.28,0
44,2018-09-06,97.06,97.06,97.06,97.06,0
45,2018-09-07,97.0,97.0,97.0,97.0,0
46,2018-09-10,97.83,97.83,97.83,97.83,0
47,2018-09-11,98.15,98.15,98.15,98.15,0
48,2018-09-12,98.3,98.3,98.3,98.3,0
49,2018-09-13,97.76,97.76,97.76,97.76,0
50,2018-09-14,98.31,98.31,98.31,98.31,0
51,2018-09-17,98.58,98.58,98.58,98.58,0
52,2018-09-18,98.93,98.93,98.93,98.93,0
53,2018-09-19,99.28,99.28,99.28,99.28,0
54,2018-09-20,100.14,100.14,100.14,100.14,0
55,2018-09-21,100.92,100.92,100.92,100.92,0
56,2018-09-24,100.25,100.25,100.25,100.25,0
57,2018-09-25,100.07,100.07,100.07,100.07,0
58,2018-09-26,100.19,100.19,100.19,100.19,0
59,2018-09-27,100.56,100.56,100.56,100.56,0
60,2018-09-28,99.91,99.91,99.91,99.91,0
61,2018-10-01,99.94,99.94,99.94,99.94,0
62,2018-10-02,99.69,99.69,99.69,99.69,0
63,2018-10-03,100.06,100.06,100.06,100.06,0
64,2018-10-04,98.85,98.85,98.85,98.85,0
65,2018-10-05,97.86,97.86,97.86,97.86,0
66,2018-10-08,96.63,96.63,96.63,96.63,0
67,2018-10-09,96.84,96.84,96.84,96.84,0
68,2018-10-10,94.83,94.83,94.83,94.83,0
69,2018-10-11,92.86,92.86,92.86,92.86,0
70,2018-10-12,92.63,92.63,92.63,92.63,0
71,2018-10-15,92.47,92.47,92.47,92.47,0
72,2018-10-16,94.48,94.48,94.48,94.48,0
73,2018-10-17,94.32,94.32,94.32,94.32,0
74,2018-10-18,93.63,93.63,93.63,93.63,0
75,2018-10-19,92.87,92.87,92.87,92.87,0
76,2018-10-22,92.47,92.47,92.47,92.47,0
77,2018-10-23,90.63,90.63,90.63,90.63,0
78,2018-10-24,90.21,90.21,90.21,90.21,0
79,2018-10-25,91.76,91.76,91.76,91.76,0
80,2018-10-26,91.27,91.27,91.27,91.27,0
81,2018-10-29,92.12,92.12,92.12,92.12,0
82,2018-10-30,91.76,91.76,91.76,91.76,0
83,2018-10-31,93.14,93.14,93.14,93.14,0
84,2018-11-02,94.33,94.33,94.33,94.33,0
85,2018-11-05,94.0,94.0,94.0,94.0,0
86,2018-11-06,93.98,93.98,93.98,93.98,0
87,2018-11-07,95.5,95.5,95.5,95.5,0
88,2018-11-08,95.31,95.31,95.31,95.31,0
89,2018-11-09,94.84,94.84,94.84,94.84,0
90,2018-11-12,94.38,94.38,94.38,94.38,0
91,2018-11-13,94.38,94.38,94.38,94.38,0
92,2018-11-14,94.11,94.11,94.11,94.11,0
93,2018-11-15,93.6,93.6,93.6,93.6,0
94,2018-11-16,93.66,93.66,93.66,93.66,0
95,2018-11-19,92.75,92.75,92.75,92.75,0
96,2018-11-20,91.88,91.88,91.88,91.88,0
97,2018-11-21,92.69,92.69,92.69,92.69,0
