,date,open,close,high,low,volumme
0,2018-07-05,99.91,99.91,99.91,99.91,0
1,2018-07-06,100.04,100.04,100.04,100.04,0
2,2018-07-09,100.37,100.37,100.37,100.37,0
3,2018-07-10,100.93,100.93,100.93,100.93,0
4,2018-07-11,99.69,99.69,99.69,99.69,0
5,2018-07-12,100.59,100.59,100.59,100.59,0
6,2018-07-13,101.05,101.05,101.05,101.05,0
7,2018-07-16,101.2,101.2,101.2,101.2,0
8,2018-07-17,101.26,101.26,101.26,101.26,0
9,2018-07-18,101.66,101.66,101.66,101.66,0
10,2018-07-19,101.15,101.15,101.15,101.15,0
11,2018-07-20,100.56,100.56,100.56,100.56,0
12,2018-07-23,99.95,99.95,99.95,99.95,0
13,2018-07-24,100.17,100.17,100.17,100.17,0
14,2018-07-25,100.79,100.79,100.79,100.79,0
15,2018-07-26,101.49,101.49,101.49,101.49,0
16,2018-07-27,102.12,102.12,102.12,102.12,0
17,2018-07-30,102.13,102.13,102.13,102.13,0
18,2018-07-31,102.08,102.08,102.08,102.08,0
19,2018-08-01,101.84,101.84,101.84,101.84,0
20,2018-08-02,101.69,101.69,101.69,101.69,0
21,2018-08-03,101.98,101.98,101.98,101.98,0
22,2018-08-06,102.23,102.23,102.23,102.23,0
23,2018-08-07,102.04,102.04,102.04,102.04,0
24,2018-08-08,101.84,101.84,101.84,101.84,0
25,2018-08-09,102.16,102.16,102.16,102.16,0
26,2018-08-10,101.27,101.27,101.27,101.27,0
27,2018-08-13,101.06,101.06,101.06,101.06,0
28,2018-08-14,101.24,101.24,101.24,101.24,0
29,2018-08-16,100.58,100.58,100.58,100.58,0
30,2018-08-17,100.7,100.7,100.7,100.7,0
31,2018-08-20,101.23,101.23,101.23,101.23,0
32,2018-08-21,101.42,101.42,101.42,101.42,0
33,2018-08-22,101.38,101.38,101.38,101.38,0
34,2018-08-23,101.53,101.53,101.53,101.53,0
35,2018-08-24,101.53,101.53,101.53,101.53,0
36,2018-08-27,102.02,102.02,102.02,102.02,0
37,2018-08-28,102.26,102.26,102.26,102.26,0
38,2018-08-29,102.19,102.19,102.19,102.19,0
39,2018-08-30,102.14,102.14,102.14,102.14,0
40,2018-08-31,101.66,101.66,101.66,101.66,0
41,2018-09-03,101.51,101.51,101.51,101.51,0
42,2018-09-04,100.46,100.46,100.46,100.46,0
43,2018-09-05,99.52,99.52,99.52,99.52,0
44,2018-09-06,99.2,99.2,99.2,99.2,0
45,2018-09-07,99.27,99.27,99.27,99.27,0
46,2018-09-10,99.88,99.88,99.88,99.88,0
47,2018-09-11,99.94,99.94,99.94,99.94,0
48,2018-09-12,100.23,100.23,100.23,100.23,0
49,2018-09-13,99.8,99.8,99.8,99.8,0
50,2018-09-14,100.09,100.09,100.09,100.09,0
51,2018-09-17,100.22,100.22,100.22,100.22,0
52,2018-09-18,99.85,99.85,99.85,99.85,0
53,2018-09-19,99.71,99.71,99.71,99.71,0
54,2018-09-20,100.44,100.44,100.44,100.44,0
55,2018-09-21,101.13,101.13,101.13,101.13,0
56,2018-09-24,100.57,100.57,100.57,100.57,0
57,2018-09-25,100.56,100.56,100.56,100.56,0
58,2018-09-26,100.7,100.7,100.7,100.7,0
59,2018-09-27,100.83,100.83,100.83,100.83,0
60,2018-09-28,100.37,100.37,100.37,100.37,0
61,2018-10-01,101.19,101.19,101.19,101.19,0
62,2018-10-02,100.99,100.99,100.99,100.99,0
63,2018-10-03,101.32,101.32,101.32,101.32,0
64,2018-10-04,99.86,99.86,99.86,99.86,0
65,2018-10-05,98.8,98.8,98.8,98.8,0
66,2018-10-08,97.93,97.93,97.93,97.93,0
67,2018-10-09,98.17,98.17,98.17,98.17,0
68,2018-10-10,95.71,95.71,95.71,95.71,0
69,2018-10-11,94.31,94.31,94.31,94.31,0
70,2018-10-12,94.31,94.31,94.31,94.31,0
71,2018-10-15,94.04,94.04,94.04,94.04,0
72,2018-10-16,95.77,95.77,95.77,95.77,0
73,2018-10-17,95.37,95.37,95.37,95.37,0
74,2018-10-18,95.2,95.2,95.2,95.2,0
75,2018-10-19,94.48,94.48,94.48,94.48,0
76,2018-10-22,94.24,94.24,94.24,94.24,0
77,2018-10-23,92.47,92.47,92.47,92.47,0
78,2018-10-24,92.44,92.44,92.44,92.44,0
79,2018-10-25,93.36,93.36,93.36,93.36,0
80,2018-10-26,92.34,92.34,92.34,92.34,0
81,2018-10-29,93.04,93.04,93.04,93.04,0
82,2018-10-30,93.21,93.21,93.21,93.21,0
83,2018-10-31,94.81,94.81,94.81,94.81,0
84,2018-11-02,96.12,96.12,96.12,96.12,0
85,2018-11-05,95.7,95.7,95.7,95.7,0
86,2018-11-06,95.71,95.71,95.71,95.71,0
87,2018-11-07,96.25,96.25,96.25,96.25,0
88,2018-11-08,96.4,96.4,96.4,96.4,0
89,2018-11-09,96.04,96.04,96.04,96.04,0
90,2018-11-12,95.33,95.33,95.33,95.33,0
91,2018-11-13,95.62,95.62,95.62,95.62,0
92,2018-11-14,95.18,95.18,95.18,95.18,0
93,2018-11-15,94.45,94.45,94.45,94.45,0
94,2018-11-16,94.48,94.48,94.48,94.48,0
95,2018-11-19,93.65,93.65,93.65,93.65,0
96,2018-11-20,92.46,92.46,92.46,92.46,0
97,2018-11-21,93.22,93.22,93.22,93.22,0
98,2018-11-22,92.8,92.8,92.8,92.8,0
99,2018-11-23,92.61,92.61,92.61,92.61,0
100,2018-11-26,93.33,93.33,93.33,93.33,0
101,2018-11-27,93.3,93.3,93.3,93.3,0
102,2018-11-28,93.56,93.56,93.56,93.56,0
103,2018-11-29,93.62,93.62,93.62,93.62,0
104,2018-11-30,93.61,93.61,93.61,93.61,0
105,2018-12-03,94.27,94.27,94.27,94.27,0
106,2018-12-04,93.41,93.41,93.41,93.41,0
107,2018-12-05,92.57,92.57,92.57,92.57,0
108,2018-12-06,89.97,89.97,89.97,89.97,0
109,2018-12-07,90.49,90.49,90.49,90.49,0
110,2018-12-10,88.69,88.69,88.69,88.69,0
111,2018-12-11,89.91,89.91,89.91,89.91,0
112,2018-12-12,91.09,91.09,91.09,91.09,0
113,2018-12-13,91.11,91.11,91.11,91.11,0
114,2018-12-14,89.92,89.92,89.92,89.92,0
115,2018-12-17,88.97,88.97,88.97,88.97,0
116,2018-12-18,88.21,88.21,88.21,88.21,0
117,2018-12-19,88.58,88.58,88.58,88.58,0
118,2018-12-20,87.46,87.46,87.46,87.46,0
119,2018-12-21,87.31,87.31,87.31,87.31,0
120,2018-12-24,87.02,87.02,87.02,87.02,0
121,2018-12-27,85.75,85.75,85.75,85.75,0
122,2018-12-28,87.01,87.01,87.01,87.01,0
123,2018-12-31,87.61,87.61,87.61,87.61,0
