,date,open,close,high,low,volumme
0,2018-07-02,1004.9,1004.9,1004.9,1004.9,0
1,2018-07-03,1007.32,1007.32,1007.32,1007.32,0
2,2018-07-05,999.63,999.63,999.63,999.63,0
3,2018-07-06,999.88,999.88,999.88,999.88,0
4,2018-07-09,1004.66,1004.66,1004.66,1004.66,0
5,2018-07-11,1000.09,1000.09,1000.09,1000.09,0
6,2018-07-12,1005.86,1005.86,1005.86,1005.86,0
7,2018-07-13,1009.37,1009.37,1009.37,1009.37,0
8,2018-07-16,1012.45,1012.45,1012.45,1012.45,0
9,2018-07-19,1010.04,1010.04,1010.04,1010.04,0
10,2018-07-24,1009.21,1009.21,1009.21,1009.21,0
11,2018-07-25,1011.55,1011.55,1011.55,1011.55,0
12,2018-07-26,1012.37,1012.37,1012.37,1012.37,0
13,2018-07-27,1020.11,1020.11,1020.11,1020.11,0
14,2018-07-30,1016.4,1016.4,1016.4,1016.4,0
15,2018-07-31,1014.12,1014.12,1014.12,1014.12,0
16,2018-08-01,1016.84,1016.84,1016.84,1016.84,0
17,2018-08-02,1014.16,1014.16,1014.16,1014.16,0
18,2018-08-03,1017.78,1017.78,1017.78,1017.78,0
19,2018-08-06,1019.96,1019.96,1019.96,1019.96,0
20,2018-08-07,1022.38,1022.38,1022.38,1022.38,0
21,2018-08-09,1026.1,1026.1,1026.1,1026.1,0
22,2018-08-10,1021.03,1021.03,1021.03,1021.03,0
23,2018-08-13,1021.53,1021.53,1021.53,1021.53,0
24,2018-08-14,1017.28,1017.28,1017.28,1017.28,0
25,2018-08-16,1013.01,1013.01,1013.01,1013.01,0
26,2018-08-17,1012.99,1012.99,1012.99,1012.99,0
27,2018-08-20,1017.63,1017.63,1017.63,1017.63,0
28,2018-08-21,1022.15,1022.15,1022.15,1022.15,0
29,2018-08-23,1033.83,1033.83,1033.83,1033.83,0
30,2018-08-24,1034.07,1034.07,1034.07,1034.07,0
31,2018-08-27,1038.06,1038.06,1038.06,1038.06,0
32,2018-08-28,1039.22,1039.22,1039.22,1039.22,0
33,2018-08-29,1041.09,1041.09,1041.09,1041.09,0
34,2018-08-30,1039.28,1039.28,1039.28,1039.28,0
35,2018-08-31,1036.2,1036.2,1036.2,1036.2,0
36,2018-09-03,1034.86,1034.86,1034.86,1034.86,0
37,2018-09-04,1030.37,1030.37,1030.37,1030.37,0
38,2018-09-05,1015.36,1015.36,1015.36,1015.36,0
39,2018-09-06,1013.84,1013.84,1013.84,1013.84,0
40,2018-09-07,1011.99,1011.99,1011.99,1011.99,0
41,2018-09-10,1016.14,1016.14,1016.14,1016.14,0
42,2018-09-11,1015.94,1015.94,1015.94,1015.94,0
43,2018-09-12,1020.58,1020.58,1020.58,1020.58,0
44,2018-09-13,1017.93,1017.93,1017.93,1017.93,0
45,2018-09-14,1020.91,1020.91,1020.91,1020.91,0
46,2018-09-17,1016.23,1016.23,1016.23,1016.23,0
47,2018-09-18,1013.87,1013.87,1013.87,1013.87,0
48,2018-09-19,1011.32,1011.32,1011.32,1011.32,0
49,2018-09-20,1005.84,1005.84,1005.84,1005.84,0
50,2018-09-25,1007.91,1007.91,1007.91,1007.91,0
51,2018-09-26,1008.82,1008.82,1008.82,1008.82,0
52,2018-09-27,1009.43,1009.43,1009.43,1009.43,0
53,2018-09-28,1003.59,1003.59,1003.59,1003.59,0
54,2018-10-01,1007.48,1007.48,1007.48,1007.48,0
55,2018-10-02,1002.96,1002.96,1002.96,1002.96,0
56,2018-10-04,991.36,991.36,991.36,991.36,0
57,2018-10-05,977.91,977.91,977.91,977.91,0
58,2018-10-08,954.86,954.86,954.86,954.86,0
59,2018-10-10,915.09,915.09,915.09,915.09,0
60,2018-10-11,895.66,895.66,895.66,895.66,0
61,2018-10-12,906.44,906.44,906.44,906.44,0
62,2018-10-15,901.6,901.6,901.6,901.6,0
63,2018-10-16,918.24,918.24,918.24,918.24,0
64,2018-10-17,921.6,921.6,921.6,921.6,0
65,2018-10-18,922.91,922.91,922.91,922.91,0
66,2018-10-19,915.32,915.32,915.32,915.32,0
67,2018-10-22,909.45,909.45,909.45,909.45,0
68,2018-10-23,886.45,886.45,886.45,886.45,0
69,2018-10-24,883.74,883.74,883.74,883.74,0
70,2018-10-25,885.53,885.53,885.53,885.53,0
71,2018-10-30,883.66,883.66,883.66,883.66,0
72,2018-10-31,903.52,903.52,903.52,903.52,0
73,2018-11-13,894.73,894.73,894.73,894.73,0
74,2018-11-16,878.32,878.32,878.32,878.32,0
75,2018-11-20,847.13,847.13,847.13,847.13,0
76,2018-11-22,847.41,847.41,847.41,847.41,0
77,2018-11-23,849.48,849.48,849.48,849.48,0
78,2018-11-26,855.71,855.71,855.71,855.71,0
79,2018-11-27,853.28,853.28,853.28,853.28,0
80,2018-11-30,862.46,862.46,862.46,862.46,0
81,2018-12-03,871.84,871.84,871.84,871.84,0
82,2018-12-04,864.79,864.79,864.79,864.79,0
83,2018-12-05,853.3,853.3,853.3,853.3,0
84,2018-12-06,834.37,834.37,834.37,834.37,0
85,2018-12-07,836.59,836.59,836.59,836.59,0
86,2018-12-10,824.04,824.04,824.04,824.04,0
87,2018-12-11,830.08,830.08,830.08,830.08,0
88,2018-12-12,842.06,842.06,842.06,842.06,0
89,2018-12-13,839.42,839.42,839.42,839.42,0
90,2018-12-14,831.5,831.5,831.5,831.5,0
91,2018-12-17,821.73,821.73,821.73,821.73,0
92,2018-12-20,810.18,810.18,810.18,810.18,0
93,2018-12-21,809.12,809.12,809.12,809.12,0
94,2018-12-24,807.9,807.9,807.9,807.9,0
95,2018-12-27,799.98,799.98,799.98,799.98,0
96,2018-12-28,811.86,811.86,811.86,811.86,0
97,2018-12-31,817.98,817.98,817.98,817.98,0
98,2019-01-02,817.1,817.1,817.1,817.1,0
99,2019-01-03,811.13,811.13,811.13,811.13,0
100,2019-01-04,824.25,824.25,824.25,824.25,0
101,2019-01-07,832.26,832.26,832.26,832.26,0
102,2019-01-08,842.03,842.03,842.03,842.03,0
103,2019-01-09,853.72,853.72,853.72,853.72,0
104,2019-01-10,854.39,854.39,854.39,854.39,0
105,2019-01-11,855.1,855.1,855.1,855.1,0
106,2019-01-14,849.53,849.53,849.53,849.53,0
107,2019-01-15,853.98,853.98,853.98,853.98,0
108,2019-01-16,859.04,859.04,859.04,859.04,0
109,2019-01-17,861.58,861.58,861.58,861.58,0
110,2019-01-18,870.76,870.76,870.76,870.76,0
111,2019-01-22,869.53,869.53,869.53,869.53,0
112,2019-01-23,870.67,870.67,870.67,870.67,0
113,2019-01-24,871.63,871.63,871.63,871.63,0
114,2019-01-25,876.94,876.94,876.94,876.94,0
115,2019-01-29,877.78,877.78,877.78,877.78,0
116,2019-01-31,877.97,877.97,877.97,877.97,0
117,2019-02-01,876.8,876.8,876.8,876.8,0
118,2019-02-04,881.22,881.22,881.22,881.22,0
119,2019-02-06,887.91,887.91,887.91,887.91,0
120,2019-02-07,883.15,883.15,883.15,883.15,0
121,2019-02-08,876.3,876.3,876.3,876.3,0
122,2019-02-11,881.82,881.82,881.82,881.82,0
123,2019-02-12,886.57,886.57,886.57,886.57,0
124,2019-02-14,888.69,888.69,888.69,888.69,0
125,2019-02-15,887.76,887.76,887.76,887.76,0
126,2019-02-21,887.52,887.52,887.52,887.52,0
127,2019-02-22,888.02,888.02,888.02,888.02,0
128,2019-02-28,887.55,887.55,887.55,887.55,0
129,2019-03-01,895.69,895.69,895.69,895.69,0
130,2019-03-05,899.32,899.32,899.32,899.32,0
131,2019-03-07,892.03,892.03,892.03,892.03,0
132,2019-03-11,890.09,890.09,890.09,890.09,0
133,2019-03-14,899.98,899.98,899.98,899.98,0
134,2019-03-15,905.76,905.76,905.76,905.76,0
135,2019-03-21,901.98,901.98,901.98,901.98,0
136,2019-03-22,893.44,893.44,893.44,893.44,0
137,2019-03-25,887.91,887.91,887.91,887.91,0
138,2019-03-26,893.56,893.56,893.56,893.56,0
139,2019-03-27,893.47,893.47,893.47,893.47,0
140,2019-03-28,897.52,897.52,897.52,897.52,0
141,2019-03-29,900.69,900.69,900.69,900.69,0
142,2019-04-01,908.81,908.81,908.81,908.81,0
143,2019-04-02,911.72,911.72,911.72,911.72,0
144,2019-04-03,919.13,919.13,919.13,919.13,0
145,2019-04-04,917.27,917.27,917.27,917.27,0
146,2019-04-05,920.17,920.17,920.17,920.17,0
147,2019-04-11,923.78,923.78,923.78,923.78,0
148,2019-04-12,930.51,930.51,930.51,930.51,0
149,2019-04-15,932.0,932.0,932.0,932.0,0
150,2019-04-16,935.51,935.51,935.51,935.51,0
151,2019-04-17,932.18,932.18,932.18,932.18,0
152,2019-04-18,934.14,934.14,934.14,934.14,0
153,2019-04-23,937.25,937.25,937.25,937.25,0
154,2019-04-24,941.2,941.2,941.2,941.2,0
155,2019-04-25,936.51,936.51,936.51,936.51,0
156,2019-04-26,937.11,937.11,937.11,937.11,0
157,2019-04-29,939.59,939.59,939.59,939.59,0
158,2019-04-30,942.44,942.44,942.44,942.44,0
159,2019-05-02,937.36,937.36,937.36,937.36,0
160,2019-05-03,938.17,938.17,938.17,938.17,0
161,2019-05-06,930.62,930.62,930.62,930.62,0
162,2019-05-07,927.75,927.75,927.75,927.75,0
163,2019-05-09,918.44,918.44,918.44,918.44,0
164,2019-05-10,926.37,926.37,926.37,926.37,0
165,2019-05-13,916.5,916.5,916.5,916.5,0
166,2019-05-15,929.18,929.18,929.18,929.18,0
167,2019-05-16,939.87,939.87,939.87,939.87,0
168,2019-05-17,941.47,941.47,941.47,941.47,0
169,2019-05-20,930.4,930.4,930.4,930.4,0
170,2019-05-22,938.23,938.23,938.23,938.23,0
171,2019-05-23,926.53,926.53,926.53,926.53,0
172,2019-05-24,931.75,931.75,931.75,931.75,0
173,2019-05-27,932.38,932.38,932.38,932.38,0
174,2019-05-28,934.62,934.62,934.62,934.62,0
175,2019-05-29,923.17,923.17,923.17,923.17,0
176,2019-05-31,921.33,921.33,921.33,921.33,0
177,2019-06-03,921.17,921.17,921.17,921.17,0
178,2019-06-04,924.42,924.42,924.42,924.42,0
179,2019-06-06,930.23,930.23,930.23,930.23,0
180,2019-06-07,937.94,937.94,937.94,937.94,0
181,2019-06-11,944.87,944.87,944.87,944.87,0
182,2019-06-12,945.38,945.38,945.38,945.38,0
183,2019-06-13,949.02,949.02,949.02,949.02,0
184,2019-06-14,945.96,945.96,945.96,945.96,0
185,2019-06-17,944.62,944.62,944.62,944.62,0
186,2019-06-18,950.98,950.98,950.98,950.98,0
187,2019-06-19,948.65,948.65,948.65,948.65,0
188,2019-06-20,951.71,951.71,951.71,951.71,0
189,2019-06-21,949.09,949.09,949.09,949.09,0
190,2019-06-24,948.05,948.05,948.05,948.05,0
191,2019-06-25,950.31,950.31,950.31,950.31,0
192,2019-06-26,946.79,946.79,946.79,946.79,0
193,2019-06-27,947.4,947.4,947.4,947.4,0
194,2019-06-28,953.5,953.5,953.5,953.5,0
195,2019-07-01,957.62,957.62,957.62,957.62,0
196,2019-07-02,959.72,959.72,959.72,959.72,0
197,2019-07-03,965.37,965.37,965.37,965.37,0
198,2019-07-04,965.4,965.4,965.4,965.4,0
199,2019-07-05,957.34,957.34,957.34,957.34,0
200,2019-07-08,955.53,955.53,955.53,955.53,0
201,2019-07-09,949.64,949.64,949.64,949.64,0
202,2019-07-10,948.58,948.58,948.58,948.58,0
