,date,open,close,high,low,volumme
0,2020-04-27,87.39,87.39,87.39,87.39,0
1,2020-04-28,88.25,88.25,88.25,88.25,0
2,2020-04-29,90.04,90.04,90.04,90.04,0
3,2020-04-30,89.15,89.15,89.15,89.15,0
4,2020-05-04,86.93,86.93,86.93,86.93,0
5,2020-05-05,88.64,88.64,88.64,88.64,0
6,2020-05-06,88.82,88.82,88.82,88.82,0
7,2020-05-07,90.27,90.27,90.27,90.27,0
8,2020-05-08,90.95,90.95,90.95,90.95,0
9,2020-05-11,90.97,90.97,90.97,90.97,0
10,2020-05-12,90.48,90.48,90.48,90.48,0
11,2020-05-13,89.45,89.45,89.45,89.45,0
12,2020-05-14,87.42,87.42,87.42,87.42,0
13,2020-05-15,88.5,88.5,88.5,88.5,0
14,2020-05-18,91.38,91.38,91.38,91.38,0
15,2020-05-19,90.83,90.83,90.83,90.83,0
16,2020-05-20,92.46,92.46,92.46,92.46,0
17,2020-05-22,93.25,93.25,93.25,93.25,0
18,2020-05-25,94.46,94.46,94.46,94.46,0
19,2020-05-26,95.3,95.3,95.3,95.3,0
20,2020-05-27,94.17,94.17,94.17,94.17,0
21,2020-05-28,96.23,96.23,96.23,96.23,0
22,2020-05-29,95.83,95.83,95.83,95.83,0
23,2020-06-02,97.26,97.26,97.26,97.26,0
24,2020-06-03,98.38,98.38,98.38,98.38,0
25,2020-06-04,98.24,98.24,98.24,98.24,0
26,2020-06-05,99.14,99.14,99.14,99.14,0
27,2020-06-08,97.92,97.92,97.92,97.92,0
28,2020-06-09,97.01,97.01,97.01,97.01,0
29,2020-06-10,96.66,96.66,96.66,96.66,0
30,2020-06-11,93.65,93.65,93.65,93.65,0
31,2020-06-12,93.86,93.86,93.86,93.86,0
32,2020-06-15,94.13,94.13,94.13,94.13,0
33,2020-06-16,96.15,96.15,96.15,96.15,0
34,2020-06-17,96.88,96.88,96.88,96.88,0
35,2020-06-18,96.54,96.54,96.54,96.54,0
36,2020-06-19,96.55,96.55,96.55,96.55,0
37,2020-06-26,95.75,95.75,95.75,95.75,0
38,2020-06-29,95.88,95.88,95.88,95.88,0
39,2020-06-30,96.68,96.68,96.68,96.68,0
40,2020-07-01,97.61,97.61,97.61,97.61,0
41,2020-07-02,98.69,98.69,98.69,98.69,0
42,2020-07-03,98.41,98.41,98.41,98.41,0
43,2020-07-06,100.14,100.14,100.14,100.14,0
44,2020-07-07,100.06,100.06,100.06,100.06,0
45,2020-07-08,99.35,99.35,99.35,99.35,0
46,2020-07-09,98.62,98.62,98.62,98.62,0
47,2020-07-10,99.25,99.25,99.25,99.25,0
48,2020-07-13,99.96,99.96,99.96,99.96,0
49,2020-07-14,98.56,98.56,98.56,98.56,0
50,2020-07-15,100.14,100.14,100.14,100.14,0
51,2020-07-17,99.92,99.92,99.92,99.92,0
52,2020-07-20,100.99,100.99,100.99,100.99,0
53,2020-07-21,101.03,101.03,101.03,101.03,0
54,2020-07-22,101.37,101.37,101.37,101.37,0
55,2020-07-23,101.6,101.6,101.6,101.6,0
56,2020-07-24,99.53,99.53,99.53,99.53,0
57,2020-07-27,99.55,99.55,99.55,99.55,0
58,2020-07-28,99.23,99.23,99.23,99.23,0
59,2020-07-29,99.54,99.54,99.54,99.54,0
60,2020-07-30,98.58,98.58,98.58,98.58,0
61,2020-07-31,98.82,98.82,98.82,98.82,0
62,2020-08-03,100.56,100.56,100.56,100.56,0
63,2020-08-04,99.46,99.46,99.46,99.46,0
64,2020-08-05,100.52,100.52,100.52,100.52,0
65,2020-08-06,100.66,100.66,100.66,100.66,0
66,2020-08-07,101.37,101.37,101.37,101.37,0
67,2020-08-10,100.91,100.91,100.91,100.91,0
68,2020-08-11,102.2,102.2,102.2,102.2,0
69,2020-08-12,102.77,102.77,102.77,102.77,0
70,2020-08-13,102.79,102.79,102.79,102.79,0
71,2020-08-14,101.55,101.55,101.55,101.55,0
72,2020-08-17,102.09,102.09,102.09,102.09,0
73,2020-08-18,101.44,101.44,101.44,101.44,0
74,2020-08-19,101.69,101.69,101.69,101.69,0
75,2020-08-20,101.15,101.15,101.15,101.15,0
76,2020-08-21,101.57,101.57,101.57,101.57,0
77,2020-08-24,102.68,102.68,102.68,102.68,0
78,2020-08-25,102.9,102.9,102.9,102.9,0
79,2020-08-26,103.9,103.9,103.9,103.9,0
80,2020-08-27,102.86,102.86,102.86,102.86,0
81,2020-08-28,102.37,102.37,102.37,102.37,0
82,2020-08-31,102.57,102.57,102.57,102.57,0
83,2020-09-01,102.34,102.34,102.34,102.34,0
84,2020-09-02,103.77,103.77,103.77,103.77,0
85,2020-09-03,101.39,101.39,101.39,101.39,0
86,2020-09-04,99.84,99.84,99.84,99.84,0
87,2020-09-07,102.0,102.0,102.0,102.0,0
88,2020-09-08,101.33,101.33,101.33,101.33,0
89,2020-09-09,102.27,102.27,102.27,102.27,0
90,2020-09-10,101.7,101.7,101.7,101.7,0
91,2020-09-11,102.11,102.11,102.11,102.11,0
92,2020-09-14,102.65,102.65,102.65,102.65,0
93,2020-09-15,103.58,103.58,103.58,103.58,0
94,2020-09-16,104.25,104.25,104.25,104.25,0
95,2020-09-17,103.6,103.6,103.6,103.6,0
96,2020-09-18,103.44,103.44,103.44,103.44,0
97,2020-09-21,100.73,100.73,100.73,100.73,0
98,2020-09-22,100.79,100.79,100.79,100.79,0
99,2020-09-23,101.32,101.32,101.32,101.32,0
100,2020-09-24,100.6,100.6,100.6,100.6,0
101,2020-09-25,100.85,100.85,100.85,100.85,0
102,2020-09-28,102.64,102.64,102.64,102.64,0
103,2020-09-29,102.31,102.31,102.31,102.31,0
104,2020-09-30,102.71,102.71,102.71,102.71,0
105,2020-10-01,102.99,102.99,102.99,102.99,0
106,2020-10-02,102.75,102.75,102.75,102.75,0
107,2020-10-05,103.48,103.48,103.48,103.48,0
108,2020-10-06,103.42,103.42,103.42,103.42,0
109,2020-10-07,103.15,103.15,103.15,103.15,0
110,2020-10-08,103.63,103.63,103.63,103.63,0
111,2020-10-09,104.51,104.51,104.51,104.51,0
112,2020-10-12,105.52,105.52,105.52,105.52,0
113,2020-10-13,105.12,105.12,105.12,105.12,0
114,2020-10-14,104.81,104.81,104.81,104.81,0
115,2020-10-15,102.79,102.79,102.79,102.79,0
116,2020-10-16,103.93,103.93,103.93,103.93,0
117,2020-10-19,103.44,103.44,103.44,103.44,0
118,2020-10-20,103.08,103.08,103.08,103.08,0
119,2020-10-21,101.83,101.83,101.83,101.83,0
120,2020-10-22,101.42,101.42,101.42,101.42,0
121,2020-10-23,101.58,101.58,101.58,101.58,0
122,2020-10-26,99.84,99.84,99.84,99.84,0
123,2020-10-27,99.53,99.53,99.53,99.53,0
124,2020-10-28,97.18,97.18,97.18,97.18,0
125,2020-10-29,97.55,97.55,97.55,97.55,0
126,2020-10-30,97.65,97.65,97.65,97.65,0
127,2020-11-02,98.67,98.67,98.67,98.67,0
128,2020-11-03,100.44,100.44,100.44,100.44,0
129,2020-11-04,102.7,102.7,102.7,102.7,0
130,2020-11-05,103.99,103.99,103.99,103.99,0
131,2020-11-06,103.91,103.91,103.91,103.91,0
