,date,open,close,high,low,volumme
0,2018-12-06,927.81,927.81,927.81,927.81,0
1,2018-12-13,920.27,920.27,920.27,920.27,0
2,2018-12-20,899.31,899.31,899.31,899.31,0
3,2018-12-27,874.84,874.84,874.84,874.84,0
4,2019-01-03,880.63,880.63,880.63,880.63,0
5,2019-01-10,903.04,903.04,903.04,903.04,0
6,2019-01-17,906.98,906.98,906.98,906.98,0
7,2019-01-24,919.15,919.15,919.15,919.15,0
8,2019-01-31,935.07,935.07,935.07,935.07,0
9,2019-02-07,953.43,953.43,953.43,953.43,0
10,2019-02-14,950.24,950.24,950.24,950.24,0
11,2019-02-21,965.49,965.49,965.49,965.49,0
12,2019-02-28,971.98,971.98,971.98,971.98,0
13,2019-03-07,981.73,981.73,981.73,981.73,0
14,2019-03-14,981.29,981.29,981.29,981.29,0
15,2019-03-21,992.56,992.56,992.56,992.56,0
16,2019-03-28,982.42,982.42,982.42,982.42,0
17,2019-04-04,1013.46,1013.46,1013.46,1013.46,0
18,2019-04-11,1010.38,1010.38,1010.38,1010.38,0
19,2019-04-18,1026.49,1026.49,1026.49,1026.49,0
20,2019-04-25,1031.72,1031.72,1031.72,1031.72,0
21,2019-05-02,1039.19,1039.19,1039.19,1039.19,0
22,2019-05-09,1019.42,1019.42,1019.42,1019.42,0
23,2019-05-16,1012.57,1012.57,1012.57,1012.57,0
24,2019-05-23,1016.75,1016.75,1016.75,1016.75,0
25,2019-05-29,1009.54,1009.54,1009.54,1009.54,0
26,2019-06-06,1009.35,1009.35,1009.35,1009.35,0
27,2019-06-13,1019.45,1019.45,1019.45,1019.45,0
28,2019-06-20,1037.56,1037.56,1037.56,1037.56,0
29,2019-06-27,1032.61,1032.61,1032.61,1032.61,0
30,2019-07-04,1057.23,1057.23,1057.23,1057.23,0
31,2019-07-11,1048.95,1048.95,1048.95,1048.95,0
32,2019-07-18,1051.25,1051.25,1051.25,1051.25,0
33,2019-07-25,1059.34,1059.34,1059.34,1059.34,0
34,2019-08-01,1045.3,1045.3,1045.3,1045.3,0
35,2019-08-08,1003.66,1003.66,1003.66,1003.66,0
36,2019-08-14,1018.08,1018.08,1018.08,1018.08,0
37,2019-08-22,1028.97,1028.97,1028.97,1028.97,0
38,2019-08-29,1018.58,1018.58,1018.58,1018.58,0
39,2019-09-05,1042.06,1042.06,1042.06,1042.06,0
40,2019-09-12,1056.83,1056.83,1056.83,1056.83,0
41,2019-09-19,1063.66,1063.66,1063.66,1063.66,0
42,2019-09-26,1056.66,1056.66,1056.66,1056.66,0
43,2019-10-03,1032.23,1032.23,1032.23,1032.23,0
44,2019-10-10,1047.02,1047.02,1047.02,1047.02,0
45,2019-10-17,1080.87,1080.87,1080.87,1080.87,0
46,2019-10-24,1084.6,1084.6,1084.6,1084.6,0
47,2019-10-31,1090.02,1090.02,1090.02,1090.02,0
48,2019-11-07,1102.28,1102.28,1102.28,1102.28,0
49,2019-11-14,1106.37,1106.37,1106.37,1106.37,0
50,2019-11-21,1108.86,1108.86,1108.86,1108.86,0
51,2019-11-28,1114.25,1114.25,1114.25,1114.25,0
52,2019-12-05,1112.42,1112.42,1112.42,1112.42,0
53,2019-12-12,1121.06,1121.06,1121.06,1121.06,0
54,2019-12-19,1120.36,1120.36,1120.36,1120.36,0
55,2019-12-24,1120.337,1120.337,1120.337,1120.337,0
56,2020-01-02,1120.118,1120.118,1120.118,1120.118,0
57,2020-01-09,1120.078,1120.078,1120.078,1120.078,0
58,2020-01-16,1120.17,1120.17,1120.17,1120.17,0
59,2020-01-23,1120.109,1120.109,1120.109,1120.109,0
60,2020-01-30,1120.06,1120.06,1120.06,1120.06,0
61,2020-02-06,1119.981,1119.981,1119.981,1119.981,0
62,2020-02-13,1119.935,1119.935,1119.935,1119.935,0
63,2020-02-20,1119.88,1119.88,1119.88,1119.88,0
64,2020-02-27,1119.812,1119.812,1119.812,1119.812,0
65,2020-03-05,1119.773,1119.773,1119.773,1119.773,0
66,2020-03-12,1119.698,1119.698,1119.698,1119.698,0
67,2020-03-19,1119.472,1119.472,1119.472,1119.472,0
