,date,open,close,high,low,volumme
0,2021-05-05,2051.97,2051.97,2051.97,2051.97,0
1,2021-05-06,2073.36,2073.36,2073.36,2073.36,0
2,2021-05-07,2088.63,2088.63,2088.63,2088.63,0
3,2021-05-10,2142.22,2142.22,2142.22,2142.22,0
4,2021-05-11,2109.87,2109.87,2109.87,2109.87,0
5,2021-05-12,2133.86,2133.86,2133.86,2133.86,0
6,2021-05-14,2166.39,2166.39,2166.39,2166.39,0
7,2021-05-17,2164.03,2164.03,2164.03,2164.03,0
8,2021-05-18,2176.97,2176.97,2176.97,2176.97,0
9,2021-05-19,2143.11,2143.11,2143.11,2143.11,0
10,2021-05-20,2158.45,2158.45,2158.45,2158.45,0
11,2021-05-21,2176.42,2176.42,2176.42,2176.42,0
12,2021-05-25,2183.23,2183.23,2183.23,2183.23,0
13,2021-05-26,2158.82,2158.82,2158.82,2158.82,0
14,2021-05-27,2196.4,2196.4,2196.4,2196.4,0
15,2021-05-28,2204.77,2204.77,2204.77,2204.77,0
16,2021-06-01,2224.45,2224.45,2224.45,2224.45,0
17,2021-06-02,2231.6,2231.6,2231.6,2231.6,0
18,2021-06-03,2237.84,2237.84,2237.84,2237.84,0
19,2021-06-04,2215.1,2215.1,2215.1,2215.1,0
20,2021-06-07,2236.69,2236.69,2236.69,2236.69,0
21,2021-06-08,2218.05,2218.05,2218.05,2218.05,0
22,2021-06-09,2195.9,2195.9,2195.9,2195.9,0
23,2021-06-10,2189.15,2189.15,2189.15,2189.15,0
24,2021-06-11,2192.88,2192.88,2192.88,2192.88,0
25,2021-06-14,2206.59,2206.59,2206.59,2206.59,0
26,2021-06-15,2202.43,2202.43,2202.43,2202.43,0
27,2021-06-16,2167.62,2167.62,2167.62,2167.62,0
28,2021-06-17,2173.69,2173.69,2173.69,2173.69,0
29,2021-06-18,2086.05,2086.05,2086.05,2086.05,0
30,2021-06-21,2094.77,2094.77,2094.77,2094.77,0
31,2021-06-22,2088.04,2088.04,2088.04,2088.04,0
32,2021-06-24,2109.32,2109.32,2109.32,2109.32,0
33,2021-06-25,2126.61,2126.61,2126.61,2126.61,0
34,2021-06-28,2063.54,2063.54,2063.54,2063.54,0
35,2021-06-29,2080.03,2080.03,2080.03,2080.03,0
36,2021-06-30,2060.14,2060.14,2060.14,2060.14,0
37,2021-07-01,2100.64,2100.64,2100.64,2100.64,0
38,2021-07-02,2060.93,2060.93,2060.93,2060.93,0
39,2021-07-05,2104.86,2104.86,2104.86,2104.86,0
40,2021-07-06,2030.24,2030.24,2030.24,2030.24,0
41,2021-07-07,2022.07,2022.07,2022.07,2022.07,0
42,2021-07-08,1956.66,1956.66,1956.66,1956.66,0
43,2021-07-09,2022.94,2022.94,2022.94,2022.94,0
44,2021-07-12,2029.22,2029.22,2029.22,2029.22,0
45,2021-07-13,1992.8,1992.8,1992.8,1992.8,0
46,2021-07-15,1990.08,1990.08,1990.08,1990.08,0
47,2021-07-16,1946.82,1946.82,1946.82,1946.82,0
48,2021-07-19,1851.65,1851.65,1851.65,1851.65,0
49,2021-07-20,1889.0,1889.0,1889.0,1889.0,0
50,2021-07-21,1965.97,1965.97,1965.97,1965.97,0
51,2021-07-22,1954.01,1954.01,1954.01,1954.01,0
52,2021-07-23,1990.95,1990.95,1990.95,1990.95,0
53,2021-07-27,2022.97,2022.97,2022.97,2022.97,0
54,2021-07-28,2015.12,2015.12,2015.12,2015.12,0
55,2021-07-29,2058.18,2058.18,2058.18,2058.18,0
56,2021-07-30,2047.47,2047.47,2047.47,2047.47,0
57,2021-08-02,2046.66,2046.66,2046.66,2046.66,0
58,2021-08-03,2072.31,2072.31,2072.31,2072.31,0
59,2021-08-04,2094.9,2094.9,2094.9,2094.9,0
60,2021-08-05,2117.96,2117.96,2117.96,2117.96,0
61,2021-08-06,2180.92,2180.92,2180.92,2180.92,0
62,2021-08-09,2195.42,2195.42,2195.42,2195.42,0
63,2021-08-10,2198.33,2198.33,2198.33,2198.33,0
64,2021-08-11,2234.23,2234.23,2234.23,2234.23,0
65,2021-08-12,2227.98,2227.98,2227.98,2227.98,0
66,2021-08-13,2240.72,2240.72,2240.72,2240.72,0
67,2021-08-16,2206.96,2206.96,2206.96,2206.96,0
68,2021-08-17,2174.88,2174.88,2174.88,2174.88,0
69,2021-08-18,2199.15,2199.15,2199.15,2199.15,0
70,2021-08-19,2151.56,2151.56,2151.56,2151.56,0
71,2021-08-20,2153.19,2153.19,2153.19,2153.19,0
72,2021-08-23,2175.92,2175.92,2175.92,2175.92,0
73,2021-08-24,2182.68,2182.68,2182.68,2182.68,0
74,2021-08-25,2235.48,2235.48,2235.48,2235.48,0
75,2021-08-26,2221.03,2221.03,2221.03,2221.03,0
76,2021-08-27,2226.22,2226.22,2226.22,2226.22,0
77,2021-08-31,2212.3,2212.3,2212.3,2212.3,0
78,2021-09-01,2231.02,2231.02,2231.02,2231.02,0
79,2021-09-02,2230.14,2230.14,2230.14,2230.14,0
80,2021-09-03,2217.96,2217.96,2217.96,2217.96,0
81,2021-09-06,2232.84,2232.84,2232.84,2232.84,0
82,2021-09-07,2230.27,2230.27,2230.27,2230.27,0
83,2021-09-08,2201.07,2201.07,2201.07,2201.07,0
84,2021-09-09,2202.12,2202.12,2202.12,2202.12,0
85,2021-09-10,2177.53,2177.53,2177.53,2177.53,0
86,2021-09-13,2213.29,2213.29,2213.29,2213.29,0
87,2021-09-14,2186.02,2186.02,2186.02,2186.02,0
88,2021-09-15,2178.99,2178.99,2178.99,2178.99,0
89,2021-09-16,2199.98,2199.98,2199.98,2199.98,0
90,2021-09-17,2191.8,2191.8,2191.8,2191.8,0
91,2021-09-20,2077.6,2077.6,2077.6,2077.6,0
92,2021-09-21,2080.33,2080.33,2080.33,2080.33,0
93,2021-09-22,2166.56,2166.56,2166.56,2166.56,0
94,2021-09-23,2218.38,2218.38,2218.38,2218.38,0
95,2021-09-24,2220.33,2220.33,2220.33,2220.33,0
96,2021-09-27,2287.85,2287.85,2287.85,2287.85,0
97,2021-09-28,2250.4,2250.4,2250.4,2250.4,0
98,2021-09-29,2289.11,2289.11,2289.11,2289.11,0
99,2021-09-30,2285.89,2285.89,2285.89,2285.89,0
100,2021-10-01,2265.36,2265.36,2265.36,2265.36,0
101,2021-10-04,2259.81,2259.81,2259.81,2259.81,0
102,2021-10-05,2339.46,2339.46,2339.46,2339.46,0
103,2021-10-06,2323.6,2323.6,2323.6,2323.6,0
104,2021-10-07,2373.08,2373.08,2373.08,2373.08,0
105,2021-10-08,2374.94,2374.94,2374.94,2374.94,0
106,2021-10-11,2388.94,2388.94,2388.94,2388.94,0
107,2021-10-12,2384.74,2384.74,2384.74,2384.74,0
108,2021-10-13,2357.56,2357.56,2357.56,2357.56,0
109,2021-10-14,2380.99,2380.99,2380.99,2380.99,0
110,2021-10-15,2422.99,2422.99,2422.99,2422.99,0
111,2021-10-18,2418.51,2418.51,2418.51,2418.51,0
112,2021-10-19,2427.44,2427.44,2427.44,2427.44,0
113,2021-10-20,2420.49,2420.49,2420.49,2420.49,0
114,2021-10-21,2400.76,2400.76,2400.76,2400.76,0
115,2021-10-22,2416.77,2416.77,2416.77,2416.77,0
116,2021-10-25,2442.95,2442.95,2442.95,2442.95,0
117,2021-10-26,2459.53,2459.53,2459.53,2459.53,0
118,2021-10-27,2442.09,2442.09,2442.09,2442.09,0
119,2021-10-28,2468.09,2468.09,2468.09,2468.09,0
120,2021-10-29,2484.78,2484.78,2484.78,2484.78,0
121,2021-11-02,2511.72,2511.72,2511.72,2511.72,0
122,2021-11-03,2525.65,2525.65,2525.65,2525.65,0
123,2021-11-04,2477.97,2477.97,2477.97,2477.97,0
124,2021-11-05,2510.47,2510.47,2510.47,2510.47,0
125,2021-11-08,2502.18,2502.18,2502.18,2502.18,0
126,2021-11-09,2474.42,2474.42,2474.42,2474.42,0
127,2021-11-10,2492.8,2492.8,2492.8,2492.8,0
128,2021-11-12,2497.64,2497.64,2497.64,2497.64,0
129,2021-11-15,2517.87,2517.87,2517.87,2517.87,0
130,2021-11-16,2501.79,2501.79,2501.79,2501.79,0
131,2021-11-17,2498.42,2498.42,2498.42,2498.42,0
132,2021-11-18,2478.79,2478.79,2478.79,2478.79,0
133,2021-11-19,2419.58,2419.58,2419.58,2419.58,0
134,2021-11-22,2452.58,2452.58,2452.58,2452.58,0
135,2021-11-23,2448.51,2448.51,2448.51,2448.51,0
136,2021-11-24,2444.57,2444.57,2444.57,2444.57,0
137,2021-11-25,2456.51,2456.51,2456.51,2456.51,0
138,2021-11-26,2281.45,2281.45,2281.45,2281.45,0
139,2021-11-29,2287.87,2287.87,2287.87,2287.87,0
140,2021-12-01,2356.17,2356.17,2356.17,2356.17,0
141,2021-12-02,2351.74,2351.74,2351.74,2351.74,0
142,2021-12-03,2321.91,2321.91,2321.91,2321.91,0
143,2021-12-06,2403.14,2403.14,2403.14,2403.14,0
144,2021-12-07,2445.51,2445.51,2445.51,2445.51,0
145,2021-12-08,2417.4,2417.4,2417.4,2417.4,0
146,2021-12-09,2390.42,2390.42,2390.42,2390.42,0
147,2021-12-10,2364.63,2364.63,2364.63,2364.63,0
148,2021-12-13,2322.28,2322.28,2322.28,2322.28,0
149,2021-12-14,2359.3,2359.3,2359.3,2359.3,0
150,2021-12-15,2327.83,2327.83,2327.83,2327.83,0
151,2021-12-16,2390.18,2390.18,2390.18,2390.18,0
152,2021-12-17,2340.06,2340.06,2340.06,2340.06,0
153,2021-12-20,2310.72,2310.72,2310.72,2310.72,0
154,2021-12-21,2383.36,2383.36,2383.36,2383.36,0
155,2021-12-22,2392.0,2392.0,2392.0,2392.0,0
156,2021-12-23,2429.99,2429.99,2429.99,2429.99,0
157,2021-12-29,2461.23,2461.23,2461.23,2461.23,0
158,2022-01-12,2501.45,2501.45,2501.45,2501.45,0
159,2022-01-13,2537.88,2537.88,2537.88,2537.88,0
160,2022-01-14,2548.49,2548.49,2548.49,2548.49,0
161,2022-01-17,2555.87,2555.87,2555.87,2555.87,0
162,2022-01-18,2546.21,2546.21,2546.21,2546.21,0
163,2022-01-19,2517.86,2517.86,2517.86,2517.86,0
164,2022-01-20,2503.45,2503.45,2503.45,2503.45,0
165,2022-01-21,2451.24,2451.24,2451.24,2451.24,0
166,2022-01-24,2332.01,2332.01,2332.01,2332.01,0
167,2022-01-25,2404.32,2404.32,2404.32,2404.32,0
168,2022-01-26,2491.41,2491.41,2491.41,2491.41,0
169,2022-01-27,2531.97,2531.97,2531.97,2531.97,0
170,2022-01-28,2492.08,2492.08,2492.08,2492.08,0
171,2022-01-31,2509.38,2509.38,2509.38,2509.38,0
172,2022-02-01,2577.16,2577.16,2577.16,2577.16,0
173,2022-02-02,2604.36,2604.36,2604.36,2604.36,0
174,2022-02-03,2628.55,2628.55,2628.55,2628.55,0
175,2022-02-04,2620.19,2620.19,2620.19,2620.19,0
176,2022-02-07,2661.02,2661.02,2661.02,2661.02,0
177,2022-02-08,2716.6,2716.6,2716.6,2716.6,0
178,2022-02-09,2746.32,2746.32,2746.32,2746.32,0
179,2022-02-10,2763.61,2763.61,2763.61,2763.61,0
180,2022-02-11,2747.14,2747.14,2747.14,2747.14,0
181,2022-02-14,2656.81,2656.81,2656.81,2656.81,0
182,2022-02-15,2698.05,2698.05,2698.05,2698.05,0
183,2022-02-16,2662.83,2662.83,2662.83,2662.83,0
184,2022-02-17,2618.76,2618.76,2618.76,2618.76,0
185,2022-02-18,2615.5,2615.5,2615.5,2615.5,0
186,2022-02-21,2570.98,2570.98,2570.98,2570.98,0
187,2022-02-22,2539.25,2539.25,2539.25,2539.25,0
188,2022-02-23,2496.91,2496.91,2496.91,2496.91,0
189,2022-02-25,2387.9,2387.9,2387.9,2387.9,0
190,2022-02-28,2174.56,2174.56,2174.56,2174.56,0
191,2022-03-03,1959.51,1959.51,1959.51,1959.51,0
192,2022-03-09,1834.94,1834.94,1834.94,1834.94,0
