,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2019-02-28,100.0,100.0,100.0,100.0,0
1,1.0,2019-03-01,100.9,100.9,100.9,100.9,0
2,2.0,2019-03-04,101.16,101.16,101.16,101.16,0
3,3.0,2019-03-05,100.77,100.77,100.77,100.77,0
4,4.0,2019-03-06,99.86,99.86,99.86,99.86,0
5,5.0,2019-03-07,100.01,100.01,100.01,100.01,0
6,6.0,2019-03-08,99.51,99.51,99.51,99.51,0
7,7.0,2019-03-11,101.24,101.24,101.24,101.24,0
8,8.0,2019-03-12,101.32,101.32,101.32,101.32,0
9,9.0,2019-03-13,101.32,101.32,101.32,101.32,0
10,10.0,2019-03-14,101.36,101.36,101.36,101.36,0
11,11.0,2019-03-15,101.63,101.63,101.63,101.63,0
12,12.0,2019-03-18,102.01,102.01,102.01,102.01,0
13,13.0,2019-03-19,102.24,102.24,102.24,102.24,0
14,14.0,2019-03-20,101.85,101.85,101.85,101.85,0
15,15.0,2019-03-21,103.13,103.13,103.13,103.13,0
16,16.0,2019-03-22,101.61,101.61,101.61,101.61,0
17,17.0,2019-03-25,100.83,100.83,100.83,100.83,0
18,18.0,2019-03-26,102.15,102.15,102.15,102.15,0
19,19.0,2019-03-27,101.9,101.9,101.9,101.9,0
20,20.0,2019-03-28,102.33,102.33,102.33,102.33,0
21,21.0,2019-03-29,103.19,103.19,103.19,103.19,0
22,22.0,2019-04-01,104.46,104.46,104.46,104.46,0
23,23.0,2019-04-02,104.86,104.86,104.86,104.86,0
24,24.0,2019-04-03,105.47,105.47,105.47,105.47,0
25,25.0,2019-04-04,105.12,105.12,105.12,105.12,0
26,26.0,2019-04-05,105.51,105.51,105.51,105.51,0
27,27.0,2019-04-08,105.19,105.19,105.19,105.19,0
28,28.0,2019-04-09,104.46,104.46,104.46,104.46,0
29,29.0,2019-04-10,105.31,105.31,105.31,105.31,0
30,30.0,2019-04-11,105.38,105.38,105.38,105.38,0
31,31.0,2019-04-12,105.54,105.54,105.54,105.54,0
32,32.0,2019-04-15,105.82,105.82,105.82,105.82,0
33,33.0,2019-04-16,105.83,105.83,105.83,105.83,0
34,34.0,2019-04-17,105.05,105.05,105.05,105.05,0
35,35.0,2019-04-18,105.72,105.72,105.72,105.72,0
36,36.0,2019-04-23,107.28,107.28,107.28,107.28,0
37,37.0,2019-04-24,107.43,107.43,107.43,107.43,0
38,38.0,2019-04-25,107.41,107.41,107.41,107.41,0
39,39.0,2019-04-26,107.95,107.95,107.95,107.95,0
40,40.0,2019-04-29,108.2,108.2,108.2,108.2,0
41,41.0,2019-04-30,108.26,108.26,108.26,108.26,0
42,42.0,2019-05-02,107.6,107.6,107.6,107.6,0
43,43.0,2019-05-03,108.76,108.76,108.76,108.76,0
44,44.0,2019-05-06,108.14,108.14,108.14,108.14,0
45,45.0,2019-05-07,106.42,106.42,106.42,106.42,0
46,46.0,2019-05-08,105.93,105.93,105.93,105.93,0
47,47.0,2019-05-10,105.2,105.2,105.2,105.2,0
48,48.0,2019-05-13,102.64,102.64,102.64,102.64,0
49,49.0,2019-05-14,103.81,103.81,103.81,103.81,0
50,50.0,2019-05-15,104.34,104.34,104.34,104.34,0
51,51.0,2019-05-16,105.24,105.24,105.24,105.24,0
52,52.0,2019-05-17,104.44,104.44,104.44,104.44,0
53,53.0,2019-05-20,103.29,103.29,103.29,103.29,0
54,54.0,2019-05-21,104.29,104.29,104.29,104.29,0
55,55.0,2019-05-22,104.55,104.55,104.55,104.55,0
56,56.0,2019-05-23,103.04,103.04,103.04,103.04,0
57,57.0,2019-05-24,102.8,102.8,102.8,102.8,0
58,58.0,2019-05-27,102.96,102.96,102.96,102.96,0
