,date,open,close,high,low,volumme
0,2019-04-17,100.5,100.5,100.5,100.5,0
1,2019-04-18,101.14,101.14,101.14,101.14,0
2,2019-04-23,101.77,101.77,101.77,101.77,0
3,2019-04-24,101.66,101.66,101.66,101.66,0
4,2019-04-25,102.08,102.08,102.08,102.08,0
5,2019-04-26,102.53,102.53,102.53,102.53,0
6,2019-04-29,102.6,102.6,102.6,102.6,0
7,2019-04-30,102.49,102.49,102.49,102.49,0
8,2019-05-02,102.09,102.09,102.09,102.09,0
9,2019-05-03,102.62,102.62,102.62,102.62,0
10,2019-05-06,101.63,101.63,101.63,101.63,0
11,2019-05-07,100.71,100.71,100.71,100.71,0
12,2019-05-08,100.71,100.71,100.71,100.71,0
13,2019-05-10,100.42,100.42,100.42,100.42,0
14,2019-05-13,98.8,98.8,98.8,98.8,0
15,2019-05-14,99.86,99.86,99.86,99.86,0
16,2019-05-15,100.35,100.35,100.35,100.35,0
17,2019-05-16,101.64,101.64,101.64,101.64,0
18,2019-05-17,101.16,101.16,101.16,101.16,0
19,2019-05-20,100.44,100.44,100.44,100.44,0
20,2019-05-21,101.01,101.01,101.01,101.01,0
21,2019-05-22,101.17,101.17,101.17,101.17,0
22,2019-05-23,100.09,100.09,100.09,100.09,0
23,2019-05-24,100.06,100.06,100.06,100.06,0
24,2019-05-27,100.19,100.19,100.19,100.19,0
25,2019-05-28,100.0,100.0,100.0,100.0,0
26,2019-05-29,99.17,99.17,99.17,99.17,0
27,2019-05-31,98.76,98.76,98.76,98.76,0
28,2019-06-03,98.37,98.37,98.37,98.37,0
29,2019-06-04,99.6,99.6,99.6,99.6,0
30,2019-06-05,100.26,100.26,100.26,100.26,0
31,2019-06-06,100.69,100.69,100.69,100.69,0
32,2019-06-07,101.29,101.29,101.29,101.29,0
33,2019-06-11,101.7,101.7,101.7,101.7,0
34,2019-06-12,101.75,101.75,101.75,101.75,0
35,2019-06-13,102.07,102.07,102.07,102.07,0
36,2019-06-14,102.13,102.13,102.13,102.13,0
37,2019-06-17,102.07,102.07,102.07,102.07,0
38,2019-06-18,103.24,103.24,103.24,103.24,0
39,2019-06-19,103.64,103.64,103.64,103.64,0
40,2019-06-20,104.34,104.34,104.34,104.34,0
41,2019-06-21,103.71,103.71,103.71,103.71,0
42,2019-06-24,103.29,103.29,103.29,103.29,0
43,2019-06-25,102.76,102.76,102.76,102.76,0
44,2019-06-26,102.52,102.52,102.52,102.52,0
45,2019-06-27,102.8,102.8,102.8,102.8,0
46,2019-06-28,103.25,103.25,103.25,103.25,0
47,2019-07-02,104.78,104.78,104.78,104.78,0
48,2019-07-03,105.76,105.76,105.76,105.76,0
49,2019-07-05,105.8,105.8,105.8,105.8,0
50,2019-07-08,105.36,105.36,105.36,105.36,0
51,2019-07-09,105.29,105.29,105.29,105.29,0
52,2019-07-10,105.26,105.26,105.26,105.26,0
53,2019-07-11,105.44,105.44,105.44,105.44,0
54,2019-07-12,105.56,105.56,105.56,105.56,0
55,2019-07-15,105.56,105.56,105.56,105.56,0
