,date,open,close,high,low,volumme
0,2019-06-03,19.89,19.89,19.89,19.89,0
1,2019-06-04,19.95,19.95,19.95,19.95,0
2,2019-06-05,20.15,20.15,20.15,20.15,0
3,2019-06-06,20.12,20.12,20.12,20.12,0
4,2019-06-07,20.38,20.38,20.38,20.38,0
5,2019-06-11,20.52,20.52,20.52,20.52,0
6,2019-06-12,20.47,20.47,20.47,20.47,0
7,2019-06-13,20.5,20.5,20.5,20.5,0
8,2019-06-14,20.41,20.41,20.41,20.41,0
9,2019-06-17,20.44,20.44,20.44,20.44,0
10,2019-06-18,20.84,20.84,20.84,20.84,0
11,2019-06-19,20.82,20.82,20.82,20.82,0
12,2019-06-20,20.92,20.92,20.92,20.92,0
13,2019-06-21,20.83,20.83,20.83,20.83,0
14,2019-06-24,20.78,20.78,20.78,20.78,0
15,2019-06-25,20.88,20.88,20.88,20.88,0
16,2019-06-26,20.91,20.91,20.91,20.91,0
17,2019-06-27,20.93,20.93,20.93,20.93,0
18,2019-06-28,21.12,21.12,21.12,21.12,0
19,2019-07-02,21.35,21.35,21.35,21.35,0
20,2019-07-03,21.53,21.53,21.53,21.53,0
21,2019-07-05,21.41,21.41,21.41,21.41,0
22,2019-07-08,21.38,21.38,21.38,21.38,0
23,2019-07-09,21.32,21.32,21.32,21.32,0
24,2019-07-10,21.24,21.24,21.24,21.24,0
25,2019-07-11,21.21,21.21,21.21,21.21,0
26,2019-07-12,21.22,21.22,21.22,21.22,0
27,2019-07-15,21.37,21.37,21.37,21.37,0
28,2019-07-16,21.47,21.47,21.47,21.47,0
29,2019-07-17,21.41,21.41,21.41,21.41,0
30,2019-07-18,21.28,21.28,21.28,21.28,0
31,2019-07-19,21.34,21.34,21.34,21.34,0
32,2019-07-22,21.43,21.43,21.43,21.43,0
33,2019-07-23,21.55,21.55,21.55,21.55,0
34,2019-07-24,21.56,21.56,21.56,21.56,0
35,2019-07-25,21.43,21.43,21.43,21.43,0
36,2019-07-26,21.66,21.66,21.66,21.66,0
37,2019-07-29,21.58,21.58,21.58,21.58,0
38,2019-07-30,21.27,21.27,21.27,21.27,0
39,2019-07-31,21.36,21.36,21.36,21.36,0
40,2019-08-01,21.53,21.53,21.53,21.53,0
41,2019-08-02,20.91,20.91,20.91,20.91,0
42,2019-08-05,20.38,20.38,20.38,20.38,0
43,2019-08-06,20.32,20.32,20.32,20.32,0
44,2019-08-07,20.45,20.45,20.45,20.45,0
45,2019-08-08,20.84,20.84,20.84,20.84,0
46,2019-08-09,20.63,20.63,20.63,20.63,0
47,2019-08-12,20.58,20.58,20.58,20.58,0
48,2019-08-13,20.64,20.64,20.64,20.64,0
49,2019-08-14,20.3,20.3,20.3,20.3,0
50,2019-08-16,20.47,20.47,20.47,20.47,0
51,2019-08-19,20.76,20.76,20.76,20.76,0
52,2019-08-21,21.05,21.05,21.05,21.05,0
53,2019-08-22,20.84,20.84,20.84,20.84,0
54,2019-08-23,20.66,20.66,20.66,20.66,0
55,2019-08-26,20.65,20.65,20.65,20.65,0
56,2019-08-27,20.78,20.78,20.78,20.78,0
57,2019-08-28,20.68,20.68,20.68,20.68,0
58,2019-08-29,20.89,20.89,20.89,20.89,0
59,2019-08-30,21.06,21.06,21.06,21.06,0
60,2019-09-02,21.1,21.1,21.1,21.1,0
61,2019-09-03,21.01,21.01,21.01,21.01,0
62,2019-09-04,21.15,21.15,21.15,21.15,0
63,2019-09-05,21.29,21.29,21.29,21.29,0
64,2019-09-06,21.37,21.37,21.37,21.37,0
65,2019-09-09,21.17,21.17,21.17,21.17,0
66,2019-09-10,20.8,20.8,20.8,20.8,0
67,2019-09-11,20.95,20.95,20.95,20.95,0
68,2019-09-12,21.07,21.07,21.07,21.07,0
69,2019-09-13,21.02,21.02,21.02,21.02,0
70,2019-09-16,20.87,20.87,20.87,20.87,0
71,2019-09-17,21.04,21.04,21.04,21.04,0
72,2019-09-18,21.13,21.13,21.13,21.13,0
73,2019-09-19,21.19,21.19,21.19,21.19,0
74,2019-09-20,21.21,21.21,21.21,21.21,0
75,2019-09-23,21.01,21.01,21.01,21.01,0
76,2019-09-24,21.14,21.14,21.14,21.14,0
77,2019-09-25,20.95,20.95,20.95,20.95,0
78,2019-09-26,21.08,21.08,21.08,21.08,0
79,2019-09-27,21.14,21.14,21.14,21.14,0
80,2019-09-30,21.21,21.21,21.21,21.21,0
81,2019-10-01,21.0,21.0,21.0,21.0,0
82,2019-10-02,20.44,20.44,20.44,20.44,0
83,2019-10-03,20.47,20.47,20.47,20.47,0
84,2019-10-04,20.69,20.69,20.69,20.69,0
85,2019-10-07,20.83,20.83,20.83,20.83,0
86,2019-10-08,20.59,20.59,20.59,20.59,0
87,2019-10-09,20.74,20.74,20.74,20.74,0
88,2019-10-10,20.81,20.81,20.81,20.81,0
89,2019-10-11,21.08,21.08,21.08,21.08,0
90,2019-10-14,21.04,21.04,21.04,21.04,0
91,2019-10-15,21.13,21.13,21.13,21.13,0
92,2019-10-16,21.05,21.05,21.05,21.05,0
93,2019-10-17,21.02,21.02,21.02,21.02,0
94,2019-10-18,20.89,20.89,20.89,20.89,0
95,2019-10-21,20.93,20.93,20.93,20.93,0
96,2019-10-22,20.91,20.91,20.91,20.91,0
97,2019-10-23,20.73,20.73,20.73,20.73,0
98,2019-10-24,20.84,20.84,20.84,20.84,0
99,2019-10-29,21.01,21.01,21.01,21.01,0
100,2019-10-30,21.07,21.07,21.07,21.07,0
101,2019-10-31,21.0,21.0,21.0,21.0,0
102,2019-11-04,21.3,21.3,21.3,21.3,0
103,2019-11-05,21.37,21.37,21.37,21.37,0
104,2019-11-06,21.48,21.48,21.48,21.48,0
105,2019-11-07,21.55,21.55,21.55,21.55,0
106,2019-11-08,21.54,21.54,21.54,21.54,0
107,2019-11-12,21.61,21.61,21.61,21.61,0
108,2019-11-13,21.65,21.65,21.65,21.65,0
109,2019-11-14,21.62,21.62,21.62,21.62,0
110,2019-11-15,21.76,21.76,21.76,21.76,0
111,2019-11-18,21.78,21.78,21.78,21.78,0
112,2019-11-21,21.64,21.64,21.64,21.64,0
113,2019-11-25,21.86,21.86,21.86,21.86,0
114,2019-11-26,22.01,22.01,22.01,22.01,0
115,2019-11-27,22.05,22.05,22.05,22.05,0
116,2019-11-28,22.0,22.0,22.0,22.0,0
117,2019-11-29,22.0,22.0,22.0,22.0,0
118,2019-12-02,21.57,21.57,21.57,21.57,0
119,2019-12-03,21.53,21.53,21.53,21.53,0
120,2019-12-04,21.79,21.79,21.79,21.79,0
121,2019-12-05,21.82,21.82,21.82,21.82,0
122,2019-12-09,21.91,21.91,21.91,21.91,0
123,2019-12-10,21.88,21.88,21.88,21.88,0
124,2019-12-11,21.89,21.89,21.89,21.89,0
125,2019-12-12,21.88,21.88,21.88,21.88,0
126,2019-12-13,21.97,21.97,21.97,21.97,0
127,2019-12-16,22.26,22.26,22.26,22.26,0
128,2019-12-17,22.18,22.18,22.18,22.18,0
129,2019-12-18,22.12,22.12,22.12,22.12,0
130,2019-12-19,22.18,22.18,22.18,22.18,0
131,2019-12-20,22.39,22.39,22.39,22.39,0
132,2019-12-23,22.45,22.45,22.45,22.45,0
133,2019-12-24,22.46,22.46,22.46,22.46,0
134,2019-12-27,22.51,22.51,22.51,22.51,0
135,2019-12-31,22.3,22.3,22.3,22.3,0
136,2020-01-02,22.53,22.53,22.53,22.53,0
137,2020-01-03,22.53,22.53,22.53,22.53,0
138,2020-01-06,22.41,22.41,22.41,22.41,0
139,2020-01-07,22.51,22.51,22.51,22.51,0
140,2020-01-08,22.55,22.55,22.55,22.55,0
141,2020-01-09,22.73,22.73,22.73,22.73,0
142,2020-01-10,22.71,22.71,22.71,22.71,0
143,2020-01-13,22.71,22.71,22.71,22.71,0
144,2020-01-14,22.76,22.76,22.76,22.76,0
145,2020-01-15,22.86,22.86,22.86,22.86,0
146,2020-01-16,22.93,22.93,22.93,22.93,0
147,2020-01-17,23.14,23.14,23.14,23.14,0
148,2020-01-20,23.17,23.17,23.17,23.17,0
149,2020-01-21,23.12,23.12,23.12,23.12,0
150,2020-01-22,23.11,23.11,23.11,23.11,0
151,2020-01-23,22.94,22.94,22.94,22.94,0
152,2020-01-24,23.21,23.21,23.21,23.21,0
153,2020-01-27,22.7,22.7,22.7,22.7,0
154,2020-01-28,22.86,22.86,22.86,22.86,0
155,2020-01-29,23.0,23.0,23.0,23.0,0
156,2020-01-30,22.74,22.74,22.74,22.74,0
157,2020-01-31,22.47,22.47,22.47,22.47,0
158,2020-02-03,22.65,22.65,22.65,22.65,0
159,2020-02-04,22.99,22.99,22.99,22.99,0
160,2020-02-05,23.22,23.22,23.22,23.22,0
161,2020-02-06,23.37,23.37,23.37,23.37,0
162,2020-02-07,23.32,23.32,23.32,23.32,0
163,2020-02-10,23.36,23.36,23.36,23.36,0
164,2020-02-11,23.62,23.62,23.62,23.62,0
165,2020-02-12,23.68,23.68,23.68,23.68,0
166,2020-02-13,23.69,23.69,23.69,23.69,0
167,2020-02-14,23.71,23.71,23.71,23.71,0
168,2020-02-17,23.79,23.79,23.79,23.79,0
169,2020-02-18,23.75,23.75,23.75,23.75,0
170,2020-02-19,24.01,24.01,24.01,24.01,0
171,2020-02-20,23.77,23.77,23.77,23.77,0
172,2020-02-21,23.63,23.63,23.63,23.63,0
173,2020-02-24,22.72,22.72,22.72,22.72,0
174,2020-02-25,22.27,22.27,22.27,22.27,0
175,2020-02-26,22.3,22.3,22.3,22.3,0
176,2020-02-27,21.62,21.62,21.62,21.62,0
177,2020-02-28,20.93,20.93,20.93,20.93,0
178,2020-03-02,20.99,20.99,20.99,20.99,0
179,2020-03-03,21.41,21.41,21.41,21.41,0
180,2020-03-04,21.6,21.6,21.6,21.6,0
181,2020-03-05,21.27,21.27,21.27,21.27,0
182,2020-03-06,20.48,20.48,20.48,20.48,0
183,2020-03-09,19.07,19.07,19.07,19.07,0
184,2020-03-10,18.75,18.75,18.75,18.75,0
185,2020-03-11,18.57,18.57,18.57,18.57,0
186,2020-03-12,16.73,16.73,16.73,16.73,0
187,2020-03-13,16.83,16.83,16.83,16.83,0
188,2020-03-16,16.07,16.07,16.07,16.07,0
189,2020-03-17,16.18,16.18,16.18,16.18,0
190,2020-03-18,15.69,15.69,15.69,15.69,0
