,date,open,close,high,low,volumme
0,2019-07-25,952.19,952.19,952.19,952.19,0
1,2019-08-01,934.43,934.43,934.43,934.43,0
2,2019-08-14,892.21,892.21,892.21,892.21,0
3,2019-08-22,905.01,905.01,905.01,905.01,0
4,2019-08-29,890.24,890.24,890.24,890.24,0
5,2019-09-05,921.23,921.23,921.23,921.23,0
6,2019-09-12,940.32,940.32,940.32,940.32,0
7,2019-09-19,945.52,945.52,945.52,945.52,0
8,2019-09-26,937.9,937.9,937.9,937.9,0
9,2019-10-03,906.98,906.98,906.98,906.98,0
10,2019-10-10,932.11,932.11,932.11,932.11,0
11,2019-10-17,961.67,961.67,961.67,961.67,0
12,2019-10-24,961.61,961.61,961.61,961.61,0
13,2019-10-31,974.21,974.21,974.21,974.21,0
14,2019-11-07,990.0,990.0,990.0,990.0,0
15,2019-11-14,997.52,997.52,997.52,997.52,0
16,2019-11-21,994.04,994.04,994.04,994.04,0
17,2019-11-28,1001.05,1001.05,1001.05,1001.05,0
18,2019-12-05,984.34,984.34,984.34,984.34,0
19,2019-12-12,990.38,990.38,990.38,990.38,0
20,2019-12-19,1003.69,1003.69,1003.69,1003.69,0
21,2019-12-24,1012.24,1012.24,1012.24,1012.24,0
22,2020-01-02,1004.85,1004.85,1004.85,1004.85,0
23,2020-01-09,1012.87,1012.87,1012.87,1012.87,0
24,2020-01-16,1013.71,1013.71,1013.71,1013.71,0
25,2020-01-23,1014.02,1014.02,1014.02,1014.02,0
26,2020-01-30,1003.24,1003.24,1003.24,1003.24,0
27,2020-02-06,1013.75,1013.75,1013.75,1013.75,0
28,2020-02-13,1030.32,1030.32,1030.32,1030.32,0
29,2020-02-20,1028.56,1028.56,1028.56,1028.56,0
30,2020-02-27,943.14,943.14,943.14,943.14,0
31,2020-03-05,884.26,884.26,884.26,884.26,0
32,2020-03-12,719.35,719.35,719.35,719.35,0
33,2020-03-19,579.05,579.05,579.05,579.05,0
34,2020-03-26,720.56,720.56,720.56,720.56,0
35,2020-04-02,668.89,668.89,668.89,668.89,0
36,2020-04-09,727.98,727.98,727.98,727.98,0
37,2020-04-16,707.17,707.17,707.17,707.17,0
38,2020-04-23,720.67,720.67,720.67,720.67,0
39,2020-04-30,803.52,803.52,803.52,803.52,0
40,2020-05-07,743.58,743.58,743.58,743.58,0
41,2020-05-14,733.06,733.06,733.06,733.06,0
