,date,open,close,high,low,volumme
0,2020-01-22,106.1,106.1,106.1,106.1,0
1,2020-01-23,105.56,105.56,105.56,105.56,0
2,2020-01-24,105.73,105.73,105.73,105.73,0
3,2020-01-27,104.13,104.13,104.13,104.13,0
4,2020-01-28,104.73,104.73,104.73,104.73,0
5,2020-01-29,104.6,104.6,104.6,104.6,0
6,2020-01-30,104.07,104.07,104.07,104.07,0
7,2020-01-31,102.98,102.98,102.98,102.98,0
8,2020-02-03,104.37,104.37,104.37,104.37,0
9,2020-02-04,105.42,105.42,105.42,105.42,0
10,2020-02-05,105.82,105.82,105.82,105.82,0
11,2020-02-06,106.93,106.93,106.93,106.93,0
12,2020-02-07,106.39,106.39,106.39,106.39,0
13,2020-02-10,106.29,106.29,106.29,106.29,0
14,2020-02-11,106.42,106.42,106.42,106.42,0
15,2020-02-12,107.32,107.32,107.32,107.32,0
16,2020-02-13,107.41,107.41,107.41,107.41,0
17,2020-02-14,107.5,107.5,107.5,107.5,0
18,2020-02-17,107.91,107.91,107.91,107.91,0
19,2020-02-18,107.97,107.97,107.97,107.97,0
20,2020-02-19,108.73,108.73,108.73,108.73,0
21,2020-02-20,108.63,108.63,108.63,108.63,0
22,2020-02-21,107.87,107.87,107.87,107.87,0
23,2020-02-24,103.55,103.55,103.55,103.55,0
24,2020-02-25,101.85,101.85,101.85,101.85,0
25,2020-02-26,101.38,101.38,101.38,101.38,0
26,2020-02-27,98.83,98.83,98.83,98.83,0
27,2020-02-28,98.21,98.21,98.21,98.21,0
28,2020-03-02,99.34,99.34,99.34,99.34,0
29,2020-03-03,99.79,99.79,99.79,99.79,0
30,2020-03-04,101.55,101.55,101.55,101.55,0
31,2020-03-05,98.82,98.82,98.82,98.82,0
32,2020-03-06,97.6,97.6,97.6,97.6,0
33,2020-03-09,93.96,93.96,93.96,93.96,0
34,2020-03-10,95.02,95.02,95.02,95.02,0
35,2020-03-11,92.33,92.33,92.33,92.33,0
36,2020-03-12,87.08,87.08,87.08,87.08,0
37,2020-03-13,89.08,89.08,89.08,89.08,0
38,2020-03-16,80.51,80.51,80.51,80.51,0
39,2020-03-17,80.07,80.07,80.07,80.07,0
40,2020-03-18,80.32,80.32,80.32,80.32,0
41,2020-03-19,82.71,82.71,82.71,82.71,0
42,2020-03-20,81.58,81.58,81.58,81.58,0
43,2020-03-23,80.7,80.7,80.7,80.7,0
44,2020-03-24,85.6,85.6,85.6,85.6,0
45,2020-03-25,87.48,87.48,87.48,87.48,0
46,2020-03-26,89.92,89.92,89.92,89.92,0
47,2020-03-27,86.62,86.62,86.62,86.62,0
48,2020-03-30,88.86,88.86,88.86,88.86,0
49,2020-03-31,88.43,88.43,88.43,88.43,0
50,2020-04-01,86.0,86.0,86.0,86.0,0
51,2020-04-02,86.64,86.64,86.64,86.64,0
52,2020-04-03,86.83,86.83,86.83,86.83,0
53,2020-04-06,90.62,90.62,90.62,90.62,0
54,2020-04-07,91.83,91.83,91.83,91.83,0
55,2020-04-08,92.31,92.31,92.31,92.31,0
56,2020-04-09,91.72,91.72,91.72,91.72,0
57,2020-04-14,92.54,92.54,92.54,92.54,0
58,2020-04-15,91.28,91.28,91.28,91.28,0
59,2020-04-16,92.09,92.09,92.09,92.09,0
60,2020-04-17,95.17,95.17,95.17,95.17,0
61,2020-04-20,95.21,95.21,95.21,95.21,0
62,2020-04-21,94.29,94.29,94.29,94.29,0
63,2020-04-22,95.1,95.1,95.1,95.1,0
64,2020-04-23,94.88,94.88,94.88,94.88,0
65,2020-04-24,95.13,95.13,95.13,95.13,0
66,2020-04-27,95.55,95.55,95.55,95.55,0
67,2020-04-28,95.85,95.85,95.85,95.85,0
68,2020-04-29,97.15,97.15,97.15,97.15,0
69,2020-04-30,96.53,96.53,96.53,96.53,0
