,date,open,close,high,low,volumme
0,2020-01-23,100.97,100.97,100.97,100.97,0
1,2020-01-24,102.12,102.12,102.12,102.12,0
2,2020-01-27,100.01,100.01,100.01,100.01,0
3,2020-01-28,100.59,100.59,100.59,100.59,0
4,2020-01-29,101.09,101.09,101.09,101.09,0
5,2020-01-30,100.34,100.34,100.34,100.34,0
6,2020-01-31,99.57,99.57,99.57,99.57,0
7,2020-02-03,99.95,99.95,99.95,99.95,0
8,2020-02-04,101.13,101.13,101.13,101.13,0
9,2020-02-05,102.2,102.2,102.2,102.2,0
10,2020-02-06,102.46,102.46,102.46,102.46,0
11,2020-02-07,102.12,102.12,102.12,102.12,0
12,2020-02-10,102.39,102.39,102.39,102.39,0
13,2020-02-11,103.41,103.41,103.41,103.41,0
14,2020-02-12,103.65,103.65,103.65,103.65,0
15,2020-02-13,103.7,103.7,103.7,103.7,0
16,2020-02-14,103.86,103.86,103.86,103.86,0
17,2020-02-17,103.94,103.94,103.94,103.94,0
18,2020-02-18,103.81,103.81,103.81,103.81,0
19,2020-02-19,104.66,104.66,104.66,104.66,0
20,2020-02-20,103.82,103.82,103.82,103.82,0
21,2020-02-21,103.56,103.56,103.56,103.56,0
22,2020-02-24,100.01,100.01,100.01,100.01,0
23,2020-02-25,98.44,98.44,98.44,98.44,0
24,2020-02-26,98.38,98.38,98.38,98.38,0
25,2020-02-27,97.16,97.16,97.16,97.16,0
26,2020-02-28,92.55,92.55,92.55,92.55,0
27,2020-03-02,92.65,92.65,92.65,92.65,0
28,2020-03-03,94.11,94.11,94.11,94.11,0
29,2020-03-04,95.42,95.42,95.42,95.42,0
30,2020-03-05,94.0,94.0,94.0,94.0,0
31,2020-03-06,90.95,90.95,90.95,90.95,0
32,2020-03-09,85.56,85.56,85.56,85.56,0
33,2020-03-10,84.56,84.56,84.56,84.56,0
34,2020-03-11,83.52,83.52,83.52,83.52,0
35,2020-03-12,75.35,75.35,75.35,75.35,0
36,2020-03-13,76.05,76.05,76.05,76.05,0
37,2020-03-16,72.55,72.55,72.55,72.55,0
38,2020-03-17,73.5,73.5,73.5,73.5,0
39,2020-03-18,72.17,72.17,72.17,72.17,0
40,2020-03-19,74.46,74.46,74.46,74.46,0
41,2020-03-20,75.27,75.27,75.27,75.27,0
42,2020-03-23,72.43,72.43,72.43,72.43,0
43,2020-03-24,76.38,76.38,76.38,76.38,0
44,2020-03-25,78.49,78.49,78.49,78.49,0
45,2020-03-26,80.37,80.37,80.37,80.37,0
46,2020-03-27,78.27,78.27,78.27,78.27,0
47,2020-03-30,79.7,79.7,79.7,79.7,0
48,2020-03-31,80.71,80.71,80.71,80.71,0
49,2020-04-01,78.56,78.56,78.56,78.56,0
50,2020-04-02,78.68,78.68,78.68,78.68,0
51,2020-04-03,78.32,78.32,78.32,78.32,0
52,2020-04-06,80.4,80.4,80.4,80.4,0
53,2020-04-07,81.56,81.56,81.56,81.56,0
54,2020-04-08,81.7,81.7,81.7,81.7,0
55,2020-04-09,83.09,83.09,83.09,83.09,0
56,2020-04-14,84.12,84.12,84.12,84.12,0
57,2020-04-15,82.34,82.34,82.34,82.34,0
58,2020-04-16,83.15,83.15,83.15,83.15,0
59,2020-04-17,84.92,84.92,84.92,84.92,0
60,2020-04-20,85.86,85.86,85.86,85.86,0
61,2020-04-21,83.93,83.93,83.93,83.93,0
62,2020-04-22,85.22,85.22,85.22,85.22,0
63,2020-04-23,85.73,85.73,85.73,85.73,0
64,2020-04-24,84.56,84.56,84.56,84.56,0
65,2020-04-27,85.88,85.88,85.88,85.88,0
66,2020-04-28,86.82,86.82,86.82,86.82,0
67,2020-04-29,87.59,87.59,87.59,87.59,0
68,2020-04-30,86.57,86.57,86.57,86.57,0
69,2020-05-04,84.23,84.23,84.23,84.23,0
70,2020-05-05,85.67,85.67,85.67,85.67,0
71,2020-05-06,85.53,85.53,85.53,85.53,0
72,2020-05-07,86.57,86.57,86.57,86.57,0
73,2020-05-11,86.99,86.99,86.99,86.99,0
74,2020-05-12,87.41,87.41,87.41,87.41,0
75,2020-05-13,86.61,86.61,86.61,86.61,0
76,2020-05-14,84.7,84.7,84.7,84.7,0
77,2020-05-15,85.2,85.2,85.2,85.2,0
78,2020-05-18,87.68,87.68,87.68,87.68,0
79,2020-05-19,87.01,87.01,87.01,87.01,0
80,2020-05-20,87.99,87.99,87.99,87.99,0
81,2020-05-22,88.19,88.19,88.19,88.19,0
82,2020-05-25,89.3,89.3,89.3,89.3,0
83,2020-05-26,89.75,89.75,89.75,89.75,0
84,2020-05-27,89.02,89.02,89.02,89.02,0
85,2020-05-28,90.79,90.79,90.79,90.79,0
86,2020-05-29,90.26,90.26,90.26,90.26,0
87,2020-06-02,91.37,91.37,91.37,91.37,0
88,2020-06-03,93.01,93.01,93.01,93.01,0
89,2020-06-04,92.46,92.46,92.46,92.46,0
90,2020-06-05,92.92,92.92,92.92,92.92,0
91,2020-06-08,91.92,91.92,91.92,91.92,0
92,2020-06-09,91.61,91.61,91.61,91.61,0
93,2020-06-10,91.57,91.57,91.57,91.57,0
94,2020-06-11,88.9,88.9,88.9,88.9,0
95,2020-06-12,88.84,88.84,88.84,88.84,0
96,2020-06-15,89.01,89.01,89.01,89.01,0
97,2020-06-16,91.06,91.06,91.06,91.06,0
98,2020-06-17,91.91,91.91,91.91,91.91,0
99,2020-06-18,91.33,91.33,91.33,91.33,0
100,2020-06-19,91.83,91.83,91.83,91.83,0
101,2020-06-22,91.41,91.41,91.41,91.41,0
102,2020-06-23,92.17,92.17,92.17,92.17,0
103,2020-06-24,90.17,90.17,90.17,90.17,0
104,2020-06-25,90.99,90.99,90.99,90.99,0
105,2020-06-26,90.84,90.84,90.84,90.84,0
106,2020-06-29,90.9,90.9,90.9,90.9,0
107,2020-06-30,91.26,91.26,91.26,91.26,0
108,2020-07-01,91.57,91.57,91.57,91.57,0
109,2020-07-02,92.92,92.92,92.92,92.92,0
110,2020-07-03,92.46,92.46,92.46,92.46,0
111,2020-07-06,93.61,93.61,93.61,93.61,0
112,2020-07-07,93.05,93.05,93.05,93.05,0
113,2020-07-08,92.88,92.88,92.88,92.88,0
114,2020-07-09,92.33,92.33,92.33,92.33,0
115,2020-07-10,92.98,92.98,92.98,92.98,0
116,2020-07-13,93.67,93.67,93.67,93.67,0
117,2020-07-15,94.33,94.33,94.33,94.33,0
118,2020-07-16,94.32,94.32,94.32,94.32,0
119,2020-07-17,94.33,94.33,94.33,94.33,0
120,2020-07-20,95.66,95.66,95.66,95.66,0
121,2020-07-21,95.36,95.36,95.36,95.36,0
122,2020-07-22,94.92,94.92,94.92,94.92,0
123,2020-07-23,94.89,94.89,94.89,94.89,0
124,2020-07-24,93.39,93.39,93.39,93.39,0
125,2020-07-27,93.52,93.52,93.52,93.52,0
126,2020-07-28,93.87,93.87,93.87,93.87,0
127,2020-07-29,94.07,94.07,94.07,94.07,0
128,2020-07-30,92.72,92.72,92.72,92.72,0
129,2020-07-31,92.07,92.07,92.07,92.07,0
130,2020-08-03,93.63,93.63,93.63,93.63,0
131,2020-08-04,92.71,92.71,92.71,92.71,0
132,2020-08-05,93.09,93.09,93.09,93.09,0
133,2020-08-06,92.53,92.53,92.53,92.53,0
134,2020-08-07,93.05,93.05,93.05,93.05,0
135,2020-08-10,92.92,92.92,92.92,92.92,0
136,2020-08-11,94.03,94.03,94.03,94.03,0
137,2020-08-12,95.16,95.16,95.16,95.16,0
138,2020-08-13,94.94,94.94,94.94,94.94,0
139,2020-08-14,93.89,93.89,93.89,93.89,0
140,2020-08-17,94.48,94.48,94.48,94.48,0
141,2020-08-18,93.99,93.99,93.99,93.99,0
142,2020-08-19,94.55,94.55,94.55,94.55,0
143,2020-08-20,94.06,94.06,94.06,94.06,0
144,2020-08-21,94.15,94.15,94.15,94.15,0
145,2020-08-24,95.22,95.22,95.22,95.22,0
146,2020-08-25,95.02,95.02,95.02,95.02,0
147,2020-08-26,95.69,95.69,95.69,95.69,0
148,2020-08-27,94.82,94.82,94.82,94.82,0
149,2020-08-28,94.2,94.2,94.2,94.2,0
150,2020-08-31,93.84,93.84,93.84,93.84,0
151,2020-09-01,93.69,93.69,93.69,93.69,0
152,2020-09-02,95.36,95.36,95.36,95.36,0
153,2020-09-03,93.73,93.73,93.73,93.73,0
154,2020-09-04,92.3,92.3,92.3,92.3,0
155,2020-09-07,93.78,93.78,93.78,93.78,0
156,2020-09-08,92.82,92.82,92.82,92.82,0
157,2020-09-09,94.51,94.51,94.51,94.51,0
