,date,open,close,high,low,volumme
0,2020-09-30,127.2,127.2,127.2,127.2,0
1,2020-10-01,127.53,127.53,127.53,127.53,0
2,2020-10-02,127.44,127.44,127.44,127.44,0
3,2020-10-05,128.47,128.47,128.47,128.47,0
4,2020-10-06,128.33,128.33,128.33,128.33,0
5,2020-10-07,127.95,127.95,127.95,127.95,0
6,2020-10-08,128.49,128.49,128.49,128.49,0
7,2020-10-09,129.62,129.62,129.62,129.62,0
8,2020-10-12,131.11,131.11,131.11,131.11,0
9,2020-10-13,130.63,130.63,130.63,130.63,0
10,2020-10-14,130.73,130.73,130.73,130.73,0
11,2020-10-15,128.68,128.68,128.68,128.68,0
12,2020-10-16,129.46,129.46,129.46,129.46,0
13,2020-10-19,129.17,129.17,129.17,129.17,0
14,2020-10-20,128.41,128.41,128.41,128.41,0
15,2020-10-21,126.96,126.96,126.96,126.96,0
16,2020-10-22,126.55,126.55,126.55,126.55,0
17,2020-10-23,126.57,126.57,126.57,126.57,0
18,2020-10-26,124.75,124.75,124.75,124.75,0
19,2020-10-27,124.54,124.54,124.54,124.54,0
20,2020-10-28,121.59,121.59,121.59,121.59,0
21,2020-10-29,121.63,121.63,121.63,121.63,0
22,2020-10-30,122.12,122.12,122.12,122.12,0
23,2020-11-02,123.03,123.03,123.03,123.03,0
24,2020-11-03,125.18,125.18,125.18,125.18,0
25,2020-11-04,128.11,128.11,128.11,128.11,0
26,2020-11-05,130.09,130.09,130.09,130.09,0
27,2020-11-06,129.58,129.58,129.58,129.58,0
28,2020-11-09,128.62,128.62,128.62,128.62,0
29,2020-11-10,127.41,127.41,127.41,127.41,0
30,2020-11-11,129.31,129.31,129.31,129.31,0
31,2020-11-12,129.14,129.14,129.14,129.14,0
32,2020-11-13,129.03,129.03,129.03,129.03,0
33,2020-11-16,129.67,129.67,129.67,129.67,0
34,2020-11-17,129.61,129.61,129.61,129.61,0
35,2020-11-18,130.25,130.25,130.25,130.25,0
36,2020-11-19,130.01,130.01,130.01,130.01,0
37,2020-11-20,131.4,131.4,131.4,131.4,0
38,2020-11-23,130.96,130.96,130.96,130.96,0
39,2020-11-24,129.56,129.56,129.56,129.56,0
40,2020-11-25,129.64,129.64,129.64,129.64,0
41,2020-11-26,130.15,130.15,130.15,130.15,0
42,2020-11-27,131.22,131.22,131.22,131.22,0
43,2020-11-30,131.31,131.31,131.31,131.31,0
44,2020-12-01,131.06,131.06,131.06,131.06,0
45,2020-12-02,129.75,129.75,129.75,129.75,0
46,2020-12-03,129.99,129.99,129.99,129.99,0
47,2020-12-04,130.48,130.48,130.48,130.48,0
48,2020-12-07,129.82,129.82,129.82,129.82,0
49,2020-12-08,130.37,130.37,130.37,130.37,0
50,2020-12-10,130.04,130.04,130.04,130.04,0
51,2020-12-11,130.09,130.09,130.09,130.09,0
52,2020-12-14,131.03,131.03,131.03,131.03,0
53,2020-12-15,131.65,131.65,131.65,131.65,0
54,2020-12-16,132.79,132.79,132.79,132.79,0
55,2020-12-17,133.78,133.78,133.78,133.78,0
56,2020-12-18,133.94,133.94,133.94,133.94,0
57,2020-12-21,131.9,131.9,131.9,131.9,0
58,2020-12-22,133.49,133.49,133.49,133.49,0
59,2020-12-23,134.39,134.39,134.39,134.39,0
60,2020-12-28,135.18,135.18,135.18,135.18,0
61,2020-12-29,136.64,136.64,136.64,136.64,0
62,2020-12-30,136.36,136.36,136.36,136.36,0
63,2020-12-31,136.41,136.41,136.41,136.41,0
64,2021-01-04,137.54,137.54,137.54,137.54,0
65,2021-01-05,137.04,137.04,137.04,137.04,0
66,2021-01-06,136.75,136.75,136.75,136.75,0
67,2021-01-07,137.09,137.09,137.09,137.09,0
68,2021-01-08,137.48,137.48,137.48,137.48,0
69,2021-01-11,137.01,137.01,137.01,137.01,0
70,2021-01-12,136.9,136.9,136.9,136.9,0
71,2021-01-13,137.3,137.3,137.3,137.3,0
72,2021-01-14,138.36,138.36,138.36,138.36,0
73,2021-01-15,136.77,136.77,136.77,136.77,0
74,2021-01-18,137.62,137.62,137.62,137.62,0
75,2021-01-19,137.62,137.62,137.62,137.62,0
76,2021-01-20,138.59,138.59,138.59,138.59,0
77,2021-01-21,138.97,138.97,138.97,138.97,0
78,2021-01-22,138.56,138.56,138.56,138.56,0
79,2021-01-25,137.52,137.52,137.52,137.52,0
80,2021-01-26,137.91,137.91,137.91,137.91,0
81,2021-01-27,136.34,136.34,136.34,136.34,0
82,2021-01-28,136.43,136.43,136.43,136.43,0
83,2021-01-29,135.48,135.48,135.48,135.48,0
84,2021-02-01,137.74,137.74,137.74,137.74,0
85,2021-02-02,139.69,139.69,139.69,139.69,0
86,2021-02-03,140.64,140.64,140.64,140.64,0
87,2021-02-04,140.68,140.68,140.68,140.68,0
88,2021-02-05,141.12,141.12,141.12,141.12,0
89,2021-02-08,141.56,141.56,141.56,141.56,0
90,2021-02-09,141.3,141.3,141.3,141.3,0
91,2021-02-10,140.75,140.75,140.75,140.75,0
92,2021-02-11,142.35,142.35,142.35,142.35,0
93,2021-02-12,143.13,143.13,143.13,143.13,0
94,2021-02-15,144.18,144.18,144.18,144.18,0
95,2021-02-16,144.0,144.0,144.0,144.0,0
96,2021-02-17,142.01,142.01,142.01,142.01,0
97,2021-02-18,141.25,141.25,141.25,141.25,0
98,2021-02-19,142.12,142.12,142.12,142.12,0
99,2021-02-22,141.19,141.19,141.19,141.19,0
100,2021-02-23,139.58,139.58,139.58,139.58,0
101,2021-02-24,140.1,140.1,140.1,140.1,0
102,2021-02-25,139.74,139.74,139.74,139.74,0
103,2021-02-26,138.64,138.64,138.64,138.64,0
104,2021-03-01,140.9,140.9,140.9,140.9,0
105,2021-03-02,140.41,140.41,140.41,140.41,0
106,2021-03-03,140.08,140.08,140.08,140.08,0
107,2021-03-04,138.4,138.4,138.4,138.4,0
108,2021-03-05,136.83,136.83,136.83,136.83,0
109,2021-03-08,137.84,137.84,137.84,137.84,0
110,2021-03-09,140.41,140.41,140.41,140.41,0
111,2021-03-10,141.21,141.21,141.21,141.21,0
112,2021-03-11,142.93,142.93,142.93,142.93,0
113,2021-03-12,142.73,142.73,142.73,142.73,0
114,2021-03-15,143.01,143.01,143.01,143.01,0
115,2021-03-16,144.63,144.63,144.63,144.63,0
116,2021-03-17,143.74,143.74,143.74,143.74,0
117,2021-03-18,143.93,143.93,143.93,143.93,0
118,2021-03-19,143.3,143.3,143.3,143.3,0
119,2021-03-22,143.81,143.81,143.81,143.81,0
120,2021-03-23,143.74,143.74,143.74,143.74,0
121,2021-03-24,143.48,143.48,143.48,143.48,0
122,2021-03-25,142.99,142.99,142.99,142.99,0
123,2021-03-26,144.26,144.26,144.26,144.26,0
124,2021-03-29,144.02,144.02,144.02,144.02,0
125,2021-03-30,144.74,144.74,144.74,144.74,0
126,2021-03-31,144.8,144.8,144.8,144.8,0
127,2021-04-01,146.77,146.77,146.77,146.77,0
128,2021-04-06,147.98,147.98,147.98,147.98,0
129,2021-04-07,147.27,147.27,147.27,147.27,0
130,2021-04-08,148.26,148.26,148.26,148.26,0
131,2021-04-09,149.39,149.39,149.39,149.39,0
132,2021-04-12,148.58,148.58,148.58,148.58,0
133,2021-04-13,150.42,150.42,150.42,150.42,0
134,2021-04-14,150.43,150.43,150.43,150.43,0
135,2021-04-15,151.8,151.8,151.8,151.8,0
136,2021-04-16,153.33,153.33,153.33,153.33,0
137,2021-04-19,152.56,152.56,152.56,152.56,0
138,2021-04-20,151.03,151.03,151.03,151.03,0
139,2021-04-21,151.06,151.06,151.06,151.06,0
140,2021-04-22,152.6,152.6,152.6,152.6,0
141,2021-04-23,152.94,152.94,152.94,152.94,0
142,2021-04-26,154.05,154.05,154.05,154.05,0
143,2021-04-27,153.87,153.87,153.87,153.87,0
144,2021-04-28,153.6,153.6,153.6,153.6,0
145,2021-04-29,153.12,153.12,153.12,153.12,0
146,2021-04-30,152.35,152.35,152.35,152.35,0
147,2021-05-03,153.08,153.08,153.08,153.08,0
148,2021-05-04,150.68,150.68,150.68,150.68,0
149,2021-05-05,153.0,153.0,153.0,153.0,0
150,2021-05-06,151.95,151.95,151.95,151.95,0
151,2021-05-07,153.88,153.88,153.88,153.88,0
152,2021-05-10,153.09,153.09,153.09,153.09,0
153,2021-05-11,149.99,149.99,149.99,149.99,0
154,2021-05-12,149.85,149.85,149.85,149.85,0
155,2021-05-14,151.1,151.1,151.1,151.1,0
156,2021-05-17,151.16,151.16,151.16,151.16,0
157,2021-05-18,152.03,152.03,152.03,152.03,0
158,2021-05-19,150.91,150.91,150.91,150.91,0
159,2021-05-20,153.03,153.03,153.03,153.03,0
160,2021-05-21,153.68,153.68,153.68,153.68,0
161,2021-05-25,155.21,155.21,155.21,155.21,0
162,2021-05-26,155.56,155.56,155.56,155.56,0
163,2021-05-27,156.29,156.29,156.29,156.29,0
164,2021-05-28,157.08,157.08,157.08,157.08,0
165,2021-05-31,156.85,156.85,156.85,156.85,0
166,2021-06-01,157.8,157.8,157.8,157.8,0
167,2021-06-02,157.49,157.49,157.49,157.49,0
168,2021-06-03,157.01,157.01,157.01,157.01,0
169,2021-06-04,157.88,157.88,157.88,157.88,0
170,2021-06-07,157.89,157.89,157.89,157.89,0
171,2021-06-08,158.12,158.12,158.12,158.12,0
172,2021-06-09,157.91,157.91,157.91,157.91,0
173,2021-06-10,157.56,157.56,157.56,157.56,0
174,2021-06-11,158.82,158.82,158.82,158.82,0
175,2021-06-14,159.37,159.37,159.37,159.37,0
176,2021-06-15,159.25,159.25,159.25,159.25,0
177,2021-06-16,159.57,159.57,159.57,159.57,0
178,2021-06-17,159.26,159.26,159.26,159.26,0
179,2021-06-18,157.9,157.9,157.9,157.9,0
180,2021-06-21,158.88,158.88,158.88,158.88,0
181,2021-06-22,159.63,159.63,159.63,159.63,0
182,2021-06-24,159.89,159.89,159.89,159.89,0
183,2021-06-25,160.58,160.58,160.58,160.58,0
184,2021-06-28,160.09,160.09,160.09,160.09,0
185,2021-06-29,160.73,160.73,160.73,160.73,0
186,2021-06-30,159.96,159.96,159.96,159.96,0
187,2021-07-01,161.21,161.21,161.21,161.21,0
188,2021-07-02,162.42,162.42,162.42,162.42,0
189,2021-07-05,162.91,162.91,162.91,162.91,0
190,2021-07-06,162.93,162.93,162.93,162.93,0
191,2021-07-07,164.03,164.03,164.03,164.03,0
192,2021-07-08,161.23,161.23,161.23,161.23,0
193,2021-07-09,162.44,162.44,162.44,162.44,0
194,2021-07-12,163.55,163.55,163.55,163.55,0
195,2021-07-13,165.24,165.24,165.24,165.24,0
196,2021-07-14,164.91,164.91,164.91,164.91,0
197,2021-07-15,163.48,163.48,163.48,163.48,0
198,2021-07-16,163.28,163.28,163.28,163.28,0
199,2021-07-19,160.37,160.37,160.37,160.37,0
200,2021-07-20,160.83,160.83,160.83,160.83,0
201,2021-07-21,164.0,164.0,164.0,164.0,0
202,2021-07-22,167.04,167.04,167.04,167.04,0
203,2021-07-23,168.49,168.49,168.49,168.49,0
204,2021-07-26,168.22,168.22,168.22,168.22,0
205,2021-07-28,168.59,168.59,168.59,168.59,0
206,2021-07-29,169.16,169.16,169.16,169.16,0
207,2021-07-30,169.03,169.03,169.03,169.03,0
208,2021-08-02,170.4,170.4,170.4,170.4,0
209,2021-08-03,170.58,170.58,170.58,170.58,0
210,2021-08-04,171.89,171.89,171.89,171.89,0
211,2021-08-05,172.58,172.58,172.58,172.58,0
212,2021-08-06,171.69,171.69,171.69,171.69,0
213,2021-08-09,171.66,171.66,171.66,171.66,0
214,2021-08-10,171.83,171.83,171.83,171.83,0
215,2021-08-11,172.1,172.1,172.1,172.1,0
216,2021-08-12,172.34,172.34,172.34,172.34,0
217,2021-08-13,172.55,172.55,172.55,172.55,0
218,2021-08-16,171.96,171.96,171.96,171.96,0
219,2021-08-17,171.58,171.58,171.58,171.58,0
220,2021-08-18,172.37,172.37,172.37,172.37,0
221,2021-08-19,170.05,170.05,170.05,170.05,0
222,2021-08-20,170.82,170.82,170.82,170.82,0
223,2021-08-23,172.53,172.53,172.53,172.53,0
224,2021-08-24,172.15,172.15,172.15,172.15,0
225,2021-08-26,172.31,172.31,172.31,172.31,0
226,2021-08-27,173.28,173.28,173.28,173.28,0
227,2021-08-30,173.77,173.77,173.77,173.77,0
228,2021-08-31,173.18,173.18,173.18,173.18,0
229,2021-09-01,174.03,174.03,174.03,174.03,0
230,2021-09-02,175.23,175.23,175.23,175.23,0
231,2021-09-03,174.33,174.33,174.33,174.33,0
232,2021-09-06,175.16,175.16,175.16,175.16,0
233,2021-09-07,174.52,174.52,174.52,174.52,0
234,2021-09-08,172.7,172.7,172.7,172.7,0
235,2021-09-09,173.83,173.83,173.83,173.83,0
236,2021-09-10,173.42,173.42,173.42,173.42,0
237,2021-09-13,172.77,172.77,172.77,172.77,0
238,2021-09-14,173.35,173.35,173.35,173.35,0
239,2021-09-15,171.22,171.22,171.22,171.22,0
240,2021-09-16,172.57,172.57,172.57,172.57,0
241,2021-09-17,171.96,171.96,171.96,171.96,0
242,2021-09-20,169.44,169.44,169.44,169.44,0
243,2021-09-21,171.75,171.75,171.75,171.75,0
244,2021-09-22,172.49,172.49,172.49,172.49,0
245,2021-09-23,174.95,174.95,174.95,174.95,0
246,2021-09-24,172.08,172.08,172.08,172.08,0
247,2021-09-27,169.51,169.51,169.51,169.51,0
248,2021-09-28,164.63,164.63,164.63,164.63,0
249,2021-09-29,164.75,164.75,164.75,164.75,0
250,2021-09-30,165.38,165.38,165.38,165.38,0
251,2021-10-01,164.67,164.67,164.67,164.67,0
252,2021-10-04,163.03,163.03,163.03,163.03,0
253,2021-10-05,164.45,164.45,164.45,164.45,0
254,2021-10-06,162.75,162.75,162.75,162.75,0
255,2021-10-07,164.32,164.32,164.32,164.32,0
256,2021-10-08,163.42,163.42,163.42,163.42,0
257,2021-10-11,162.66,162.66,162.66,162.66,0
258,2021-10-12,163.37,163.37,163.37,163.37,0
259,2021-10-13,165.89,165.89,165.89,165.89,0
260,2021-10-14,168.03,168.03,168.03,168.03,0
261,2021-10-15,169.17,169.17,169.17,169.17,0
262,2021-10-18,168.72,168.72,168.72,168.72,0
263,2021-10-19,169.47,169.47,169.47,169.47,0
264,2021-10-20,169.34,169.34,169.34,169.34,0
265,2021-10-21,170.32,170.32,170.32,170.32,0
266,2021-10-22,171.35,171.35,171.35,171.35,0
267,2021-10-25,171.53,171.53,171.53,171.53,0
268,2021-10-26,172.33,172.33,172.33,172.33,0
269,2021-10-27,171.89,171.89,171.89,171.89,0
270,2021-10-28,172.06,172.06,172.06,172.06,0
271,2021-10-29,171.47,171.47,171.47,171.47,0
272,2021-11-02,172.69,172.69,172.69,172.69,0
273,2021-11-03,172.4,172.4,172.4,172.4,0
274,2021-11-04,174.11,174.11,174.11,174.11,0
275,2021-11-05,173.15,173.15,173.15,173.15,0
276,2021-11-08,173.74,173.74,173.74,173.74,0
277,2021-11-09,173.96,173.96,173.96,173.96,0
278,2021-11-10,173.6,173.6,173.6,173.6,0
279,2021-11-11,174.02,174.02,174.02,174.02,0
280,2021-11-12,175.02,175.02,175.02,175.02,0
281,2021-11-15,175.68,175.68,175.68,175.68,0
282,2021-11-16,175.28,175.28,175.28,175.28,0
283,2021-11-17,174.85,174.85,174.85,174.85,0
284,2021-11-18,174.4,174.4,174.4,174.4,0
285,2021-11-19,174.42,174.42,174.42,174.42,0
286,2021-11-22,174.04,174.04,174.04,174.04,0
287,2021-11-23,170.85,170.85,170.85,170.85,0
288,2021-11-24,170.66,170.66,170.66,170.66,0
289,2021-11-25,171.63,171.63,171.63,171.63,0
290,2021-11-26,167.91,167.91,167.91,167.91,0
291,2021-11-29,169.15,169.15,169.15,169.15,0
292,2021-11-30,168.07,168.07,168.07,168.07,0
293,2021-12-01,168.87,168.87,168.87,168.87,0
294,2021-12-02,166.67,166.67,166.67,166.67,0
295,2021-12-03,164.78,164.78,164.78,164.78,0
296,2021-12-06,165.48,165.48,165.48,165.48,0
297,2021-12-07,169.79,169.79,169.79,169.79,0
298,2021-12-08,169.13,169.13,169.13,169.13,0
299,2021-12-09,169.33,169.33,169.33,169.33,0
300,2021-12-10,169.12,169.12,169.12,169.12,0
301,2021-12-13,168.67,168.67,168.67,168.67,0
302,2021-12-14,165.75,165.75,165.75,165.75,0
303,2021-12-15,166.96,166.96,166.96,166.96,0
304,2021-12-16,167.25,167.25,167.25,167.25,0
305,2021-12-17,166.29,166.29,166.29,166.29,0
306,2021-12-20,165.04,165.04,165.04,165.04,0
307,2021-12-21,166.67,166.67,166.67,166.67,0
308,2021-12-22,168.74,168.74,168.74,168.74,0
309,2021-12-23,169.98,169.98,169.98,169.98,0
310,2021-12-27,171.32,171.32,171.32,171.32,0
311,2021-12-28,172.45,172.45,172.45,172.45,0
312,2021-12-29,173.38,173.38,173.38,173.38,0
313,2021-12-30,173.88,173.88,173.88,173.88,0
314,2021-12-31,173.76,173.76,173.76,173.76,0
315,2022-01-03,173.25,173.25,173.25,173.25,0
316,2022-01-04,172.49,172.49,172.49,172.49,0
317,2022-01-05,172.15,172.15,172.15,172.15,0
318,2022-01-06,169.16,169.16,169.16,169.16,0
