,date,open,close,high,low,volumme
0,2020-10-26,98.65,98.65,98.65,98.65,0
1,2020-10-27,97.27,97.27,97.27,97.27,0
2,2020-10-28,94.1,94.1,94.1,94.1,0
3,2020-10-29,93.96,93.96,93.96,93.96,0
4,2020-10-30,94.48,94.48,94.48,94.48,0
5,2020-11-02,95.9,95.9,95.9,95.9,0
6,2020-11-03,97.41,97.41,97.41,97.41,0
7,2020-11-04,98.88,98.88,98.88,98.88,0
8,2020-11-05,100.28,100.28,100.28,100.28,0
9,2020-11-06,100.58,100.58,100.58,100.58,0
10,2020-11-09,105.46,105.46,105.46,105.46,0
11,2020-11-10,105.86,105.86,105.86,105.86,0
12,2020-11-12,105.55,105.55,105.55,105.55,0
13,2020-11-13,105.91,105.91,105.91,105.91,0
14,2020-11-16,107.47,107.47,107.47,107.47,0
15,2020-11-17,107.37,107.37,107.37,107.37,0
16,2020-11-18,107.92,107.92,107.92,107.92,0
17,2020-11-19,106.56,106.56,106.56,106.56,0
18,2020-11-20,107.03,107.03,107.03,107.03,0
19,2020-11-23,106.88,106.88,106.88,106.88,0
20,2020-11-24,108.2,108.2,108.2,108.2,0
21,2020-11-25,108.6,108.6,108.6,108.6,0
22,2020-11-26,108.73,108.73,108.73,108.73,0
23,2020-11-27,109.55,109.55,109.55,109.55,0
24,2020-11-30,108.98,108.98,108.98,108.98,0
25,2020-12-01,109.55,109.55,109.55,109.55,0
26,2020-12-02,108.29,108.29,108.29,108.29,0
27,2020-12-03,107.98,107.98,107.98,107.98,0
28,2020-12-04,108.65,108.65,108.65,108.65,0
29,2020-12-07,108.44,108.44,108.44,108.44,0
30,2020-12-08,108.64,108.64,108.64,108.64,0
31,2020-12-09,108.71,108.71,108.71,108.71,0
32,2020-12-10,108.55,108.55,108.55,108.55,0
33,2020-12-11,108.3,108.3,108.3,108.3,0
34,2020-12-14,108.33,108.33,108.33,108.33,0
35,2020-12-15,109.05,109.05,109.05,109.05,0
36,2020-12-16,109.51,109.51,109.51,109.51,0
37,2020-12-17,109.75,109.75,109.75,109.75,0
38,2020-12-18,109.21,109.21,109.21,109.21,0
39,2020-12-21,107.31,107.31,107.31,107.31,0
40,2020-12-22,108.73,108.73,108.73,108.73,0
41,2020-12-23,109.29,109.29,109.29,109.29,0
42,2020-12-24,109.09,109.09,109.09,109.09,0
43,2020-12-28,109.82,109.82,109.82,109.82,0
44,2020-12-29,110.65,110.65,110.65,110.65,0
45,2020-12-30,109.97,109.97,109.97,109.97,0
46,2020-12-31,109.36,109.36,109.36,109.36,0
47,2021-01-04,110.97,110.97,110.97,110.97,0
48,2021-01-05,110.66,110.66,110.66,110.66,0
49,2021-01-06,112.2,112.2,112.2,112.2,0
50,2021-01-07,112.72,112.72,112.72,112.72,0
51,2021-01-08,114.02,114.02,114.02,114.02,0
52,2021-01-11,112.67,112.67,112.67,112.67,0
53,2021-01-12,112.95,112.95,112.95,112.95,0
54,2021-01-13,113.23,113.23,113.23,113.23,0
55,2021-01-14,114.18,114.18,114.18,114.18,0
56,2021-01-15,113.26,113.26,113.26,113.26,0
57,2021-01-18,113.44,113.44,113.44,113.44,0
58,2021-01-19,113.13,113.13,113.13,113.13,0
59,2021-01-20,113.86,113.86,113.86,113.86,0
60,2021-01-21,114.12,114.12,114.12,114.12,0
61,2021-01-22,112.99,112.99,112.99,112.99,0
62,2021-01-25,110.85,110.85,110.85,110.85,0
63,2021-01-26,111.29,111.29,111.29,111.29,0
64,2021-01-27,110.38,110.38,110.38,110.38,0
65,2021-01-28,110.84,110.84,110.84,110.84,0
66,2021-01-29,109.82,109.82,109.82,109.82,0
67,2021-02-01,111.01,111.01,111.01,111.01,0
68,2021-02-02,112.84,112.84,112.84,112.84,0
69,2021-02-03,112.91,112.91,112.91,112.91,0
70,2021-02-04,113.56,113.56,113.56,113.56,0
71,2021-02-05,113.33,113.33,113.33,113.33,0
72,2021-02-08,113.87,113.87,113.87,113.87,0
73,2021-02-09,113.37,113.37,113.37,113.37,0
74,2021-02-10,112.93,112.93,112.93,112.93,0
75,2021-02-11,113.41,113.41,113.41,113.41,0
76,2021-02-12,113.39,113.39,113.39,113.39,0
77,2021-02-15,114.09,114.09,114.09,114.09,0
78,2021-02-16,114.0,114.0,114.0,114.0,0
79,2021-02-17,113.21,113.21,113.21,113.21,0
80,2021-02-18,112.25,112.25,112.25,112.25,0
81,2021-02-19,113.29,113.29,113.29,113.29,0
82,2021-02-22,113.13,113.13,113.13,113.13,0
83,2021-02-23,112.86,112.86,112.86,112.86,0
