,date,open,close,high,low,volumme
0,2021-01-13,127.5,127.5,127.5,127.5,0
1,2021-01-14,128.47,128.47,128.47,128.47,0
2,2021-01-15,128.66,128.66,128.66,128.66,0
3,2021-01-18,128.12,128.12,128.12,128.12,0
4,2021-01-19,127.5,127.5,127.5,127.5,0
5,2021-01-20,128.29,128.29,128.29,128.29,0
6,2021-01-21,127.58,127.58,127.58,127.58,0
7,2021-01-22,126.51,126.51,126.51,126.51,0
8,2021-01-25,126.3,126.3,126.3,126.3,0
9,2021-01-26,126.42,126.42,126.42,126.42,0
10,2021-01-27,126.44,126.44,126.44,126.44,0
11,2021-01-28,125.82,125.82,125.82,125.82,0
12,2021-01-29,125.56,125.56,125.56,125.56,0
13,2021-02-01,125.99,125.99,125.99,125.99,0
14,2021-02-02,127.15,127.15,127.15,127.15,0
15,2021-02-03,127.37,127.37,127.37,127.37,0
16,2021-02-04,127.66,127.66,127.66,127.66,0
17,2021-02-05,128.45,128.45,128.45,128.45,0
18,2021-02-08,128.79,128.79,128.79,128.79,0
19,2021-02-09,128.18,128.18,128.18,128.18,0
20,2021-02-10,128.63,128.63,128.63,128.63,0
21,2021-02-11,129.42,129.42,129.42,129.42,0
22,2021-02-12,129.06,129.06,129.06,129.06,0
23,2021-02-15,129.08,129.08,129.08,129.08,0
24,2021-02-16,128.54,128.54,128.54,128.54,0
25,2021-02-17,128.57,128.57,128.57,128.57,0
26,2021-02-18,127.71,127.71,127.71,127.71,0
27,2021-02-19,127.23,127.23,127.23,127.23,0
28,2021-02-22,125.51,125.51,125.51,125.51,0
29,2021-02-23,126.32,126.32,126.32,126.32,0
30,2021-02-24,126.53,126.53,126.53,126.53,0
31,2021-02-25,124.33,124.33,124.33,124.33,0
32,2021-02-26,124.45,124.45,124.45,124.45,0
33,2021-03-01,125.64,125.64,125.64,125.64,0
34,2021-03-02,125.27,125.27,125.27,125.27,0
35,2021-03-03,124.85,124.85,124.85,124.85,0
36,2021-03-04,125.81,125.81,125.81,125.81,0
37,2021-03-05,125.6,125.6,125.6,125.6,0
38,2021-03-08,124.57,124.57,124.57,124.57,0
