,date,open,close,high,low,volumme
0,2021-02-08,101.66,101.66,101.66,101.66,0
1,2021-02-09,101.66,101.66,101.66,101.66,0
2,2021-02-10,101.21,101.21,101.21,101.21,0
3,2021-02-11,101.72,101.72,101.72,101.72,0
4,2021-02-12,102.53,102.53,102.53,102.53,0
5,2021-02-15,102.77,102.77,102.77,102.77,0
6,2021-02-16,102.57,102.57,102.57,102.57,0
7,2021-02-17,101.64,101.64,101.64,101.64,0
8,2021-02-18,101.1,101.1,101.1,101.1,0
9,2021-02-19,101.16,101.16,101.16,101.16,0
10,2021-02-22,99.84,99.84,99.84,99.84,0
11,2021-02-23,98.79,98.79,98.79,98.79,0
12,2021-02-24,98.83,98.83,98.83,98.83,0
13,2021-02-25,98.35,98.35,98.35,98.35,0
14,2021-02-26,97.15,97.15,97.15,97.15,0
15,2021-03-01,98.47,98.47,98.47,98.47,0
16,2021-03-02,98.63,98.63,98.63,98.63,0
17,2021-03-03,97.71,97.71,97.71,97.71,0
18,2021-03-04,97.54,97.54,97.54,97.54,0
19,2021-03-05,96.54,96.54,96.54,96.54,0
20,2021-03-08,97.97,97.97,97.97,97.97,0
21,2021-03-09,98.83,98.83,98.83,98.83,0
22,2021-03-10,99.28,99.28,99.28,99.28,0
23,2021-03-11,100.1,100.1,100.1,100.1,0
24,2021-03-12,99.17,99.17,99.17,99.17,0
25,2021-03-15,99.51,99.51,99.51,99.51,0
26,2021-03-16,100.48,100.48,100.48,100.48,0
27,2021-03-17,99.98,99.98,99.98,99.98,0
28,2021-03-18,99.57,99.57,99.57,99.57,0
29,2021-03-19,99.5,99.5,99.5,99.5,0
30,2021-03-22,100.37,100.37,100.37,100.37,0
31,2021-03-23,100.55,100.55,100.55,100.55,0
32,2021-03-24,100.03,100.03,100.03,100.03,0
33,2021-03-25,100.65,100.65,100.65,100.65,0
34,2021-03-26,101.24,101.24,101.24,101.24,0
35,2021-03-29,101.51,101.51,101.51,101.51,0
36,2021-03-30,101.52,101.52,101.52,101.52,0
37,2021-03-31,101.59,101.59,101.59,101.59,0
38,2021-04-01,102.46,102.46,102.46,102.46,0
39,2021-04-06,103.14,103.14,103.14,103.14,0
40,2021-04-07,102.6,102.6,102.6,102.6,0
41,2021-04-08,103.61,103.61,103.61,103.61,0
42,2021-04-09,103.88,103.88,103.88,103.88,0
43,2021-04-12,103.12,103.12,103.12,103.12,0
44,2021-04-13,104.0,104.0,104.0,104.0,0
45,2021-04-14,103.45,103.45,103.45,103.45,0
46,2021-04-15,104.08,104.08,104.08,104.08,0
47,2021-04-16,104.46,104.46,104.46,104.46,0
48,2021-04-19,104.33,104.33,104.33,104.33,0
49,2021-04-20,103.55,103.55,103.55,103.55,0
50,2021-04-21,104.05,104.05,104.05,104.05,0
51,2021-04-22,105.06,105.06,105.06,105.06,0
52,2021-04-23,105.1,105.1,105.1,105.1,0
53,2021-04-26,105.15,105.15,105.15,105.15,0
54,2021-04-27,104.85,104.85,104.85,104.85,0
55,2021-04-28,104.32,104.32,104.32,104.32,0
56,2021-04-29,103.7,103.7,103.7,103.7,0
57,2021-04-30,103.24,103.24,103.24,103.24,0
58,2021-05-03,103.87,103.87,103.87,103.87,0
59,2021-05-04,102.32,102.32,102.32,102.32,0
60,2021-05-05,104.15,104.15,104.15,104.15,0
61,2021-05-06,103.95,103.95,103.95,103.95,0
62,2021-05-07,104.64,104.64,104.64,104.64,0
63,2021-05-10,104.08,104.08,104.08,104.08,0
64,2021-05-11,102.72,102.72,102.72,102.72,0
65,2021-05-12,102.44,102.44,102.44,102.44,0
66,2021-05-14,103.63,103.63,103.63,103.63,0
67,2021-05-17,103.58,103.58,103.58,103.58,0
68,2021-05-18,103.33,103.33,103.33,103.33,0
69,2021-05-19,102.54,102.54,102.54,102.54,0
70,2021-05-20,103.87,103.87,103.87,103.87,0
71,2021-05-21,104.25,104.25,104.25,104.25,0
72,2021-05-25,104.84,104.84,104.84,104.84,0
73,2021-05-26,104.77,104.77,104.77,104.77,0
74,2021-05-27,104.32,104.32,104.32,104.32,0
75,2021-05-28,104.8,104.8,104.8,104.8,0
76,2021-05-31,104.31,104.31,104.31,104.31,0
77,2021-06-01,104.58,104.58,104.58,104.58,0
78,2021-06-02,104.4,104.4,104.4,104.4,0
79,2021-06-03,104.25,104.25,104.25,104.25,0
80,2021-06-04,105.05,105.05,105.05,105.05,0
81,2021-06-07,105.22,105.22,105.22,105.22,0
82,2021-06-08,105.39,105.39,105.39,105.39,0
83,2021-06-09,105.74,105.74,105.74,105.74,0
84,2021-06-10,105.95,105.95,105.95,105.95,0
85,2021-06-11,106.88,106.88,106.88,106.88,0
86,2021-06-14,107.25,107.25,107.25,107.25,0
87,2021-06-15,107.48,107.48,107.48,107.48,0
88,2021-06-16,108.03,108.03,108.03,108.03,0
89,2021-06-17,107.84,107.84,107.84,107.84,0
90,2021-06-18,107.01,107.01,107.01,107.01,0
91,2021-06-21,107.65,107.65,107.65,107.65,0
92,2021-06-22,108.1,108.1,108.1,108.1,0
93,2021-06-23,107.23,107.23,107.23,107.23,0
94,2021-06-24,108.17,108.17,108.17,108.17,0
95,2021-06-25,108.23,108.23,108.23,108.23,0
96,2021-06-28,108.47,108.47,108.47,108.47,0
97,2021-06-29,108.89,108.89,108.89,108.89,0
98,2021-06-30,107.96,107.96,107.96,107.96,0
99,2021-07-01,108.03,108.03,108.03,108.03,0
100,2021-07-02,108.65,108.65,108.65,108.65,0
101,2021-07-05,108.75,108.75,108.75,108.75,0
102,2021-07-06,109.17,109.17,109.17,109.17,0
103,2021-07-07,110.19,110.19,110.19,110.19,0
104,2021-07-08,108.68,108.68,108.68,108.68,0
105,2021-07-09,109.19,109.19,109.19,109.19,0
106,2021-07-12,110.06,110.06,110.06,110.06,0
107,2021-07-13,110.44,110.44,110.44,110.44,0
108,2021-07-15,109.69,109.69,109.69,109.69,0
109,2021-07-16,109.71,109.71,109.71,109.71,0
110,2021-07-19,108.56,108.56,108.56,108.56,0
111,2021-07-20,108.62,108.62,108.62,108.62,0
112,2021-07-21,109.99,109.99,109.99,109.99,0
113,2021-07-22,110.95,110.95,110.95,110.95,0
114,2021-07-23,111.86,111.86,111.86,111.86,0
115,2021-07-27,110.73,110.73,110.73,110.73,0
116,2021-07-28,111.47,111.47,111.47,111.47,0
117,2021-07-29,111.72,111.72,111.72,111.72,0
118,2021-07-30,112.27,112.27,112.27,112.27,0
119,2021-08-02,112.75,112.75,112.75,112.75,0
120,2021-08-03,112.87,112.87,112.87,112.87,0
121,2021-08-04,113.7,113.7,113.7,113.7,0
122,2021-08-05,114.72,114.72,114.72,114.72,0
123,2021-08-06,113.86,113.86,113.86,113.86,0
124,2021-08-09,114.0,114.0,114.0,114.0,0
125,2021-08-10,114.29,114.29,114.29,114.29,0
126,2021-08-11,114.69,114.69,114.69,114.69,0
127,2021-08-12,114.64,114.64,114.64,114.64,0
128,2021-08-13,114.82,114.82,114.82,114.82,0
129,2021-08-16,114.73,114.73,114.73,114.73,0
130,2021-08-17,115.0,115.0,115.0,115.0,0
131,2021-08-18,115.58,115.58,115.58,115.58,0
132,2021-08-19,115.14,115.14,115.14,115.14,0
133,2021-08-20,115.6,115.6,115.6,115.6,0
134,2021-08-23,115.83,115.83,115.83,115.83,0
135,2021-08-24,115.52,115.52,115.52,115.52,0
136,2021-08-25,115.17,115.17,115.17,115.17,0
137,2021-08-26,114.95,114.95,114.95,114.95,0
138,2021-08-27,115.39,115.39,115.39,115.39,0
139,2021-08-30,115.81,115.81,115.81,115.81,0
140,2021-08-31,115.09,115.09,115.09,115.09,0
141,2021-09-01,115.44,115.44,115.44,115.44,0
142,2021-09-02,115.86,115.86,115.86,115.86,0
143,2021-09-03,115.5,115.5,115.5,115.5,0
144,2021-09-06,116.01,116.01,116.01,116.01,0
145,2021-09-07,115.56,115.56,115.56,115.56,0
146,2021-09-08,114.76,114.76,114.76,114.76,0
147,2021-09-09,114.77,114.77,114.77,114.77,0
148,2021-09-10,114.36,114.36,114.36,114.36,0
149,2021-09-13,114.2,114.2,114.2,114.2,0
150,2021-09-14,114.82,114.82,114.82,114.82,0
151,2021-09-15,113.8,113.8,113.8,113.8,0
152,2021-09-16,114.1,114.1,114.1,114.1,0
153,2021-09-17,113.16,113.16,113.16,113.16,0
154,2021-09-20,112.28,112.28,112.28,112.28,0
155,2021-09-21,113.34,113.34,113.34,113.34,0
156,2021-09-22,113.53,113.53,113.53,113.53,0
157,2021-09-23,114.34,114.34,114.34,114.34,0
158,2021-09-24,113.19,113.19,113.19,113.19,0
159,2021-09-27,111.4,111.4,111.4,111.4,0
160,2021-09-28,108.84,108.84,108.84,108.84,0
161,2021-09-29,108.86,108.86,108.86,108.86,0
162,2021-09-30,108.71,108.71,108.71,108.71,0
163,2021-10-01,107.92,107.92,107.92,107.92,0
164,2021-10-04,107.1,107.1,107.1,107.1,0
165,2021-10-05,107.75,107.75,107.75,107.75,0
166,2021-10-06,106.92,106.92,106.92,106.92,0
167,2021-10-07,108.4,108.4,108.4,108.4,0
168,2021-10-08,107.84,107.84,107.84,107.84,0
169,2021-10-11,107.45,107.45,107.45,107.45,0
170,2021-10-12,107.5,107.5,107.5,107.5,0
171,2021-10-13,108.84,108.84,108.84,108.84,0
172,2021-10-14,109.96,109.96,109.96,109.96,0
173,2021-10-15,110.41,110.41,110.41,110.41,0
174,2021-10-18,110.27,110.27,110.27,110.27,0
175,2021-10-19,110.69,110.69,110.69,110.69,0
176,2021-10-20,110.8,110.8,110.8,110.8,0
177,2021-10-21,111.31,111.31,111.31,111.31,0
178,2021-10-22,112.18,112.18,112.18,112.18,0
179,2021-10-25,112.39,112.39,112.39,112.39,0
180,2021-10-26,112.83,112.83,112.83,112.83,0
181,2021-10-27,113.41,113.41,113.41,113.41,0
182,2021-10-28,114.64,114.64,114.64,114.64,0
183,2021-10-29,114.6,114.6,114.6,114.6,0
184,2021-11-02,115.88,115.88,115.88,115.88,0
185,2021-11-03,116.5,116.5,116.5,116.5,0
186,2021-11-04,117.2,117.2,117.2,117.2,0
187,2021-11-05,116.51,116.51,116.51,116.51,0
188,2021-11-08,116.89,116.89,116.89,116.89,0
189,2021-11-09,116.79,116.79,116.79,116.79,0
190,2021-11-10,116.54,116.54,116.54,116.54,0
191,2021-11-12,117.22,117.22,117.22,117.22,0
192,2021-11-15,117.89,117.89,117.89,117.89,0
