,date,open,close,high,low,volumme
0,2021-04-08,1000.0,1000.0,1000.0,1000.0,0
1,2021-04-15,1000.0,1000.0,1000.0,1000.0,0
2,2021-04-22,1000.0,1000.0,1000.0,1000.0,0
3,2021-04-29,1000.0,1000.0,1000.0,1000.0,0
4,2021-05-06,1000.0,1000.0,1000.0,1000.0,0
5,2021-05-12,1000.0,1000.0,1000.0,1000.0,0
6,2021-05-20,1000.0,1000.0,1000.0,1000.0,0
7,2021-05-27,1000.0,1000.0,1000.0,1000.0,0
8,2021-06-03,1000.0,1000.0,1000.0,1000.0,0
9,2021-06-10,1000.0,1000.0,1000.0,1000.0,0
10,2021-06-17,1000.0,1000.0,1000.0,1000.0,0
11,2021-06-24,973.26,973.26,973.26,973.26,0
12,2021-07-01,979.48,979.48,979.48,979.48,0
13,2021-07-08,986.922,986.922,986.922,986.922,0
14,2021-07-15,982.008,982.008,982.008,982.008,0
15,2021-07-22,969.337,969.337,969.337,969.337,0
16,2021-07-29,981.634,981.634,981.634,981.634,0
17,2021-08-05,988.422,988.422,988.422,988.422,0
18,2021-08-12,1001.706,1001.706,1001.706,1001.706,0
19,2021-08-19,1005.034,1005.034,1005.034,1005.034,0
20,2021-08-26,1003.816,1003.816,1003.816,1003.816,0
21,2021-09-02,1007.536,1007.536,1007.536,1007.536,0
22,2021-09-09,994.935,994.935,994.935,994.935,0
23,2021-09-16,984.149,984.149,984.149,984.149,0
24,2021-09-23,974.67,974.67,974.67,974.67,0
25,2021-09-30,969.739,969.739,969.739,969.739,0
26,2021-10-07,960.701,960.701,960.701,960.701,0
27,2021-10-14,973.791,973.791,973.791,973.791,0
28,2021-10-21,985.93,985.93,985.93,985.93,0
29,2021-10-28,991.648,991.648,991.648,991.648,0
30,2021-11-04,998.476,998.476,998.476,998.476,0
31,2021-11-10,1002.923,1002.923,1002.923,1002.923,0
32,2021-11-18,1008.277,1008.277,1008.277,1008.277,0
33,2021-11-25,992.225,992.225,992.225,992.225,0
34,2021-12-02,975.461,975.461,975.461,975.461,0
35,2021-12-09,983.711,983.711,983.711,983.711,0
36,2021-12-16,978.306,978.306,978.306,978.306,0
37,2021-12-23,991.89,991.89,991.89,991.89,0
38,2021-12-30,1006.878,1006.878,1006.878,1006.878,0
39,2022-01-06,1024.381,1024.381,1024.381,1024.381,0
40,2022-01-13,1013.586,1013.586,1013.586,1013.586,0
41,2022-01-20,1007.788,1007.788,1007.788,1007.788,0
42,2022-01-27,989.709,989.709,989.709,989.709,0
43,2022-02-03,1006.966,1006.966,1006.966,1006.966,0
44,2022-02-10,1004.31,1004.31,1004.31,1004.31,0
45,2022-02-17,995.07,995.07,995.07,995.07,0
46,2022-02-24,966.78,966.78,966.78,966.78,0
47,2022-03-03,922.62,922.62,922.62,922.62,0
48,2022-03-10,901.18,901.18,901.18,901.18,0
49,2022-03-17,927.47,927.47,927.47,927.47,0
50,2022-03-24,922.88,922.88,922.88,922.88,0
51,2022-03-31,951.22,951.22,951.22,951.22,0
52,2022-04-07,934.28,934.28,934.28,934.28,0
53,2022-04-14,942.68,942.68,942.68,942.68,0
54,2022-04-21,959.1,959.1,959.1,959.1,0
55,2022-04-28,936.12,936.12,936.12,936.12,0
56,2022-05-05,936.07,936.07,936.07,936.07,0
57,2022-05-12,919.64,919.64,919.64,919.64,0
58,2022-05-19,938.39,938.39,938.39,938.39,0
59,2022-05-25,939.0,939.0,939.0,939.0,0
60,2022-06-02,952.94,952.94,952.94,952.94,0
61,2022-06-09,960.43,960.43,960.43,960.43,0
62,2022-06-16,910.2,910.2,910.2,910.2,0
63,2022-06-23,893.12,893.12,893.12,893.12,0
64,2022-06-30,899.18,899.18,899.18,899.18,0
65,2022-07-07,874.78,874.78,874.78,874.78,0
66,2022-07-13,892.27,892.27,892.27,892.27,0
67,2022-07-21,897.19,897.19,897.19,897.19,0
68,2022-07-28,918.03,918.03,918.03,918.03,0
69,2022-08-04,939.66,939.66,939.66,939.66,0
70,2022-08-11,952.36,952.36,952.36,952.36,0
71,2022-08-18,959.71,959.71,959.71,959.71,0
72,2022-08-25,936.65,936.65,936.65,936.65,0
73,2022-09-01,898.3,898.3,898.3,898.3,0
74,2022-09-08,900.42,900.42,900.42,900.42,0
75,2022-09-15,921.25,921.25,921.25,921.25,0
76,2022-09-22,890.56,890.56,890.56,890.56,0
77,2022-09-29,835.46,835.46,835.46,835.46,0
78,2022-10-06,851.5,851.5,851.5,851.5,0
79,2022-10-13,815.77,815.77,815.77,815.77,0
80,2022-10-20,852.83,852.83,852.83,852.83,0
81,2022-10-27,887.92,887.92,887.92,887.92,0
82,2022-11-03,897.12,897.12,897.12,897.12,0
83,2022-11-10,928.27,928.27,928.27,928.27,0
84,2022-11-17,956.83,956.83,956.83,956.83,0
85,2022-11-24,973.45,973.45,973.45,973.45,0
86,2022-12-01,975.43,975.43,975.43,975.43,0
87,2022-12-08,966.52,966.52,966.52,966.52,0
88,2022-12-15,978.51,978.51,978.51,978.51,0
89,2022-12-22,952.5,952.5,952.5,952.5,0
90,2022-12-29,945.12,945.12,945.12,945.12,0
91,2023-01-05,991.66,991.66,991.66,991.66,0
92,2023-01-12,1013.4,1013.4,1013.4,1013.4,0
93,2023-01-19,1027.29,1027.29,1027.29,1027.29,0
94,2023-01-26,1027.09,1027.09,1027.09,1027.09,0
95,2023-02-02,1043.63,1043.63,1043.63,1043.63,0
96,2023-02-09,1050.96,1050.96,1050.96,1050.96,0
97,2023-02-16,1058.08,1058.08,1058.08,1058.08,0
98,2023-02-23,1052.24,1052.24,1052.24,1052.24,0
99,2023-03-02,1050.11,1050.11,1050.11,1050.11,0
100,2023-03-09,1064.25,1064.25,1064.25,1064.25,0
101,2023-03-16,999.29,999.29,999.29,999.29,0
102,2023-03-23,1035.33,1035.33,1035.33,1035.33,0
103,2023-03-30,1041.82,1041.82,1041.82,1041.82,0
104,2023-04-06,1060.87,1060.87,1060.87,1060.87,0
105,2023-04-13,1066.81,1066.81,1066.81,1066.81,0
106,2023-04-20,1082.07,1082.07,1082.07,1082.07,0
107,2023-04-27,1077.22,1077.22,1077.22,1077.22,0
108,2023-05-04,1078.54,1078.54,1078.54,1078.54,0
109,2023-05-11,1084.05,1084.05,1084.05,1084.05,0
110,2023-05-17,1084.12,1084.12,1084.12,1084.12,0
111,2023-05-25,1075.92,1075.92,1075.92,1075.92,0
112,2023-06-01,1067.09,1067.09,1067.09,1067.09,0
113,2023-06-08,1101.59,1101.59,1101.59,1101.59,0
114,2023-06-15,1114.61,1114.61,1114.61,1114.61,0
115,2023-06-29,1105.301,1105.301,1105.301,1105.301,0
116,2023-07-06,1106.689,1106.689,1106.689,1106.689,0
117,2023-07-13,1107.442,1107.442,1107.442,1107.442,0
118,2023-07-20,1108.249,1108.249,1108.249,1108.249,0
119,2023-07-27,1108.978,1108.978,1108.978,1108.978,0
120,2023-08-03,1109.788,1109.788,1109.788,1109.788,0
121,2023-08-10,1110.62,1110.62,1110.62,1110.62,0
122,2023-08-17,1111.428,1111.428,1111.428,1111.428,0
123,2023-08-24,1112.271,1112.271,1112.271,1112.271,0
124,2023-08-31,1113.074,1113.074,1113.074,1113.074,0
125,2023-09-07,1113.905,1113.905,1113.905,1113.905,0
126,2023-09-14,1114.783,1114.783,1114.783,1114.783,0
127,2023-09-21,1115.641,1115.641,1115.641,1115.641,0
